t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784036435.372391,1784036435.372391,mixed,2,0,528,0.0003,1024,2,
1784036435.372391,1784036435.489180,mixed,8,0,656,0.0003,3072,8,
1784036435.489180,1784036435.505452,decode,8,0,752,0.0004,0,8,
1784036435.505452,1784036435.511566,decode,8,0,752,0.0004,0,8,
1784036435.511566,1784036435.517894,decode,8,0,752,0.0004,0,8,
1784036435.517894,1784036435.523973,decode,8,0,752,0.0004,0,8,
1784036435.523973,1784036435.530117,decode,8,0,752,0.0004,0,8,
1784036435.530117,1784036435.536297,decode,8,0,752,0.0004,0,8,
1784036435.536297,1784036435.542295,decode,8,0,752,0.0004,0,8,
1784036435.542295,1784036435.548561,decode,8,0,752,0.0004,0,8,
1784036435.548561,1784036435.554726,decode,8,0,752,0.0004,0,8,
1784036435.554726,1784036435.560877,decode,8,0,752,0.0004,0,8,
1784036435.560877,1784036435.567044,decode,8,0,752,0.0004,0,8,
1784036435.567044,1784036435.573437,decode,8,0,752,0.0004,0,8,
1784036435.573437,1784036435.579479,decode,8,0,752,0.0004,0,8,
1784036435.579479,1784036435.585709,decode,8,0,752,0.0004,0,8,
1784036435.585709,1784036435.591838,decode,8,0,752,0.0004,0,8,
1784036435.591838,1784036435.598176,decode,8,0,784,0.0004,0,8,
1784036435.598176,1784036435.604320,decode,8,0,880,0.0004,0,8,
1784036435.604320,1784036435.610481,decode,8,0,880,0.0004,0,8,
1784036435.610481,1784036435.616625,decode,8,0,880,0.0004,0,8,
1784036435.616625,1784036435.622679,decode,8,0,880,0.0004,0,8,
1784036435.622679,1784036435.628997,decode,8,0,880,0.0004,0,8,
1784036435.628997,1784036435.635232,decode,8,0,880,0.0004,0,8,
1784036435.635232,1784036435.641383,decode,8,0,880,0.0004,0,8,
1784036435.641383,1784036435.647553,decode,8,0,880,0.0004,0,8,
1784036435.647553,1784036435.653820,decode,8,0,880,0.0004,0,8,
1784036435.653820,1784036435.659914,decode,8,0,880,0.0004,0,8,
1784036435.659914,1784036435.666069,decode,8,0,880,0.0004,0,8,
1784036435.666069,1784036435.672266,decode,8,0,880,0.0004,0,8,
1784036435.672266,1784036435.678493,decode,8,0,880,0.0004,0,8,
1784036435.678493,1784036435.684696,decode,8,0,880,0.0004,0,8,
1784036435.684696,1784036435.690951,decode,8,0,880,0.0004,0,8,
1784036435.690951,1784036435.697208,decode,8,0,912,0.0004,0,8,
1784036435.697208,1784036435.703338,decode,8,0,1008,0.0005,0,8,
1784036435.703338,1784036435.709660,decode,8,0,1008,0.0005,0,8,
1784036435.709660,1784036435.715897,decode,8,0,1008,0.0005,0,8,
1784036435.715897,1784036435.722209,decode,8,0,1008,0.0005,0,8,
1784036435.722209,1784036435.728404,decode,8,0,1008,0.0005,0,8,
1784036435.728404,1784036435.734669,decode,8,0,1008,0.0005,0,8,
1784036435.734669,1784036435.740858,decode,8,0,1008,0.0005,0,8,
1784036435.740858,1784036435.747076,decode,8,0,1008,0.0005,0,8,
1784036435.747076,1784036435.753205,decode,8,0,1008,0.0005,0,8,
1784036435.753205,1784036435.759547,decode,8,0,1008,0.0005,0,8,
1784036435.759547,1784036435.765780,decode,8,0,1008,0.0005,0,8,
1784036435.765780,1784036435.772066,decode,8,0,1008,0.0005,0,8,
1784036435.772066,1784036435.778241,decode,8,0,1008,0.0005,0,8,
1784036435.778241,1784036435.784430,decode,8,0,1008,0.0005,0,8,
1784036435.784430,1784036435.790797,decode,8,0,1008,0.0005,0,8,
1784036435.790797,1784036435.797081,decode,8,0,1040,0.0005,0,8,
1784036435.797081,1784036435.803316,decode,8,0,1136,0.0005,0,8,
1784036435.803316,1784036435.809491,decode,8,0,1136,0.0005,0,8,
1784036435.809491,1784036435.815734,decode,8,0,1136,0.0005,0,8,
1784036435.815734,1784036435.821966,decode,8,0,1136,0.0005,0,8,
1784036435.821966,1784036435.828217,decode,8,0,1136,0.0005,0,8,
1784036435.828217,1784036435.834429,decode,8,0,1136,0.0005,0,8,
1784036435.834429,1784036435.840621,decode,8,0,1136,0.0005,0,8,
1784036435.840621,1784036435.846882,decode,8,0,1136,0.0005,0,8,
1784036435.846882,1784036435.853099,decode,8,0,1136,0.0005,0,8,
1784036435.853099,1784036435.859350,decode,8,0,1136,0.0005,0,8,
1784036435.859350,1784036435.865468,decode,8,0,1136,0.0005,0,8,
1784036435.865468,1784036435.871740,decode,8,0,1136,0.0005,0,8,
1784036435.871740,1784036435.877864,decode,8,0,1136,0.0005,0,8,
1784036435.877864,1784036435.884012,decode,8,0,1136,0.0005,0,8,
1784036435.884012,1784036435.890475,decode,8,0,1136,0.0005,0,8,
1784036435.890475,1784036435.896568,decode,8,0,1168,0.0006,0,8,
1784036435.896568,1784036435.902633,decode,8,0,1264,0.0006,0,8,
1784036435.902633,1784036435.908757,decode,8,0,1264,0.0006,0,8,
1784036435.908757,1784036435.914933,decode,8,0,1264,0.0006,0,8,
1784036435.914933,1784036435.921167,decode,8,0,1264,0.0006,0,8,
1784036435.921167,1784036435.927670,decode,8,0,1264,0.0006,0,8,
1784036435.927670,1784036435.933472,decode,8,0,1264,0.0006,0,8,
1784036435.933472,1784036435.939798,decode,8,0,1264,0.0006,0,8,
1784036435.939798,1784036435.945822,decode,8,0,1264,0.0006,0,8,
1784036435.945822,1784036435.952369,decode,8,0,1264,0.0006,0,8,
1784036435.952369,1784036435.958093,decode,8,0,1264,0.0006,0,8,
1784036435.958093,1784036435.964311,decode,8,0,1264,0.0006,0,8,
1784036435.964311,1784036435.970639,decode,8,0,1264,0.0006,0,8,
1784036435.970639,1784036435.976932,decode,8,0,1264,0.0006,0,8,
1784036435.976932,1784036435.982847,decode,8,0,1264,0.0006,0,8,
1784036435.982847,1784036435.989402,decode,8,0,1264,0.0006,0,8,
1784036435.989402,1784036435.995167,decode,8,0,1296,0.0006,0,8,
1784036435.995167,1784036436.001494,decode,8,0,1392,0.0007,0,8,
1784036436.001494,1784036436.007600,decode,8,0,1392,0.0007,0,8,
1784036436.007600,1784036436.013797,decode,8,0,1392,0.0007,0,8,
1784036436.013797,1784036436.020188,decode,8,0,1392,0.0007,0,8,
1784036436.020188,1784036436.026113,decode,8,0,1392,0.0007,0,8,
1784036436.026113,1784036436.032467,decode,8,0,1392,0.0007,0,8,
1784036436.032467,1784036436.038658,decode,8,0,1392,0.0007,0,8,
1784036436.038658,1784036436.044758,decode,8,0,1392,0.0007,0,8,
