t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784035856.845869,260.025,1400,1200,95,60,55
1784035856.847869,260.652,1400,1200,95,60,55
1784035856.849869,260.252,1400,1200,95,60,55
1784035856.851870,257.815,1400,1200,95,60,55
1784035856.853870,261.521,1400,1200,95,60,55
1784035856.855870,258.795,1400,1200,95,60,55
1784035856.856987,229.283,1400,1200,95,60,55
1784035856.858987,229.551,1400,1200,95,60,55
1784035856.860987,231.361,1400,1200,95,60,55
1784035856.862988,228.689,1400,1200,95,60,55
1784035856.864988,230.082,1400,1200,95,60,55
1784035856.866988,230.806,1400,1200,95,60,55
1784035856.868988,229.710,1400,1200,95,60,55
1784035856.870323,251.055,1400,1200,95,60,55
1784035856.872323,251.276,1400,1200,95,60,55
1784035856.874323,250.687,1400,1200,95,60,55
1784035856.876323,253.092,1400,1200,95,60,55
1784035856.878323,252.145,1400,1200,95,60,55
1784035856.880323,251.481,1400,1200,95,60,55
1784035856.882001,230.564,1400,1200,95,60,55
1784035856.884001,227.690,1400,1200,95,60,55
1784035856.886002,227.398,1400,1200,95,60,55
1784035856.888002,229.373,1400,1200,95,60,55
1784035856.890002,228.466,1400,1200,95,60,55
1784035856.892002,228.407,1400,1200,95,60,55
1784035856.894002,229.247,1400,1200,95,60,55
1784035856.895367,222.763,1400,1200,95,60,55
1784035856.897367,220.403,1400,1200,95,60,55
1784035856.899367,220.720,1400,1200,95,60,55
1784035856.901367,220.517,1400,1200,95,60,55
1784035856.903367,220.462,1400,1200,95,60,55
1784035856.905367,221.171,1400,1200,95,60,55
1784035856.907367,223.968,1400,1200,95,60,55
1784035856.909365,232.038,1400,1200,95,60,55
1784035856.911365,232.504,1400,1200,95,60,55
1784035856.913365,234.038,1400,1200,95,60,55
1784035856.915365,233.246,1400,1200,95,60,55
1784035856.917365,234.394,1400,1200,95,60,55
1784035856.919365,232.559,1400,1200,95,60,55
1784035856.921365,234.489,1400,1200,95,60,55
1784035856.922433,227.856,1400,1200,95,60,55
1784035856.924433,228.970,1400,1200,95,60,55
1784035856.926433,229.266,1400,1200,95,60,55
1784035856.928433,230.013,1400,1200,95,60,55
1784035856.930434,227.627,1400,1200,95,60,55
