t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784262845.923244,153.499,1980,3201,0.0,0.0,40.0
1784262845.933312,153.499,1980,3201,0.0,0.0,40.0
1784262845.943317,153.499,1980,3201,0.0,0.0,40.0
1784262845.953316,153.499,1980,3201,0.0,0.0,40.0
1784262845.963316,153.499,1980,3201,0.0,0.0,40.0
1784262845.973318,153.499,1980,3201,0.0,0.0,40.0
1784262845.983316,160.366,1980,3201,0.0,0.0,40.0
1784262845.993336,160.366,1980,3201,0.0,0.0,40.0
1784262846.003316,160.366,1980,3201,0.0,0.0,40.0
1784262846.013316,160.366,1980,3201,0.0,0.0,40.0
1784262846.023319,160.366,1980,3201,0.0,0.0,40.0
1784262846.033315,160.366,1980,3201,0.0,0.0,40.0
1784262846.043317,160.366,1980,3201,0.0,0.0,40.0
1784262846.053320,160.366,1980,3201,0.0,0.0,40.0
1784262846.063318,160.366,1980,3201,0.0,0.0,40.0
1784262846.073319,160.366,1980,3201,0.0,0.0,40.0
1784262846.083315,200.653,1920,3201,0.0,0.0,44.0
1784262846.093315,200.653,1920,3201,0.0,0.0,44.0
1784262846.103315,200.653,1920,3201,0.0,0.0,44.0
1784262846.113311,200.653,1920,3201,0.0,0.0,44.0
1784262846.123307,200.653,1920,3201,0.0,0.0,44.0
1784262846.133312,200.653,1920,3201,0.0,0.0,44.0
1784262846.143326,200.653,1920,3201,0.0,0.0,44.0
1784262846.153316,200.653,1920,3201,0.0,0.0,44.0
1784262846.163316,200.653,1920,3201,0.0,0.0,44.0
1784262846.173310,200.653,1920,3201,0.0,0.0,44.0
1784262846.183316,229.551,1965,3201,80.0,51.0,44.0
1784262846.193309,229.551,1965,3201,80.0,51.0,44.0
1784262846.203316,229.551,1965,3201,80.0,51.0,44.0
1784262846.213316,229.551,1965,3201,80.0,51.0,44.0
1784262846.223312,229.551,1965,3201,80.0,51.0,44.0
1784262846.233315,229.551,1965,3201,80.0,51.0,44.0
1784262846.243309,229.551,1965,3201,80.0,51.0,44.0
1784262846.253317,229.551,1965,3201,80.0,51.0,44.0
1784262846.263317,229.551,1965,3201,80.0,51.0,44.0
1784262846.273317,229.551,1965,3201,80.0,51.0,44.0
1784262846.283316,261.813,1965,3201,80.0,51.0,45.0
1784262846.293309,261.813,1965,3201,80.0,51.0,45.0
1784262846.303316,261.813,1965,3201,80.0,51.0,45.0
1784262846.313317,261.813,1965,3201,80.0,51.0,45.0
1784262846.323317,261.813,1965,3201,80.0,51.0,45.0
1784262846.333316,261.813,1965,3201,80.0,51.0,45.0
1784262846.343312,261.813,1965,3201,80.0,51.0,45.0
1784262846.353316,261.813,1965,3201,80.0,51.0,45.0
1784262846.363359,261.813,1965,3201,80.0,51.0,45.0
1784262846.373316,261.813,1965,3201,80.0,51.0,45.0
1784262846.383317,263.022,1965,3201,88.0,58.0,45.0
1784262846.393312,263.022,1965,3201,88.0,58.0,45.0
1784262846.403316,263.022,1965,3201,88.0,58.0,45.0
1784262846.413680,263.022,1965,3201,88.0,58.0,45.0
1784262846.423320,263.022,1965,3201,88.0,58.0,45.0
1784262846.433317,263.022,1965,3201,88.0,58.0,45.0
1784262846.443316,263.022,1965,3201,88.0,58.0,45.0
1784262846.453318,263.022,1965,3201,88.0,58.0,45.0
1784262846.463729,263.022,1965,3201,88.0,58.0,45.0
1784262846.473317,263.022,1965,3201,88.0,58.0,45.0
1784262846.483318,288.785,1980,3201,88.0,58.0,45.0
1784262846.493324,288.785,1980,3201,88.0,58.0,45.0
1784262846.503318,288.785,1980,3201,88.0,58.0,45.0
1784262846.513317,288.785,1980,3201,88.0,58.0,45.0
1784262846.523316,288.785,1980,3201,88.0,58.0,45.0
1784262846.533316,288.785,1980,3201,88.0,58.0,45.0
1784262846.543318,288.785,1980,3201,88.0,58.0,45.0
1784262846.553319,288.785,1980,3201,88.0,58.0,45.0
1784262846.563317,288.785,1980,3201,88.0,58.0,45.0
1784262846.573316,288.785,1980,3201,88.0,58.0,45.0
1784262846.583565,319.374,1980,3201,88.0,58.0,45.0
1784262846.593317,319.374,1980,3201,88.0,58.0,45.0
1784262846.603317,319.374,1980,3201,88.0,58.0,45.0
1784262846.613316,319.374,1980,3201,88.0,58.0,45.0
1784262846.623317,319.374,1980,3201,88.0,58.0,45.0
1784262846.633317,319.374,1980,3201,88.0,58.0,45.0
1784262846.643317,319.374,1980,3201,88.0,58.0,45.0
1784262846.653320,319.374,1980,3201,88.0,58.0,45.0
1784262846.663317,319.374,1980,3201,88.0,58.0,45.0
1784262846.673319,319.374,1980,3201,88.0,58.0,45.0
1784262846.683311,319.374,1980,3201,88.0,58.0,45.0
1784262846.693318,345.687,1980,3201,88.0,58.0,45.0
1784262846.703316,345.687,1980,3201,88.0,58.0,45.0
1784262846.713317,345.687,1980,3201,88.0,58.0,45.0
1784262846.723360,345.687,1980,3201,88.0,58.0,45.0
1784262846.733316,345.687,1980,3201,88.0,58.0,45.0
1784262846.743316,345.687,1980,3201,88.0,58.0,45.0
1784262846.753317,345.687,1980,3201,88.0,58.0,45.0
1784262846.763317,345.687,1980,3201,88.0,58.0,45.0
1784262846.773317,345.687,1980,3201,88.0,58.0,45.0
1784262846.783317,345.687,1980,3201,88.0,58.0,45.0
1784262846.793316,375.630,1980,3201,87.0,58.0,45.0
1784262846.803322,375.630,1980,3201,87.0,58.0,45.0
1784262846.813317,375.630,1980,3201,87.0,58.0,45.0
1784262846.823331,375.630,1980,3201,87.0,58.0,45.0
1784262846.833531,375.630,1980,3201,87.0,58.0,45.0
1784262846.843370,375.630,1980,3201,87.0,58.0,45.0
1784262846.853317,375.630,1980,3201,87.0,58.0,45.0
1784262846.863317,375.630,1980,3201,87.0,58.0,45.0
1784262846.873321,375.630,1980,3201,87.0,58.0,45.0
1784262846.883314,375.630,1980,3201,87.0,58.0,45.0
1784262846.893322,411.503,1980,3201,87.0,58.0,46.0
1784262846.903386,411.503,1980,3201,87.0,58.0,46.0
1784262846.913379,411.503,1980,3201,87.0,58.0,46.0
1784262846.923316,411.503,1980,3201,87.0,58.0,46.0
1784262846.933856,411.503,1980,3201,87.0,58.0,46.0
1784262846.943315,411.503,1980,3201,87.0,58.0,46.0
1784262846.953392,411.503,1980,3201,87.0,58.0,46.0
1784262846.963316,411.503,1980,3201,87.0,58.0,46.0
1784262846.973317,411.503,1980,3201,87.0,58.0,46.0
1784262846.983316,411.503,1980,3201,87.0,58.0,46.0
1784262846.993363,429.983,1980,3201,87.0,58.0,45.0
1784262847.003312,429.983,1980,3201,87.0,58.0,45.0
1784262847.013318,429.983,1980,3201,87.0,58.0,45.0
1784262847.023317,429.983,1980,3201,87.0,58.0,45.0
1784262847.033327,429.983,1980,3201,87.0,58.0,45.0
1784262847.043310,429.983,1980,3201,87.0,58.0,45.0
1784262847.053311,429.983,1980,3201,87.0,58.0,45.0
1784262847.063312,429.983,1980,3201,87.0,58.0,45.0
1784262847.073309,429.983,1980,3201,87.0,58.0,45.0
1784262847.083311,429.983,1980,3201,87.0,58.0,45.0
1784262847.093309,418.366,1980,3201,87.0,58.0,46.0
1784262847.103311,418.366,1980,3201,87.0,58.0,46.0
1784262847.113313,418.366,1980,3201,87.0,58.0,46.0
1784262847.123312,418.366,1980,3201,87.0,58.0,46.0
1784262847.133312,418.366,1980,3201,87.0,58.0,46.0
1784262847.143307,418.366,1980,3201,87.0,58.0,46.0
1784262847.153312,418.366,1980,3201,87.0,58.0,46.0
1784262847.163307,418.366,1980,3201,87.0,58.0,46.0
1784262847.173312,418.366,1980,3201,87.0,58.0,46.0
1784262847.183312,418.366,1980,3201,87.0,58.0,46.0
1784262847.193312,419.912,1980,3201,88.0,58.0,46.0
1784262847.203312,419.912,1980,3201,88.0,58.0,46.0
1784262847.213311,419.912,1980,3201,88.0,58.0,46.0
1784262847.223312,419.912,1980,3201,88.0,58.0,46.0
1784262847.233308,419.912,1980,3201,88.0,58.0,46.0
1784262847.243311,419.912,1980,3201,88.0,58.0,46.0
1784262847.253324,419.912,1980,3201,88.0,58.0,46.0
1784262847.263312,419.912,1980,3201,88.0,58.0,46.0
1784262847.273395,419.912,1980,3201,88.0,58.0,46.0
1784262847.283329,419.912,1980,3201,88.0,58.0,46.0
1784262847.293316,420.809,1980,3201,88.0,58.0,46.0
1784262847.303315,420.809,1980,3201,88.0,58.0,46.0
1784262847.313331,420.809,1980,3201,88.0,58.0,46.0
1784262847.323345,420.809,1980,3201,88.0,58.0,46.0
1784262847.333465,420.809,1980,3201,88.0,58.0,46.0
1784262847.343334,420.809,1980,3201,88.0,58.0,46.0
1784262847.353379,420.809,1980,3201,88.0,58.0,46.0
1784262847.363316,420.809,1980,3201,88.0,58.0,46.0
1784262847.373336,420.809,1980,3201,88.0,58.0,46.0
1784262847.383342,420.809,1980,3201,88.0,58.0,46.0
1784262847.393324,421.346,1980,3201,88.0,58.0,46.0
1784262847.403318,421.346,1980,3201,88.0,58.0,46.0
1784262847.413317,421.346,1980,3201,88.0,58.0,46.0
1784262847.423316,421.346,1980,3201,88.0,58.0,46.0
1784262847.433383,421.346,1980,3201,88.0,58.0,46.0
1784262847.443316,421.346,1980,3201,88.0,58.0,46.0
1784262847.453315,421.346,1980,3201,88.0,58.0,46.0
1784262847.463415,421.346,1980,3201,88.0,58.0,46.0
1784262847.473315,421.346,1980,3201,88.0,58.0,46.0
1784262847.483316,421.346,1980,3201,88.0,58.0,46.0
1784262847.493315,421.957,1980,3201,88.0,58.0,46.0
1784262847.503314,421.957,1980,3201,88.0,58.0,46.0
1784262847.513315,421.957,1980,3201,88.0,58.0,46.0
1784262847.523314,421.957,1980,3201,88.0,58.0,46.0
1784262847.533315,421.957,1980,3201,88.0,58.0,46.0
1784262847.543316,421.957,1980,3201,88.0,58.0,46.0
1784262847.553315,421.957,1980,3201,88.0,58.0,46.0
1784262847.563316,421.957,1980,3201,88.0,58.0,46.0
1784262847.573317,421.957,1980,3201,88.0,58.0,46.0
1784262847.583425,421.957,1980,3201,88.0,58.0,46.0
1784262847.593316,422.370,1980,3201,88.0,58.0,46.0
1784262847.603495,422.370,1980,3201,88.0,58.0,46.0
1784262847.613316,422.370,1980,3201,88.0,58.0,46.0
1784262847.623316,422.370,1980,3201,88.0,58.0,46.0
1784262847.633317,422.370,1980,3201,88.0,58.0,46.0
1784262847.643315,422.370,1980,3201,88.0,58.0,46.0
1784262847.653309,422.370,1980,3201,88.0,58.0,46.0
1784262847.663316,422.370,1980,3201,88.0,58.0,46.0
1784262847.673316,422.370,1980,3201,88.0,58.0,46.0
1784262847.683385,422.370,1980,3201,88.0,58.0,46.0
1784262847.693316,422.775,1980,3201,88.0,58.0,46.0
1784262847.703316,422.775,1980,3201,88.0,58.0,46.0
1784262847.713418,422.775,1980,3201,88.0,58.0,46.0
1784262847.723316,422.775,1980,3201,88.0,58.0,46.0
1784262847.733315,422.775,1980,3201,88.0,58.0,46.0
1784262847.743360,422.775,1980,3201,88.0,58.0,46.0
1784262847.753315,422.775,1980,3201,88.0,58.0,46.0
1784262847.763316,422.775,1980,3201,88.0,58.0,46.0
1784262847.773312,422.775,1980,3201,88.0,58.0,46.0
1784262847.783345,422.775,1980,3201,88.0,58.0,46.0
1784262847.793319,424.279,1980,3201,87.0,58.0,46.0
1784262847.803315,424.279,1980,3201,87.0,58.0,46.0
1784262847.813315,424.279,1980,3201,87.0,58.0,46.0
1784262847.823518,424.279,1980,3201,87.0,58.0,46.0
1784262847.833316,424.279,1980,3201,87.0,58.0,46.0
1784262847.843361,424.279,1980,3201,87.0,58.0,46.0
1784262847.853316,424.279,1980,3201,87.0,58.0,46.0
1784262847.863315,424.279,1980,3201,87.0,58.0,46.0
1784262847.873316,424.279,1980,3201,87.0,58.0,46.0
1784262847.883316,424.279,1980,3201,87.0,58.0,46.0
1784262847.893316,424.146,1980,3201,87.0,58.0,46.0
1784262847.903311,424.146,1980,3201,87.0,58.0,46.0
1784262847.913316,424.146,1980,3201,87.0,58.0,46.0
1784262847.923316,424.146,1980,3201,87.0,58.0,46.0
1784262847.933317,424.146,1980,3201,87.0,58.0,46.0
1784262847.943316,424.146,1980,3201,87.0,58.0,46.0
1784262847.953315,424.146,1980,3201,87.0,58.0,46.0
1784262847.963422,424.146,1980,3201,87.0,58.0,46.0
1784262847.973316,424.146,1980,3201,87.0,58.0,46.0
1784262847.983338,424.146,1980,3201,87.0,58.0,46.0
1784262847.993352,426.091,1980,3201,79.0,52.0,46.0
1784262848.003316,426.091,1980,3201,79.0,52.0,46.0
1784262848.013316,426.091,1980,3201,79.0,52.0,46.0
1784262848.023316,426.091,1980,3201,79.0,52.0,46.0
1784262848.033318,426.091,1980,3201,79.0,52.0,46.0
1784262848.043333,426.091,1980,3201,79.0,52.0,46.0
1784262848.053327,426.091,1980,3201,79.0,52.0,46.0
1784262848.063315,426.091,1980,3201,79.0,52.0,46.0
1784262848.073345,426.091,1980,3201,79.0,52.0,46.0
1784262848.083314,426.091,1980,3201,79.0,52.0,46.0
1784262848.093343,431.353,1980,3201,79.0,52.0,46.0
1784262848.103317,431.353,1980,3201,79.0,52.0,46.0
1784262848.113314,431.353,1980,3201,79.0,52.0,46.0
1784262848.123312,431.353,1980,3201,79.0,52.0,46.0
1784262848.133458,431.353,1980,3201,79.0,52.0,46.0
1784262848.143312,431.353,1980,3201,79.0,52.0,46.0
1784262848.153311,431.353,1980,3201,79.0,52.0,46.0
1784262848.163312,431.353,1980,3201,79.0,52.0,46.0
1784262848.173311,431.353,1980,3201,79.0,52.0,46.0
