t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784262621.960654,1784262621.960654,mixed,1,1,2048,0.0023,2048,1,
1784262621.960654,1784262621.980911,mixed,2,0,2080,0.0023,2048,2,
1784262621.980911,1784262621.993837,decode,2,0,2096,0.0023,0,2,
1784262621.993837,1784262622.000261,decode,2,0,2096,0.0023,0,2,
1784262622.000261,1784262622.007234,decode,2,0,2096,0.0023,0,2,
1784262622.007234,1784262622.013664,decode,2,0,2096,0.0023,0,2,
1784262622.013664,1784262622.020305,decode,2,0,2096,0.0023,0,2,
1784262622.020305,1784262622.027086,decode,2,0,2096,0.0023,0,2,
1784262622.027086,1784262622.033662,decode,2,0,2096,0.0023,0,2,
1784262622.033662,1784262622.040399,decode,2,0,2096,0.0023,0,2,
1784262622.040399,1784262622.046725,decode,2,0,2096,0.0023,0,2,
1784262622.046725,1784262622.053294,decode,2,0,2096,0.0023,0,2,
1784262622.053294,1784262622.060467,decode,2,0,2096,0.0023,0,2,
1784262622.060467,1784262622.066667,decode,2,0,2096,0.0023,0,2,
1784262622.066667,1784262622.073076,decode,2,0,2096,0.0023,0,2,
1784262622.073076,1784262622.079695,decode,2,0,2096,0.0023,0,2,
1784262622.079695,1784262622.086081,decode,2,0,2096,0.0023,0,2,
1784262622.086081,1784262622.092511,decode,2,0,2112,0.0023,0,2,
1784262622.092511,1784262622.099267,decode,2,0,2128,0.0024,0,2,
1784262622.099267,1784262622.105845,decode,2,0,2128,0.0024,0,2,
1784262622.105845,1784262622.111788,decode,2,0,2128,0.0024,0,2,
1784262622.111788,1784262622.118424,decode,2,0,2128,0.0024,0,2,
1784262622.118424,1784262622.124512,decode,2,0,2128,0.0024,0,2,
1784262622.124512,1784262622.131048,decode,2,0,2128,0.0024,0,2,
1784262622.131048,1784262622.137929,decode,2,0,2128,0.0024,0,2,
1784262622.137929,1784262622.143688,decode,2,0,2128,0.0024,0,2,
1784262622.143688,1784262622.150499,decode,2,0,2128,0.0024,0,2,
1784262622.150499,1784262622.156725,decode,2,0,2128,0.0024,0,2,
1784262622.156725,1784262622.163161,decode,2,0,2128,0.0024,0,2,
1784262622.163161,1784262622.170142,decode,2,0,2128,0.0024,0,2,
1784262622.170142,1784262622.176164,decode,2,0,2128,0.0024,0,2,
1784262622.176164,1784262622.182503,decode,2,0,2128,0.0024,0,2,
1784262622.182503,1784262622.189464,decode,2,0,2128,0.0024,0,2,
1784262622.189464,1784262622.195957,decode,2,0,2144,0.0024,0,2,
1784262622.195957,1784262622.201861,decode,2,0,2160,0.0024,0,2,
1784262622.201861,1784262622.208471,decode,2,0,2160,0.0024,0,2,
1784262622.208471,1784262622.214838,decode,2,0,2160,0.0024,0,2,
1784262622.214838,1784262622.221215,decode,2,0,2160,0.0024,0,2,
1784262622.221215,1784262622.228124,decode,2,0,2160,0.0024,0,2,
1784262622.228124,1784262622.234471,decode,2,0,2160,0.0024,0,2,
1784262622.234471,1784262622.240560,decode,2,0,2160,0.0024,0,2,
1784262622.240560,1784262622.247267,decode,2,0,2160,0.0024,0,2,
1784262622.247267,1784262622.253393,decode,2,0,2160,0.0024,0,2,
1784262622.253393,1784262622.259941,decode,2,0,2160,0.0024,0,2,
1784262622.259941,1784262622.266351,decode,2,0,2160,0.0024,0,2,
1784262622.266351,1784262622.272743,decode,2,0,2160,0.0024,0,2,
1784262622.272743,1784262622.279239,decode,2,0,2160,0.0024,0,2,
1784262622.279239,1784262622.286056,decode,2,0,2160,0.0024,0,2,
1784262622.286056,1784262622.291973,decode,2,0,2160,0.0024,0,2,
1784262622.291973,1784262622.298968,decode,2,0,2176,0.0024,0,2,
1784262622.298968,1784262622.305048,decode,2,0,2192,0.0024,0,2,
1784262622.305048,1784262622.311328,decode,2,0,2192,0.0024,0,2,
1784262622.311328,1784262622.318278,decode,2,0,2192,0.0024,0,2,
1784262622.318278,1784262622.324355,decode,2,0,2192,0.0024,0,2,
1784262622.324355,1784262622.331162,decode,2,0,2192,0.0024,0,2,
