t_rel_s,measured_w,predicted_w
0.000,374.66,352.78
0.200,379.98,398.11
0.400,381.23,389.37
0.600,383.48,398.69
0.800,384.27,370.87
1.000,386.41,389.01
1.200,387.72,398.33
1.400,388.01,389.58
1.600,388.23,371.12
1.800,389.41,397.96
2.000,389.70,389.23
2.200,389.21,398.55
2.400,388.81,371.33
2.600,388.80,397.89
2.800,387.97,389.16
3.000,387.94,398.48
3.200,388.04,389.72
3.400,388.14,370.64
3.600,388.38,398.12
3.800,388.68,389.38
4.000,388.93,398.70
4.200,388.82,370.84
4.400,387.87,389.02
4.600,386.62,389.30
4.800,386.49,398.63
5.000,386.81,371.09
5.200,386.08,388.95
5.400,387.87,398.26
5.600,388.70,389.52
5.800,389.59,380.34
6.000,388.69,388.88
6.200,389.09,398.19
6.400,388.36,389.45
6.600,388.54,398.57
6.800,389.17,370.81
7.000,389.82,398.13
7.200,390.45,389.39
7.400,390.92,398.71
7.600,390.68,370.81
7.800,388.82,398.06
8.000,389.40,389.32
8.200,389.00,398.64
8.400,389.56,371.02
8.600,390.32,388.97
8.800,391.61,398.28
9.000,391.12,398.58
9.200,391.74,371.24
9.400,391.28,388.90
9.600,390.44,389.18
9.800,387.82,389.46
10.000,386.06,389.53
10.200,384.00,361.80
10.400,382.38,389.09
10.600,377.60,172.60
10.800,368.98,515.98
11.000,365.04,362.20
11.200,365.55,388.90
11.400,366.64,389.18
11.600,367.88,389.46
11.800,377.93,389.53
12.000,381.57,361.80
12.200,379.90,389.09
12.400,377.69,380.33
12.600,377.49,389.64
12.800,379.81,370.93
13.000,383.16,398.02
13.200,386.75,398.32
13.400,389.87,389.58
13.600,392.41,380.16
13.800,393.01,388.94
14.000,391.16,389.22
14.200,389.91,398.54
14.400,390.23,371.36
14.600,389.36,388.86
14.800,388.66,398.17
15.000,388.98,389.44
15.200,390.15,398.76
15.400,389.59,370.66
15.600,388.87,389.08
15.800,388.80,398.39
16.000,388.91,398.69
16.200,388.55,370.87
16.400,388.79,398.04
16.600,389.85,389.30
16.800,390.54,398.63
17.000,391.57,371.09
17.200,390.09,388.95
17.400,388.86,389.23
17.600,388.88,389.51
17.800,385.89,362.34
18.000,383.32,388.85
18.200,384.00,398.17
18.400,385.02,389.43
18.600,384.69,389.70
18.800,387.85,379.73
19.000,390.43,389.07
19.200,390.58,398.38
19.400,390.87,389.64
19.600,392.08,370.93
19.800,392.54,398.02
20.000,391.06,389.29
20.200,391.51,398.61
20.400,390.72,371.15
20.600,390.43,397.95
20.800,389.34,389.22
21.000,390.84,398.54
21.200,390.84,371.36
21.400,390.13,388.86
21.600,389.91,398.17
21.800,390.30,389.44
22.000,389.91,398.76
22.200,388.71,370.66
22.400,390.05,398.11
22.600,390.40,389.37
22.800,390.65,398.69
23.000,389.86,370.87
23.200,391.12,398.04
23.400,391.52,389.30
23.600,391.78,398.63
23.800,390.83,371.09
24.000,390.54,397.97
24.200,391.21,389.24
24.400,391.11,398.56
24.600,391.13,371.30
24.800,391.44,388.88
25.000,392.43,398.19
25.200,390.73,389.45
25.400,390.67,398.57
25.600,389.96,361.80
25.800,390.42,398.12
26.000,389.60,389.38
26.200,389.24,389.66
26.400,388.98,379.88
26.600,389.26,389.02
26.800,388.04,389.30
27.000,389.03,389.58
27.200,388.36,371.12
27.400,387.37,388.94
27.600,387.26,398.25
27.800,388.81,389.51
28.000,387.24,371.36
28.200,387.39,388.86
28.400,387.89,398.17
28.600,387.70,389.44
28.800,386.49,389.71
29.000,388.22,370.69
29.200,389.26,389.07
29.400,389.95,398.38
29.600,389.62,389.64
29.800,390.20,370.93
30.000,388.44,389.00
30.200,389.01,398.31
30.400,388.49,389.57
30.600,389.25,371.18
30.800,391.52,397.94
31.000,393.84,389.21
31.200,394.85,398.53
31.400,395.79,371.38
31.600,393.82,388.85
31.800,391.31,398.17
32.000,391.94,389.43
32.200,390.60,389.70
32.400,390.13,370.72
32.600,392.29,398.09
32.800,392.51,389.35
33.000,391.01,398.67
33.200,390.85,370.93
33.400,389.96,389.00
33.600,388.60,389.28
33.800,390.19,398.60
34.000,390.16,371.18
34.200,388.41,388.92
34.400,388.51,398.23
34.600,389.27,389.49
34.800,388.47,371.41
35.000,389.11,388.85
35.200,391.83,398.16
35.400,395.24,389.42
35.600,396.40,389.69
35.800,396.55,370.75
36.000,396.06,398.08
36.200,394.73,398.37
36.400,391.74,389.63
36.600,389.75,370.95
36.800,390.03,398.01
37.000,389.69,389.28
37.200,390.73,398.60
37.400,390.65,371.18
37.600,390.80,397.94
37.800,390.87,389.21
38.000,391.01,398.53
38.200,392.38,371.38
38.400,392.77,397.88
38.600,393.65,389.14
38.800,392.56,389.43
39.000,391.86,389.70
39.200,390.45,370.72
39.400,390.52,398.09
39.600,389.45,389.35
39.800,391.16,398.67
40.000,391.77,370.93
40.200,391.55,398.02
40.400,390.80,389.29
40.600,390.69,398.61
40.800,389.98,371.15
41.000,388.86,388.93
41.200,388.61,398.24
41.400,388.53,389.50
41.600,389.22,371.38
41.800,389.58,397.88
42.000,390.48,389.14
42.200,390.40,398.46
42.400,391.28,389.71
42.600,392.18,370.69
42.800,392.03,398.10
43.000,391.34,389.36
43.200,393.02,398.68
43.400,392.92,370.90
43.600,391.60,389.00
43.800,390.36,398.32
44.000,391.18,389.58
44.200,390.27,371.15
44.400,390.10,388.93
44.600,390.76,389.21
44.800,391.31,389.49
44.991,389.05,386.82
