t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784262023.971525,1784262023.971525,mixed,1,0,512,0.0006,512,1,
1784262023.971525,1784262023.986758,decode,1,0,528,0.0006,0,1,
1784262023.986758,1784262023.993280,decode,1,0,528,0.0006,0,1,
1784262023.993280,1784262023.999636,decode,1,0,528,0.0006,0,1,
1784262023.999636,1784262024.006198,decode,1,0,528,0.0006,0,1,
1784262024.006198,1784262024.012710,decode,1,0,528,0.0006,0,1,
1784262024.012710,1784262024.018957,decode,1,0,528,0.0006,0,1,
1784262024.018957,1784262024.025345,decode,1,0,528,0.0006,0,1,
1784262024.025345,1784262024.031785,decode,1,0,528,0.0006,0,1,
1784262024.031785,1784262024.038282,decode,1,0,528,0.0006,0,1,
1784262024.038282,1784262024.044539,decode,1,0,528,0.0006,0,1,
1784262024.044539,1784262024.050804,decode,1,0,528,0.0006,0,1,
1784262024.050804,1784262024.057112,decode,1,0,528,0.0006,0,1,
1784262024.057112,1784262024.063477,decode,1,0,528,0.0006,0,1,
1784262024.063477,1784262024.069716,decode,1,0,528,0.0006,0,1,
1784262024.069716,1784262024.076128,decode,1,0,528,0.0006,0,1,
1784262024.076128,1784262024.082712,decode,1,0,528,0.0006,0,1,
1784262024.082712,1784262024.088778,decode,1,0,544,0.0006,0,1,
1784262024.088778,1784262024.095201,decode,1,0,544,0.0006,0,1,
1784262024.095201,1784262024.101738,decode,1,0,544,0.0006,0,1,
1784262024.101738,1784262024.107756,decode,1,0,544,0.0006,0,1,
1784262024.107756,1784262024.114073,decode,1,0,544,0.0006,0,1,
1784262024.114073,1784262024.120425,decode,1,0,544,0.0006,0,1,
1784262024.120425,1784262024.126617,decode,1,0,544,0.0006,0,1,
1784262024.126617,1784262024.133310,decode,1,0,544,0.0006,0,1,
1784262024.133310,1784262024.139275,decode,1,0,544,0.0006,0,1,
1784262024.139275,1784262024.145509,decode,1,0,544,0.0006,0,1,
1784262024.145509,1784262024.152272,decode,1,0,544,0.0006,0,1,
1784262024.152272,1784262024.158124,decode,1,0,544,0.0006,0,1,
1784262024.158124,1784262024.164450,decode,1,0,544,0.0006,0,1,
1784262024.164450,1784262024.170873,decode,1,0,544,0.0006,0,1,
1784262024.170873,1784262024.177207,decode,1,0,544,0.0006,0,1,
1784262024.177207,1784262024.183774,decode,1,0,544,0.0006,0,1,
1784262024.183774,1784262024.189894,decode,1,0,560,0.0006,0,1,
1784262024.189894,1784262024.196246,decode,1,0,560,0.0006,0,1,
1784262024.196246,1784262024.202542,decode,1,0,560,0.0006,0,1,
1784262024.202542,1784262024.208841,decode,1,0,560,0.0006,0,1,
1784262024.208841,1784262024.215123,decode,1,0,560,0.0006,0,1,
1784262024.215123,1784262024.221502,decode,1,0,560,0.0006,0,1,
1784262024.221502,1784262024.228075,decode,1,0,560,0.0006,0,1,
1784262024.228075,1784262024.234076,decode,1,0,560,0.0006,0,1,
1784262024.234076,1784262024.240346,decode,1,0,560,0.0006,0,1,
1784262024.240346,1784262024.246825,decode,1,0,560,0.0006,0,1,
1784262024.246825,1784262024.253159,decode,1,0,560,0.0006,0,1,
1784262024.253159,1784262024.259269,decode,1,0,560,0.0006,0,1,
1784262024.259269,1784262024.265748,decode,1,0,560,0.0006,0,1,
1784262024.265748,1784262024.271810,decode,1,0,560,0.0006,0,1,
1784262024.271810,1784262024.278400,decode,1,0,560,0.0006,0,1,
1784262024.278400,1784262024.284653,decode,1,0,560,0.0006,0,1,
1784262024.284653,1784262024.291295,decode,1,0,576,0.0006,0,1,
1784262024.291295,1784262024.297309,decode,1,0,576,0.0006,0,1,
1784262024.297309,1784262024.303965,decode,1,0,576,0.0006,0,1,
1784262024.303965,1784262024.309986,decode,1,0,576,0.0006,0,1,
1784262024.309986,1784262024.316180,decode,1,0,576,0.0006,0,1,
1784262024.316180,1784262024.322635,decode,1,0,576,0.0006,0,1,
1784262024.322635,1784262024.328985,decode,1,0,576,0.0006,0,1,
1784262024.328985,1784262024.335311,decode,1,0,576,0.0006,0,1,
1784262024.335311,1784262024.341569,decode,1,0,576,0.0006,0,1,
1784262024.341569,1784262024.347958,decode,1,0,576,0.0006,0,1,
1784262024.347958,1784262024.354264,decode,1,0,576,0.0006,0,1,
1784262024.354264,1784262024.360609,decode,1,0,576,0.0006,0,1,
1784262024.360609,1784262024.366914,decode,1,0,576,0.0006,0,1,
1784262024.366914,1784262024.373288,decode,1,0,576,0.0006,0,1,
1784262024.373288,1784262024.379617,decode,1,0,576,0.0006,0,1,
1784262024.379617,1784262024.385942,decode,1,0,576,0.0006,0,1,
1784262024.385942,1784262024.392245,decode,1,0,592,0.0007,0,1,
1784262024.392245,1784262024.398489,decode,1,0,592,0.0007,0,1,
1784262024.398489,1784262024.404794,decode,1,0,592,0.0007,0,1,
1784262024.404794,1784262024.411426,decode,1,0,592,0.0007,0,1,
1784262024.411426,1784262024.417361,decode,1,0,592,0.0007,0,1,
1784262024.417361,1784262024.423687,decode,1,0,592,0.0007,0,1,
1784262024.423687,1784262024.430070,decode,1,0,592,0.0007,0,1,
1784262024.430070,1784262024.436480,decode,1,0,592,0.0007,0,1,
1784262024.436480,1784262024.442758,decode,1,0,592,0.0007,0,1,
1784262024.442758,1784262024.449061,decode,1,0,592,0.0007,0,1,
1784262024.449061,1784262024.455380,decode,1,0,592,0.0007,0,1,
1784262024.455380,1784262024.461622,decode,1,0,592,0.0007,0,1,
1784262024.461622,1784262024.468102,decode,1,0,592,0.0007,0,1,
1784262024.468102,1784262024.474338,decode,1,0,592,0.0007,0,1,
1784262024.474338,1784262024.480590,decode,1,0,592,0.0007,0,1,
1784262024.480590,1784262024.486951,decode,1,0,592,0.0007,0,1,
1784262024.486951,1784262024.493214,decode,1,0,608,0.0007,0,1,
1784262024.493214,1784262024.499514,decode,1,0,608,0.0007,0,1,
1784262024.499514,1784262024.506075,decode,1,0,608,0.0007,0,1,
1784262024.506075,1784262024.512068,decode,1,0,608,0.0007,0,1,
1784262024.512068,1784262024.518361,decode,1,0,608,0.0007,0,1,
1784262024.518361,1784262024.524616,decode,1,0,608,0.0007,0,1,
1784262024.524616,1784262024.530950,decode,1,0,608,0.0007,0,1,
1784262024.530950,1784262024.537285,decode,1,0,608,0.0007,0,1,
1784262024.537285,1784262024.543745,decode,1,0,608,0.0007,0,1,
1784262024.543745,1784262024.549845,decode,1,0,608,0.0007,0,1,
1784262024.549845,1784262024.556097,decode,1,0,608,0.0007,0,1,
1784262024.556097,1784262024.562402,decode,1,0,608,0.0007,0,1,
1784262024.562402,1784262024.568743,decode,1,0,608,0.0007,0,1,
1784262024.568743,1784262024.575259,decode,1,0,608,0.0007,0,1,
1784262024.575259,1784262024.581398,decode,1,0,608,0.0007,0,1,
1784262024.581398,1784262024.588072,decode,1,0,608,0.0007,0,1,
1784262024.588072,1784262024.594047,decode,1,0,624,0.0007,0,1,
1784262024.594047,1784262024.600335,decode,1,0,624,0.0007,0,1,
1784262024.600335,1784262024.606637,decode,1,0,624,0.0007,0,1,
1784262024.606637,1784262024.612951,decode,1,0,624,0.0007,0,1,
1784262024.612951,1784262024.619297,decode,1,0,624,0.0007,0,1,
1784262024.619297,1784262024.625737,decode,1,0,624,0.0007,0,1,
1784262024.625737,1784262024.631877,decode,1,0,624,0.0007,0,1,
1784262024.631877,1784262024.638506,decode,1,0,624,0.0007,0,1,
1784262024.638506,1784262024.644705,decode,1,0,624,0.0007,0,1,
1784262024.644705,1784262024.651136,decode,1,0,624,0.0007,0,1,
1784262024.651136,1784262024.657666,decode,1,0,624,0.0007,0,1,
