t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784262023.936626,150.664,1980,3201,0.0,0.0,36.0
1784262023.946695,150.664,1980,3201,0.0,0.0,36.0
1784262023.956703,150.664,1980,3201,0.0,0.0,36.0
1784262023.966736,150.664,1980,3201,0.0,0.0,36.0
1784262023.976703,150.664,1980,3201,0.0,0.0,36.0
1784262023.986977,150.664,1980,3201,0.0,0.0,36.0
1784262023.996703,150.664,1980,3201,0.0,0.0,36.0
1784262024.006701,150.664,1980,3201,0.0,0.0,36.0
1784262024.016701,167.393,1980,3201,0.0,0.0,36.0
1784262024.026699,167.393,1980,3201,0.0,0.0,36.0
1784262024.036702,167.393,1980,3201,0.0,0.0,36.0
1784262024.046700,167.393,1980,3201,0.0,0.0,36.0
1784262024.056741,167.393,1980,3201,0.0,0.0,36.0
1784262024.066716,167.393,1980,3201,0.0,0.0,36.0
1784262024.076700,167.393,1980,3201,0.0,0.0,36.0
1784262024.086699,167.393,1980,3201,0.0,0.0,36.0
1784262024.096699,167.393,1980,3201,0.0,0.0,36.0
1784262024.106700,167.393,1980,3201,0.0,0.0,36.0
1784262024.116699,193.529,1980,3201,0.0,0.0,38.0
1784262024.126710,193.529,1980,3201,0.0,0.0,38.0
1784262024.136699,193.529,1980,3201,0.0,0.0,38.0
1784262024.146699,193.529,1980,3201,0.0,0.0,38.0
1784262024.156703,193.529,1980,3201,0.0,0.0,38.0
1784262024.166701,193.529,1980,3201,0.0,0.0,38.0
1784262024.176701,193.529,1980,3201,0.0,0.0,38.0
1784262024.186699,193.529,1980,3201,0.0,0.0,38.0
1784262024.196700,193.529,1980,3201,0.0,0.0,38.0
1784262024.206698,193.529,1980,3201,0.0,0.0,38.0
1784262024.216698,218.522,1980,3201,86.0,64.0,39.0
1784262024.226700,218.522,1980,3201,86.0,64.0,39.0
1784262024.236699,218.522,1980,3201,86.0,64.0,39.0
1784262024.246984,218.522,1980,3201,86.0,64.0,39.0
1784262024.256753,218.522,1980,3201,86.0,64.0,39.0
1784262024.266699,218.522,1980,3201,86.0,64.0,39.0
1784262024.276704,218.522,1980,3201,86.0,64.0,39.0
1784262024.286698,218.522,1980,3201,86.0,64.0,39.0
1784262024.296698,218.522,1980,3201,86.0,64.0,39.0
1784262024.306698,218.522,1980,3201,86.0,64.0,39.0
1784262024.316697,225.487,1980,3201,86.0,64.0,39.0
1784262024.326698,225.487,1980,3201,86.0,64.0,39.0
1784262024.336695,225.487,1980,3201,86.0,64.0,39.0
1784262024.346700,225.487,1980,3201,86.0,64.0,39.0
1784262024.356700,225.487,1980,3201,86.0,64.0,39.0
1784262024.366993,225.487,1980,3201,86.0,64.0,39.0
1784262024.376699,225.487,1980,3201,86.0,64.0,39.0
1784262024.386695,225.487,1980,3201,86.0,64.0,39.0
1784262024.396698,225.487,1980,3201,86.0,64.0,39.0
1784262024.406699,225.487,1980,3201,86.0,64.0,39.0
1784262024.416706,233.910,1980,3201,86.0,63.0,39.0
1784262024.426703,233.910,1980,3201,86.0,63.0,39.0
1784262024.436692,233.910,1980,3201,86.0,63.0,39.0
1784262024.446698,233.910,1980,3201,86.0,63.0,39.0
1784262024.456699,233.910,1980,3201,86.0,63.0,39.0
1784262024.466699,233.910,1980,3201,86.0,63.0,39.0
1784262024.476706,233.910,1980,3201,86.0,63.0,39.0
1784262024.487215,233.910,1980,3201,86.0,63.0,39.0
1784262024.496699,233.910,1980,3201,86.0,63.0,39.0
1784262024.506694,233.910,1980,3201,86.0,63.0,39.0
1784262024.516698,260.851,1980,3201,86.0,63.0,39.0
1784262024.526698,260.851,1980,3201,86.0,63.0,39.0
1784262024.536698,260.851,1980,3201,86.0,63.0,39.0
1784262024.546698,260.851,1980,3201,86.0,63.0,39.0
1784262024.556692,260.851,1980,3201,86.0,63.0,39.0
1784262024.566699,260.851,1980,3201,86.0,63.0,39.0
1784262024.576699,260.851,1980,3201,86.0,63.0,39.0
1784262024.586698,260.851,1980,3201,86.0,63.0,39.0
1784262024.596704,260.851,1980,3201,86.0,63.0,39.0
1784262024.606928,260.851,1980,3201,86.0,63.0,39.0
1784262024.616698,286.532,1980,3201,86.0,63.0,40.0
1784262024.626702,286.532,1980,3201,86.0,63.0,40.0
1784262024.636700,286.532,1980,3201,86.0,63.0,40.0
1784262024.646698,286.532,1980,3201,86.0,63.0,40.0
1784262024.656704,286.532,1980,3201,86.0,63.0,40.0
1784262024.666698,286.532,1980,3201,86.0,63.0,40.0
1784262024.676706,286.532,1980,3201,86.0,63.0,40.0
1784262024.686698,286.532,1980,3201,86.0,63.0,40.0
1784262024.696700,286.532,1980,3201,86.0,63.0,40.0
1784262024.706698,286.532,1980,3201,86.0,63.0,40.0
1784262024.716720,311.677,1980,3201,86.0,63.0,40.0
1784262024.726696,311.677,1980,3201,86.0,63.0,40.0
1784262024.736699,311.677,1980,3201,86.0,63.0,40.0
1784262024.746743,311.677,1980,3201,86.0,63.0,40.0
1784262024.756698,311.677,1980,3201,86.0,63.0,40.0
1784262024.766702,311.677,1980,3201,86.0,63.0,40.0
1784262024.776699,311.677,1980,3201,86.0,63.0,40.0
1784262024.786700,311.677,1980,3201,86.0,63.0,40.0
1784262024.796698,311.677,1980,3201,86.0,63.0,40.0
1784262024.806700,311.677,1980,3201,86.0,63.0,40.0
1784262024.816720,331.676,1980,3201,86.0,63.0,40.0
1784262024.826699,331.676,1980,3201,86.0,63.0,40.0
1784262024.836699,331.676,1980,3201,86.0,63.0,40.0
1784262024.846699,331.676,1980,3201,86.0,63.0,40.0
1784262024.856881,331.676,1980,3201,86.0,63.0,40.0
1784262024.866699,331.676,1980,3201,86.0,63.0,40.0
1784262024.876702,331.676,1980,3201,86.0,63.0,40.0
1784262024.886701,331.676,1980,3201,86.0,63.0,40.0
1784262024.896699,331.676,1980,3201,86.0,63.0,40.0
1784262024.906700,331.676,1980,3201,86.0,63.0,40.0
1784262024.916699,355.615,1980,3201,86.0,63.0,40.0
1784262024.926695,355.615,1980,3201,86.0,63.0,40.0
1784262024.936722,355.615,1980,3201,86.0,63.0,40.0
1784262024.946701,355.615,1980,3201,86.0,63.0,40.0
1784262024.956702,355.615,1980,3201,86.0,63.0,40.0
1784262024.966723,355.615,1980,3201,86.0,63.0,40.0
1784262024.976787,355.615,1980,3201,86.0,63.0,40.0
1784262024.986698,355.615,1980,3201,86.0,63.0,40.0
1784262024.996697,355.615,1980,3201,86.0,63.0,40.0
1784262025.006701,355.615,1980,3201,86.0,63.0,40.0
1784262025.016699,367.930,1980,3201,86.0,63.0,40.0
1784262025.026696,367.930,1980,3201,86.0,63.0,40.0
1784262025.036699,367.930,1980,3201,86.0,63.0,40.0
1784262025.046699,367.930,1980,3201,86.0,63.0,40.0
1784262025.056710,367.930,1980,3201,86.0,63.0,40.0
1784262025.066786,367.930,1980,3201,86.0,63.0,40.0
1784262025.076699,367.930,1980,3201,86.0,63.0,40.0
1784262025.086712,367.930,1980,3201,86.0,63.0,40.0
1784262025.096766,367.930,1980,3201,86.0,63.0,40.0
1784262025.106740,367.930,1980,3201,86.0,63.0,40.0
1784262025.116698,368.163,1980,3201,86.0,63.0,40.0
1784262025.126750,368.163,1980,3201,86.0,63.0,40.0
1784262025.136704,368.163,1980,3201,86.0,63.0,40.0
1784262025.146723,368.163,1980,3201,86.0,63.0,40.0
1784262025.156744,368.163,1980,3201,86.0,63.0,40.0
1784262025.166702,368.163,1980,3201,86.0,63.0,40.0
1784262025.176703,368.163,1980,3201,86.0,63.0,40.0
1784262025.186699,368.163,1980,3201,86.0,63.0,40.0
1784262025.197259,368.163,1980,3201,86.0,63.0,40.0
1784262025.206699,368.163,1980,3201,86.0,63.0,40.0
1784262025.216695,368.611,1980,3201,86.0,63.0,40.0
1784262025.226699,368.611,1980,3201,86.0,63.0,40.0
1784262025.236705,368.611,1980,3201,86.0,63.0,40.0
1784262025.246698,368.611,1980,3201,86.0,63.0,40.0
1784262025.256698,368.611,1980,3201,86.0,63.0,40.0
1784262025.266700,368.611,1980,3201,86.0,63.0,40.0
1784262025.276699,368.611,1980,3201,86.0,63.0,40.0
1784262025.286699,368.611,1980,3201,86.0,63.0,40.0
1784262025.296697,368.611,1980,3201,86.0,63.0,40.0
1784262025.306698,368.611,1980,3201,86.0,63.0,40.0
1784262025.316699,368.752,1980,3201,86.0,63.0,40.0
1784262025.326702,368.752,1980,3201,86.0,63.0,40.0
1784262025.336700,368.752,1980,3201,86.0,63.0,40.0
1784262025.346700,368.752,1980,3201,86.0,63.0,40.0
1784262025.356699,368.752,1980,3201,86.0,63.0,40.0
1784262025.366699,368.752,1980,3201,86.0,63.0,40.0
1784262025.376693,368.752,1980,3201,86.0,63.0,40.0
1784262025.386699,368.752,1980,3201,86.0,63.0,40.0
1784262025.396703,368.752,1980,3201,86.0,63.0,40.0
1784262025.406698,368.752,1980,3201,86.0,63.0,40.0
1784262025.416699,368.820,1980,3201,88.0,65.0,40.0
1784262025.426911,368.820,1980,3201,88.0,65.0,40.0
1784262025.436717,368.820,1980,3201,88.0,65.0,40.0
1784262025.446702,368.820,1980,3201,88.0,65.0,40.0
1784262025.456717,368.820,1980,3201,88.0,65.0,40.0
1784262025.466700,368.820,1980,3201,88.0,65.0,40.0
1784262025.476927,368.820,1980,3201,88.0,65.0,40.0
1784262025.486700,368.820,1980,3201,88.0,65.0,40.0
1784262025.496699,368.820,1980,3201,88.0,65.0,40.0
1784262025.506699,368.820,1980,3201,88.0,65.0,40.0
1784262025.516698,370.189,1980,3201,88.0,65.0,40.0
1784262025.526694,370.189,1980,3201,88.0,65.0,40.0
1784262025.536701,370.189,1980,3201,88.0,65.0,40.0
1784262025.546698,370.189,1980,3201,88.0,65.0,40.0
1784262025.556697,370.189,1980,3201,88.0,65.0,40.0
1784262025.566698,370.189,1980,3201,88.0,65.0,40.0
1784262025.576698,370.189,1980,3201,88.0,65.0,40.0
1784262025.586699,370.189,1980,3201,88.0,65.0,40.0
1784262025.596699,370.189,1980,3201,88.0,65.0,40.0
1784262025.606698,370.189,1980,3201,88.0,65.0,40.0
1784262025.616698,369.456,1980,3201,88.0,64.0,40.0
1784262025.626698,369.456,1980,3201,88.0,64.0,40.0
1784262025.636703,369.456,1980,3201,88.0,64.0,40.0
1784262025.646948,369.456,1980,3201,88.0,64.0,40.0
1784262025.656699,369.456,1980,3201,88.0,64.0,40.0
1784262025.666698,369.456,1980,3201,88.0,64.0,40.0
1784262025.676698,369.456,1980,3201,88.0,64.0,40.0
1784262025.686699,369.456,1980,3201,88.0,64.0,40.0
1784262025.696698,369.456,1980,3201,88.0,64.0,40.0
1784262025.706698,369.456,1980,3201,88.0,64.0,40.0
1784262025.716703,369.719,1980,3201,88.0,64.0,40.0
1784262025.726698,369.719,1980,3201,88.0,64.0,40.0
1784262025.736703,369.719,1980,3201,88.0,64.0,40.0
1784262025.746797,369.719,1980,3201,88.0,64.0,40.0
1784262025.756700,369.719,1980,3201,88.0,64.0,40.0
1784262025.766744,369.719,1980,3201,88.0,64.0,40.0
1784262025.776696,369.719,1980,3201,88.0,64.0,40.0
1784262025.786699,369.719,1980,3201,88.0,64.0,40.0
1784262025.796699,369.719,1980,3201,88.0,64.0,40.0
1784262025.806698,369.719,1980,3201,88.0,64.0,40.0
1784262025.816700,370.227,1980,3201,88.0,65.0,40.0
1784262025.826694,370.227,1980,3201,88.0,65.0,40.0
1784262025.836698,370.227,1980,3201,88.0,65.0,40.0
1784262025.846699,370.227,1980,3201,88.0,65.0,40.0
1784262025.856702,370.227,1980,3201,88.0,65.0,40.0
1784262025.866776,370.227,1980,3201,88.0,65.0,40.0
1784262025.876912,370.227,1980,3201,88.0,65.0,40.0
1784262025.886698,370.227,1980,3201,88.0,65.0,40.0
1784262025.896698,370.227,1980,3201,88.0,65.0,40.0
1784262025.906698,370.227,1980,3201,88.0,65.0,40.0
1784262025.916699,372.477,1980,3201,88.0,65.0,40.0
1784262025.926698,372.477,1980,3201,88.0,65.0,40.0
1784262025.936699,372.477,1980,3201,88.0,65.0,40.0
1784262025.946698,372.477,1980,3201,88.0,65.0,40.0
1784262025.956698,372.477,1980,3201,88.0,65.0,40.0
1784262025.966757,372.477,1980,3201,88.0,65.0,40.0
1784262025.976700,372.477,1980,3201,88.0,65.0,40.0
1784262025.986703,372.477,1980,3201,88.0,65.0,40.0
1784262025.996700,372.477,1980,3201,88.0,65.0,40.0
1784262026.006699,372.477,1980,3201,88.0,65.0,40.0
1784262026.016698,372.967,1980,3201,87.0,64.0,40.0
1784262026.026703,372.967,1980,3201,87.0,64.0,40.0
1784262026.036698,372.967,1980,3201,87.0,64.0,40.0
1784262026.046699,372.967,1980,3201,87.0,64.0,40.0
1784262026.056701,372.967,1980,3201,87.0,64.0,40.0
1784262026.066699,372.967,1980,3201,87.0,64.0,40.0
1784262026.076702,372.967,1980,3201,87.0,64.0,40.0
1784262026.086698,372.967,1980,3201,87.0,64.0,40.0
1784262026.096699,372.967,1980,3201,87.0,64.0,40.0
1784262026.106916,372.967,1980,3201,87.0,64.0,40.0
1784262026.116698,373.402,1980,3201,87.0,64.0,41.0
