t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784261935.872249,152.441,1980,3201,0.0,0.0,36.0
1784261935.882321,152.441,1980,3201,0.0,0.0,36.0
1784261935.892318,152.441,1980,3201,0.0,0.0,36.0
1784261935.902321,152.441,1980,3201,0.0,0.0,36.0
1784261935.912319,152.441,1980,3201,0.0,0.0,36.0
1784261935.922316,151.835,1980,3201,0.0,0.0,36.0
1784261935.932320,151.835,1980,3201,0.0,0.0,36.0
1784261935.942321,151.835,1980,3201,0.0,0.0,36.0
1784261935.952319,151.835,1980,3201,0.0,0.0,36.0
1784261935.962320,151.835,1980,3201,0.0,0.0,36.0
1784261935.972320,151.835,1980,3201,0.0,0.0,36.0
1784261935.982322,151.835,1980,3201,0.0,0.0,36.0
1784261935.992321,151.835,1980,3201,0.0,0.0,36.0
1784261936.002323,151.835,1980,3201,0.0,0.0,36.0
1784261936.012322,151.835,1980,3201,0.0,0.0,36.0
1784261936.022323,151.802,1980,3201,0.0,0.0,36.0
1784261936.032323,151.802,1980,3201,0.0,0.0,36.0
1784261936.042322,151.802,1980,3201,0.0,0.0,36.0
1784261936.052324,151.802,1980,3201,0.0,0.0,36.0
1784261936.062322,151.802,1980,3201,0.0,0.0,36.0
1784261936.072322,151.802,1980,3201,0.0,0.0,36.0
1784261936.082323,151.802,1980,3201,0.0,0.0,36.0
1784261936.092322,151.802,1980,3201,0.0,0.0,36.0
1784261936.102324,151.802,1980,3201,0.0,0.0,36.0
1784261936.112322,151.802,1980,3201,0.0,0.0,36.0
1784261936.122322,151.778,1980,3201,0.0,0.0,36.0
1784261936.132322,151.778,1980,3201,0.0,0.0,36.0
1784261936.142322,151.778,1980,3201,0.0,0.0,36.0
1784261936.152322,151.778,1980,3201,0.0,0.0,36.0
1784261936.162323,151.778,1980,3201,0.0,0.0,36.0
1784261936.172321,151.778,1980,3201,0.0,0.0,36.0
1784261936.182323,151.778,1980,3201,0.0,0.0,36.0
1784261936.192341,151.778,1980,3201,0.0,0.0,36.0
1784261936.202335,151.778,1980,3201,0.0,0.0,36.0
1784261936.212322,151.778,1980,3201,0.0,0.0,36.0
1784261936.222322,143.130,1980,3201,0.0,0.0,36.0
1784261936.232322,143.130,1980,3201,0.0,0.0,36.0
1784261936.242321,143.130,1980,3201,0.0,0.0,36.0
1784261936.252366,143.130,1980,3201,0.0,0.0,36.0
1784261936.262321,143.130,1980,3201,0.0,0.0,36.0
1784261936.272322,143.130,1980,3201,0.0,0.0,36.0
1784261936.282322,143.130,1980,3201,0.0,0.0,36.0
1784261936.292321,143.130,1980,3201,0.0,0.0,36.0
1784261936.302323,143.130,1980,3201,0.0,0.0,36.0
1784261936.312321,143.130,1980,3201,0.0,0.0,36.0
1784261936.322325,118.356,1980,3201,0.0,0.0,36.0
1784261936.332322,118.356,1980,3201,0.0,0.0,36.0
1784261936.342322,118.356,1980,3201,0.0,0.0,36.0
1784261936.352326,118.356,1980,3201,0.0,0.0,36.0
1784261936.362323,118.356,1980,3201,0.0,0.0,36.0
1784261936.372321,118.356,1980,3201,0.0,0.0,36.0
1784261936.382322,118.356,1980,3201,0.0,0.0,36.0
1784261936.392323,118.356,1980,3201,0.0,0.0,36.0
1784261936.402324,118.356,1980,3201,0.0,0.0,36.0
1784261936.412322,118.356,1980,3201,0.0,0.0,36.0
1784261936.422324,118.433,1980,3201,0.0,0.0,36.0
1784261936.432325,118.433,1980,3201,0.0,0.0,36.0
1784261936.442324,118.433,1980,3201,0.0,0.0,36.0
1784261936.452322,118.433,1980,3201,0.0,0.0,36.0
1784261936.462323,118.433,1980,3201,0.0,0.0,36.0
1784261936.472322,118.433,1980,3201,0.0,0.0,36.0
1784261936.482361,118.433,1980,3201,0.0,0.0,36.0
1784261936.492325,118.433,1980,3201,0.0,0.0,36.0
1784261936.502322,118.433,1980,3201,0.0,0.0,36.0
1784261936.512323,118.433,1980,3201,0.0,0.0,36.0
1784261936.522322,118.496,1980,3201,0.0,0.0,36.0
1784261936.532317,118.496,1980,3201,0.0,0.0,36.0
1784261936.542356,118.496,1980,3201,0.0,0.0,36.0
1784261936.552316,118.496,1980,3201,0.0,0.0,36.0
1784261936.562317,118.496,1980,3201,0.0,0.0,36.0
1784261936.572316,118.496,1980,3201,0.0,0.0,36.0
1784261936.582319,118.496,1980,3201,0.0,0.0,36.0
1784261936.592319,118.496,1980,3201,0.0,0.0,36.0
1784261936.602318,118.496,1980,3201,0.0,0.0,36.0
1784261936.612317,118.496,1980,3201,0.0,0.0,36.0
1784261936.622317,118.575,1980,3201,0.0,0.0,36.0
1784261936.632317,118.575,1980,3201,0.0,0.0,36.0
1784261936.642318,118.575,1980,3201,0.0,0.0,36.0
1784261936.652318,118.575,1980,3201,0.0,0.0,36.0
1784261936.662316,118.575,1980,3201,0.0,0.0,36.0
1784261936.672317,118.575,1980,3201,0.0,0.0,36.0
1784261936.682316,118.575,1980,3201,0.0,0.0,36.0
1784261936.692316,118.575,1980,3201,0.0,0.0,36.0
1784261936.702316,118.575,1980,3201,0.0,0.0,36.0
1784261936.712317,118.575,1980,3201,0.0,0.0,36.0
1784261936.722317,118.602,1980,3201,0.0,0.0,36.0
1784261936.732316,118.602,1980,3201,0.0,0.0,36.0
1784261936.742316,118.602,1980,3201,0.0,0.0,36.0
1784261936.752316,118.602,1980,3201,0.0,0.0,36.0
1784261936.762317,118.602,1980,3201,0.0,0.0,36.0
1784261936.772417,118.602,1980,3201,0.0,0.0,36.0
1784261936.782325,118.602,1980,3201,0.0,0.0,36.0
1784261936.792323,118.602,1980,3201,0.0,0.0,36.0
1784261936.802325,118.602,1980,3201,0.0,0.0,36.0
1784261936.812317,118.602,1980,3201,0.0,0.0,36.0
1784261936.822325,118.645,1980,3201,0.0,0.0,36.0
1784261936.832322,118.645,1980,3201,0.0,0.0,36.0
1784261936.842324,118.645,1980,3201,0.0,0.0,36.0
1784261936.852318,118.645,1980,3201,0.0,0.0,36.0
1784261936.862321,118.645,1980,3201,0.0,0.0,36.0
