t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784261980.199972,150.651,1980,3201,0.0,0.0,35.0
1784261980.210037,150.651,1980,3201,0.0,0.0,35.0
1784261980.220045,150.651,1980,3201,0.0,0.0,35.0
1784261980.230167,150.651,1980,3201,0.0,0.0,35.0
1784261980.240043,150.651,1980,3201,0.0,0.0,35.0
1784261980.250045,150.767,1980,3201,0.0,0.0,35.0
1784261980.260047,150.767,1980,3201,0.0,0.0,35.0
1784261980.270047,150.767,1980,3201,0.0,0.0,35.0
1784261980.280046,150.767,1980,3201,0.0,0.0,35.0
1784261980.290043,150.767,1980,3201,0.0,0.0,35.0
1784261980.300047,150.767,1980,3201,0.0,0.0,35.0
1784261980.310046,150.767,1980,3201,0.0,0.0,35.0
1784261980.320043,150.767,1980,3201,0.0,0.0,35.0
1784261980.330047,150.767,1980,3201,0.0,0.0,35.0
1784261980.340043,150.767,1980,3201,0.0,0.0,35.0
1784261980.350043,187.237,1890,3201,45.0,15.0,42.0
1784261980.360047,187.237,1890,3201,45.0,15.0,42.0
1784261980.370046,187.237,1890,3201,45.0,15.0,42.0
1784261980.380047,187.237,1890,3201,45.0,15.0,42.0
1784261980.390046,187.237,1890,3201,45.0,15.0,42.0
1784261980.400047,187.237,1890,3201,45.0,15.0,42.0
1784261980.410879,187.237,1890,3201,45.0,15.0,42.0
1784261980.420045,187.237,1890,3201,45.0,15.0,42.0
1784261980.430045,187.237,1890,3201,45.0,15.0,42.0
1784261980.440045,187.237,1890,3201,45.0,15.0,42.0
1784261980.450047,193.766,1965,3201,45.0,15.0,37.0
1784261980.460051,193.766,1965,3201,45.0,15.0,37.0
1784261980.470045,193.766,1965,3201,45.0,15.0,37.0
1784261980.480153,193.766,1965,3201,45.0,15.0,37.0
1784261980.490047,193.766,1965,3201,45.0,15.0,37.0
1784261980.500129,193.766,1965,3201,45.0,15.0,37.0
1784261980.510045,193.766,1965,3201,45.0,15.0,37.0
1784261980.520045,193.766,1965,3201,45.0,15.0,37.0
1784261980.531332,193.766,1965,3201,45.0,15.0,37.0
1784261980.540063,193.766,1965,3201,45.0,15.0,37.0
1784261980.550047,211.148,1965,3201,43.0,29.0,38.0
1784261980.560045,211.148,1965,3201,43.0,29.0,38.0
1784261980.570042,211.148,1965,3201,43.0,29.0,38.0
1784261980.580045,211.148,1965,3201,43.0,29.0,38.0
1784261980.590042,211.148,1965,3201,43.0,29.0,38.0
1784261980.600048,211.148,1965,3201,43.0,29.0,38.0
1784261980.610045,211.148,1965,3201,43.0,29.0,38.0
1784261980.620046,211.148,1965,3201,43.0,29.0,38.0
1784261980.630045,211.148,1965,3201,43.0,29.0,38.0
1784261980.640046,211.148,1965,3201,43.0,29.0,38.0
