t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784041958.622442,1784041958.622442,mixed,1,0,2048,0.0022,2048,1,
1784041958.622442,1784041958.646333,mixed,16,0,2304,0.0025,30720,16,
1784041958.646333,1784041958.659651,decode,16,0,2544,0.0028,0,16,
1784041958.659651,1784041958.666574,decode,16,0,2544,0.0028,0,16,
1784041958.666574,1784041958.673490,decode,16,0,2544,0.0028,0,16,
1784041958.673490,1784041958.680425,decode,16,0,2544,0.0028,0,16,
1784041958.680425,1784041958.687263,decode,16,0,2544,0.0028,0,16,
1784041958.687263,1784041958.694074,decode,16,0,2544,0.0028,0,16,
1784041958.694074,1784041958.701018,decode,16,0,2544,0.0028,0,16,
1784041958.701018,1784041958.707886,decode,16,0,2544,0.0028,0,16,
1784041958.707886,1784041958.714566,decode,16,0,2544,0.0028,0,16,
1784041958.714566,1784041958.721664,decode,16,0,2544,0.0028,0,16,
1784041958.721664,1784041958.728535,decode,16,0,2544,0.0028,0,16,
1784041958.728535,1784041958.735609,decode,16,0,2544,0.0028,0,16,
1784041958.735609,1784041958.742365,decode,16,0,2544,0.0028,0,16,
1784041958.742365,1784041958.749231,decode,16,0,2544,0.0028,0,16,
1784041958.749231,1784041958.756146,decode,16,0,2544,0.0028,0,16,
1784041958.756146,1784041958.762913,decode,16,0,2560,0.0028,0,16,
1784041958.762913,1784041958.769852,decode,16,0,2800,0.0031,0,16,
1784041958.769852,1784041958.776690,decode,16,0,2800,0.0031,0,16,
1784041958.776690,1784041958.783512,decode,16,0,2800,0.0031,0,16,
1784041958.783512,1784041958.790343,decode,16,0,2800,0.0031,0,16,
1784041958.790343,1784041958.797249,decode,16,0,2800,0.0031,0,16,
1784041958.797249,1784041958.804048,decode,16,0,2800,0.0031,0,16,
1784041958.804048,1784041958.810890,decode,16,0,2800,0.0031,0,16,
1784041958.810890,1784041958.817761,decode,16,0,2800,0.0031,0,16,
1784041958.817761,1784041958.824599,decode,16,0,2800,0.0031,0,16,
1784041958.824599,1784041958.831457,decode,16,0,2800,0.0031,0,16,
1784041958.831457,1784041958.838282,decode,16,0,2800,0.0031,0,16,
1784041958.838282,1784041958.845032,decode,16,0,2800,0.0031,0,16,
1784041958.845032,1784041958.851919,decode,16,0,2800,0.0031,0,16,
1784041958.851919,1784041958.858875,decode,16,0,2800,0.0031,0,16,
1784041958.858875,1784041958.865752,decode,16,0,2800,0.0031,0,16,
1784041958.865752,1784041958.872702,decode,16,0,2816,0.0031,0,16,
1784041958.872702,1784041958.879600,decode,16,0,3056,0.0033,0,16,
1784041958.879600,1784041958.886364,decode,16,0,3056,0.0033,0,16,
1784041958.886364,1784041958.893235,decode,16,0,3056,0.0033,0,16,
1784041958.893235,1784041958.900067,decode,16,0,3056,0.0033,0,16,
1784041958.900067,1784041958.906820,decode,16,0,3056,0.0033,0,16,
1784041958.906820,1784041958.913764,decode,16,0,3056,0.0033,0,16,
1784041958.913764,1784041958.920631,decode,16,0,3056,0.0033,0,16,
1784041958.920631,1784041958.927529,decode,16,0,3056,0.0033,0,16,
1784041958.927529,1784041958.934274,decode,16,0,3056,0.0033,0,16,
1784041958.934274,1784041958.941128,decode,16,0,3056,0.0033,0,16,
1784041958.941128,1784041958.947954,decode,16,0,3056,0.0033,0,16,
1784041958.947954,1784041958.954804,decode,16,0,3056,0.0033,0,16,
1784041958.954804,1784041958.961648,decode,16,0,3056,0.0033,0,16,
1784041958.961648,1784041958.968502,decode,16,0,3056,0.0033,0,16,
1784041958.968502,1784041958.975416,decode,16,0,3056,0.0033,0,16,
1784041958.975416,1784041958.982368,decode,16,0,3072,0.0033,0,16,
1784041958.982368,1784041958.989232,decode,16,0,3312,0.0036,0,16,
1784041958.989232,1784041958.996036,decode,16,0,3312,0.0036,0,16,
1784041958.996036,1784041959.002872,decode,16,0,3312,0.0036,0,16,
1784041959.002872,1784041959.009763,decode,16,0,3312,0.0036,0,16,
1784041959.009763,1784041959.016469,decode,16,0,3312,0.0036,0,16,
1784041959.016469,1784041959.023415,decode,16,0,3312,0.0036,0,16,
1784041959.023415,1784041959.030314,decode,16,0,3312,0.0036,0,16,
1784041959.030314,1784041959.037117,decode,16,0,3312,0.0036,0,16,
1784041959.037117,1784041959.043887,decode,16,0,3312,0.0036,0,16,
1784041959.043887,1784041959.050674,decode,16,0,3312,0.0036,0,16,
1784041959.050674,1784041959.057517,decode,16,0,3312,0.0036,0,16,
1784041959.057517,1784041959.064357,decode,16,0,3312,0.0036,0,16,
1784041959.064357,1784041959.071197,decode,16,0,3312,0.0036,0,16,
1784041959.071197,1784041959.078065,decode,16,0,3312,0.0036,0,16,
1784041959.078065,1784041959.084976,decode,16,0,3312,0.0036,0,16,
1784041959.084976,1784041959.091995,decode,16,0,3328,0.0036,0,16,
1784041959.091995,1784041959.098830,decode,16,0,3568,0.0039,0,16,
1784041959.098830,1784041959.105629,decode,16,0,3568,0.0039,0,16,
1784041959.105629,1784041959.112481,decode,16,0,3568,0.0039,0,16,
1784041959.112481,1784041959.119227,decode,16,0,3568,0.0039,0,16,
1784041959.119227,1784041959.126137,decode,16,0,3568,0.0039,0,16,
1784041959.126137,1784041959.132923,decode,16,0,3568,0.0039,0,16,
1784041959.132923,1784041959.139792,decode,16,0,3568,0.0039,0,16,
1784041959.139792,1784041959.146705,decode,16,0,3568,0.0039,0,16,
1784041959.146705,1784041959.153419,decode,16,0,3568,0.0039,0,16,
1784041959.153419,1784041959.160240,decode,16,0,3568,0.0039,0,16,
1784041959.160240,1784041959.167126,decode,16,0,3568,0.0039,0,16,
1784041959.167126,1784041959.173926,decode,16,0,3568,0.0039,0,16,
1784041959.173926,1784041959.180807,decode,16,0,3568,0.0039,0,16,
1784041959.180807,1784041959.187708,decode,16,0,3568,0.0039,0,16,
1784041959.187708,1784041959.194595,decode,16,0,3568,0.0039,0,16,
1784041959.194595,1784041959.201498,decode,16,0,3584,0.0039,0,16,
1784041959.201498,1784041959.208364,decode,16,0,3824,0.0042,0,16,
1784041959.208364,1784041959.215228,decode,16,0,3824,0.0042,0,16,
1784041959.215228,1784041959.222069,decode,16,0,3824,0.0042,0,16,
1784041959.222069,1784041959.228983,decode,16,0,3824,0.0042,0,16,
1784041959.228983,1784041959.235859,decode,16,0,3824,0.0042,0,16,
1784041959.235859,1784041959.242809,decode,16,0,3824,0.0042,0,16,
1784041959.242809,1784041959.249779,decode,16,0,3824,0.0042,0,16,
1784041959.249779,1784041959.256550,decode,16,0,3824,0.0042,0,16,
1784041959.256550,1784041959.263339,decode,16,0,3824,0.0042,0,16,
1784041959.263339,1784041959.270168,decode,16,0,3824,0.0042,0,16,
1784041959.270168,1784041959.276978,decode,16,0,3824,0.0042,0,16,
1784041959.276978,1784041959.283770,decode,16,0,3824,0.0042,0,16,
1784041959.283770,1784041959.290608,decode,16,0,3824,0.0042,0,16,
1784041959.290608,1784041959.297509,decode,16,0,3824,0.0042,0,16,
1784041959.297509,1784041959.304409,decode,16,0,3824,0.0042,0,16,
1784041959.304409,1784041959.311261,decode,16,0,3840,0.0042,0,16,
1784041959.311261,1784041959.318134,decode,16,0,4080,0.0044,0,16,
1784041959.318134,1784041959.324922,decode,16,0,4080,0.0044,0,16,
1784041959.324922,1784041959.331767,decode,16,0,4080,0.0044,0,16,
