t_rel_s,measured_w,predicted_w
0.000,358.43,349.95
0.200,368.16,375.13
0.400,368.32,383.75
0.600,368.72,375.72
0.800,369.29,358.19
1.000,370.91,375.09
1.200,370.46,375.38
1.400,370.62,384.00
1.600,370.93,358.31
1.800,370.63,383.37
2.000,370.56,375.35
2.200,371.23,375.64
2.400,371.15,358.42
2.600,370.51,383.33
2.800,370.16,375.32
3.000,369.81,383.94
3.200,370.20,358.52
3.400,370.84,374.99
3.600,371.40,383.60
3.800,371.86,375.58
4.000,372.17,358.63
4.200,372.48,383.27
4.400,372.42,375.25
4.600,372.52,383.87
4.800,372.28,358.72
5.000,372.40,374.92
5.200,372.31,383.53
5.400,372.19,375.51
5.600,371.89,358.84
5.800,372.40,383.20
6.000,372.67,375.18
6.200,371.82,375.47
6.400,371.58,375.56
6.600,371.61,366.56
6.800,371.24,375.15
7.000,370.22,375.44
7.200,370.17,375.73
7.400,370.69,358.16
7.600,370.90,383.42
7.800,371.48,383.73
8.000,372.65,375.70
8.200,373.70,358.25
8.400,373.84,375.07
8.600,373.21,375.36
8.800,372.11,383.99
9.000,371.87,358.37
9.200,372.69,375.03
9.400,372.25,383.65
9.600,372.70,375.62
9.800,373.58,358.49
10.000,373.41,375.00
10.200,371.76,375.29
10.400,371.05,383.91
10.600,370.97,358.61
10.800,371.37,383.27
11.000,371.44,375.26
11.200,371.99,383.88
11.400,372.51,350.39
11.600,371.32,374.92
11.800,370.93,383.53
12.000,370.96,375.51
12.200,371.34,358.84
12.400,371.47,383.20
12.600,373.07,375.18
12.800,372.88,383.80
13.000,372.54,367.23
13.200,372.71,366.56
13.400,372.74,375.15
13.600,372.46,383.76
13.800,372.89,375.74
14.000,372.98,358.14
14.200,372.79,383.43
14.400,371.68,375.41
14.600,370.95,375.70
14.800,370.90,358.25
15.000,371.00,375.07
15.200,370.91,383.69
15.400,370.93,367.32
15.600,370.59,350.09
15.800,368.89,375.02
16.000,367.57,375.31
16.200,367.55,383.93
16.400,368.39,358.55
16.600,370.53,374.98
16.800,373.12,383.59
17.000,374.26,375.57
17.200,374.81,358.66
17.400,375.36,383.26
17.600,374.25,375.24
17.800,373.12,375.53
18.000,371.60,350.48
18.200,370.59,374.90
18.400,369.61,375.18
18.600,369.32,367.14
18.800,369.49,375.74
19.000,369.72,349.78
19.200,368.68,375.12
19.400,368.54,375.41
19.600,368.68,375.70
19.800,368.12,349.94
20.000,368.66,375.06
20.200,369.33,375.35
20.400,369.08,367.30
20.600,368.41,350.15
20.800,368.47,375.00
21.000,368.13,375.29
21.200,368.69,375.58
21.400,368.75,350.33
21.600,369.51,374.94
21.800,369.71,366.91
22.000,368.49,375.51
22.200,367.62,350.53
22.400,368.36,374.88
22.600,367.92,375.17
22.800,368.42,367.13
23.000,369.58,375.74
23.200,370.12,349.83
23.400,369.26,375.10
23.600,369.09,367.06
23.800,368.27,375.67
24.000,368.23,358.34
24.200,368.33,375.04
24.400,368.76,367.01
24.600,368.44,375.61
24.800,369.49,350.22
25.000,368.30,374.98
25.200,367.78,366.95
25.400,366.80,375.55
25.600,367.64,350.42
25.800,367.79,374.91
26.000,368.99,375.20
26.200,369.28,375.49
26.400,369.18,358.89
26.600,367.66,358.26
26.800,367.56,375.14
27.000,368.10,375.43
27.200,368.41,375.72
27.400,369.37,349.89
27.600,370.97,375.08
27.800,370.65,367.04
28.000,370.41,375.65
28.200,370.19,350.09
28.400,369.53,375.02
28.600,368.90,366.99
28.800,368.83,375.59
29.000,368.53,350.30
29.200,367.89,374.95
29.400,368.48,375.24
29.600,368.98,375.53
29.800,368.93,350.48
30.000,370.13,374.90
30.200,371.26,375.18
30.400,371.59,367.14
30.600,371.98,375.74
30.800,373.19,358.09
31.000,372.23,366.81
31.200,372.20,375.41
31.400,371.64,375.70
31.600,371.74,349.94
31.800,371.65,375.06
32.000,371.91,375.35
32.200,371.53,375.64
32.400,371.17,350.12
32.600,371.04,366.70
32.800,370.45,375.29
33.000,370.35,375.58
33.200,370.82,350.33
33.400,372.06,374.94
33.600,372.10,375.23
33.800,372.13,367.19
34.000,372.31,350.53
34.200,370.92,374.88
34.400,369.42,366.85
34.600,369.52,375.45
34.800,370.02,375.74
35.000,370.33,349.83
35.200,371.18,375.10
35.400,371.78,367.06
35.600,371.76,375.67
35.800,371.15,350.03
36.000,371.20,375.03
36.200,371.12,375.32
36.400,371.09,367.28
36.600,371.43,350.25
36.800,371.25,374.97
37.000,371.34,366.94
37.200,371.35,375.54
37.400,371.65,350.45
37.600,371.37,374.91
37.800,372.36,375.19
38.000,371.29,367.15
38.200,370.83,375.56
38.400,370.66,349.95
38.600,370.97,375.13
38.800,370.09,375.42
39.000,370.97,367.37
39.200,370.17,358.25
39.400,369.28,375.07
39.600,370.27,375.36
39.800,371.29,375.65
40.000,371.77,358.39
40.200,371.91,375.03
40.400,373.59,375.32
40.600,373.67,383.94
40.800,374.07,358.52
41.000,374.76,374.99
41.200,376.32,383.60
41.400,376.55,367.25
41.600,375.50,358.66
41.800,375.52,374.94
42.000,374.66,375.23
42.200,374.48,383.85
42.400,374.22,358.78
42.600,374.91,374.91
42.800,374.37,375.19
43.000,374.61,375.48
43.200,375.19,367.23
43.400,375.83,374.87
43.600,375.89,375.16
43.800,375.78,375.45
44.000,375.02,367.40
44.200,373.56,358.16
44.400,372.64,375.10
44.600,372.36,375.39
44.800,373.10,384.01
44.925,373.55,380.63
