t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784042103.313795,161.682,1965,3201,0.0,0.0,37.0
1784042103.323915,161.682,1965,3201,0.0,0.0,37.0
1784042103.483450,187.635,1875,3201,46.0,16.0,45.0
1784042103.484782,187.635,1875,3201,46.0,16.0,45.0
1784042103.494864,187.635,1875,3201,46.0,16.0,45.0
1784042103.504884,187.635,1875,3201,46.0,16.0,45.0
1784042103.514909,187.635,1875,3201,46.0,16.0,45.0
1784042103.524861,187.635,1875,3201,46.0,16.0,45.0
1784042103.534857,187.635,1875,3201,46.0,16.0,45.0
1784042103.544921,187.635,1875,3201,46.0,16.0,45.0
1784042103.554914,187.635,1875,3201,46.0,16.0,45.0
1784042103.564909,187.635,1875,3201,46.0,16.0,45.0
1784042103.574859,219.267,1965,3201,46.0,16.0,44.0
1784042103.584866,219.267,1965,3201,46.0,16.0,44.0
1784042103.594923,219.267,1965,3201,46.0,16.0,44.0
1784042103.604876,219.267,1965,3201,46.0,16.0,44.0
1784042103.614861,219.267,1965,3201,46.0,16.0,44.0
1784042103.624863,219.267,1965,3201,46.0,16.0,44.0
1784042103.634878,219.267,1965,3201,46.0,16.0,44.0
1784042103.644902,219.267,1965,3201,46.0,16.0,44.0
1784042103.654866,219.267,1965,3201,46.0,16.0,44.0
1784042103.664859,219.267,1965,3201,46.0,16.0,44.0
1784042103.674914,263.064,1965,3201,79.0,39.0,45.0
1784042103.684888,263.064,1965,3201,79.0,39.0,45.0
1784042103.695443,263.064,1965,3201,79.0,39.0,45.0
1784042103.704853,263.064,1965,3201,79.0,39.0,45.0
1784042103.714855,263.064,1965,3201,79.0,39.0,45.0
1784042103.724862,263.064,1965,3201,79.0,39.0,45.0
1784042103.734890,263.064,1965,3201,79.0,39.0,45.0
1784042103.744923,263.064,1965,3201,79.0,39.0,45.0
1784042103.754865,263.064,1965,3201,79.0,39.0,45.0
1784042103.764858,263.064,1965,3201,79.0,39.0,45.0
1784042103.774856,303.700,1965,3201,79.0,39.0,46.0
1784042103.784857,303.700,1965,3201,79.0,39.0,46.0
1784042103.794857,303.700,1965,3201,79.0,39.0,46.0
1784042103.804875,303.700,1965,3201,79.0,39.0,46.0
1784042103.814859,303.700,1965,3201,79.0,39.0,46.0
1784042103.824856,303.700,1965,3201,79.0,39.0,46.0
1784042103.834919,303.700,1965,3201,79.0,39.0,46.0
1784042103.845321,303.700,1965,3201,79.0,39.0,46.0
1784042103.854852,303.700,1965,3201,79.0,39.0,46.0
1784042103.864973,303.700,1965,3201,79.0,39.0,46.0
1784042103.874858,346.461,1980,3201,86.0,44.0,46.0
1784042103.884860,346.461,1980,3201,86.0,44.0,46.0
1784042103.894915,346.461,1980,3201,86.0,44.0,46.0
1784042103.904918,346.461,1980,3201,86.0,44.0,46.0
1784042103.914862,346.461,1980,3201,86.0,44.0,46.0
1784042103.924876,346.461,1980,3201,86.0,44.0,46.0
1784042103.934871,346.461,1980,3201,86.0,44.0,46.0
1784042103.944860,346.461,1980,3201,86.0,44.0,46.0
1784042103.954859,346.461,1980,3201,86.0,44.0,46.0
1784042103.964864,346.461,1980,3201,86.0,44.0,46.0
1784042103.974859,373.403,1980,3201,86.0,44.0,46.0
1784042103.984916,373.403,1980,3201,86.0,44.0,46.0
1784042103.995283,373.403,1980,3201,86.0,44.0,46.0
1784042104.004854,373.403,1980,3201,86.0,44.0,46.0
1784042104.014858,373.403,1980,3201,86.0,44.0,46.0
1784042104.024940,373.403,1980,3201,86.0,44.0,46.0
1784042104.034862,373.403,1980,3201,86.0,44.0,46.0
1784042104.044866,373.403,1980,3201,86.0,44.0,46.0
1784042104.054860,373.403,1980,3201,86.0,44.0,46.0
1784042104.064858,373.403,1980,3201,86.0,44.0,46.0
1784042104.074858,399.312,1980,3201,86.0,44.0,47.0
1784042104.084859,399.312,1980,3201,86.0,44.0,47.0
1784042104.094859,399.312,1980,3201,86.0,44.0,47.0
1784042104.104859,399.312,1980,3201,86.0,44.0,47.0
1784042104.114885,399.312,1980,3201,86.0,44.0,47.0
1784042104.124889,399.312,1980,3201,86.0,44.0,47.0
1784042104.134873,399.312,1980,3201,86.0,44.0,47.0
1784042104.144850,399.312,1980,3201,86.0,44.0,47.0
1784042104.155226,399.312,1980,3201,86.0,44.0,47.0
1784042104.164852,399.312,1980,3201,86.0,44.0,47.0
1784042104.174859,448.164,1980,3201,86.0,44.0,47.0
1784042104.184873,448.164,1980,3201,86.0,44.0,47.0
1784042104.194857,448.164,1980,3201,86.0,44.0,47.0
1784042104.204857,448.164,1980,3201,86.0,44.0,47.0
1784042104.214886,448.164,1980,3201,86.0,44.0,47.0
1784042104.224880,448.164,1980,3201,86.0,44.0,47.0
1784042104.234864,448.164,1980,3201,86.0,44.0,47.0
1784042104.244981,448.164,1980,3201,86.0,44.0,47.0
1784042104.254863,448.164,1980,3201,86.0,44.0,47.0
1784042104.264918,448.164,1980,3201,86.0,44.0,47.0
1784042104.274871,490.745,1980,3201,88.0,45.0,47.0
1784042104.284857,490.745,1980,3201,88.0,45.0,47.0
1784042104.294869,490.745,1980,3201,88.0,45.0,47.0
1784042104.305476,490.745,1980,3201,88.0,45.0,47.0
1784042104.314853,490.745,1980,3201,88.0,45.0,47.0
1784042104.324903,490.745,1980,3201,88.0,45.0,47.0
1784042104.334860,490.745,1980,3201,88.0,45.0,47.0
1784042104.344861,490.745,1980,3201,88.0,45.0,47.0
1784042104.354860,490.745,1980,3201,88.0,45.0,47.0
1784042104.364861,490.745,1980,3201,88.0,45.0,47.0
1784042104.374915,533.492,1980,3201,88.0,45.0,47.0
1784042104.384859,533.492,1980,3201,88.0,45.0,47.0
1784042104.394859,533.492,1980,3201,88.0,45.0,47.0
1784042104.404866,533.492,1980,3201,88.0,45.0,47.0
1784042104.414942,533.492,1980,3201,88.0,45.0,47.0
1784042104.424863,533.492,1980,3201,88.0,45.0,47.0
1784042104.434908,533.492,1980,3201,88.0,45.0,47.0
1784042104.444858,533.492,1980,3201,88.0,45.0,47.0
1784042104.454853,533.492,1980,3201,88.0,45.0,47.0
1784042104.465513,533.492,1980,3201,88.0,45.0,47.0
1784042104.475108,530.138,1980,3201,86.0,45.0,48.0
1784042104.484852,530.138,1980,3201,86.0,45.0,48.0
1784042104.494893,530.138,1980,3201,86.0,45.0,48.0
1784042104.504896,530.138,1980,3201,86.0,45.0,48.0
1784042104.514860,530.138,1980,3201,86.0,45.0,48.0
1784042104.524863,530.138,1980,3201,86.0,45.0,48.0
1784042104.534888,530.138,1980,3201,86.0,45.0,48.0
1784042104.544913,530.138,1980,3201,86.0,45.0,48.0
1784042104.554896,530.138,1980,3201,86.0,45.0,48.0
1784042104.564860,530.138,1980,3201,86.0,45.0,48.0
1784042104.574905,542.767,1980,3201,86.0,45.0,47.0
1784042104.584858,542.767,1980,3201,86.0,45.0,47.0
1784042104.594857,542.767,1980,3201,86.0,45.0,47.0
1784042104.604857,542.767,1980,3201,86.0,45.0,47.0
1784042104.615045,542.767,1980,3201,86.0,45.0,47.0
1784042104.625273,542.767,1980,3201,86.0,45.0,47.0
1784042104.634891,542.767,1980,3201,86.0,45.0,47.0
1784042104.644857,542.767,1980,3201,86.0,45.0,47.0
1784042104.654870,542.767,1980,3201,86.0,45.0,47.0
1784042104.664924,542.767,1980,3201,86.0,45.0,47.0
1784042104.675386,544.513,1980,3201,87.0,45.0,47.0
1784042104.684923,544.513,1980,3201,87.0,45.0,48.0
1784042104.694917,544.513,1980,3201,87.0,45.0,48.0
1784042104.704861,544.513,1980,3201,87.0,45.0,48.0
1784042104.714859,544.513,1980,3201,87.0,45.0,48.0
1784042104.724852,544.513,1980,3201,87.0,45.0,48.0
1784042104.734927,544.513,1980,3201,87.0,45.0,48.0
1784042104.744865,544.513,1980,3201,87.0,45.0,48.0
1784042104.754978,544.513,1980,3201,87.0,45.0,48.0
1784042104.764862,544.513,1980,3201,87.0,45.0,48.0
1784042104.774860,525.968,1980,3201,87.0,45.0,43.0
1784042104.784861,525.968,1980,3201,87.0,45.0,43.0
1784042104.794861,525.968,1980,3201,87.0,45.0,43.0
1784042104.805607,525.968,1980,3201,87.0,45.0,43.0
1784042104.815027,525.968,1980,3201,87.0,45.0,43.0
1784042104.824853,525.968,1980,3201,87.0,45.0,43.0
1784042104.834860,525.968,1980,3201,87.0,45.0,43.0
1784042104.844859,525.968,1980,3201,87.0,45.0,43.0
1784042104.854976,525.968,1980,3201,87.0,45.0,43.0
1784042104.864970,525.968,1980,3201,87.0,45.0,43.0
1784042104.874858,525.601,1950,3201,53.0,25.0,47.0
1784042104.884863,525.601,1950,3201,53.0,25.0,47.0
1784042104.894858,525.601,1950,3201,53.0,25.0,47.0
1784042104.904859,525.601,1950,3201,53.0,25.0,47.0
1784042104.914885,525.601,1950,3201,53.0,25.0,47.0
1784042104.924859,525.601,1950,3201,53.0,25.0,47.0
1784042104.934863,525.601,1950,3201,53.0,25.0,47.0
1784042104.944908,525.601,1950,3201,53.0,25.0,47.0
1784042104.955617,525.601,1950,3201,53.0,25.0,47.0
1784042104.964851,525.601,1950,3201,53.0,25.0,47.0
1784042104.974851,525.328,1965,3201,53.0,25.0,47.0
1784042104.984858,525.328,1965,3201,53.0,25.0,47.0
1784042104.994856,525.328,1965,3201,53.0,25.0,47.0
1784042105.004874,525.328,1965,3201,53.0,25.0,47.0
1784042105.014857,525.328,1965,3201,53.0,25.0,47.0
1784042105.024858,525.328,1965,3201,53.0,25.0,47.0
1784042105.034857,525.328,1965,3201,53.0,25.0,47.0
1784042105.044856,525.328,1965,3201,53.0,25.0,47.0
1784042105.054853,525.328,1965,3201,53.0,25.0,47.0
1784042105.064856,525.328,1965,3201,53.0,25.0,47.0
1784042105.074854,524.623,1965,3201,88.0,44.0,47.0
1784042105.084854,524.623,1965,3201,88.0,44.0,47.0
1784042105.095556,524.623,1965,3201,88.0,44.0,47.0
1784042105.104928,524.623,1965,3201,88.0,44.0,47.0
1784042105.114854,524.623,1965,3201,88.0,44.0,47.0
1784042105.124855,524.623,1965,3201,88.0,44.0,47.0
