t_rel_s,measured_w,predicted_w
0.000,317.39,338.21
0.200,350.32,360.36
0.400,350.98,360.43
0.600,350.84,345.73
0.800,351.28,360.29
1.000,351.80,360.36
1.200,352.61,353.07
1.400,352.58,353.07
1.600,352.36,352.94
1.800,352.06,353.01
2.000,352.09,360.44
2.200,352.53,353.06
2.400,352.86,352.94
2.600,353.67,360.37
2.800,354.48,353.08
3.000,354.89,345.69
3.200,353.62,352.94
3.400,353.13,360.38
3.600,353.40,353.08
3.800,352.50,345.68
4.000,351.80,360.31
4.200,352.84,360.38
4.400,354.33,360.45
4.600,354.26,345.66
4.800,354.56,360.31
5.000,355.72,360.39
5.200,355.89,360.46
5.400,355.83,345.64
5.600,355.02,360.32
5.800,355.34,360.39
6.000,355.45,353.10
6.200,355.21,352.99
6.400,354.67,360.33
6.600,355.38,353.04
6.800,354.56,353.10
7.000,353.09,345.62
7.200,352.80,360.33
7.400,353.27,360.40
7.600,354.21,360.48
7.800,355.26,345.60
8.000,355.80,360.34
8.200,356.76,360.41
8.400,357.96,360.48
8.600,356.65,345.58
8.800,355.24,352.98
9.000,354.91,353.05
9.200,353.87,360.48
9.400,353.18,345.57
9.600,354.12,360.34
9.800,355.07,360.42
10.000,356.51,360.49
10.200,357.15,345.55
10.400,356.62,352.99
10.600,355.55,353.06
10.800,355.41,360.49
11.000,353.99,345.55
11.200,353.44,352.99
11.400,351.97,360.42
11.600,352.13,353.13
11.800,352.65,352.90
12.000,353.76,360.36
12.200,353.58,353.07
12.400,355.49,353.09
12.600,354.58,352.93
12.800,353.52,360.36
13.000,352.32,353.07
13.200,352.94,353.08
13.400,352.59,360.30
13.600,353.27,353.01
13.800,353.98,360.44
14.000,354.33,345.70
14.200,353.74,352.94
14.400,352.66,353.01
14.600,352.74,360.44
14.800,353.67,345.69
15.000,353.48,360.30
15.200,354.05,360.38
15.400,354.36,353.08
15.600,354.52,353.04
15.800,353.96,360.31
16.000,355.91,353.02
16.200,356.86,360.45
16.400,358.79,353.02
16.600,358.66,360.32
16.800,359.04,353.02
17.000,357.83,360.46
17.200,356.87,345.64
17.400,355.13,352.96
17.600,355.17,360.39
17.800,354.79,353.10
18.000,354.26,338.28
18.200,353.44,360.32
18.400,354.03,353.03
18.600,354.56,360.46
18.800,354.31,345.63
19.000,353.33,360.32
19.200,354.50,360.40
19.400,355.35,360.47
19.600,354.82,345.61
19.800,353.88,360.33
20.000,355.60,353.04
20.200,354.75,360.48
20.400,354.11,345.60
20.600,354.73,360.34
20.800,356.70,360.41
21.000,356.27,353.12
21.200,357.12,345.58
21.400,356.99,360.34
21.600,355.93,353.05
21.800,353.46,353.12
22.000,352.42,345.58
22.200,352.15,360.34
22.400,352.43,360.42
22.600,353.59,360.49
22.800,355.83,345.56
23.000,356.68,360.35
23.200,357.16,353.06
23.400,357.09,360.49
23.600,355.89,345.55
23.800,354.00,352.99
24.000,353.78,360.42
24.200,353.95,360.50
24.400,354.67,345.53
24.600,355.47,360.36
24.800,356.63,360.43
25.000,356.84,345.73
25.200,357.03,352.93
25.400,355.72,353.00
25.600,355.37,360.43
25.800,356.37,345.72
26.000,356.72,360.29
26.200,356.69,360.37
26.400,358.45,360.44
26.600,359.37,353.06
26.800,359.46,360.30
27.000,359.85,353.01
27.200,359.15,360.45
27.400,357.94,345.68
27.600,356.72,360.31
27.800,356.13,360.38
28.000,356.36,360.45
28.200,356.89,345.66
28.400,357.26,360.31
28.600,357.66,353.02
28.800,357.52,360.46
29.000,356.33,345.65
29.200,354.53,352.96
29.400,354.42,360.39
29.600,354.88,360.46
29.800,354.85,345.64
30.000,356.01,360.32
30.200,357.16,360.40
30.400,357.96,360.47
30.600,358.28,345.62
30.800,357.58,352.97
31.000,356.79,360.40
31.200,356.72,353.11
31.400,356.32,352.97
31.600,356.35,360.33
31.800,357.12,353.04
32.000,356.91,360.48
32.200,356.99,345.59
32.400,356.43,360.34
32.600,355.12,353.05
32.800,354.44,353.12
33.000,353.79,352.94
33.200,354.02,352.98
33.400,354.68,360.41
33.600,354.89,360.49
33.800,355.34,352.93
34.000,356.37,352.99
34.200,357.08,360.42
34.400,356.81,360.49
34.600,356.55,345.55
34.800,355.69,352.99
35.000,355.30,360.42
35.200,354.90,360.50
35.400,355.57,352.89
35.600,356.43,353.00
35.800,357.97,360.43
36.000,358.21,345.73
36.200,357.32,352.93
36.400,356.33,353.00
36.600,354.76,360.43
36.800,354.24,353.08
37.000,354.30,360.30
37.200,355.34,353.01
37.400,355.90,360.44
37.600,357.31,353.06
37.800,357.14,360.30
38.000,356.91,353.01
38.200,355.70,353.08
38.400,355.63,345.69
38.600,354.18,360.30
38.800,354.71,360.38
39.000,355.19,360.45
39.200,356.08,345.67
39.400,356.00,360.31
39.600,357.84,360.38
39.800,358.06,353.09
40.000,357.45,345.66
40.200,356.48,352.95
40.400,356.57,360.39
40.600,356.89,360.46
40.800,356.73,345.64
41.000,357.27,360.32
41.200,358.92,360.39
41.400,359.69,360.47
41.600,358.66,345.62
41.800,357.87,352.96
42.000,358.98,360.40
42.200,358.57,353.10
42.400,358.58,352.98
42.600,359.15,360.33
42.800,360.21,360.40
43.000,359.52,353.11
43.200,359.21,352.96
43.400,358.78,352.98
43.600,358.46,360.41
43.800,356.95,353.12
44.000,356.03,345.58
44.200,355.67,360.34
44.400,355.57,360.41
44.600,355.97,360.49
44.800,356.07,345.57
45.000,356.12,360.35
45.200,357.23,360.42
45.400,357.78,360.49
45.510,357.72,338.12
