t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784041075.856092,161.485,1965,3201,0.0,0.0,34.0
1784041075.866169,161.485,1965,3201,0.0,0.0,34.0
1784041075.876214,161.485,1965,3201,0.0,0.0,34.0
1784041075.886165,161.485,1965,3201,0.0,0.0,34.0
1784041075.896166,161.434,1980,3201,0.0,0.0,33.0
1784041075.906166,161.434,1980,3201,0.0,0.0,33.0
1784041075.916166,161.434,1980,3201,0.0,0.0,33.0
1784041075.926167,161.434,1980,3201,0.0,0.0,33.0
1784041075.936169,161.434,1980,3201,0.0,0.0,33.0
1784041075.946167,161.434,1980,3201,0.0,0.0,33.0
1784041075.956168,161.434,1980,3201,0.0,0.0,33.0
1784041075.966166,161.434,1980,3201,0.0,0.0,33.0
1784041075.976207,161.434,1980,3201,0.0,0.0,33.0
1784041075.986166,161.434,1980,3201,0.0,0.0,33.0
1784041075.996166,154.508,1980,3201,0.0,0.0,33.0
1784041076.006167,154.508,1980,3201,0.0,0.0,33.0
1784041076.016165,154.508,1980,3201,0.0,0.0,33.0
1784041076.026165,154.508,1980,3201,0.0,0.0,33.0
1784041076.036166,154.508,1980,3201,0.0,0.0,33.0
1784041076.046204,154.508,1980,3201,0.0,0.0,33.0
1784041076.056169,154.508,1980,3201,0.0,0.0,33.0
1784041076.066166,154.508,1980,3201,0.0,0.0,33.0
1784041076.076166,154.508,1980,3201,0.0,0.0,33.0
1784041076.086167,154.508,1980,3201,0.0,0.0,33.0
1784041076.096166,144.159,1980,3201,0.0,0.0,33.0
1784041076.106170,144.159,1980,3201,0.0,0.0,33.0
1784041076.116167,144.159,1980,3201,0.0,0.0,33.0
1784041076.126168,144.159,1980,3201,0.0,0.0,33.0
1784041076.136168,144.159,1980,3201,0.0,0.0,33.0
1784041076.146168,144.159,1980,3201,0.0,0.0,33.0
1784041076.156169,144.159,1980,3201,0.0,0.0,33.0
1784041076.166169,144.159,1980,3201,0.0,0.0,33.0
1784041076.176169,144.159,1980,3201,0.0,0.0,33.0
1784041076.186168,144.159,1980,3201,0.0,0.0,33.0
1784041076.196168,144.226,1980,3201,0.0,0.0,33.0
1784041076.206168,144.226,1980,3201,0.0,0.0,33.0
1784041076.216169,144.226,1980,3201,0.0,0.0,33.0
1784041076.226169,144.226,1980,3201,0.0,0.0,33.0
1784041076.236168,144.226,1980,3201,0.0,0.0,33.0
1784041076.246170,144.226,1980,3201,0.0,0.0,33.0
1784041076.256170,144.226,1980,3201,0.0,0.0,33.0
1784041076.266171,144.226,1980,3201,0.0,0.0,33.0
1784041076.276170,144.226,1980,3201,0.0,0.0,33.0
1784041076.286170,144.226,1980,3201,0.0,0.0,33.0
1784041076.296170,144.357,1980,3201,0.0,0.0,33.0
1784041076.306170,144.357,1980,3201,0.0,0.0,33.0
1784041076.316170,144.357,1980,3201,0.0,0.0,33.0
1784041076.326169,144.357,1980,3201,0.0,0.0,33.0
1784041076.336173,144.357,1980,3201,0.0,0.0,33.0
1784041076.346172,144.357,1980,3201,0.0,0.0,33.0
1784041076.356196,144.357,1980,3201,0.0,0.0,33.0
1784041076.366168,144.357,1980,3201,0.0,0.0,33.0
1784041076.376169,144.357,1980,3201,0.0,0.0,33.0
1784041076.386169,144.357,1980,3201,0.0,0.0,33.0
1784041076.396193,144.980,1980,3201,0.0,0.0,33.0
1784041076.406170,144.980,1980,3201,0.0,0.0,33.0
1784041076.416170,144.980,1980,3201,0.0,0.0,33.0
1784041076.426170,144.980,1980,3201,0.0,0.0,33.0
1784041076.436170,144.980,1980,3201,0.0,0.0,33.0
1784041076.446171,144.980,1980,3201,0.0,0.0,33.0
1784041076.456171,144.980,1980,3201,0.0,0.0,33.0
1784041076.466172,144.980,1980,3201,0.0,0.0,33.0
1784041076.476171,144.980,1980,3201,0.0,0.0,33.0
1784041076.486181,144.980,1980,3201,0.0,0.0,33.0
1784041076.496174,141.237,1980,3201,0.0,0.0,33.0
1784041076.506172,141.237,1980,3201,0.0,0.0,33.0
1784041076.516173,141.237,1980,3201,0.0,0.0,33.0
1784041076.526171,141.237,1980,3201,0.0,0.0,33.0
1784041076.536171,141.237,1980,3201,0.0,0.0,33.0
1784041076.546172,141.237,1980,3201,0.0,0.0,33.0
1784041076.556171,141.237,1980,3201,0.0,0.0,33.0
1784041076.566173,141.237,1980,3201,0.0,0.0,33.0
1784041076.576171,141.237,1980,3201,0.0,0.0,33.0
1784041076.586171,141.237,1980,3201,0.0,0.0,33.0
1784041076.596172,117.437,1980,3201,0.0,0.0,33.0
1784041076.606172,117.437,1980,3201,0.0,0.0,33.0
1784041076.616172,117.437,1980,3201,0.0,0.0,33.0
1784041076.626219,117.437,1980,3201,0.0,0.0,33.0
1784041076.636173,117.437,1980,3201,0.0,0.0,33.0
1784041076.646171,117.437,1980,3201,0.0,0.0,33.0
1784041076.656172,117.437,1980,3201,0.0,0.0,33.0
1784041076.666171,117.437,1980,3201,0.0,0.0,33.0
1784041076.676209,117.437,1980,3201,0.0,0.0,33.0
1784041076.686171,117.437,1980,3201,0.0,0.0,33.0
1784041076.696165,117.351,1980,3201,0.0,0.0,33.0
1784041076.706165,117.351,1980,3201,0.0,0.0,33.0
1784041076.716165,117.351,1980,3201,0.0,0.0,33.0
1784041076.726166,117.351,1980,3201,0.0,0.0,33.0
1784041076.736165,117.351,1980,3201,0.0,0.0,33.0
1784041076.746166,117.351,1980,3201,0.0,0.0,33.0
1784041076.756165,117.351,1980,3201,0.0,0.0,33.0
1784041076.766165,117.351,1980,3201,0.0,0.0,33.0
1784041076.776165,117.351,1980,3201,0.0,0.0,33.0
1784041076.786162,117.351,1980,3201,0.0,0.0,33.0
1784041076.796160,117.440,1980,3201,0.0,0.0,33.0
1784041076.806159,117.440,1980,3201,0.0,0.0,33.0
1784041076.816160,117.440,1980,3201,0.0,0.0,33.0
1784041076.826159,117.440,1980,3201,0.0,0.0,33.0
