t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784041117.750426,159.214,1965,3201,0.0,0.0,33.0
1784041117.766050,159.120,1965,3201,0.0,0.0,33.0
1784041117.776131,159.120,1965,3201,0.0,0.0,33.0
1784041117.786126,159.120,1965,3201,0.0,0.0,33.0
1784041117.796128,159.120,1965,3201,0.0,0.0,33.0
1784041117.806125,159.120,1965,3201,0.0,0.0,33.0
1784041117.816127,159.120,1965,3201,0.0,0.0,33.0
1784041117.826162,159.120,1965,3201,0.0,0.0,33.0
1784041117.836127,159.120,1965,3201,0.0,0.0,33.0
1784041117.846126,159.120,1965,3201,0.0,0.0,33.0
1784041117.856186,159.120,1965,3201,0.0,0.0,33.0
1784041117.866528,175.326,1620,3201,10.0,3.0,43.0
1784041117.876127,175.326,1620,3201,10.0,3.0,43.0
1784041117.886168,175.326,1620,3201,10.0,3.0,43.0
1784041117.896131,175.326,1620,3201,10.0,3.0,43.0
1784041117.906128,175.326,1620,3201,10.0,3.0,43.0
1784041117.916130,175.326,1620,3201,10.0,3.0,43.0
1784041117.926129,175.326,1620,3201,10.0,3.0,43.0
1784041117.936130,175.326,1620,3201,10.0,3.0,43.0
1784041117.946128,175.326,1620,3201,10.0,3.0,43.0
1784041117.956127,175.326,1620,3201,10.0,3.0,43.0
1784041117.966529,197.500,1950,3201,10.0,3.0,37.0
1784041117.976129,197.500,1950,3201,10.0,3.0,37.0
1784041117.986129,197.500,1950,3201,10.0,3.0,37.0
1784041117.996128,197.500,1950,3201,10.0,3.0,37.0
1784041118.006129,197.500,1950,3201,10.0,3.0,37.0
1784041118.016133,197.500,1950,3201,10.0,3.0,37.0
1784041118.026130,197.500,1950,3201,10.0,3.0,37.0
1784041118.036130,197.500,1950,3201,10.0,3.0,37.0
1784041118.046501,197.500,1950,3201,10.0,3.0,37.0
1784041118.056124,197.500,1950,3201,10.0,3.0,37.0
1784041118.066121,219.180,1965,3201,54.0,37.0,37.0
1784041118.076122,219.180,1965,3201,54.0,37.0,37.0
1784041118.086122,219.180,1965,3201,54.0,37.0,37.0
1784041118.096121,219.180,1965,3201,54.0,37.0,37.0
1784041118.106120,219.180,1965,3201,54.0,37.0,37.0
1784041118.116120,219.180,1965,3201,54.0,37.0,37.0
1784041118.126120,219.180,1965,3201,54.0,37.0,37.0
1784041118.136117,219.180,1965,3201,54.0,37.0,37.0
1784041118.146117,219.180,1965,3201,54.0,37.0,37.0
1784041118.156119,219.180,1965,3201,54.0,37.0,37.0
1784041118.166119,245.841,1965,3201,54.0,37.0,38.0
1784041118.176117,245.841,1965,3201,54.0,37.0,38.0
1784041118.186117,245.841,1965,3201,54.0,37.0,38.0
1784041118.196117,245.841,1965,3201,54.0,37.0,38.0
1784041118.207314,245.841,1965,3201,54.0,37.0,38.0
1784041118.216120,245.841,1965,3201,54.0,37.0,38.0
1784041118.226393,245.841,1965,3201,54.0,37.0,38.0
1784041118.236130,245.841,1965,3201,54.0,37.0,38.0
1784041118.246128,245.841,1965,3201,54.0,37.0,38.0
1784041118.256123,245.841,1965,3201,54.0,37.0,38.0
1784041118.266127,266.401,1980,3201,54.0,37.0,39.0
1784041118.276238,266.401,1980,3201,54.0,37.0,39.0
1784041118.286128,266.401,1980,3201,54.0,37.0,39.0
1784041118.296129,266.401,1980,3201,54.0,37.0,39.0
1784041118.306130,266.401,1980,3201,54.0,37.0,39.0
1784041118.316128,266.401,1980,3201,54.0,37.0,39.0
1784041118.326129,266.401,1980,3201,54.0,37.0,39.0
1784041118.336129,266.401,1980,3201,54.0,37.0,39.0
1784041118.346136,266.401,1980,3201,54.0,37.0,39.0
1784041118.356128,266.401,1980,3201,54.0,37.0,39.0
1784041118.366128,293.246,1980,3201,54.0,37.0,39.0
1784041118.376128,293.246,1980,3201,54.0,37.0,39.0
1784041118.386128,293.246,1980,3201,54.0,37.0,39.0
1784041118.396127,293.246,1980,3201,54.0,37.0,39.0
1784041118.406129,293.246,1980,3201,54.0,37.0,39.0
1784041118.416128,293.246,1980,3201,54.0,37.0,39.0
1784041118.426128,293.246,1980,3201,54.0,37.0,39.0
1784041118.436190,293.246,1980,3201,54.0,37.0,39.0
1784041118.446130,293.246,1980,3201,54.0,37.0,39.0
1784041118.456129,293.246,1980,3201,54.0,37.0,39.0
1784041118.466136,297.567,1980,3201,57.0,39.0,39.0
1784041118.476181,297.567,1980,3201,57.0,39.0,39.0
1784041118.486124,297.567,1980,3201,57.0,39.0,39.0
1784041118.496129,297.567,1980,3201,57.0,39.0,39.0
1784041118.506189,297.567,1980,3201,57.0,39.0,39.0
1784041118.516131,297.567,1980,3201,57.0,39.0,39.0
1784041118.526129,297.567,1980,3201,57.0,39.0,39.0
1784041118.536129,297.567,1980,3201,57.0,39.0,39.0
1784041118.546131,297.567,1980,3201,57.0,39.0,39.0
1784041118.556130,297.567,1980,3201,57.0,39.0,39.0
1784041118.566149,324.352,1980,3201,57.0,39.0,39.0
1784041118.576132,324.352,1980,3201,57.0,39.0,39.0
1784041118.586130,324.352,1980,3201,57.0,39.0,39.0
1784041118.596133,324.352,1980,3201,57.0,39.0,39.0
1784041118.606133,324.352,1980,3201,57.0,39.0,39.0
1784041118.616337,324.352,1980,3201,57.0,39.0,39.0
