t_rel_s,measured_w,predicted_w
0.000,352.18,354.81
0.200,368.33,378.64
0.400,364.87,370.79
0.600,364.08,370.78
0.800,362.64,362.74
1.000,362.03,370.72
1.200,361.78,370.79
1.400,363.77,370.78
1.600,362.36,346.89
1.800,362.87,370.72
2.000,364.43,370.78
2.200,364.68,362.92
2.400,362.40,346.83
2.600,363.51,370.71
2.800,362.77,362.85
3.000,361.48,378.77
3.200,361.56,346.85
3.400,363.48,370.71
3.600,364.06,370.77
3.800,365.82,378.76
4.000,366.87,354.77
4.200,368.40,370.71
4.400,368.33,370.77
4.600,368.76,378.76
4.800,369.46,362.69
5.000,370.89,378.63
5.200,371.96,378.70
5.400,373.53,378.77
5.600,374.62,354.75
5.800,374.50,370.71
6.000,373.71,370.78
6.200,372.20,378.77
6.400,370.70,346.83
6.600,369.10,378.63
6.800,368.86,378.70
7.000,369.94,378.77
7.200,370.88,354.75
7.400,372.22,378.64
7.600,373.47,378.71
7.800,373.47,370.84
8.000,372.03,354.75
8.200,371.20,378.64
8.400,371.12,378.71
8.600,371.91,370.77
8.800,372.20,362.74
9.000,372.85,378.64
9.200,373.23,378.71
9.400,373.51,354.92
9.600,372.47,370.66
9.800,371.89,378.65
10.000,371.69,212.28
10.200,371.35,513.43
10.400,369.56,378.58
10.600,370.01,378.65
10.800,370.64,378.72
11.000,371.41,354.91
11.200,372.37,378.58
11.400,373.90,378.65
11.600,373.35,370.80
11.800,372.81,362.82
12.000,371.93,370.67
12.200,371.78,386.58
12.400,372.70,370.80
12.600,372.93,362.81
12.800,372.57,370.67
13.000,373.04,378.66
13.200,373.47,378.73
13.400,372.90,354.88
13.600,372.21,378.59
13.800,372.89,378.66
14.000,373.04,370.81
14.200,372.57,362.79
14.400,372.04,378.60
14.600,372.62,370.74
14.800,372.90,378.73
15.000,373.19,354.86
15.200,373.79,378.60
15.400,374.65,370.75
15.600,373.21,370.81
15.800,372.09,362.78
16.000,371.12,378.60
16.200,370.70,378.67
16.400,370.36,370.81
16.600,371.78,362.77
16.800,373.39,370.68
17.000,374.41,378.67
17.200,373.65,370.82
17.400,372.68,354.84
17.600,371.66,370.68
17.800,371.28,378.67
18.000,371.34,378.74
18.200,372.30,354.83
18.400,373.15,370.69
18.600,373.49,378.68
18.800,373.37,370.82
19.000,371.72,354.83
19.200,370.11,370.69
19.400,369.69,378.68
19.600,370.62,378.75
19.800,371.10,362.75
20.000,372.15,378.61
20.200,373.32,370.76
20.400,373.93,378.75
20.600,373.79,362.74
20.800,373.60,370.69
21.000,373.63,370.76
21.200,372.78,370.82
21.400,372.20,362.74
21.600,372.23,378.62
21.800,372.48,378.69
22.000,372.49,370.83
22.200,372.72,354.80
22.400,373.79,378.62
22.600,372.33,370.76
22.800,371.00,370.83
23.000,370.00,354.80
23.200,370.37,378.62
23.400,370.55,378.69
23.600,371.95,378.76
23.800,373.62,354.79
24.000,374.60,378.62
24.200,375.64,378.69
24.400,375.23,370.84
24.600,374.59,362.71
24.800,373.63,370.70
25.000,373.17,370.77
25.200,373.59,378.76
25.400,374.06,362.70
25.600,374.87,378.63
25.800,374.36,370.77
26.000,374.20,378.77
26.200,372.32,354.77
26.400,371.39,378.63
26.600,370.03,370.78
26.800,371.04,378.77
27.000,372.20,362.68
27.200,373.03,378.64
27.400,373.31,370.78
27.600,374.26,378.77
27.800,374.15,354.75
28.000,372.52,378.64
28.200,370.45,370.78
28.400,369.52,370.85
28.600,367.90,354.75
28.800,367.72,378.64
29.000,368.74,378.71
29.200,370.70,378.70
29.400,371.63,354.81
29.600,372.97,378.64
29.800,373.62,378.71
30.000,373.79,362.85
30.200,373.36,362.74
30.400,372.90,378.64
30.600,373.12,378.71
30.800,373.34,354.92
31.000,372.99,378.58
31.200,373.52,378.65
31.400,374.70,378.72
31.600,375.14,354.91
31.800,374.63,378.58
32.000,374.67,370.73
32.200,375.22,370.79
32.400,373.93,354.91
32.600,373.40,378.58
32.800,374.29,378.65
33.000,374.48,378.72
33.200,374.20,354.90
33.400,374.67,378.59
33.600,374.09,370.73
33.800,373.42,370.80
34.000,372.06,354.90
34.200,371.11,378.59
34.400,371.49,378.66
34.600,372.53,370.80
34.800,372.58,362.81
35.000,373.05,378.59
35.200,373.81,378.66
35.400,373.81,370.80
35.600,373.50,362.80
35.800,373.08,370.67
36.000,374.20,370.74
36.200,373.34,378.73
36.400,372.57,354.87
36.600,372.86,378.60
36.800,372.87,378.67
37.000,371.65,378.73
37.200,372.78,354.86
37.400,373.43,370.68
37.600,372.22,378.67
37.800,370.71,370.81
38.000,371.49,362.78
38.200,371.84,378.60
38.400,371.30,378.67
38.600,372.39,370.81
38.800,374.15,362.77
39.000,375.63,378.61
39.200,375.24,370.75
39.400,375.57,378.74
39.600,375.63,354.83
39.800,374.25,370.69
40.000,372.04,378.68
40.200,371.87,378.75
40.400,372.26,362.75
40.600,372.97,370.69
40.800,374.43,378.68
41.000,375.34,378.75
41.200,375.34,354.82
41.400,374.66,370.69
41.600,373.62,378.68
41.800,373.95,378.75
42.000,374.60,354.81
42.200,374.63,378.62
42.400,375.01,378.69
42.600,376.08,378.76
42.800,376.37,362.72
43.000,376.30,370.70
43.200,375.76,378.69
43.400,375.23,378.76
43.600,374.49,354.79
43.800,373.83,378.63
44.000,373.44,378.70
44.200,374.18,378.76
44.400,375.25,354.77
44.600,376.31,378.63
44.800,376.29,378.70
45.000,374.52,370.84
45.115,373.59,387.86
