t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784039683.379404,151.077,1980,3201,0.0,0.0,35.0
1784039683.389470,151.077,1980,3201,0.0,0.0,35.0
1784039683.399475,151.644,1980,3201,0.0,0.0,35.0
1784039683.409475,151.644,1980,3201,0.0,0.0,35.0
1784039683.419887,151.644,1980,3201,0.0,0.0,35.0
1784039683.429474,151.644,1980,3201,0.0,0.0,35.0
1784039683.439473,151.644,1980,3201,0.0,0.0,35.0
1784039683.449474,151.644,1980,3201,0.0,0.0,35.0
1784039683.459473,151.644,1980,3201,0.0,0.0,35.0
1784039683.469547,151.644,1980,3201,0.0,0.0,35.0
1784039683.479469,151.644,1980,3201,0.0,0.0,35.0
1784039683.489475,151.644,1980,3201,0.0,0.0,35.0
1784039683.499468,174.391,1980,3201,1.0,0.0,36.0
1784039683.509651,174.391,1980,3201,1.0,0.0,36.0
1784039683.519475,174.391,1980,3201,1.0,0.0,36.0
1784039683.529468,174.391,1980,3201,1.0,0.0,36.0
1784039683.539468,174.391,1980,3201,1.0,0.0,36.0
1784039683.549474,174.391,1980,3201,1.0,0.0,36.0
1784039683.559468,174.391,1980,3201,1.0,0.0,36.0
1784039683.569479,174.391,1980,3201,1.0,0.0,36.0
1784039683.579479,174.391,1980,3201,1.0,0.0,36.0
1784039683.589469,174.391,1980,3201,1.0,0.0,36.0
1784039683.599479,198.688,1980,3201,1.0,0.0,37.0
1784039683.609477,198.688,1980,3201,1.0,0.0,37.0
1784039683.619466,198.688,1980,3201,1.0,0.0,37.0
1784039683.629485,198.688,1980,3201,1.0,0.0,37.0
1784039683.639510,198.688,1980,3201,1.0,0.0,37.0
1784039683.649468,198.688,1980,3201,1.0,0.0,37.0
1784039683.659498,198.688,1980,3201,1.0,0.0,37.0
1784039683.669478,198.688,1980,3201,1.0,0.0,37.0
1784039683.679470,198.688,1980,3201,1.0,0.0,37.0
1784039683.689479,198.688,1980,3201,1.0,0.0,37.0
1784039683.699468,222.614,1980,3201,86.0,62.0,37.0
1784039683.709479,222.614,1980,3201,86.0,62.0,37.0
1784039683.719480,222.614,1980,3201,86.0,62.0,37.0
1784039683.729465,222.614,1980,3201,86.0,62.0,37.0
1784039683.739481,222.614,1980,3201,86.0,62.0,37.0
1784039683.749529,222.614,1980,3201,86.0,62.0,37.0
1784039683.759467,222.614,1980,3201,86.0,62.0,37.0
1784039683.769480,222.614,1980,3201,86.0,62.0,37.0
1784039683.779479,222.614,1980,3201,86.0,62.0,37.0
