t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784040270.835860,1784040270.835860,mixed,1,3,2048,0.0010,2048,1,
1784040270.835860,1784040270.854234,mixed,4,0,2112,0.0010,6144,4,
1784040270.854234,1784040270.868150,decode,4,0,2160,0.0010,0,4,
1784040270.868150,1784040270.874354,decode,4,0,2160,0.0010,0,4,
1784040270.874354,1784040270.880146,decode,4,0,2160,0.0010,0,4,
1784040270.880146,1784040270.886302,decode,4,0,2160,0.0010,0,4,
1784040270.886302,1784040270.892816,decode,4,0,2160,0.0010,0,4,
1784040270.892816,1784040270.899246,decode,4,0,2160,0.0010,0,4,
1784040270.899246,1784040270.904734,decode,4,0,2160,0.0010,0,4,
1784040270.904734,1784040270.910729,decode,4,0,2160,0.0010,0,4,
1784040270.910729,1784040270.916877,decode,4,0,2160,0.0010,0,4,
1784040270.916877,1784040270.923309,decode,4,0,2160,0.0010,0,4,
1784040270.923309,1784040270.929153,decode,4,0,2160,0.0010,0,4,
1784040270.929153,1784040270.935451,decode,4,0,2160,0.0010,0,4,
1784040270.935451,1784040270.941153,decode,4,0,2160,0.0010,0,4,
1784040270.941153,1784040270.947444,decode,4,0,2160,0.0010,0,4,
1784040270.947444,1784040270.953646,decode,4,0,2160,0.0010,0,4,
1784040270.953646,1784040270.959476,decode,4,0,2176,0.0010,0,4,
1784040270.959476,1784040270.965905,decode,4,0,2224,0.0011,0,4,
1784040270.965905,1784040270.971619,decode,4,0,2224,0.0011,0,4,
1784040270.971619,1784040270.978109,decode,4,0,2224,0.0011,0,4,
1784040270.978109,1784040270.984030,decode,4,0,2224,0.0011,0,4,
1784040270.984030,1784040270.989949,decode,4,0,2224,0.0011,0,4,
1784040270.989949,1784040270.996623,decode,4,0,2224,0.0011,0,4,
1784040270.996623,1784040271.002081,decode,4,0,2224,0.0011,0,4,
1784040271.002081,1784040271.008313,decode,4,0,2224,0.0011,0,4,
1784040271.008313,1784040271.014567,decode,4,0,2224,0.0011,0,4,
1784040271.014567,1784040271.020337,decode,4,0,2224,0.0011,0,4,
1784040271.020337,1784040271.026432,decode,4,0,2224,0.0011,0,4,
1784040271.026432,1784040271.032473,decode,4,0,2224,0.0011,0,4,
1784040271.032473,1784040271.038875,decode,4,0,2224,0.0011,0,4,
1784040271.038875,1784040271.044588,decode,4,0,2224,0.0011,0,4,
1784040271.044588,1784040271.050653,decode,4,0,2224,0.0011,0,4,
1784040271.050653,1784040271.056680,decode,4,0,2240,0.0011,0,4,
1784040271.056680,1784040271.062667,decode,4,0,2288,0.0011,0,4,
1784040271.062667,1784040271.069424,decode,4,0,2288,0.0011,0,4,
1784040271.069424,1784040271.075077,decode,4,0,2288,0.0011,0,4,
1784040271.075077,1784040271.081227,decode,4,0,2288,0.0011,0,4,
1784040271.081227,1784040271.087246,decode,4,0,2288,0.0011,0,4,
