t_rel_s,measured_w,predicted_w
0.000,325.47,354.06
0.200,363.80,369.38
0.400,364.98,377.05
0.600,363.74,361.77
0.800,364.07,369.35
1.000,366.06,369.38
1.200,366.74,369.42
1.400,365.55,354.12
1.600,364.35,376.99
1.800,364.77,369.39
2.000,365.06,369.42
2.200,365.83,361.75
2.400,366.89,377.00
2.600,370.15,369.39
2.800,371.55,369.42
3.000,371.65,361.73
3.200,371.18,369.36
3.400,370.38,361.75
3.600,369.50,369.43
3.800,368.01,361.72
4.000,367.13,369.36
4.200,367.78,377.04
4.400,368.01,369.43
4.600,367.89,361.71
4.800,368.05,369.37
5.000,368.36,369.40
5.200,366.23,369.44
5.400,365.06,361.70
5.600,365.09,377.02
5.800,366.10,369.41
6.000,367.01,361.78
6.200,367.70,376.99
6.400,368.56,369.38
6.600,369.29,369.41
6.800,368.92,354.12
7.000,367.03,369.35
7.200,366.92,369.38
7.400,366.01,369.42
7.600,365.93,369.39
7.800,365.70,369.35
8.000,367.23,369.39
8.200,368.85,369.42
8.400,369.55,361.74
8.600,367.81,369.36
8.800,368.21,377.03
9.000,368.33,369.43
9.200,367.14,361.72
9.400,367.92,369.36
9.600,369.70,377.04
9.800,370.06,369.43
10.000,369.14,361.71
10.200,369.86,377.01
10.400,369.37,369.40
10.600,369.03,369.44
10.800,368.54,361.70
11.000,368.20,361.73
11.200,367.15,377.05
11.400,367.45,369.42
11.600,367.53,361.70
11.800,367.90,377.02
12.000,368.46,369.41
12.200,368.82,354.13
12.400,367.20,361.71
12.600,366.01,369.38
12.800,365.19,369.41
13.000,365.08,361.76
13.200,365.69,369.35
13.400,366.54,377.03
13.600,367.84,369.42
13.800,369.09,361.75
14.000,369.08,369.36
14.200,369.45,300.60
14.400,369.25,438.21
14.600,368.51,354.09
14.800,367.02,369.36
15.000,366.60,377.04
15.200,366.82,369.43
15.400,367.21,361.72
15.600,367.56,369.36
15.800,368.14,369.40
16.000,368.72,377.08
16.200,369.14,354.07
16.400,367.97,369.37
16.600,368.37,377.05
16.800,369.56,369.44
17.000,369.71,369.34
17.200,369.22,369.37
17.400,369.69,369.41
17.600,370.42,369.42
17.800,370.18,369.35
18.000,369.22,369.38
18.200,368.91,361.77
18.400,368.55,361.77
18.600,367.67,369.35
18.800,368.17,377.03
19.000,368.65,369.42
19.200,369.01,354.11
19.400,369.59,376.99
19.600,369.85,369.39
19.800,368.86,361.78
20.000,367.68,354.10
20.200,367.31,377.00
20.400,368.53,369.39
20.600,368.87,377.07
20.800,369.73,361.73
21.000,371.02,369.36
21.200,371.54,377.04
21.400,371.60,369.43
21.600,371.42,354.07
21.800,370.57,369.37
22.000,369.42,369.40
22.200,368.49,369.43
22.400,367.93,361.70
22.600,368.25,377.01
22.800,368.73,369.40
23.000,369.33,369.44
23.200,370.48,361.69
23.400,369.28,369.38
23.600,368.05,361.77
23.800,366.85,361.78
24.000,366.53,369.34
24.200,366.76,377.02
24.400,368.17,369.41
24.600,369.64,361.76
24.800,369.83,376.99
25.000,370.19,369.38
25.200,369.95,369.42
25.400,368.97,361.75
25.600,368.27,369.35
25.800,369.17,377.03
26.000,369.65,369.42
26.200,369.66,361.73
26.400,369.92,369.36
26.600,370.01,377.04
26.800,370.31,369.43
27.000,369.66,354.08
27.200,368.10,369.36
27.400,367.94,369.40
27.600,368.07,369.43
27.800,367.96,361.71
28.000,368.11,377.01
28.200,369.24,369.40
28.400,368.83,369.44
28.600,368.86,369.34
28.800,368.95,369.37
29.000,369.45,369.41
29.200,369.94,361.78
29.400,370.31,361.70
29.600,369.55,377.02
29.800,369.61,369.41
30.000,369.95,361.77
30.200,369.54,369.35
30.400,369.18,369.38
30.600,369.65,369.42
30.800,368.87,361.75
31.000,367.46,369.35
31.200,366.35,369.39
31.400,367.06,369.42
31.600,367.79,361.74
31.800,368.69,377.00
32.000,369.56,369.39
32.200,370.65,369.43
32.400,370.90,369.37
32.600,370.38,369.36
32.800,370.28,369.40
33.000,370.59,369.43
33.200,370.52,361.71
33.400,369.65,369.37
33.600,370.17,377.04
33.800,370.29,369.44
34.000,369.85,361.70
34.200,369.91,369.37
34.400,370.67,369.41
34.600,370.09,369.44
34.800,369.17,354.05
35.000,368.71,377.02
35.200,369.55,377.05
35.400,369.90,361.77
35.600,370.62,369.35
35.800,371.43,377.02
36.000,371.97,369.42
36.200,372.54,361.75
36.400,371.86,376.99
36.600,371.89,369.39
36.800,371.06,369.42
37.000,369.95,361.74
37.200,369.07,369.36
37.400,369.83,377.03
37.600,369.89,369.43
37.800,370.34,361.72
38.000,370.57,369.36
38.200,368.98,361.75
38.400,367.23,369.43
38.600,366.08,361.72
38.800,366.12,369.37
39.000,366.96,377.04
39.200,368.78,369.43
39.400,370.26,361.70
39.600,370.80,377.01
39.800,371.48,369.41
40.000,371.01,369.44
40.200,369.47,361.69
40.400,368.76,369.38
40.600,369.01,369.41
40.800,368.37,369.41
41.000,368.10,369.35
41.200,369.74,369.38
41.400,370.49,377.06
41.600,370.27,354.11
41.800,369.62,369.35
42.000,370.01,369.39
42.200,369.14,369.42
42.400,368.46,361.75
42.600,368.86,369.36
42.800,369.83,377.03
43.000,370.04,369.42
43.200,369.98,361.73
43.400,370.56,369.36
43.600,370.69,369.39
43.800,369.85,377.07
44.000,370.12,361.72
44.200,370.22,369.37
44.400,369.63,369.40
44.600,369.65,377.08
44.800,370.49,361.70
45.000,370.19,369.37
45.200,369.97,369.40
45.400,369.82,369.44
45.506,368.95,382.11
