t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784039525.299088,150.458,1980,3201,0.0,0.0,33.0
1784039525.309166,150.458,1980,3201,0.0,0.0,33.0
1784039525.319165,150.458,1980,3201,0.0,0.0,33.0
1784039525.329215,150.458,1980,3201,0.0,0.0,33.0
1784039525.339168,150.458,1980,3201,0.0,0.0,33.0
1784039525.349163,150.458,1980,3201,0.0,0.0,33.0
1784039525.359163,149.652,1980,3201,0.0,0.0,33.0
1784039525.369163,149.652,1980,3201,0.0,0.0,33.0
1784039525.379165,149.652,1980,3201,0.0,0.0,33.0
1784039525.389163,149.652,1980,3201,0.0,0.0,33.0
1784039525.399163,149.652,1980,3201,0.0,0.0,33.0
1784039525.409164,149.652,1980,3201,0.0,0.0,33.0
1784039525.419164,149.652,1980,3201,0.0,0.0,33.0
1784039525.429163,149.652,1980,3201,0.0,0.0,33.0
1784039525.439164,149.652,1980,3201,0.0,0.0,33.0
1784039525.449165,149.652,1980,3201,0.0,0.0,33.0
1784039525.459165,149.826,1980,3201,0.0,0.0,33.0
1784039525.469164,149.826,1980,3201,0.0,0.0,33.0
1784039525.479162,149.826,1980,3201,0.0,0.0,33.0
1784039525.489161,149.826,1980,3201,0.0,0.0,33.0
1784039525.499162,149.826,1980,3201,0.0,0.0,33.0
1784039525.509161,149.826,1980,3201,0.0,0.0,33.0
1784039525.519161,149.826,1980,3201,0.0,0.0,33.0
1784039525.529160,149.826,1980,3201,0.0,0.0,33.0
1784039525.539161,149.826,1980,3201,0.0,0.0,33.0
1784039525.549162,149.826,1980,3201,0.0,0.0,33.0
1784039525.559162,149.788,1980,3201,0.0,0.0,33.0
1784039525.569162,149.788,1980,3201,0.0,0.0,33.0
1784039525.579162,149.788,1980,3201,0.0,0.0,33.0
1784039525.589200,149.788,1980,3201,0.0,0.0,33.0
1784039525.599160,149.788,1980,3201,0.0,0.0,33.0
1784039525.609161,149.788,1980,3201,0.0,0.0,33.0
1784039525.619193,149.788,1980,3201,0.0,0.0,33.0
1784039525.629162,149.788,1980,3201,0.0,0.0,33.0
1784039525.639161,149.788,1980,3201,0.0,0.0,33.0
1784039525.649162,149.788,1980,3201,0.0,0.0,33.0
1784039525.659162,146.020,1980,3201,0.0,0.0,33.0
1784039525.669173,146.020,1980,3201,0.0,0.0,33.0
1784039525.679162,146.020,1980,3201,0.0,0.0,33.0
1784039525.689162,146.020,1980,3201,0.0,0.0,33.0
1784039525.699162,146.020,1980,3201,0.0,0.0,33.0
1784039525.709161,146.020,1980,3201,0.0,0.0,33.0
1784039525.719164,146.020,1980,3201,0.0,0.0,33.0
1784039525.729163,146.020,1980,3201,0.0,0.0,33.0
1784039525.739161,146.020,1980,3201,0.0,0.0,33.0
1784039525.749161,146.020,1980,3201,0.0,0.0,33.0
1784039525.759161,122.000,1980,3201,0.0,0.0,33.0
1784039525.769161,122.000,1980,3201,0.0,0.0,33.0
1784039525.779162,122.000,1980,3201,0.0,0.0,33.0
1784039525.789162,122.000,1980,3201,0.0,0.0,33.0
1784039525.799160,122.000,1980,3201,0.0,0.0,33.0
