t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784264609.489964,1784264609.489964,mixed,1,0,2048,0.0081,2048,1,
1784264609.489964,1784264609.514639,mixed,16,0,2304,0.0091,30720,16,
1784264609.514639,1784264609.531873,decode,16,0,2544,0.0100,0,16,
1784264609.531873,1784264609.541897,decode,16,0,2544,0.0100,0,16,
1784264609.541897,1784264609.551883,decode,16,0,2544,0.0100,0,16,
1784264609.551883,1784264609.561831,decode,16,0,2544,0.0100,0,16,
1784264609.561831,1784264609.571857,decode,16,0,2544,0.0100,0,16,
1784264609.571857,1784264609.581881,decode,16,0,2544,0.0100,0,16,
1784264609.581881,1784264609.591856,decode,16,0,2544,0.0100,0,16,
1784264609.591856,1784264609.601812,decode,16,0,2544,0.0100,0,16,
1784264609.601812,1784264609.611694,decode,16,0,2544,0.0100,0,16,
1784264609.611694,1784264609.621601,decode,16,0,2544,0.0100,0,16,
1784264609.621601,1784264609.631523,decode,16,0,2544,0.0100,0,16,
1784264609.631523,1784264609.641757,decode,16,0,2544,0.0100,0,16,
1784264609.641757,1784264609.651412,decode,16,0,2544,0.0100,0,16,
1784264609.651412,1784264609.661317,decode,16,0,2544,0.0100,0,16,
1784264609.661317,1784264609.671246,decode,16,0,2544,0.0100,0,16,
1784264609.671246,1784264609.681658,decode,16,0,2560,0.0101,0,16,
1784264609.681658,1784264609.691700,decode,16,0,2800,0.0110,0,16,
1784264609.691700,1784264609.701559,decode,16,0,2800,0.0110,0,16,
1784264609.701559,1784264609.711476,decode,16,0,2800,0.0110,0,16,
1784264609.711476,1784264609.721586,decode,16,0,2800,0.0110,0,16,
1784264609.721586,1784264609.731487,decode,16,0,2800,0.0110,0,16,
1784264609.731487,1784264609.741802,decode,16,0,2800,0.0110,0,16,
1784264609.741802,1784264609.751277,decode,16,0,2800,0.0110,0,16,
1784264609.751277,1784264609.761272,decode,16,0,2800,0.0110,0,16,
