t_rel_s,measured_w,predicted_w
0.000,387.85,357.80
0.200,388.70,396.16
0.400,389.95,396.74
0.600,385.77,397.42
0.800,382.42,398.01
1.000,383.83,372.22
1.200,384.22,395.65
1.400,385.88,396.23
1.600,389.60,396.84
1.800,392.05,410.19
2.000,392.88,398.09
2.200,392.89,359.13
2.400,391.96,408.33
2.600,389.32,396.31
2.800,390.56,397.00
3.000,390.14,397.58
3.200,389.38,398.20
3.400,387.55,371.31
3.600,388.59,395.80
3.800,388.09,396.44
4.000,387.79,397.07
4.200,387.68,384.94
4.400,388.73,398.28
4.600,388.97,358.43
4.800,388.84,395.82
5.000,387.71,396.48
5.200,386.30,397.09
5.400,388.34,397.66
5.600,389.03,398.35
5.800,390.99,370.74
6.000,392.74,395.90
6.200,393.79,396.57
6.400,391.56,397.15
6.600,389.44,385.07
6.800,387.52,411.14
7.000,387.70,357.71
7.200,387.50,395.99
7.400,388.41,396.61
7.600,388.07,384.51
7.800,388.01,397.83
8.000,385.86,398.44
8.200,385.70,357.57
8.400,385.27,396.03
8.600,385.92,396.64
8.800,385.89,397.21
9.000,386.00,397.90
9.200,384.75,398.48
9.400,384.84,357.29
9.600,385.35,396.10
9.800,386.47,396.68
10.000,387.87,397.30
10.200,390.42,397.95
10.400,389.77,398.47
10.600,389.48,357.09
10.800,388.87,408.78
11.000,388.88,396.74
11.200,386.25,397.42
11.400,387.83,398.01
11.600,391.49,372.22
11.800,392.94,395.65
12.000,392.30,396.23
12.200,394.59,396.84
12.400,393.68,397.49
12.600,392.56,398.07
12.800,392.83,371.85
13.000,393.84,395.71
13.200,394.56,396.29
13.400,396.72,396.97
13.600,397.13,397.56
13.800,394.25,398.16
14.000,394.15,371.46
14.200,393.01,395.78
14.400,391.13,396.39
14.600,391.01,371.69
14.800,394.09,422.98
15.000,395.68,398.28
15.200,397.26,371.03
15.400,397.63,395.84
15.600,398.61,396.52
15.800,398.73,397.11
16.000,398.43,397.70
16.200,398.20,398.38
16.400,398.75,358.00
16.600,395.87,395.90
16.800,395.62,396.57
17.000,392.38,384.47
17.200,388.83,397.75
17.400,388.98,398.40
17.600,391.85,370.45
17.800,392.69,395.99
18.000,395.39,396.61
18.200,398.07,397.19
18.400,399.74,397.87
18.600,397.81,398.46
18.800,392.86,357.43
19.000,391.60,408.71
19.200,390.99,384.02
19.400,388.20,397.25
19.600,388.26,397.92
19.800,390.38,398.50
20.000,390.60,357.16
20.200,390.58,396.12
20.400,389.96,396.70
20.600,388.02,384.64
20.800,387.18,397.95
21.000,387.95,398.47
21.200,387.28,369.71
21.400,390.44,396.16
21.600,393.27,396.74
21.800,395.26,397.42
22.000,397.35,398.01
22.200,398.11,372.22
22.400,396.09,395.65
22.600,394.63,396.23
22.800,393.28,396.84
23.000,391.39,410.19
23.200,391.11,398.09
23.400,393.15,371.73
23.600,393.15,395.73
23.800,392.68,396.31
24.000,392.37,397.00
24.200,392.45,397.58
24.400,391.81,398.20
24.600,395.56,371.31
24.800,398.96,395.80
25.000,397.36,396.44
25.200,395.35,397.07
25.400,394.08,397.64
25.600,391.69,411.06
25.800,391.63,358.14
26.000,393.57,395.86
26.200,395.33,396.55
26.400,397.27,397.13
26.600,395.50,385.03
26.800,394.13,398.38
27.000,393.44,358.00
27.200,391.40,395.90
27.400,388.64,396.57
27.600,388.51,397.15
27.800,388.71,385.07
28.000,388.96,398.40
28.200,389.35,357.86
28.400,390.14,395.94
28.600,393.00,396.59
28.800,393.98,409.85
29.000,395.66,385.15
29.200,397.76,411.18
29.400,398.80,357.43
29.600,395.98,396.07
29.800,393.76,396.66
30.000,392.46,397.25
30.200,391.00,397.92
30.400,392.43,398.50
30.600,394.89,369.78
30.800,396.54,396.14
31.000,396.12,396.72
31.200,396.59,410.08
31.400,395.11,385.29
31.600,395.94,384.94
31.800,394.95,370.42
32.000,391.98,396.18
32.200,390.82,384.10
32.400,392.94,397.42
32.600,389.51,398.01
32.800,389.99,372.22
33.000,394.54,383.03
33.200,394.00,396.21
33.400,391.83,396.80
33.600,394.29,397.47
33.800,394.59,398.05
34.000,392.52,371.97
34.200,393.68,395.69
34.400,396.33,396.27
34.600,398.19,396.93
34.800,398.58,397.54
35.000,401.85,410.85
35.200,402.59,358.86
35.400,399.65,395.75
35.600,397.44,409.01
35.800,395.39,397.04
36.000,392.97,397.62
36.200,391.57,398.28
36.400,390.75,358.43
36.600,388.90,395.82
36.800,389.03,396.48
37.000,389.26,397.09
37.200,389.39,397.66
37.400,393.39,398.35
37.600,394.30,370.74
37.800,393.16,395.90
38.000,395.21,396.57
38.200,394.27,397.15
38.400,392.42,397.79
38.600,392.93,398.42
38.800,392.67,370.31
39.000,390.34,396.03
39.200,391.49,396.64
39.400,392.09,397.21
39.600,394.67,397.90
39.800,397.72,398.48
40.000,399.76,369.91
40.200,397.25,396.12
40.400,395.87,396.70
40.600,393.82,397.34
40.800,393.66,397.97
41.000,393.60,397.66
41.200,396.21,370.42
41.400,396.33,396.18
41.600,396.26,409.44
41.800,394.36,397.47
42.000,393.29,398.05
42.200,393.18,371.97
42.400,393.10,395.69
42.600,394.77,396.27
42.800,395.55,396.93
43.000,395.77,397.54
43.200,393.68,398.11
43.400,394.93,371.60
43.600,395.32,395.75
43.800,395.06,396.35
44.000,394.58,409.70
44.200,396.30,397.62
44.400,394.84,398.28
44.600,395.63,358.43
44.800,395.22,408.43
45.000,395.69,396.52
45.200,395.56,397.11
45.400,395.80,397.70
45.600,395.74,398.38
45.734,398.02,413.13
