t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784264763.532745,134.249,1980,3201,0.0,0.0,37.0
1784264763.542892,134.249,1980,3201,0.0,0.0,37.0
1784264763.552867,118.997,1980,3201,0.0,0.0,37.0
1784264763.721893,156.731,1785,3201,57.0,21.0,37.0
1784264763.721947,156.731,1785,3201,57.0,21.0,37.0
1784264763.732020,156.731,1785,3201,57.0,21.0,37.0
1784264763.742023,156.731,1785,3201,57.0,21.0,37.0
1784264763.752025,181.471,1890,3201,57.0,21.0,44.0
1784264763.762022,181.471,1890,3201,57.0,21.0,44.0
1784264763.772023,181.471,1890,3201,57.0,21.0,44.0
1784264763.782022,181.471,1890,3201,57.0,21.0,44.0
1784264763.792023,181.471,1890,3201,57.0,21.0,44.0
1784264763.802025,181.471,1890,3201,57.0,21.0,44.0
1784264763.812029,181.471,1890,3201,57.0,21.0,44.0
1784264763.822024,181.471,1890,3201,57.0,21.0,44.0
1784264763.832024,181.471,1890,3201,57.0,21.0,44.0
1784264763.842024,181.471,1890,3201,57.0,21.0,44.0
1784264763.852834,208.004,1965,3201,76.0,41.0,42.0
1784264763.862022,208.004,1965,3201,76.0,41.0,42.0
1784264763.872022,208.004,1965,3201,76.0,41.0,42.0
1784264763.882021,208.004,1965,3201,76.0,41.0,42.0
1784264763.892023,208.004,1965,3201,76.0,41.0,42.0
1784264763.902068,208.004,1965,3201,76.0,41.0,42.0
1784264763.912022,208.004,1965,3201,76.0,41.0,42.0
1784264763.922023,208.004,1965,3201,76.0,41.0,42.0
1784264763.932022,208.004,1965,3201,76.0,41.0,42.0
1784264763.942021,208.004,1965,3201,76.0,41.0,42.0
1784264763.952519,240.177,1965,3201,76.0,41.0,43.0
1784264763.962022,240.177,1965,3201,76.0,41.0,43.0
1784264763.972022,240.177,1965,3201,76.0,41.0,43.0
1784264763.982022,240.177,1965,3201,76.0,41.0,43.0
1784264763.992024,240.177,1965,3201,76.0,41.0,43.0
1784264764.002024,240.177,1965,3201,76.0,41.0,43.0
1784264764.012024,240.177,1965,3201,76.0,41.0,43.0
1784264764.022022,240.177,1965,3201,76.0,41.0,43.0
1784264764.032022,240.177,1965,3201,76.0,41.0,43.0
1784264764.042021,240.177,1965,3201,76.0,41.0,43.0
1784264764.052018,271.266,1965,3201,88.0,49.0,43.0
1784264764.062022,271.266,1965,3201,88.0,49.0,43.0
1784264764.072022,271.266,1965,3201,88.0,49.0,43.0
1784264764.082022,271.266,1965,3201,88.0,49.0,43.0
1784264764.092022,271.266,1965,3201,88.0,49.0,43.0
1784264764.102022,271.266,1965,3201,88.0,49.0,43.0
1784264764.112023,271.266,1965,3201,88.0,49.0,43.0
1784264764.122022,271.266,1965,3201,88.0,49.0,43.0
1784264764.132022,271.266,1965,3201,88.0,49.0,43.0
1784264764.142022,271.266,1965,3201,88.0,49.0,43.0
1784264764.152061,302.468,1980,3201,88.0,49.0,43.0
1784264764.162542,302.468,1980,3201,88.0,49.0,43.0
1784264764.172021,302.468,1980,3201,88.0,49.0,43.0
1784264764.182022,302.468,1980,3201,88.0,49.0,43.0
1784264764.192047,302.468,1980,3201,88.0,49.0,43.0
1784264764.202022,302.468,1980,3201,88.0,49.0,43.0
1784264764.212025,302.468,1980,3201,88.0,49.0,43.0
1784264764.222023,302.468,1980,3201,88.0,49.0,43.0
1784264764.232023,302.468,1980,3201,88.0,49.0,43.0
1784264764.242081,302.468,1980,3201,88.0,49.0,43.0
1784264764.252026,330.004,1980,3201,88.0,51.0,43.0
1784264764.262020,330.004,1980,3201,88.0,51.0,43.0
1784264764.272022,330.004,1980,3201,88.0,51.0,43.0
1784264764.282026,330.004,1980,3201,88.0,51.0,43.0
1784264764.292022,330.004,1980,3201,88.0,51.0,43.0
1784264764.302024,330.004,1980,3201,88.0,51.0,43.0
1784264764.312023,330.004,1980,3201,88.0,51.0,43.0
1784264764.322024,330.004,1980,3201,88.0,51.0,43.0
1784264764.332027,330.004,1980,3201,88.0,51.0,43.0
1784264764.342023,330.004,1980,3201,88.0,51.0,43.0
1784264764.352065,360.935,1980,3201,88.0,51.0,43.0
1784264764.362024,360.935,1980,3201,88.0,51.0,43.0
1784264764.372399,360.935,1980,3201,88.0,51.0,43.0
1784264764.382023,360.935,1980,3201,88.0,51.0,43.0
1784264764.392031,360.935,1980,3201,88.0,51.0,43.0
1784264764.402024,360.935,1980,3201,88.0,51.0,43.0
1784264764.412024,360.935,1980,3201,88.0,51.0,43.0
1784264764.422024,360.935,1980,3201,88.0,51.0,43.0
1784264764.432022,360.935,1980,3201,88.0,51.0,43.0
1784264764.442023,360.935,1980,3201,88.0,51.0,43.0
1784264764.452025,397.724,1980,3201,87.0,51.0,44.0
1784264764.462201,397.724,1980,3201,87.0,51.0,44.0
1784264764.472023,397.724,1980,3201,87.0,51.0,44.0
1784264764.482025,397.724,1980,3201,87.0,51.0,44.0
1784264764.492023,397.724,1980,3201,87.0,51.0,44.0
1784264764.502023,397.724,1980,3201,87.0,51.0,44.0
1784264764.512024,397.724,1980,3201,87.0,51.0,44.0
1784264764.522044,397.724,1980,3201,87.0,51.0,44.0
1784264764.532022,397.724,1980,3201,87.0,51.0,44.0
1784264764.542018,397.724,1980,3201,87.0,51.0,44.0
1784264764.552125,425.151,1980,3201,87.0,51.0,44.0
1784264764.562024,425.151,1980,3201,87.0,51.0,44.0
1784264764.572024,425.151,1980,3201,87.0,51.0,44.0
1784264764.582024,425.151,1980,3201,87.0,51.0,44.0
1784264764.592024,425.151,1980,3201,87.0,51.0,44.0
1784264764.602036,425.151,1980,3201,87.0,51.0,44.0
1784264764.612021,425.151,1980,3201,87.0,51.0,44.0
1784264764.622071,425.151,1980,3201,87.0,51.0,44.0
1784264764.632029,425.151,1980,3201,87.0,51.0,44.0
1784264764.642025,425.151,1980,3201,87.0,51.0,44.0
1784264764.652024,428.325,1980,3201,88.0,51.0,45.0
1784264764.662022,428.325,1980,3201,88.0,51.0,45.0
1784264764.672024,428.325,1980,3201,88.0,51.0,45.0
1784264764.682024,428.325,1980,3201,88.0,51.0,45.0
1784264764.692023,428.325,1980,3201,88.0,51.0,45.0
1784264764.702022,428.325,1980,3201,88.0,51.0,45.0
1784264764.712023,428.325,1980,3201,88.0,51.0,45.0
1784264764.722024,428.325,1980,3201,88.0,51.0,45.0
1784264764.732024,428.325,1980,3201,88.0,51.0,45.0
1784264764.742023,428.325,1980,3201,88.0,51.0,45.0
1784264764.752037,431.735,1980,3201,88.0,51.0,44.0
1784264764.762023,431.735,1980,3201,88.0,51.0,44.0
1784264764.772026,431.735,1980,3201,88.0,51.0,44.0
1784264764.782022,431.735,1980,3201,88.0,51.0,44.0
1784264764.792024,431.735,1980,3201,88.0,51.0,44.0
1784264764.802019,431.735,1980,3201,88.0,51.0,44.0
1784264764.812973,431.735,1980,3201,88.0,51.0,44.0
1784264764.822023,431.735,1980,3201,88.0,51.0,44.0
1784264764.832030,431.735,1980,3201,88.0,51.0,44.0
1784264764.842023,431.735,1980,3201,88.0,51.0,44.0
1784264764.852023,438.737,1980,3201,86.0,51.0,45.0
1784264764.862022,438.737,1980,3201,86.0,51.0,45.0
1784264764.872230,438.737,1980,3201,86.0,51.0,45.0
1784264764.882022,438.737,1980,3201,86.0,51.0,45.0
1784264764.892021,438.737,1980,3201,86.0,51.0,45.0
1784264764.902018,438.737,1980,3201,86.0,51.0,45.0
1784264764.912019,438.737,1980,3201,86.0,51.0,45.0
1784264764.922023,438.737,1980,3201,86.0,51.0,45.0
1784264764.932024,438.737,1980,3201,86.0,51.0,45.0
1784264764.942026,438.737,1980,3201,86.0,51.0,45.0
1784264764.952024,441.508,1980,3201,86.0,51.0,44.0
1784264764.962024,441.508,1980,3201,86.0,51.0,44.0
1784264764.972022,441.508,1980,3201,86.0,51.0,44.0
1784264764.982022,441.508,1980,3201,86.0,51.0,44.0
1784264764.992023,441.508,1980,3201,86.0,51.0,44.0
1784264765.003083,441.508,1980,3201,86.0,51.0,44.0
1784264765.012024,441.508,1980,3201,86.0,51.0,44.0
1784264765.022069,441.508,1980,3201,86.0,51.0,44.0
1784264765.032023,441.508,1980,3201,86.0,51.0,44.0
1784264765.042057,441.508,1980,3201,86.0,51.0,44.0
1784264765.052022,443.217,1980,3201,84.0,51.0,45.0
1784264765.062883,443.217,1980,3201,84.0,51.0,45.0
1784264765.072022,443.217,1980,3201,84.0,51.0,45.0
1784264765.082023,443.217,1980,3201,84.0,51.0,45.0
1784264765.092024,443.217,1980,3201,84.0,51.0,45.0
1784264765.102022,443.217,1980,3201,84.0,51.0,45.0
1784264765.112022,443.217,1980,3201,84.0,51.0,45.0
1784264765.122705,443.217,1980,3201,84.0,51.0,45.0
1784264765.132024,443.217,1980,3201,84.0,51.0,45.0
1784264765.142028,443.217,1980,3201,84.0,51.0,45.0
1784264765.152022,444.662,1980,3201,84.0,51.0,45.0
1784264765.162026,444.662,1980,3201,84.0,51.0,45.0
1784264765.172023,444.662,1980,3201,84.0,51.0,45.0
1784264765.182022,444.662,1980,3201,84.0,51.0,45.0
1784264765.192022,444.662,1980,3201,84.0,51.0,45.0
1784264765.202023,444.662,1980,3201,84.0,51.0,45.0
1784264765.212022,444.662,1980,3201,84.0,51.0,45.0
1784264765.222022,444.662,1980,3201,84.0,51.0,45.0
1784264765.232138,444.662,1980,3201,84.0,51.0,45.0
1784264765.242023,444.662,1980,3201,84.0,51.0,45.0
1784264765.252025,435.336,1980,3201,68.0,41.0,44.0
1784264765.262239,435.336,1980,3201,68.0,41.0,44.0
1784264765.272022,435.336,1980,3201,68.0,41.0,44.0
1784264765.282027,435.336,1980,3201,68.0,41.0,44.0
1784264765.292023,435.336,1980,3201,68.0,41.0,44.0
1784264765.302023,435.336,1980,3201,68.0,41.0,44.0
1784264765.312022,435.336,1980,3201,68.0,41.0,44.0
1784264765.322021,435.336,1980,3201,68.0,41.0,44.0
1784264765.332021,435.336,1980,3201,68.0,41.0,44.0
1784264765.342022,435.336,1980,3201,68.0,41.0,44.0
1784264765.352021,436.355,1980,3201,68.0,41.0,42.0
1784264765.362022,436.355,1980,3201,68.0,41.0,42.0
1784264765.372983,436.355,1980,3201,68.0,41.0,42.0
1784264765.382020,436.355,1980,3201,68.0,41.0,42.0
1784264765.392020,436.355,1980,3201,68.0,41.0,42.0
1784264765.402019,436.355,1980,3201,68.0,41.0,42.0
1784264765.412019,436.355,1980,3201,68.0,41.0,42.0
1784264765.422019,436.355,1980,3201,68.0,41.0,42.0
1784264765.432019,436.355,1980,3201,68.0,41.0,42.0
1784264765.442018,436.355,1980,3201,68.0,41.0,42.0
1784264765.452824,434.128,1965,3201,84.0,46.0,44.0
1784264765.462018,434.128,1965,3201,84.0,46.0,44.0
1784264765.472017,434.128,1965,3201,84.0,46.0,44.0
1784264765.482017,434.128,1965,3201,84.0,46.0,44.0
1784264765.492018,434.128,1965,3201,84.0,46.0,44.0
1784264765.502018,434.128,1965,3201,84.0,46.0,44.0
1784264765.512019,434.128,1965,3201,84.0,46.0,44.0
1784264765.522018,434.128,1965,3201,84.0,46.0,44.0
1784264765.532715,434.128,1965,3201,84.0,46.0,44.0
1784264765.542018,434.128,1965,3201,84.0,46.0,44.0
1784264765.552018,429.654,1965,3201,84.0,46.0,44.0
1784264765.562114,429.654,1965,3201,84.0,46.0,44.0
1784264765.572056,429.654,1965,3201,84.0,46.0,44.0
1784264765.582023,429.654,1965,3201,84.0,46.0,44.0
1784264765.592024,429.654,1965,3201,84.0,46.0,44.0
1784264765.602028,429.654,1965,3201,84.0,46.0,44.0
1784264765.612231,429.654,1965,3201,84.0,46.0,44.0
1784264765.622022,429.654,1965,3201,84.0,46.0,44.0
1784264765.632022,429.654,1965,3201,84.0,46.0,44.0
1784264765.642025,429.654,1965,3201,84.0,46.0,44.0
1784264765.652023,426.288,1965,3201,84.0,48.0,44.0
1784264765.662023,426.288,1965,3201,84.0,48.0,44.0
1784264765.672022,426.288,1965,3201,84.0,48.0,44.0
1784264765.682022,426.288,1965,3201,84.0,48.0,44.0
1784264765.692464,426.288,1965,3201,84.0,48.0,44.0
1784264765.702022,426.288,1965,3201,84.0,48.0,44.0
1784264765.712044,426.288,1965,3201,84.0,48.0,44.0
1784264765.722023,426.288,1965,3201,84.0,48.0,44.0
1784264765.732062,426.288,1965,3201,84.0,48.0,44.0
1784264765.742022,426.288,1965,3201,84.0,48.0,44.0
1784264765.752023,423.974,1980,3201,84.0,48.0,44.0
1784264765.762024,423.974,1980,3201,84.0,48.0,44.0
1784264765.772022,423.974,1980,3201,84.0,48.0,44.0
1784264765.782022,423.974,1980,3201,84.0,48.0,44.0
1784264765.792023,423.974,1980,3201,84.0,48.0,44.0
1784264765.802022,423.974,1980,3201,84.0,48.0,44.0
1784264765.812027,423.974,1980,3201,84.0,48.0,44.0
1784264765.822041,423.974,1980,3201,84.0,48.0,44.0
1784264765.832024,423.974,1980,3201,84.0,48.0,44.0
1784264765.842023,423.974,1980,3201,84.0,48.0,44.0
1784264765.852024,421.922,1980,3201,84.0,49.0,44.0
1784264765.862026,421.922,1980,3201,84.0,49.0,44.0
1784264765.872025,421.922,1980,3201,84.0,49.0,44.0
1784264765.882025,421.922,1980,3201,84.0,49.0,44.0
1784264765.892024,421.922,1980,3201,84.0,49.0,44.0
1784264765.902023,421.922,1980,3201,84.0,49.0,44.0
1784264765.912023,421.922,1980,3201,84.0,49.0,44.0
1784264765.922023,421.922,1980,3201,84.0,49.0,44.0
1784264765.932026,421.922,1980,3201,84.0,49.0,44.0
1784264765.942024,421.922,1980,3201,84.0,49.0,44.0
1784264765.952033,420.744,1980,3201,84.0,49.0,45.0
1784264765.962038,420.744,1980,3201,84.0,49.0,45.0
1784264765.972032,420.744,1980,3201,84.0,49.0,45.0
1784264765.982023,420.744,1980,3201,84.0,49.0,45.0
1784264765.992023,420.744,1980,3201,84.0,49.0,45.0
1784264766.002023,420.744,1980,3201,84.0,49.0,45.0
1784264766.012023,420.744,1980,3201,84.0,49.0,45.0
1784264766.022021,420.744,1980,3201,84.0,49.0,45.0
1784264766.032022,420.744,1980,3201,84.0,49.0,45.0
1784264766.042040,420.744,1980,3201,84.0,49.0,45.0
1784264766.052024,418.882,1980,3201,84.0,50.0,45.0
1784264766.062029,418.882,1980,3201,84.0,50.0,45.0
1784264766.072023,418.882,1980,3201,84.0,50.0,45.0
1784264766.082273,418.882,1980,3201,84.0,50.0,45.0
1784264766.092023,418.882,1980,3201,84.0,50.0,45.0
1784264766.102025,418.882,1980,3201,84.0,50.0,45.0
1784264766.112023,418.882,1980,3201,84.0,50.0,45.0
1784264766.122022,418.882,1980,3201,84.0,50.0,45.0
1784264766.132022,418.882,1980,3201,84.0,50.0,45.0
1784264766.142023,418.882,1980,3201,84.0,50.0,45.0
1784264766.153202,418.148,1980,3201,84.0,50.0,45.0
1784264766.162018,418.148,1980,3201,84.0,50.0,45.0
1784264766.172024,418.148,1980,3201,84.0,50.0,45.0
1784264766.182019,418.148,1980,3201,84.0,50.0,45.0
1784264766.192033,418.148,1980,3201,84.0,50.0,45.0
1784264766.202022,418.148,1980,3201,84.0,50.0,45.0
1784264766.212286,418.148,1980,3201,84.0,50.0,45.0
1784264766.222022,418.148,1980,3201,84.0,50.0,45.0
1784264766.232030,418.148,1980,3201,84.0,50.0,45.0
1784264766.242019,418.148,1980,3201,84.0,50.0,45.0
1784264766.252022,428.527,1980,3201,85.0,50.0,45.0
