t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784263760.451237,1784263760.451237,mixed,1,0,512,0.0020,512,1,
1784263760.451237,1784263760.468236,decode,1,0,528,0.0021,0,1,
1784263760.468236,1784263760.476695,decode,1,0,528,0.0021,0,1,
1784263760.476695,1784263760.485038,decode,1,0,528,0.0021,0,1,
1784263760.485038,1784263760.493586,decode,1,0,528,0.0021,0,1,
1784263760.493586,1784263760.501780,decode,1,0,528,0.0021,0,1,
1784263760.501780,1784263760.510241,decode,1,0,528,0.0021,0,1,
1784263760.510241,1784263760.518419,decode,1,0,528,0.0021,0,1,
1784263760.518419,1784263760.526765,decode,1,0,528,0.0021,0,1,
1784263760.526765,1784263760.535114,decode,1,0,528,0.0021,0,1,
1784263760.535114,1784263760.543550,decode,1,0,528,0.0021,0,1,
1784263760.543550,1784263760.551758,decode,1,0,528,0.0021,0,1,
1784263760.551758,1784263760.559665,decode,1,0,528,0.0021,0,1,
1784263760.559665,1784263760.567999,decode,1,0,528,0.0021,0,1,
1784263760.567999,1784263760.576435,decode,1,0,528,0.0021,0,1,
1784263760.576435,1784263760.584811,decode,1,0,528,0.0021,0,1,
1784263760.584811,1784263760.593167,decode,1,0,528,0.0021,0,1,
1784263760.593167,1784263760.601085,decode,1,0,544,0.0021,0,1,
1784263760.601085,1784263760.609656,decode,1,0,544,0.0021,0,1,
1784263760.609656,1784263760.617965,decode,1,0,544,0.0021,0,1,
1784263760.617965,1784263760.626024,decode,1,0,544,0.0021,0,1,
1784263760.626024,1784263760.634191,decode,1,0,544,0.0021,0,1,
1784263760.634191,1784263760.642587,decode,1,0,544,0.0021,0,1,
1784263760.642587,1784263760.650879,decode,1,0,544,0.0021,0,1,
1784263760.650879,1784263760.659404,decode,1,0,544,0.0021,0,1,
1784263760.659404,1784263760.667543,decode,1,0,544,0.0021,0,1,
1784263760.667543,1784263760.675996,decode,1,0,544,0.0021,0,1,
1784263760.675996,1784263760.683936,decode,1,0,544,0.0021,0,1,
1784263760.683936,1784263760.692352,decode,1,0,544,0.0021,0,1,
1784263760.692352,1784263760.700811,decode,1,0,544,0.0021,0,1,
1784263760.700811,1784263760.709570,decode,1,0,544,0.0021,0,1,
1784263760.709570,1784263760.717848,decode,1,0,544,0.0021,0,1,
