t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784263760.366186,159.797,1980,3201,0.0,0.0,36.0
1784263760.376268,159.797,1980,3201,0.0,0.0,36.0
1784263760.386262,124.807,1980,3201,0.0,0.0,36.0
1784263760.396260,124.807,1980,3201,0.0,0.0,36.0
1784263760.406258,124.807,1980,3201,0.0,0.0,36.0
1784263760.416258,124.807,1980,3201,0.0,0.0,36.0
1784263760.426258,124.807,1980,3201,0.0,0.0,36.0
1784263760.436258,124.807,1980,3201,0.0,0.0,36.0
1784263760.446260,124.807,1980,3201,0.0,0.0,36.0
1784263760.456258,124.807,1980,3201,0.0,0.0,36.0
1784263760.466259,124.807,1980,3201,0.0,0.0,36.0
1784263760.476258,124.807,1980,3201,0.0,0.0,36.0
1784263760.486257,130.268,1980,3201,0.0,0.0,39.0
1784263760.496257,130.268,1980,3201,0.0,0.0,39.0
1784263760.506259,130.268,1980,3201,0.0,0.0,39.0
1784263760.516257,130.268,1980,3201,0.0,0.0,39.0
1784263760.526259,130.268,1980,3201,0.0,0.0,39.0
1784263760.536255,130.268,1980,3201,0.0,0.0,39.0
1784263760.546258,130.268,1980,3201,0.0,0.0,39.0
1784263760.556259,130.268,1980,3201,0.0,0.0,39.0
1784263760.566259,130.268,1980,3201,0.0,0.0,39.0
1784263760.576258,130.268,1980,3201,0.0,0.0,39.0
1784263760.586261,153.349,1980,3201,0.0,0.0,38.0
1784263760.596258,153.349,1980,3201,0.0,0.0,38.0
1784263760.606259,153.349,1980,3201,0.0,0.0,38.0
1784263760.616259,153.349,1980,3201,0.0,0.0,38.0
1784263760.626255,153.349,1980,3201,0.0,0.0,38.0
1784263760.636259,153.349,1980,3201,0.0,0.0,38.0
1784263760.646258,153.349,1980,3201,0.0,0.0,38.0
1784263760.656260,153.349,1980,3201,0.0,0.0,38.0
1784263760.666258,153.349,1980,3201,0.0,0.0,38.0
1784263760.676260,153.349,1980,3201,0.0,0.0,38.0
1784263760.686260,176.070,1980,3201,88.0,56.0,38.0
1784263760.696258,176.070,1980,3201,88.0,56.0,38.0
1784263760.706259,176.070,1980,3201,88.0,56.0,38.0
1784263760.716259,176.070,1980,3201,88.0,56.0,38.0
1784263760.726437,176.070,1980,3201,88.0,56.0,38.0
1784263760.736260,176.070,1980,3201,88.0,56.0,38.0
1784263760.746259,176.070,1980,3201,88.0,56.0,38.0
1784263760.756260,176.070,1980,3201,88.0,56.0,38.0
1784263760.766260,176.070,1980,3201,88.0,56.0,38.0
1784263760.776260,176.070,1980,3201,88.0,56.0,38.0
1784263760.786262,176.070,1980,3201,88.0,56.0,38.0
1784263760.796259,197.824,1980,3201,88.0,56.0,39.0
1784263760.806259,197.824,1980,3201,88.0,56.0,39.0
1784263760.816275,197.824,1980,3201,88.0,56.0,39.0
1784263760.826500,197.824,1980,3201,88.0,56.0,39.0
1784263760.836258,197.824,1980,3201,88.0,56.0,39.0
1784263760.846258,197.824,1980,3201,88.0,56.0,39.0
1784263760.856260,197.824,1980,3201,88.0,56.0,39.0
1784263760.866258,197.824,1980,3201,88.0,56.0,39.0
1784263760.876251,197.824,1980,3201,88.0,56.0,39.0
1784263760.886259,220.460,1980,3201,87.0,55.0,39.0
1784263760.896255,220.460,1980,3201,87.0,55.0,39.0
1784263760.906259,220.460,1980,3201,87.0,55.0,39.0
1784263760.916255,220.460,1980,3201,87.0,55.0,39.0
1784263760.926255,220.460,1980,3201,87.0,55.0,39.0
1784263760.936257,220.460,1980,3201,87.0,55.0,39.0
1784263760.946254,220.460,1980,3201,87.0,55.0,39.0
1784263760.956254,220.460,1980,3201,87.0,55.0,39.0
1784263760.966254,220.460,1980,3201,87.0,55.0,39.0
1784263760.976255,220.460,1980,3201,87.0,55.0,39.0
1784263760.986254,241.907,1980,3201,87.0,55.0,39.0
1784263760.996256,241.907,1980,3201,87.0,55.0,39.0
1784263761.006253,241.907,1980,3201,87.0,55.0,39.0
1784263761.016255,241.907,1980,3201,87.0,55.0,39.0
1784263761.026252,241.907,1980,3201,87.0,55.0,39.0
1784263761.036254,241.907,1980,3201,87.0,55.0,39.0
1784263761.046272,241.907,1980,3201,87.0,55.0,39.0
1784263761.056310,241.907,1980,3201,87.0,55.0,39.0
1784263761.066397,241.907,1980,3201,87.0,55.0,39.0
1784263761.076326,241.907,1980,3201,87.0,55.0,39.0
1784263761.086250,262.993,1980,3201,87.0,55.0,39.0
1784263761.096274,262.993,1980,3201,87.0,55.0,39.0
1784263761.106258,262.993,1980,3201,87.0,55.0,39.0
1784263761.116257,262.993,1980,3201,87.0,55.0,39.0
1784263761.126257,262.993,1980,3201,87.0,55.0,39.0
1784263761.136250,262.993,1980,3201,87.0,55.0,39.0
1784263761.146257,262.993,1980,3201,87.0,55.0,39.0
1784263761.156259,262.993,1980,3201,87.0,55.0,39.0
1784263761.166258,262.993,1980,3201,87.0,55.0,39.0
1784263761.176298,262.993,1980,3201,87.0,55.0,39.0
1784263761.186249,281.112,1980,3201,87.0,55.0,39.0
1784263761.196257,281.112,1980,3201,87.0,55.0,39.0
1784263761.206259,281.112,1980,3201,87.0,55.0,39.0
1784263761.216258,281.112,1980,3201,87.0,55.0,39.0
1784263761.226257,281.112,1980,3201,87.0,55.0,39.0
1784263761.236248,281.112,1980,3201,87.0,55.0,39.0
1784263761.246256,281.112,1980,3201,87.0,55.0,39.0
1784263761.256260,281.112,1980,3201,87.0,55.0,39.0
1784263761.266257,281.112,1980,3201,87.0,55.0,39.0
1784263761.276252,281.112,1980,3201,87.0,55.0,39.0
1784263761.286248,305.549,1980,3201,87.0,56.0,39.0
1784263761.296257,305.549,1980,3201,87.0,56.0,39.0
1784263761.306311,305.549,1980,3201,87.0,56.0,39.0
1784263761.316257,305.549,1980,3201,87.0,56.0,39.0
1784263761.326249,305.549,1980,3201,87.0,56.0,39.0
1784263761.336256,305.549,1980,3201,87.0,56.0,39.0
1784263761.346258,305.549,1980,3201,87.0,56.0,39.0
1784263761.356257,305.549,1980,3201,87.0,56.0,39.0
1784263761.366258,305.549,1980,3201,87.0,56.0,39.0
1784263761.376250,305.549,1980,3201,87.0,56.0,39.0
1784263761.386257,326.028,1980,3201,87.0,56.0,39.0
1784263761.396258,326.028,1980,3201,87.0,56.0,39.0
1784263761.406258,326.028,1980,3201,87.0,56.0,39.0
1784263761.416277,326.028,1980,3201,87.0,56.0,39.0
1784263761.426258,326.028,1980,3201,87.0,56.0,39.0
1784263761.436249,326.028,1980,3201,87.0,56.0,39.0
1784263761.446259,326.028,1980,3201,87.0,56.0,39.0
1784263761.456262,326.028,1980,3201,87.0,56.0,39.0
1784263761.466259,326.028,1980,3201,87.0,56.0,39.0
1784263761.476271,326.028,1980,3201,87.0,56.0,39.0
1784263761.486249,335.385,1980,3201,86.0,55.0,39.0
1784263761.496257,335.385,1980,3201,86.0,55.0,39.0
1784263761.506258,335.385,1980,3201,86.0,55.0,39.0
1784263761.516258,335.385,1980,3201,86.0,55.0,39.0
1784263761.526258,335.385,1980,3201,86.0,55.0,39.0
1784263761.536288,335.385,1980,3201,86.0,55.0,39.0
1784263761.546254,335.385,1980,3201,86.0,55.0,39.0
1784263761.556249,335.385,1980,3201,86.0,55.0,39.0
1784263761.566258,335.385,1980,3201,86.0,55.0,39.0
1784263761.576258,335.385,1980,3201,86.0,55.0,39.0
1784263761.586258,333.278,1980,3201,86.0,55.0,39.0
1784263761.596249,333.278,1980,3201,86.0,55.0,39.0
1784263761.606256,333.278,1980,3201,86.0,55.0,39.0
1784263761.616259,333.278,1980,3201,86.0,55.0,39.0
1784263761.626257,333.278,1980,3201,86.0,55.0,39.0
1784263761.636260,333.278,1980,3201,86.0,55.0,39.0
1784263761.646358,333.278,1980,3201,86.0,55.0,39.0
1784263761.656259,333.278,1980,3201,86.0,55.0,39.0
1784263761.666306,333.278,1980,3201,86.0,55.0,39.0
1784263761.676262,333.278,1980,3201,86.0,55.0,39.0
1784263761.686259,332.685,1980,3201,84.0,53.0,39.0
1784263761.696448,332.685,1980,3201,84.0,53.0,39.0
1784263761.706258,332.685,1980,3201,84.0,53.0,39.0
1784263761.716259,332.685,1980,3201,84.0,53.0,39.0
1784263761.726259,332.685,1980,3201,84.0,53.0,39.0
1784263761.736259,332.685,1980,3201,84.0,53.0,39.0
1784263761.746260,332.685,1980,3201,84.0,53.0,39.0
1784263761.756259,332.685,1980,3201,84.0,53.0,39.0
1784263761.766260,332.685,1980,3201,84.0,53.0,39.0
1784263761.776260,332.685,1980,3201,84.0,53.0,39.0
1784263761.786284,332.685,1980,3201,84.0,53.0,39.0
1784263761.796259,331.817,1980,3201,84.0,53.0,40.0
1784263761.806258,331.817,1980,3201,84.0,53.0,40.0
1784263761.816259,331.817,1980,3201,84.0,53.0,40.0
1784263761.826260,331.817,1980,3201,84.0,53.0,40.0
1784263761.836467,331.817,1980,3201,84.0,53.0,40.0
1784263761.846259,331.817,1980,3201,84.0,53.0,40.0
1784263761.856259,331.817,1980,3201,84.0,53.0,40.0
1784263761.866258,331.817,1980,3201,84.0,53.0,40.0
1784263761.876260,331.817,1980,3201,84.0,53.0,40.0
1784263761.886310,330.787,1980,3201,87.0,56.0,40.0
1784263761.896263,330.787,1980,3201,87.0,56.0,40.0
1784263761.906307,330.787,1980,3201,87.0,56.0,40.0
1784263761.916362,330.787,1980,3201,87.0,56.0,40.0
1784263761.926265,330.787,1980,3201,87.0,56.0,40.0
1784263761.936259,330.787,1980,3201,87.0,56.0,40.0
1784263761.946263,330.787,1980,3201,87.0,56.0,40.0
1784263761.956328,330.787,1980,3201,87.0,56.0,40.0
1784263761.966260,330.787,1980,3201,87.0,56.0,40.0
1784263761.976367,330.787,1980,3201,87.0,56.0,40.0
1784263761.986278,328.046,1980,3201,87.0,56.0,39.0
1784263761.996264,328.046,1980,3201,87.0,56.0,39.0
1784263762.006297,328.046,1980,3201,87.0,56.0,39.0
1784263762.016343,328.046,1980,3201,87.0,56.0,39.0
1784263762.026275,328.046,1980,3201,87.0,56.0,39.0
1784263762.036259,328.046,1980,3201,87.0,56.0,39.0
1784263762.046263,328.046,1980,3201,87.0,56.0,39.0
1784263762.056351,328.046,1980,3201,87.0,56.0,39.0
1784263762.066373,328.046,1980,3201,87.0,56.0,39.0
1784263762.076265,328.046,1980,3201,87.0,56.0,39.0
1784263762.086260,326.507,1980,3201,82.0,52.0,40.0
1784263762.096261,326.507,1980,3201,82.0,52.0,40.0
1784263762.106255,326.507,1980,3201,82.0,52.0,40.0
