t_rel_s,measured_w,predicted_w
0.000,333.81,319.31
0.200,331.93,337.70
0.400,328.60,319.55
0.600,326.66,337.97
0.800,327.07,338.11
1.000,329.15,328.57
1.200,327.25,337.65
1.400,328.68,337.79
1.600,331.45,347.08
1.800,332.60,338.07
2.000,332.15,328.74
2.200,332.67,337.60
2.400,334.52,337.75
2.600,334.43,337.88
2.800,335.65,338.03
3.000,335.55,338.16
3.200,337.85,328.34
3.400,340.18,337.70
3.600,341.40,346.99
3.800,339.68,337.98
4.000,337.13,338.13
4.200,334.61,328.51
4.400,329.92,337.66
4.600,328.71,337.79
4.800,328.77,337.94
5.000,331.78,347.23
5.200,335.57,319.56
5.400,338.54,346.74
5.600,337.54,337.76
5.800,337.98,328.74
6.000,338.40,347.19
6.200,337.99,329.01
6.400,336.56,328.32
6.600,337.58,337.70
6.800,335.83,337.85
7.000,334.93,337.98
7.200,335.16,338.13
7.400,336.35,328.51
7.600,336.34,337.66
7.800,337.44,337.79
8.000,337.63,337.94
8.200,336.82,338.07
8.400,336.59,337.85
8.600,337.26,337.61
8.800,337.85,337.76
9.000,337.45,328.74
9.200,337.18,338.03
9.400,337.10,329.01
9.600,336.03,328.34
9.800,335.47,264.58
10.000,328.82,319.50
10.200,320.01,337.92
10.400,319.02,328.91
10.600,318.37,328.81
10.800,318.72,328.46
11.000,325.84,337.72
11.200,334.52,337.87
11.400,334.04,328.84
11.600,334.88,338.14
11.800,334.16,319.32
12.000,332.28,337.67
12.200,331.54,337.80
12.400,330.92,337.95
12.600,331.34,328.92
12.800,331.73,328.72
13.000,333.34,337.61
13.200,334.55,337.76
13.400,334.93,328.74
13.600,333.16,338.03
13.800,333.96,338.16
14.000,334.07,319.20
14.200,333.47,337.69
14.400,334.91,337.83
14.600,336.33,337.97
14.800,335.85,338.11
15.000,334.66,319.43
15.200,334.76,328.50
15.400,332.50,319.49
15.600,329.94,337.89
15.800,330.74,338.05
16.000,331.59,328.86
16.200,331.03,328.45
16.400,333.13,337.71
16.600,336.35,337.86
16.800,336.03,347.14
17.000,336.96,338.14
17.200,337.99,319.32
17.400,336.86,337.67
17.600,336.08,346.94
17.800,336.44,337.96
18.000,337.57,347.24
18.200,338.02,328.65
18.400,340.39,337.62
18.600,341.23,337.77
18.800,340.89,347.05
19.000,340.16,338.06
19.200,339.60,328.81
19.400,338.69,337.59
19.600,337.12,346.87
19.800,334.19,337.88
20.000,332.83,338.01
20.200,333.01,338.15
20.400,333.30,328.39
20.600,336.37,337.69
20.800,340.50,337.83
21.000,341.86,347.12
21.200,341.54,338.11
21.400,341.35,319.43
21.600,339.06,337.64
21.800,337.83,337.78
22.000,336.59,337.92
22.200,335.95,338.06
22.400,335.39,328.79
22.600,334.98,337.60
22.800,333.98,328.59
23.000,334.45,337.87
23.200,334.92,338.00
23.400,335.63,338.15
23.600,337.23,328.41
23.800,336.63,337.69
24.000,334.79,337.82
24.200,335.47,337.96
24.400,336.36,347.26
24.600,336.53,328.59
24.800,338.94,337.64
25.000,342.05,346.93
25.200,342.03,337.93
25.400,341.98,338.07
25.600,342.02,337.90
25.800,341.29,337.60
26.000,340.11,337.75
26.200,341.10,347.03
26.400,341.13,338.03
26.600,339.98,338.17
26.800,339.21,328.32
27.000,338.22,337.70
27.200,335.37,337.85
27.400,334.29,337.98
27.600,331.74,347.29
27.800,330.38,319.35
28.000,330.77,337.66
28.200,332.60,337.79
28.400,333.32,337.94
28.600,336.35,338.07
28.800,340.88,328.72
29.000,343.01,337.61
29.200,342.13,337.76
29.400,340.29,337.89
29.600,338.43,338.03
29.800,335.77,338.17
30.000,333.49,328.32
30.200,332.89,328.56
30.400,332.85,328.69
30.600,332.27,337.97
30.800,332.40,338.11
31.000,333.12,319.43
31.200,334.56,337.64
31.400,336.48,346.93
31.600,336.84,337.93
31.800,335.73,328.91
32.000,335.50,328.79
32.200,334.24,337.60
32.400,333.15,337.73
32.600,334.35,337.88
32.800,334.62,338.01
33.000,335.68,338.15
33.200,336.47,328.39
33.400,337.10,328.55
33.600,336.42,337.82
33.800,335.86,337.96
34.000,336.00,338.10
34.200,335.76,328.62
34.400,335.93,328.49
34.600,335.23,337.77
34.800,333.71,337.90
35.000,332.64,347.21
35.200,334.09,319.68
35.400,333.35,337.59
35.600,335.11,337.72
35.800,337.92,337.87
36.000,338.71,338.00
36.200,336.30,328.99
36.400,335.95,328.46
36.600,335.57,337.68
36.800,335.30,337.80
37.000,334.54,337.96
37.200,335.32,338.08
37.400,336.29,328.67
37.600,337.34,346.76
37.800,338.15,337.77
38.000,339.31,347.05
38.200,340.01,338.06
38.400,340.84,328.81
38.600,340.48,337.59
38.800,341.01,337.72
39.000,341.18,347.02
39.200,342.11,338.01
39.400,340.29,338.15
39.600,339.19,328.39
39.800,337.53,337.69
40.000,337.54,337.83
40.200,336.17,347.12
40.400,336.63,338.11
40.600,338.13,328.57
40.800,338.52,337.65
41.000,339.21,346.93
41.200,342.29,337.93
41.400,345.11,338.07
41.600,344.46,328.74
41.800,343.53,337.60
42.000,341.80,337.75
42.200,338.34,347.03
42.400,334.83,338.03
42.600,333.56,338.17
42.800,333.33,328.32
43.000,333.33,337.70
43.200,334.60,337.85
43.400,335.17,347.13
43.600,336.36,338.13
43.800,338.33,328.48
44.000,338.57,337.67
44.200,337.69,337.80
44.400,337.90,337.95
44.600,337.28,338.08
44.800,337.06,319.56
45.000,336.84,337.61
45.200,337.04,337.76
45.400,336.28,328.74
45.600,335.94,347.18
45.799,336.68,341.03
