t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784263669.574724,118.504,1980,3201,0.0,0.0,36.0
1784263669.584803,118.381,1980,3201,0.0,0.0,36.0
1784263669.594799,118.381,1980,3201,0.0,0.0,36.0
1784263669.604799,118.381,1980,3201,0.0,0.0,36.0
1784263669.614797,118.381,1980,3201,0.0,0.0,36.0
1784263669.624801,118.381,1980,3201,0.0,0.0,36.0
1784263669.634799,118.381,1980,3201,0.0,0.0,36.0
1784263669.644797,118.381,1980,3201,0.0,0.0,36.0
1784263669.654795,118.381,1980,3201,0.0,0.0,36.0
1784263669.664798,118.381,1980,3201,0.0,0.0,36.0
1784263669.674798,118.381,1980,3201,0.0,0.0,36.0
1784263669.684798,118.516,1980,3201,0.0,0.0,36.0
1784263669.694796,118.516,1980,3201,0.0,0.0,36.0
1784263669.704798,118.516,1980,3201,0.0,0.0,36.0
1784263669.714800,118.516,1980,3201,0.0,0.0,36.0
1784263669.724801,118.516,1980,3201,0.0,0.0,36.0
1784263669.734799,118.516,1980,3201,0.0,0.0,36.0
1784263669.744869,118.516,1980,3201,0.0,0.0,36.0
1784263669.754803,118.516,1980,3201,0.0,0.0,36.0
1784263669.764798,118.516,1980,3201,0.0,0.0,36.0
1784263669.774801,118.516,1980,3201,0.0,0.0,36.0
1784263669.784798,118.573,1980,3201,0.0,0.0,36.0
1784263669.794799,118.573,1980,3201,0.0,0.0,36.0
1784263669.804799,118.573,1980,3201,0.0,0.0,36.0
1784263669.814798,118.573,1980,3201,0.0,0.0,36.0
1784263669.824801,118.573,1980,3201,0.0,0.0,36.0
1784263669.834815,118.573,1980,3201,0.0,0.0,36.0
1784263669.844798,118.573,1980,3201,0.0,0.0,36.0
1784263669.854799,118.573,1980,3201,0.0,0.0,36.0
1784263669.864798,118.573,1980,3201,0.0,0.0,36.0
1784263669.874800,118.573,1980,3201,0.0,0.0,36.0
1784263669.884797,118.546,1980,3201,0.0,0.0,36.0
1784263669.894799,118.546,1980,3201,0.0,0.0,36.0
1784263669.904798,118.546,1980,3201,0.0,0.0,36.0
1784263669.914798,118.546,1980,3201,0.0,0.0,36.0
1784263669.924800,118.546,1980,3201,0.0,0.0,36.0
1784263669.934796,118.546,1980,3201,0.0,0.0,36.0
1784263669.944797,118.546,1980,3201,0.0,0.0,36.0
1784263669.954795,118.546,1980,3201,0.0,0.0,36.0
1784263669.964796,118.546,1980,3201,0.0,0.0,36.0
1784263669.974796,118.546,1980,3201,0.0,0.0,36.0
1784263669.984796,118.576,1980,3201,0.0,0.0,36.0
1784263669.994902,118.576,1980,3201,0.0,0.0,36.0
1784263670.004796,118.576,1980,3201,0.0,0.0,36.0
1784263670.014796,118.576,1980,3201,0.0,0.0,36.0
1784263670.024796,118.576,1980,3201,0.0,0.0,36.0
1784263670.034796,118.576,1980,3201,0.0,0.0,36.0
1784263670.044796,118.576,1980,3201,0.0,0.0,36.0
1784263670.054796,118.576,1980,3201,0.0,0.0,36.0
1784263670.064797,118.576,1980,3201,0.0,0.0,36.0
1784263670.074797,118.576,1980,3201,0.0,0.0,36.0
1784263670.084796,118.567,1980,3201,0.0,0.0,36.0
1784263670.094800,118.567,1980,3201,0.0,0.0,36.0
1784263670.104797,118.567,1980,3201,0.0,0.0,36.0
1784263670.114798,118.567,1980,3201,0.0,0.0,36.0
1784263670.124802,118.567,1980,3201,0.0,0.0,36.0
1784263670.134797,118.567,1980,3201,0.0,0.0,36.0
1784263670.144796,118.567,1980,3201,0.0,0.0,36.0
1784263670.154796,118.567,1980,3201,0.0,0.0,36.0
1784263670.164796,118.567,1980,3201,0.0,0.0,36.0
1784263670.174796,118.567,1980,3201,0.0,0.0,36.0
1784263670.184798,118.541,1980,3201,0.0,0.0,36.0
1784263670.194796,118.541,1980,3201,0.0,0.0,36.0
1784263670.204796,118.541,1980,3201,0.0,0.0,36.0
