t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784263715.615006,124.301,1980,3201,0.0,0.0,35.0
1784263715.625072,124.301,1980,3201,0.0,0.0,35.0
1784263715.635078,124.301,1980,3201,0.0,0.0,35.0
1784263715.645076,124.301,1980,3201,0.0,0.0,35.0
1784263715.655079,124.301,1980,3201,0.0,0.0,35.0
1784263715.665079,124.301,1980,3201,0.0,0.0,35.0
1784263715.675081,124.301,1980,3201,0.0,0.0,35.0
1784263715.685085,124.301,1980,3201,0.0,0.0,35.0
1784263715.695079,124.301,1980,3201,0.0,0.0,35.0
1784263715.705079,124.301,1980,3201,0.0,0.0,35.0
1784263715.715079,118.326,1980,3201,0.0,0.0,35.0
1784263715.725082,118.326,1980,3201,0.0,0.0,35.0
1784263715.735079,118.326,1980,3201,0.0,0.0,35.0
1784263715.745080,118.326,1980,3201,0.0,0.0,35.0
1784263715.755084,118.326,1980,3201,0.0,0.0,35.0
1784263715.765079,118.326,1980,3201,0.0,0.0,35.0
1784263715.775079,118.326,1980,3201,0.0,0.0,35.0
1784263715.785079,118.326,1980,3201,0.0,0.0,35.0
1784263715.795081,118.326,1980,3201,0.0,0.0,35.0
1784263715.805080,118.326,1980,3201,0.0,0.0,35.0
1784263715.815079,157.734,1620,3201,5.0,2.0,44.0
1784263715.825178,157.734,1620,3201,5.0,2.0,44.0
1784263715.835080,157.734,1620,3201,5.0,2.0,44.0
1784263715.845184,157.734,1620,3201,5.0,2.0,44.0
1784263715.855079,157.734,1620,3201,5.0,2.0,44.0
1784263715.865080,157.734,1620,3201,5.0,2.0,44.0
1784263715.875083,157.734,1620,3201,5.0,2.0,44.0
1784263715.885079,157.734,1620,3201,5.0,2.0,44.0
1784263715.895084,157.734,1620,3201,5.0,2.0,44.0
1784263715.905082,157.734,1620,3201,5.0,2.0,44.0
1784263715.915127,168.811,1965,3201,5.0,2.0,38.0
1784263715.925081,168.811,1965,3201,5.0,2.0,38.0
1784263715.935076,168.811,1965,3201,5.0,2.0,38.0
1784263715.945082,168.811,1965,3201,5.0,2.0,38.0
1784263715.955084,168.811,1965,3201,5.0,2.0,38.0
1784263715.965082,168.811,1965,3201,5.0,2.0,38.0
1784263715.975081,168.811,1965,3201,5.0,2.0,38.0
1784263715.985080,168.811,1965,3201,5.0,2.0,38.0
1784263715.995081,168.811,1965,3201,5.0,2.0,38.0
1784263716.005076,168.811,1965,3201,5.0,2.0,38.0
1784263716.015080,186.668,1965,3201,34.0,19.0,40.0
1784263716.025081,186.668,1965,3201,34.0,19.0,40.0
1784263716.035077,186.668,1965,3201,34.0,19.0,40.0
1784263716.045441,186.668,1965,3201,34.0,19.0,40.0
1784263716.055080,186.668,1965,3201,34.0,19.0,40.0
1784263716.065079,186.668,1965,3201,34.0,19.0,40.0
1784263716.075080,186.668,1965,3201,34.0,19.0,40.0
1784263716.085082,186.668,1965,3201,34.0,19.0,40.0
1784263716.095319,186.668,1965,3201,34.0,19.0,40.0
1784263716.105082,186.668,1965,3201,34.0,19.0,40.0
1784263716.115084,212.247,1965,3201,34.0,19.0,40.0
1784263716.125109,212.247,1965,3201,34.0,19.0,40.0
