t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784082802.032619,173.870,1980,3201,0.0,0.0,35.0
1784082802.042784,150.408,1980,3201,0.0,0.0,35.0
1784082802.052734,150.408,1980,3201,0.0,0.0,35.0
1784082802.062702,150.408,1980,3201,0.0,0.0,35.0
1784082802.072701,150.408,1980,3201,0.0,0.0,35.0
1784082802.082701,150.408,1980,3201,0.0,0.0,35.0
1784082802.092704,150.408,1980,3201,0.0,0.0,35.0
1784082802.102704,150.408,1980,3201,0.0,0.0,35.0
1784082802.112705,150.408,1980,3201,0.0,0.0,35.0
1784082802.122702,150.408,1980,3201,0.0,0.0,35.0
1784082802.132705,150.408,1980,3201,0.0,0.0,35.0
1784082802.142775,198.546,1710,3201,0.0,0.0,44.0
1784082802.152705,198.546,1710,3201,0.0,0.0,44.0
1784082802.162705,198.546,1710,3201,0.0,0.0,44.0
1784082802.172705,198.546,1710,3201,0.0,0.0,44.0
1784082802.182798,198.546,1710,3201,0.0,0.0,44.0
1784082802.192700,198.546,1710,3201,0.0,0.0,44.0
1784082802.202701,198.546,1710,3201,0.0,0.0,44.0
1784082802.212759,198.546,1710,3201,0.0,0.0,44.0
1784082802.222702,198.546,1710,3201,0.0,0.0,44.0
1784082802.232704,198.546,1710,3201,0.0,0.0,44.0
1784082802.242701,256.123,1695,3201,94.0,28.0,48.0
1784082802.252725,256.123,1695,3201,94.0,28.0,48.0
1784082802.262705,256.123,1695,3201,94.0,28.0,48.0
1784082802.272704,256.123,1695,3201,94.0,28.0,48.0
1784082802.282702,256.123,1695,3201,94.0,28.0,48.0
1784082802.292701,256.123,1695,3201,94.0,28.0,48.0
1784082802.302702,256.123,1695,3201,94.0,28.0,48.0
1784082802.312709,256.123,1695,3201,94.0,28.0,48.0
1784082802.322977,256.123,1695,3201,94.0,28.0,48.0
1784082802.332724,256.123,1695,3201,94.0,28.0,48.0
1784082802.342708,313.791,1650,3201,94.0,28.0,49.0
1784082802.352699,313.791,1650,3201,94.0,28.0,49.0
1784082802.362699,313.791,1650,3201,94.0,28.0,49.0
1784082802.372699,313.791,1650,3201,94.0,28.0,49.0
1784082802.382705,313.791,1650,3201,94.0,28.0,49.0
1784082802.392697,313.791,1650,3201,94.0,28.0,49.0
1784082802.402697,313.791,1650,3201,94.0,28.0,49.0
1784082802.412699,313.791,1650,3201,94.0,28.0,49.0
1784082802.422699,313.791,1650,3201,94.0,28.0,49.0
1784082802.432698,313.791,1650,3201,94.0,28.0,49.0
1784082802.442698,371.751,1650,3201,99.0,23.0,50.0
1784082802.452691,371.751,1650,3201,99.0,23.0,50.0
1784082802.462700,371.751,1650,3201,99.0,23.0,50.0
1784082802.472698,371.751,1650,3201,99.0,23.0,50.0
1784082802.482698,371.751,1650,3201,99.0,23.0,50.0
1784082802.492696,371.751,1650,3201,99.0,23.0,50.0
1784082802.502696,371.751,1650,3201,99.0,23.0,50.0
1784082802.512696,371.751,1650,3201,99.0,23.0,50.0
1784082802.522696,371.751,1650,3201,99.0,23.0,50.0
1784082802.532695,371.751,1650,3201,99.0,23.0,50.0
1784082802.542739,397.674,1695,3201,99.0,23.0,50.0
1784082802.552703,397.674,1695,3201,99.0,23.0,50.0
1784082802.562699,397.674,1695,3201,99.0,23.0,50.0
