t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784082634.050709,1784082634.050709,idle,1,0,2048,0.0010,,,
1784082634.050709,1784082634.102405,mixed,1,15,4096,0.0020,4096,1,
1784082634.102405,1784082634.127751,mixed,16,0,4352,0.0021,61440,16,
1784082634.127751,1784082634.140429,decode,16,0,4592,0.0022,0,16,
1784082634.140429,1784082634.147210,decode,16,0,4592,0.0022,0,16,
1784082634.147210,1784082634.154051,decode,16,0,4592,0.0022,0,16,
1784082634.154051,1784082634.160774,decode,16,0,4592,0.0022,0,16,
1784082634.160774,1784082634.167553,decode,16,0,4592,0.0022,0,16,
1784082634.167553,1784082634.174372,decode,16,0,4592,0.0022,0,16,
1784082634.174372,1784082634.180985,decode,16,0,4592,0.0022,0,16,
1784082634.180985,1784082634.188140,decode,16,0,4592,0.0022,0,16,
1784082634.188140,1784082634.194590,decode,16,0,4592,0.0022,0,16,
1784082634.194590,1784082634.201159,decode,16,0,4592,0.0022,0,16,
1784082634.201159,1784082634.208143,decode,16,0,4592,0.0022,0,16,
1784082634.208143,1784082634.214586,decode,16,0,4592,0.0022,0,16,
1784082634.214586,1784082634.221874,decode,16,0,4592,0.0022,0,16,
1784082634.221874,1784082634.228294,decode,16,0,4592,0.0022,0,16,
1784082634.228294,1784082634.234942,decode,16,0,4592,0.0022,0,16,
1784082634.234942,1784082634.242280,decode,16,0,4608,0.0022,0,16,
1784082634.242280,1784082634.248722,decode,16,0,4848,0.0023,0,16,
1784082634.248722,1784082634.255208,decode,16,0,4848,0.0023,0,16,
1784082634.255208,1784082634.262367,decode,16,0,4848,0.0023,0,16,
1784082634.262367,1784082634.269127,decode,16,0,4848,0.0023,0,16,
1784082634.269127,1784082634.275396,decode,16,0,4848,0.0023,0,16,
1784082634.275396,1784082634.282226,decode,16,0,4848,0.0023,0,16,
1784082634.282226,1784082634.289094,decode,16,0,4848,0.0023,0,16,
1784082634.289094,1784082634.295571,decode,16,0,4848,0.0023,0,16,
1784082634.295571,1784082634.302555,decode,16,0,4848,0.0023,0,16,
1784082634.302555,1784082634.309210,decode,16,0,4848,0.0023,0,16,
1784082634.309210,1784082634.315842,decode,16,0,4848,0.0023,0,16,
1784082634.315842,1784082634.322813,decode,16,0,4848,0.0023,0,16,
1784082634.322813,1784082634.329710,decode,16,0,4848,0.0023,0,16,
1784082634.329710,1784082634.335983,decode,16,0,4848,0.0023,0,16,
1784082634.335983,1784082634.343057,decode,16,0,4848,0.0023,0,16,
1784082634.343057,1784082634.349774,decode,16,0,4864,0.0023,0,16,
1784082634.349774,1784082634.356339,decode,16,0,5104,0.0025,0,16,
1784082634.356339,1784082634.363253,decode,16,0,5104,0.0025,0,16,
1784082634.363253,1784082634.370186,decode,16,0,5104,0.0025,0,16,
1784082634.370186,1784082634.376547,decode,16,0,5104,0.0025,0,16,
1784082634.376547,1784082634.383245,decode,16,0,5104,0.0025,0,16,
1784082634.383245,1784082634.390151,decode,16,0,5104,0.0025,0,16,
1784082634.390151,1784082634.396720,decode,16,0,5104,0.0025,0,16,
1784082634.396720,1784082634.403574,decode,16,0,5104,0.0025,0,16,
1784082634.403574,1784082634.410570,decode,16,0,5104,0.0025,0,16,
1784082634.410570,1784082634.416903,decode,16,0,5104,0.0025,0,16,
1784082634.416903,1784082634.423846,decode,16,0,5104,0.0025,0,16,
1784082634.423846,1784082634.430593,decode,16,0,5104,0.0025,0,16,
1784082634.430593,1784082634.437310,decode,16,0,5104,0.0025,0,16,
1784082634.437310,1784082634.443976,decode,16,0,5104,0.0025,0,16,
1784082634.443976,1784082634.450973,decode,16,0,5104,0.0025,0,16,
1784082634.450973,1784082634.457689,decode,16,0,5120,0.0025,0,16,
1784082634.457689,1784082634.464732,decode,16,0,5360,0.0026,0,16,
1784082634.464732,1784082634.471175,decode,16,0,5360,0.0026,0,16,
1784082634.471175,1784082634.477890,decode,16,0,5360,0.0026,0,16,
1784082634.477890,1784082634.484631,decode,16,0,5360,0.0026,0,16,
1784082634.484631,1784082634.491530,decode,16,0,5360,0.0026,0,16,
1784082634.491530,1784082634.498171,decode,16,0,5360,0.0026,0,16,
1784082634.498171,1784082634.505098,decode,16,0,5360,0.0026,0,16,
1784082634.505098,1784082634.511788,decode,16,0,5360,0.0026,0,16,
1784082634.511788,1784082634.518575,decode,16,0,5360,0.0026,0,16,
1784082634.518575,1784082634.525285,decode,16,0,5360,0.0026,0,16,
1784082634.525285,1784082634.532126,decode,16,0,5360,0.0026,0,16,
1784082634.532126,1784082634.538831,decode,16,0,5360,0.0026,0,16,
1784082634.538831,1784082634.545820,decode,16,0,5360,0.0026,0,16,
1784082634.545820,1784082634.552637,decode,16,0,5360,0.0026,0,16,
1784082634.552637,1784082634.559472,decode,16,0,5360,0.0026,0,16,
1784082634.559472,1784082634.566351,decode,16,0,5376,0.0026,0,16,
1784082634.566351,1784082634.573045,decode,16,0,5616,0.0027,0,16,
1784082634.573045,1784082634.579756,decode,16,0,5616,0.0027,0,16,
1784082634.579756,1784082634.586563,decode,16,0,5616,0.0027,0,16,
1784082634.586563,1784082634.593376,decode,16,0,5616,0.0027,0,16,
1784082634.593376,1784082634.600375,decode,16,0,5616,0.0027,0,16,
1784082634.600375,1784082634.607042,decode,16,0,5616,0.0027,0,16,
1784082634.607042,1784082634.613773,decode,16,0,5616,0.0027,0,16,
1784082634.613773,1784082634.620433,decode,16,0,5616,0.0027,0,16,
1784082634.620433,1784082634.627317,decode,16,0,5616,0.0027,0,16,
1784082634.627317,1784082634.633724,decode,16,0,5616,0.0027,0,16,
1784082634.633724,1784082634.640572,decode,16,0,5616,0.0027,0,16,
1784082634.640572,1784082634.647932,decode,16,0,5616,0.0027,0,16,
1784082634.647932,1784082634.654522,decode,16,0,5616,0.0027,0,16,
1784082634.654522,1784082634.661811,decode,16,0,5616,0.0027,0,16,
1784082634.661811,1784082634.668360,decode,16,0,5616,0.0027,0,16,
1784082634.668360,1784082634.675209,decode,16,0,5632,0.0027,0,16,
1784082634.675209,1784082634.682037,decode,16,0,5872,0.0028,0,16,
1784082634.682037,1784082634.688845,decode,16,0,5872,0.0028,0,16,
1784082634.688845,1784082634.695681,decode,16,0,5872,0.0028,0,16,
1784082634.695681,1784082634.702516,decode,16,0,5872,0.0028,0,16,
1784082634.702516,1784082634.709398,decode,16,0,5872,0.0028,0,16,
1784082634.709398,1784082634.716327,decode,16,0,5872,0.0028,0,16,
1784082634.716327,1784082634.723205,decode,16,0,5872,0.0028,0,16,
1784082634.723205,1784082634.730079,decode,16,0,5872,0.0028,0,16,
1784082634.730079,1784082634.736937,decode,16,0,5872,0.0028,0,16,
1784082634.736937,1784082634.744048,decode,16,0,5872,0.0028,0,16,
1784082634.744048,1784082634.750812,decode,16,0,5872,0.0028,0,16,
1784082634.750812,1784082634.757226,decode,16,0,5872,0.0028,0,16,
1784082634.757226,1784082634.763902,decode,16,0,5872,0.0028,0,16,
1784082634.763902,1784082634.770643,decode,16,0,5872,0.0028,0,16,
1784082634.770643,1784082634.777531,decode,16,0,5872,0.0028,0,16,
1784082634.777531,1784082634.784161,decode,16,0,5888,0.0028,0,16,
1784082634.784161,1784082634.790817,decode,16,0,6128,0.0030,0,16,
1784082634.790817,1784082634.797784,decode,16,0,6128,0.0030,0,16,
1784082634.797784,1784082634.804332,decode,16,0,6128,0.0030,0,16,
1784082634.804332,1784082634.811061,decode,16,0,6128,0.0030,0,16,
1784082634.811061,1784082634.817863,decode,16,0,6128,0.0030,0,16,
1784082634.817863,1784082634.824579,decode,16,0,6128,0.0030,0,16,
1784082634.824579,1784082634.831256,decode,16,0,6128,0.0030,0,16,
1784082634.831256,1784082634.837960,decode,16,0,6128,0.0030,0,16,
1784082634.837960,1784082634.844875,decode,16,0,6128,0.0030,0,16,
1784082634.844875,1784082634.851921,decode,16,0,6128,0.0030,0,16,
1784082634.851921,1784082634.858274,decode,16,0,6128,0.0030,0,16,
1784082634.858274,1784082634.865062,decode,16,0,6128,0.0030,0,16,
1784082634.865062,1784082634.871831,decode,16,0,6128,0.0030,0,16,
1784082634.871831,1784082634.878501,decode,16,0,6128,0.0030,0,16,
1784082634.878501,1784082634.885548,decode,16,0,6128,0.0030,0,16,
1784082634.885548,1784082634.892247,decode,16,0,6144,0.0030,0,16,
1784082634.892247,1784082634.898993,decode,16,0,6384,0.0031,0,16,
1784082634.898993,1784082634.905815,decode,16,0,6384,0.0031,0,16,
1784082634.905815,1784082634.912631,decode,16,0,6384,0.0031,0,16,
1784082634.912631,1784082634.919258,decode,16,0,6384,0.0031,0,16,
1784082634.919258,1784082634.926126,decode,16,0,6384,0.0031,0,16,
1784082634.926126,1784082634.932839,decode,16,0,6384,0.0031,0,16,
1784082634.932839,1784082634.939647,decode,16,0,6384,0.0031,0,16,
1784082634.939647,1784082634.946741,decode,16,0,6384,0.0031,0,16,
1784082634.946741,1784082634.953508,decode,16,0,6384,0.0031,0,16,
1784082634.953508,1784082634.960284,decode,16,0,6384,0.0031,0,16,
1784082634.960284,1784082634.967113,decode,16,0,6384,0.0031,0,16,
1784082634.967113,1784082634.973763,decode,16,0,6384,0.0031,0,16,
1784082634.973763,1784082634.980562,decode,16,0,6384,0.0031,0,16,
1784082634.980562,1784082634.987656,decode,15,0,6240,0.0030,0,16,
1784082634.987656,1784082635.000446,decode,0,0,0,0.0000,0,15,
1784082635.000446,1784082635.000973,idle,0,0,0,0.0000,,,
1784082635.000973,1784082635.048836,mixed,6,0,4176,0.0020,24576,6,
1784082635.048836,1784082635.069656,mixed,16,0,4432,0.0021,40960,16,
1784082635.069656,1784082635.076273,decode,16,0,4592,0.0022,0,16,
1784082635.076273,1784082635.083236,decode,16,0,4592,0.0022,0,16,
1784082635.083236,1784082635.089723,decode,16,0,4592,0.0022,0,16,
1784082635.089723,1784082635.096341,decode,16,0,4592,0.0022,0,16,
1784082635.096341,1784082635.103147,decode,16,0,4592,0.0022,0,16,
1784082635.103147,1784082635.109754,decode,16,0,4592,0.0022,0,16,
1784082635.109754,1784082635.116488,decode,16,0,4592,0.0022,0,16,
1784082635.116488,1784082635.123211,decode,16,0,4592,0.0022,0,16,
1784082635.123211,1784082635.129945,decode,16,0,4592,0.0022,0,16,
1784082635.129945,1784082635.136527,decode,16,0,4592,0.0022,0,16,
1784082635.136527,1784082635.143500,decode,16,0,4592,0.0022,0,16,
1784082635.143500,1784082635.150187,decode,16,0,4592,0.0022,0,16,
1784082635.150187,1784082635.156689,decode,16,0,4592,0.0022,0,16,
1784082635.156689,1784082635.163986,decode,16,0,4592,0.0022,0,16,
1784082635.163986,1784082635.170488,decode,16,0,4592,0.0022,0,16,
1784082635.170488,1784082635.177006,decode,16,0,4688,0.0023,0,16,
1784082635.177006,1784082635.184321,decode,16,0,4848,0.0023,0,16,
1784082635.184321,1784082635.190528,decode,16,0,4848,0.0023,0,16,
1784082635.190528,1784082635.197126,decode,16,0,4848,0.0023,0,16,
1784082635.197126,1784082635.204111,decode,16,0,4848,0.0023,0,16,
1784082635.204111,1784082635.210960,decode,16,0,4848,0.0023,0,16,
1784082635.210960,1784082635.217237,decode,16,0,4848,0.0023,0,16,
1784082635.217237,1784082635.224433,decode,16,0,4848,0.0023,0,16,
1784082635.224433,1784082635.230860,decode,16,0,4848,0.0023,0,16,
1784082635.230860,1784082635.237280,decode,16,0,4848,0.0023,0,16,
1784082635.237280,1784082635.244326,decode,16,0,4848,0.0023,0,16,
1784082635.244326,1784082635.251145,decode,16,0,4848,0.0023,0,16,
1784082635.251145,1784082635.257355,decode,16,0,4848,0.0023,0,16,
1784082635.257355,1784082635.264308,decode,16,0,4848,0.0023,0,16,
1784082635.264308,1784082635.271015,decode,16,0,4848,0.0023,0,16,
1784082635.271015,1784082635.277615,decode,16,0,4848,0.0023,0,16,
1784082635.277615,1784082635.284580,decode,16,0,4944,0.0024,0,16,
1784082635.284580,1784082635.291244,decode,16,0,5104,0.0025,0,16,
1784082635.291244,1784082635.297671,decode,16,0,5104,0.0025,0,16,
1784082635.297671,1784082635.304646,decode,16,0,5104,0.0025,0,16,
1784082635.304646,1784082635.311485,decode,16,0,5104,0.0025,0,16,
1784082635.311485,1784082635.317764,decode,16,0,5104,0.0025,0,16,
1784082635.317764,1784082635.324550,decode,16,0,5104,0.0025,0,16,
1784082635.324550,1784082635.331399,decode,16,0,5104,0.0025,0,16,
1784082635.331399,1784082635.337896,decode,16,0,5104,0.0025,0,16,
1784082635.337896,1784082635.344807,decode,16,0,5104,0.0025,0,16,
1784082635.344807,1784082635.351463,decode,16,0,5104,0.0025,0,16,
1784082635.351463,1784082635.357943,decode,16,0,5104,0.0025,0,16,
1784082635.357943,1784082635.365011,decode,16,0,5104,0.0025,0,16,
1784082635.365011,1784082635.371556,decode,16,0,5104,0.0025,0,16,
1784082635.371556,1784082635.378109,decode,16,0,5104,0.0025,0,16,
1784082635.378109,1784082635.385028,decode,16,0,5104,0.0025,0,16,
1784082635.385028,1784082635.391761,decode,16,0,5200,0.0025,0,16,
1784082635.391761,1784082635.398315,decode,16,0,5360,0.0026,0,16,
1784082635.398315,1784082635.405167,decode,16,0,5360,0.0026,0,16,
1784082635.405167,1784082635.411978,decode,16,0,5360,0.0026,0,16,
1784082635.411978,1784082635.418412,decode,16,0,5360,0.0026,0,16,
1784082635.418412,1784082635.425318,decode,16,0,5360,0.0026,0,16,
1784082635.425318,1784082635.432244,decode,16,0,5360,0.0026,0,16,
1784082635.432244,1784082635.438477,decode,16,0,5360,0.0026,0,16,
1784082635.438477,1784082635.445400,decode,16,0,5360,0.0026,0,16,
1784082635.445400,1784082635.452110,decode,16,0,5360,0.0026,0,16,
1784082635.452110,1784082635.458465,decode,16,0,5360,0.0026,0,16,
1784082635.458465,1784082635.465459,decode,16,0,5360,0.0026,0,16,
1784082635.465459,1784082635.472163,decode,16,0,5360,0.0026,0,16,
1784082635.472163,1784082635.478514,decode,16,0,5360,0.0026,0,16,
1784082635.478514,1784082635.485578,decode,16,0,5360,0.0026,0,16,
1784082635.485578,1784082635.492393,decode,16,0,5360,0.0026,0,16,
1784082635.492393,1784082635.498877,decode,16,0,5456,0.0026,0,16,
1784082635.498877,1784082635.505904,decode,16,0,5616,0.0027,0,16,
1784082635.505904,1784082635.512588,decode,16,0,5616,0.0027,0,16,
1784082635.512588,1784082635.519018,decode,16,0,5616,0.0027,0,16,
1784082635.519018,1784082635.526156,decode,16,0,5616,0.0027,0,16,
1784082635.526156,1784082635.532760,decode,16,0,5616,0.0027,0,16,
1784082635.532760,1784082635.539161,decode,16,0,5616,0.0027,0,16,
1784082635.539161,1784082635.546367,decode,16,0,5616,0.0027,0,16,
1784082635.546367,1784082635.552881,decode,16,0,5616,0.0027,0,16,
1784082635.552881,1784082635.559327,decode,16,0,5616,0.0027,0,16,
1784082635.559327,1784082635.566254,decode,16,0,5616,0.0027,0,16,
1784082635.566254,1784082635.573171,decode,16,0,5616,0.0027,0,16,
1784082635.573171,1784082635.579572,decode,16,0,5616,0.0027,0,16,
1784082635.579572,1784082635.586654,decode,16,0,5616,0.0027,0,16,
1784082635.586654,1784082635.593218,decode,16,0,5616,0.0027,0,16,
1784082635.593218,1784082635.600088,decode,16,0,5616,0.0027,0,16,
1784082635.600088,1784082635.606969,decode,16,0,5712,0.0028,0,16,
1784082635.606969,1784082635.613745,decode,16,0,5872,0.0028,0,16,
1784082635.613745,1784082635.620385,decode,16,0,5872,0.0028,0,16,
1784082635.620385,1784082635.627048,decode,16,0,5872,0.0028,0,16,
1784082635.627048,1784082635.633755,decode,16,0,5872,0.0028,0,16,
1784082635.633755,1784082635.640457,decode,16,0,5872,0.0028,0,16,
1784082635.640457,1784082635.647399,decode,16,0,5872,0.0028,0,16,
1784082635.647399,1784082635.654393,decode,16,0,5872,0.0028,0,16,
