t_rel_s,measured_w,predicted_w
0.000,401.79,355.05
0.200,385.76,401.05
0.400,387.13,401.33
0.600,388.05,401.61
0.800,388.33,373.39
1.000,390.38,410.15
1.200,393.16,401.28
1.400,394.08,401.56
1.600,394.53,373.53
1.800,394.29,400.95
2.000,394.14,401.23
2.200,393.44,392.33
2.400,391.58,373.74
2.600,388.98,410.04
2.800,389.84,401.17
3.000,391.04,401.45
3.200,391.29,373.88
3.400,393.89,400.84
3.600,395.97,401.12
3.800,395.47,401.40
4.000,394.68,401.48
4.200,396.25,373.36
4.400,396.78,401.06
4.600,395.97,410.51
4.800,396.55,401.63
5.000,396.51,373.30
5.200,393.93,401.02
5.400,392.89,401.30
5.600,392.90,401.58
5.800,390.94,364.32
6.000,388.51,400.96
6.200,389.74,401.24
6.400,389.96,410.69
6.600,390.46,373.65
6.800,390.91,400.91
7.000,394.35,401.19
7.200,394.75,401.47
7.400,393.19,364.67
7.600,390.15,400.85
7.800,390.22,401.12
8.000,390.63,401.40
8.200,391.02,392.31
8.400,392.08,391.66
8.600,395.13,401.08
8.800,396.12,401.36
9.000,396.65,410.82
9.200,396.94,373.25
9.400,396.86,401.04
9.600,396.23,401.32
9.800,394.65,401.60
10.000,394.27,373.41
10.200,394.42,400.98
10.400,394.39,401.26
10.600,393.49,401.54
10.800,393.07,364.45
11.000,391.65,400.92
11.200,391.19,401.20
11.400,390.68,401.48
11.600,391.39,318.91
11.800,393.80,455.74
12.000,395.49,410.31
12.200,395.54,401.43
12.400,396.46,373.93
12.600,396.91,400.82
12.800,395.51,410.26
13.000,395.37,401.39
13.200,395.97,401.67
13.400,394.39,364.04
13.600,393.16,401.05
13.800,392.71,410.50
14.000,393.46,401.61
14.200,392.90,373.36
14.400,394.29,401.00
14.600,396.52,401.28
14.800,396.97,401.56
15.000,395.90,373.53
15.200,396.14,400.95
15.400,396.41,410.39
15.600,395.62,401.52
15.800,395.77,373.68
16.000,395.87,400.90
16.200,396.69,401.18
16.400,396.21,401.46
16.600,395.79,373.85
16.800,395.23,400.85
17.000,395.63,401.12
17.200,394.19,401.40
17.400,394.28,392.31
17.600,394.82,391.66
17.800,394.73,401.08
18.000,394.74,401.36
18.200,395.67,401.64
18.400,394.87,373.27
18.600,394.38,401.03
18.800,394.06,401.31
19.000,393.71,401.59
19.200,393.18,373.44
19.400,393.53,400.97
19.600,394.56,401.25
19.800,396.09,410.71
20.000,396.59,373.59
20.200,397.00,400.93
20.400,396.74,401.21
20.600,396.78,401.49
20.800,396.35,373.76
21.000,395.53,400.87
21.200,395.91,410.32
21.400,396.81,392.27
21.600,396.46,373.93
21.800,396.23,400.82
22.000,395.63,391.94
22.200,393.81,401.37
22.400,393.14,401.65
22.600,393.37,373.25
22.800,394.58,401.04
23.000,395.87,410.49
23.200,397.28,401.61
23.400,397.60,364.23
23.600,397.30,400.98
23.800,396.78,401.26
24.000,395.67,401.54
24.200,393.80,373.59
24.400,393.00,391.77
24.600,392.99,410.37
24.800,393.21,401.49
25.000,394.68,373.76
25.200,394.02,400.87
25.400,395.64,401.15
25.600,395.84,401.43
25.800,394.80,364.78
26.000,393.13,400.81
26.200,393.88,401.09
26.400,394.17,401.37
26.600,395.38,410.83
26.800,395.91,373.22
27.000,397.55,401.05
27.200,398.25,401.33
27.400,397.74,401.61
27.600,397.33,373.39
27.800,396.69,391.83
28.000,396.04,401.26
28.200,395.89,401.54
28.400,395.71,382.74
28.600,395.77,400.94
28.800,397.32,401.22
29.000,399.30,410.67
29.200,400.04,364.56
29.400,399.67,400.88
29.600,398.55,401.16
29.800,397.90,401.44
30.000,397.03,373.90
30.200,395.75,400.83
30.400,396.29,410.27
30.600,397.66,401.40
30.800,398.10,401.48
31.000,398.70,373.36
31.200,400.10,401.06
31.400,399.83,401.34
31.600,399.23,401.62
31.800,398.41,364.18
32.000,397.47,410.16
32.200,397.05,401.29
32.400,397.35,401.57
32.600,396.25,373.50
32.800,396.31,400.96
33.000,397.51,410.40
33.200,397.77,401.53
33.400,397.74,364.50
33.600,396.67,400.90
33.800,396.42,410.35
34.000,396.18,401.47
34.200,396.24,373.82
34.400,394.57,400.85
34.600,395.93,410.30
34.800,397.10,401.42
35.000,397.36,373.96
35.200,398.06,400.81
35.400,400.07,401.09
35.600,400.53,401.37
35.800,399.80,401.65
36.000,399.46,382.40
36.200,398.46,401.05
36.400,397.43,401.33
36.600,397.60,401.61
36.800,397.07,364.23
37.000,394.18,400.98
37.200,393.48,401.26
37.400,393.38,401.54
37.600,392.81,373.59
37.800,393.60,410.09
38.000,396.35,401.22
38.200,396.78,401.50
38.400,397.05,373.74
38.600,396.71,400.88
38.800,396.21,401.16
39.000,396.84,401.44
39.200,397.03,373.90
39.400,396.86,409.98
39.600,397.96,401.12
39.800,398.71,401.40
40.000,399.00,401.48
40.200,398.13,373.36
40.400,398.91,401.06
40.600,398.09,401.34
40.800,396.73,401.62
41.000,396.90,364.18
41.200,396.96,410.16
41.400,397.34,401.29
41.600,397.82,401.57
41.800,398.47,373.50
42.000,398.13,400.96
42.200,397.83,401.24
42.400,397.28,401.52
42.600,396.40,364.53
42.800,395.17,400.89
43.000,393.92,401.17
43.200,394.24,401.45
43.400,395.16,373.88
43.600,395.34,409.99
43.800,397.22,401.12
44.000,397.59,401.40
44.200,396.98,392.31
44.400,393.41,364.21
44.600,392.99,410.22
44.800,394.01,401.34
45.000,395.30,401.62
45.200,395.92,373.33
45.400,397.66,401.01
45.600,399.20,401.29
45.800,397.73,401.57
46.000,396.64,364.35
46.200,394.81,400.95
46.400,394.23,401.23
46.600,394.74,401.51
46.800,396.41,373.71
47.000,397.59,410.05
47.200,399.72,401.18
47.400,401.45,401.46
47.600,401.98,373.85
47.800,400.32,400.85
48.000,398.86,401.12
48.200,396.80,401.40
48.400,396.37,392.31
48.600,394.62,382.51
48.800,395.52,410.23
49.000,396.10,401.36
49.200,397.46,401.64
49.400,398.23,373.27
49.600,398.94,401.03
49.800,399.28,401.31
50.000,399.45,401.59
50.200,397.84,373.44
50.400,396.89,400.97
50.600,397.06,410.42
50.800,398.41,401.54
51.000,398.15,373.59
51.200,399.52,400.93
51.400,399.98,401.21
51.600,399.17,401.49
51.800,396.25,364.62
52.000,395.35,391.71
52.200,394.06,401.13
52.400,393.19,392.24
52.600,391.75,392.31
52.800,392.03,373.36
53.000,392.89,401.06
53.200,393.79,392.17
53.400,392.67,392.44
53.600,392.34,364.23
53.800,389.35,391.82
54.000,388.18,401.25
54.200,387.75,401.53
54.400,389.35,364.48
54.600,389.14,391.75
54.800,392.38,410.35
55.000,394.54,401.47
55.175,394.99,387.21
