t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784081499.911134,1784081499.911134,mixed,1,0,512,0.0002,512,1,
1784081499.911134,1784081499.928774,mixed,2,0,544,0.0003,512,2,
1784081499.928774,1784081499.942568,decode,2,0,560,0.0003,0,2,
1784081499.942568,1784081499.948542,decode,2,0,560,0.0003,0,2,
1784081499.948542,1784081499.954648,decode,2,0,560,0.0003,0,2,
1784081499.954648,1784081499.960794,decode,2,0,560,0.0003,0,2,
1784081499.960794,1784081499.966861,decode,2,0,560,0.0003,0,2,
1784081499.966861,1784081499.972970,decode,2,0,560,0.0003,0,2,
1784081499.972970,1784081499.978762,decode,2,0,560,0.0003,0,2,
1784081499.978762,1784081499.984874,decode,2,0,560,0.0003,0,2,
1784081499.984874,1784081499.990814,decode,2,0,560,0.0003,0,2,
1784081499.990814,1784081499.997394,decode,2,0,560,0.0003,0,2,
1784081499.997394,1784081500.003116,decode,2,0,560,0.0003,0,2,
1784081500.003116,1784081500.009046,decode,2,0,560,0.0003,0,2,
1784081500.009046,1784081500.015342,decode,2,0,560,0.0003,0,2,
1784081500.015342,1784081500.021520,decode,2,0,560,0.0003,0,2,
1784081500.021520,1784081500.027284,decode,2,0,560,0.0003,0,2,
1784081500.027284,1784081500.033306,decode,2,0,576,0.0003,0,2,
1784081500.033306,1784081500.039396,decode,2,0,592,0.0003,0,2,
1784081500.039396,1784081500.045648,decode,2,0,592,0.0003,0,2,
1784081500.045648,1784081500.051763,decode,2,0,592,0.0003,0,2,
1784081500.051763,1784081500.057660,decode,2,0,592,0.0003,0,2,
1784081500.057660,1784081500.063916,decode,2,0,592,0.0003,0,2,
1784081500.063916,1784081500.069863,decode,2,0,592,0.0003,0,2,
1784081500.069863,1784081500.076332,decode,2,0,592,0.0003,0,2,
1784081500.076332,1784081500.082216,decode,2,0,592,0.0003,0,2,
1784081500.082216,1784081500.088118,decode,2,0,592,0.0003,0,2,
1784081500.088118,1784081500.094557,decode,2,0,592,0.0003,0,2,
1784081500.094557,1784081500.100275,decode,2,0,592,0.0003,0,2,
1784081500.100275,1784081500.106522,decode,2,0,592,0.0003,0,2,
1784081500.106522,1784081500.112728,decode,2,0,592,0.0003,0,2,
1784081500.112728,1784081500.118443,decode,2,0,592,0.0003,0,2,
1784081500.118443,1784081500.124703,decode,2,0,592,0.0003,0,2,
1784081500.124703,1784081500.130580,decode,2,0,608,0.0003,0,2,
1784081500.130580,1784081500.136904,decode,2,0,624,0.0003,0,2,
1784081500.136904,1784081500.142946,decode,2,0,624,0.0003,0,2,
1784081500.142946,1784081500.148555,decode,2,0,624,0.0003,0,2,
1784081500.148555,1784081500.154516,decode,2,0,624,0.0003,0,2,
1784081500.154516,1784081500.160516,decode,2,0,624,0.0003,0,2,
1784081500.160516,1784081500.166493,decode,2,0,624,0.0003,0,2,
1784081500.166493,1784081500.172795,decode,2,0,624,0.0003,0,2,
1784081500.172795,1784081500.178789,decode,2,0,624,0.0003,0,2,
1784081500.178789,1784081500.184447,decode,2,0,624,0.0003,0,2,
1784081500.184447,1784081500.190454,decode,2,0,624,0.0003,0,2,
1784081500.190454,1784081500.196481,decode,2,0,624,0.0003,0,2,
1784081500.196481,1784081500.202829,decode,2,0,624,0.0003,0,2,
1784081500.202829,1784081500.208710,decode,2,0,624,0.0003,0,2,
1784081500.208710,1784081500.214592,decode,2,0,624,0.0003,0,2,
1784081500.214592,1784081500.220588,decode,2,0,624,0.0003,0,2,
1784081500.220588,1784081500.226861,decode,2,0,640,0.0003,0,2,
1784081500.226861,1784081500.233080,decode,2,0,656,0.0003,0,2,
1784081500.233080,1784081500.238732,decode,2,0,656,0.0003,0,2,
1784081500.238732,1784081500.245167,decode,2,0,656,0.0003,0,2,
1784081500.245167,1784081500.250794,decode,2,0,656,0.0003,0,2,
1784081500.250794,1784081500.257033,decode,2,0,656,0.0003,0,2,
1784081500.257033,1784081500.263182,decode,2,0,656,0.0003,0,2,
1784081500.263182,1784081500.268967,decode,2,0,656,0.0003,0,2,
1784081500.268967,1784081500.275133,decode,2,0,656,0.0003,0,2,
1784081500.275133,1784081500.280869,decode,2,0,656,0.0003,0,2,
1784081500.280869,1784081500.287139,decode,2,0,656,0.0003,0,2,
1784081500.287139,1784081500.292810,decode,2,0,656,0.0003,0,2,
1784081500.292810,1784081500.299146,decode,2,0,656,0.0003,0,2,
1784081500.299146,1784081500.305105,decode,2,0,656,0.0003,0,2,
1784081500.305105,1784081500.311167,decode,2,0,656,0.0003,0,2,
1784081500.311167,1784081500.317620,decode,2,0,656,0.0003,0,2,
1784081500.317620,1784081500.323261,decode,2,0,672,0.0003,0,2,
1784081500.323261,1784081500.329585,decode,2,0,688,0.0003,0,2,
1784081500.329585,1784081500.335873,decode,2,0,688,0.0003,0,2,
1784081500.335873,1784081500.341613,decode,2,0,688,0.0003,0,2,
1784081500.341613,1784081500.347840,decode,2,0,688,0.0003,0,2,
1784081500.347840,1784081500.353792,decode,2,0,688,0.0003,0,2,
1784081500.353792,1784081500.359838,decode,2,0,688,0.0003,0,2,
1784081500.359838,1784081500.366090,decode,2,0,688,0.0003,0,2,
1784081500.366090,1784081500.371993,decode,2,0,688,0.0003,0,2,
1784081500.371993,1784081500.378276,decode,2,0,688,0.0003,0,2,
1784081500.378276,1784081500.384581,decode,2,0,688,0.0003,0,2,
1784081500.384581,1784081500.390532,decode,2,0,688,0.0003,0,2,
1784081500.390532,1784081500.396643,decode,2,0,688,0.0003,0,2,
