t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784081499.874427,150.111,1980,3201,0.0,0.0,33.0
1784081499.884510,150.111,1980,3201,0.0,0.0,33.0
1784081499.894506,150.111,1980,3201,0.0,0.0,33.0
1784081499.904504,150.111,1980,3201,0.0,0.0,33.0
1784081499.914502,150.111,1980,3201,0.0,0.0,33.0
1784081499.924506,150.111,1980,3201,0.0,0.0,33.0
1784081499.934506,150.111,1980,3201,0.0,0.0,33.0
1784081499.944503,160.422,1980,3201,0.0,0.0,37.0
1784081499.954676,160.422,1980,3201,0.0,0.0,37.0
1784081499.964509,160.422,1980,3201,0.0,0.0,37.0
1784081499.974505,160.422,1980,3201,0.0,0.0,37.0
1784081499.984494,160.422,1980,3201,0.0,0.0,37.0
1784081499.994503,160.422,1980,3201,0.0,0.0,37.0
1784081500.004495,160.422,1980,3201,0.0,0.0,37.0
1784081500.014594,160.422,1980,3201,0.0,0.0,37.0
1784081500.024530,160.422,1980,3201,0.0,0.0,37.0
1784081500.034503,160.422,1980,3201,0.0,0.0,37.0
1784081500.044508,155.991,1980,3201,0.0,0.0,36.0
1784081500.054505,155.991,1980,3201,0.0,0.0,36.0
1784081500.064499,155.991,1980,3201,0.0,0.0,36.0
1784081500.074506,155.991,1980,3201,0.0,0.0,36.0
1784081500.084505,155.991,1980,3201,0.0,0.0,36.0
1784081500.094678,155.991,1980,3201,0.0,0.0,36.0
1784081500.104503,155.991,1980,3201,0.0,0.0,36.0
1784081500.114503,155.991,1980,3201,0.0,0.0,36.0
1784081500.124498,155.991,1980,3201,0.0,0.0,36.0
1784081500.134502,155.991,1980,3201,0.0,0.0,36.0
1784081500.144501,175.023,1980,3201,85.0,62.0,36.0
1784081500.154670,175.023,1980,3201,85.0,62.0,36.0
1784081500.164500,175.023,1980,3201,85.0,62.0,36.0
1784081500.174501,175.023,1980,3201,85.0,62.0,36.0
1784081500.184525,175.023,1980,3201,85.0,62.0,36.0
1784081500.194502,175.023,1980,3201,85.0,62.0,36.0
1784081500.204502,175.023,1980,3201,85.0,62.0,36.0
