t_rel_s,measured_w,predicted_w
0.000,326.99,357.98
0.200,360.22,373.55
0.400,365.23,373.61
0.600,365.69,373.66
0.800,366.42,350.30
1.000,366.64,358.20
1.200,369.38,350.47
1.400,370.52,373.94
1.600,371.24,366.14
1.800,372.64,358.28
2.000,374.34,373.76
2.200,374.58,366.04
2.400,374.82,373.87
2.600,374.54,373.69
2.800,373.52,358.10
3.000,372.89,365.85
3.200,373.39,381.50
3.400,373.59,366.07
3.600,373.61,350.49
3.800,374.26,373.72
4.000,375.15,381.56
4.200,374.59,365.97
4.400,373.90,373.62
4.600,372.82,381.33
4.800,371.92,381.37
5.000,368.82,233.73
5.200,335.89,179.33
5.400,309.09,373.52
5.600,306.35,358.02
5.800,303.65,365.87
6.000,302.35,365.88
6.200,331.70,358.06
6.400,358.19,350.35
6.600,358.56,358.08
6.800,361.12,373.74
7.000,363.21,366.01
7.200,364.41,365.85
7.400,366.63,373.63
7.600,369.26,358.06
7.800,370.83,350.43
8.000,371.18,366.08
8.200,372.40,373.95
8.400,374.34,373.91
8.600,374.89,373.68
8.800,373.94,365.86
9.000,372.56,373.55
9.200,370.45,373.58
9.400,368.45,350.28
9.600,356.26,295.84
9.800,349.07,358.04
10.000,348.71,373.64
10.200,349.18,358.18
10.400,348.63,358.18
10.600,357.19,373.64
10.800,364.72,358.19
11.000,365.79,350.50
11.200,367.45,365.96
11.400,370.54,366.12
11.600,372.42,373.88
11.800,374.45,358.16
12.000,374.55,350.43
12.200,371.78,373.70
12.400,368.93,358.25
12.600,365.59,366.07
12.800,362.35,179.41
13.000,351.77,474.85
13.200,352.07,373.66
13.400,353.81,365.99
13.600,356.23,350.58
13.800,360.34,358.18
14.000,372.93,373.77
14.200,375.18,373.91
14.400,375.36,373.77
14.600,375.41,303.72
14.800,359.03,334.68
15.000,351.37,373.54
15.200,349.12,350.30
15.400,349.05,358.23
15.600,348.22,350.47
15.800,363.34,366.19
16.000,369.79,366.20
16.200,370.53,358.14
16.400,368.52,358.08
16.600,367.16,365.90
16.800,366.42,358.24
17.000,367.09,366.11
17.200,369.14,365.97
17.400,370.12,358.16
17.600,371.78,358.18
17.800,372.57,365.90
18.000,370.58,365.91
18.200,368.72,373.67
18.400,366.33,319.18
18.600,359.02,365.76
18.800,357.92,365.83
19.000,358.11,350.40
19.200,356.41,358.25
19.400,358.35,358.29
19.600,364.90,342.76
19.800,365.01,342.80
20.000,366.02,358.45
20.200,368.43,366.23
20.400,370.28,335.16
20.600,372.54,366.08
20.800,374.44,366.06
21.000,374.36,366.10
21.200,373.32,358.25
21.400,371.66,358.07
21.600,369.04,365.87
21.800,367.74,373.57
22.000,368.20,373.62
22.200,369.83,381.33
22.400,370.93,365.80
22.600,371.76,373.64
22.800,372.70,373.61
23.000,371.00,358.06
23.200,368.01,358.09
23.400,366.32,373.56
23.600,365.89,365.82
23.800,365.07,365.84
24.000,366.10,358.07
24.200,367.48,365.94
24.400,368.65,350.52
24.600,368.50,366.07
24.800,368.56,358.21
25.000,367.85,366.01
25.200,366.91,358.10
25.400,365.69,365.87
25.600,365.18,373.63
25.800,364.99,365.82
26.000,366.01,365.87
26.200,368.30,373.60
26.400,370.14,373.67
26.600,371.04,365.91
26.800,371.14,365.82
27.000,370.44,365.77
27.200,370.85,365.86
27.400,372.50,365.97
27.600,372.94,373.80
27.800,372.68,365.99
28.000,373.27,373.64
28.200,372.05,303.66
28.400,346.64,117.19
28.600,297.07,117.19
28.800,248.90,163.79
29.000,220.85,373.52
29.200,216.60,365.79
29.400,238.28,365.82
29.600,285.94,373.61
29.800,336.76,358.02
30.000,365.89,358.13
30.200,367.30,358.22
30.400,368.82,358.25
30.600,368.29,350.60
30.800,368.76,373.78
31.000,370.28,350.42
31.200,370.35,373.70
31.400,369.55,350.37
31.600,370.67,358.29
31.800,371.25,366.14
32.000,371.03,342.76
32.200,371.26,366.14
32.400,371.69,358.15
32.600,371.14,358.32
32.800,369.99,350.49
33.000,370.33,358.37
33.200,371.48,358.48
33.400,370.90,373.80
33.600,371.51,358.21
33.800,370.97,358.09
34.000,369.18,365.84
34.200,366.24,342.66
34.400,365.94,358.30
34.600,365.84,366.07
34.800,365.71,358.36
35.000,366.17,342.69
35.200,367.65,373.84
35.400,368.33,366.07
35.600,369.11,366.02
35.800,368.36,303.68
36.000,346.95,163.80
36.200,320.39,373.62
36.400,319.26,365.95
36.600,319.40,373.82
36.800,319.90,334.91
37.000,337.82,342.52
37.200,364.19,365.97
37.400,364.23,358.33
37.600,363.57,358.46
37.800,363.24,365.93
38.000,366.75,373.59
38.200,367.95,334.78
38.400,368.11,350.42
38.600,368.67,358.39
38.800,369.23,319.69
39.000,368.63,327.50
39.200,368.17,366.29
39.400,370.51,374.09
39.600,372.60,366.24
39.800,374.12,319.38
40.000,353.59,117.19
40.131,325.02,117.19
