t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784618520.432998,153.721,1980,3201,0.0,0.0,36.0
1784618520.443135,153.721,1980,3201,0.0,0.0,36.0
1784618520.453080,153.721,1980,3201,0.0,0.0,36.0
1784618520.463080,153.721,1980,3201,0.0,0.0,36.0
1784618520.473076,153.721,1980,3201,0.0,0.0,36.0
1784618520.483088,153.721,1980,3201,0.0,0.0,36.0
1784618520.493113,155.659,1980,3201,0.0,0.0,36.0
1784618520.503077,155.659,1980,3201,0.0,0.0,36.0
1784618520.513090,155.659,1980,3201,0.0,0.0,36.0
1784618520.523076,155.659,1980,3201,0.0,0.0,36.0
1784618520.533089,155.659,1980,3201,0.0,0.0,36.0
1784618520.543076,155.659,1980,3201,0.0,0.0,36.0
1784618520.553077,155.659,1980,3201,0.0,0.0,36.0
1784618520.563173,155.659,1980,3201,0.0,0.0,36.0
1784618520.573076,155.659,1980,3201,0.0,0.0,36.0
1784618520.583123,155.659,1980,3201,0.0,0.0,36.0
1784618520.593093,182.649,1980,3201,0.0,0.0,36.0
1784618520.603078,182.649,1980,3201,0.0,0.0,36.0
1784618520.613093,182.649,1980,3201,0.0,0.0,36.0
1784618520.623078,182.649,1980,3201,0.0,0.0,36.0
1784618520.633079,182.649,1980,3201,0.0,0.0,39.0
1784618520.643079,182.649,1980,3201,0.0,0.0,39.0
1784618520.653079,182.649,1980,3201,0.0,0.0,39.0
1784618520.663083,182.649,1980,3201,0.0,0.0,39.0
1784618520.673089,182.649,1980,3201,0.0,0.0,39.0
1784618520.683114,182.649,1980,3201,0.0,0.0,39.0
1784618520.693160,213.639,1980,3201,0.0,0.0,39.0
1784618520.703193,213.639,1980,3201,0.0,0.0,39.0
1784618520.713127,213.639,1980,3201,84.0,60.0,39.0
1784618520.723161,213.639,1980,3201,84.0,60.0,39.0
1784618520.733083,213.639,1980,3201,84.0,60.0,39.0
1784618520.743080,213.639,1980,3201,84.0,60.0,39.0
1784618520.753112,213.639,1980,3201,84.0,60.0,39.0
1784618520.763147,213.639,1980,3201,84.0,60.0,39.0
1784618520.773072,213.639,1980,3201,84.0,60.0,39.0
1784618520.783145,213.639,1980,3201,84.0,60.0,39.0
1784618520.793280,233.356,1980,3201,84.0,60.0,39.0
1784618520.803143,233.356,1980,3201,84.0,60.0,39.0
1784618520.813071,233.356,1980,3201,84.0,60.0,39.0
1784618520.823080,233.356,1980,3201,84.0,60.0,39.0
1784618520.833072,233.356,1980,3201,84.0,60.0,39.0
1784618520.843071,233.356,1980,3201,84.0,60.0,39.0
1784618520.853078,233.356,1980,3201,84.0,60.0,39.0
