t_rel_s,measured_w,predicted_w
0.000,374.91,286.18
0.200,371.21,349.73
0.400,373.23,350.29
0.600,376.51,403.54
0.800,378.26,425.80
1.000,381.53,416.30
1.200,388.58,417.34
1.400,391.07,407.14
1.600,393.66,429.06
1.800,395.71,384.79
2.000,399.04,416.02
2.200,400.76,351.71
2.400,400.97,425.37
2.600,399.50,372.88
2.800,398.82,405.27
3.000,398.53,427.16
3.200,397.97,363.05
3.400,395.76,438.12
3.600,396.93,417.31
3.800,397.96,417.57
4.000,396.26,395.34
4.200,397.70,395.55
4.400,399.87,372.97
4.600,399.14,415.06
4.800,399.65,404.70
5.000,401.42,405.08
5.200,400.13,394.64
5.400,399.77,405.16
5.600,401.58,395.00
5.800,401.14,394.37
6.000,400.11,267.26
6.200,400.45,533.68
6.400,402.55,383.89
6.600,400.44,394.15
6.800,398.53,405.56
7.000,397.84,394.32
7.200,396.37,405.29
7.400,394.43,427.06
7.600,394.60,373.90
7.800,394.26,416.04
8.000,394.98,416.86
8.200,396.29,394.75
8.400,397.30,373.13
8.600,398.35,427.04
8.800,400.23,394.62
9.000,401.79,416.77
9.200,404.55,395.60
9.400,405.18,373.72
9.600,406.18,405.47
9.800,407.24,395.17
10.000,404.47,416.30
10.200,401.33,405.61
10.400,401.74,405.72
10.600,403.05,383.60
10.800,402.33,351.53
11.000,402.88,373.03
11.200,404.35,319.34
11.400,402.02,382.89
11.600,400.14,426.27
11.800,398.44,351.92
12.000,397.84,341.25
12.200,397.15,404.98
12.400,396.85,405.15
12.600,396.43,384.15
12.800,396.33,384.01
13.000,397.30,405.14
13.200,396.89,437.72
13.400,396.55,417.47
13.600,397.15,406.89
13.800,399.15,394.69
14.000,399.98,405.05
14.200,400.84,394.04
14.400,402.27,373.01
14.600,403.81,415.84
14.800,404.32,362.53
15.000,404.16,426.56
15.200,404.53,427.57
15.400,404.67,395.73
15.600,403.53,405.19
15.800,402.91,438.00
16.000,401.10,406.57
16.200,400.79,385.15
16.400,400.05,363.44
16.600,402.43,383.26
16.800,401.73,425.66
17.000,401.29,405.38
17.200,400.85,373.23
17.400,402.86,415.47
17.600,401.96,426.99
17.800,401.62,374.02
18.000,402.65,406.06
18.200,402.61,352.39
18.400,400.65,425.53
18.600,397.29,405.39
18.800,396.06,395.07
19.000,397.02,394.82
19.200,397.21,394.81
19.400,397.37,395.30
19.600,400.49,416.47
19.800,403.64,416.65
20.000,404.28,362.52
20.200,404.42,415.51
