t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784618670.755229,151.734,1980,3201,0.0,0.0,37.0
1784618670.765321,151.734,1980,3201,0.0,0.0,37.0
1784618670.775313,151.734,1980,3201,0.0,0.0,37.0
1784618670.785309,151.734,1980,3201,0.0,0.0,37.0
1784618670.795309,151.734,1980,3201,0.0,0.0,37.0
1784618670.805423,151.734,1980,3201,0.0,0.0,37.0
1784618670.815315,151.734,1980,3201,0.0,0.0,37.0
1784618670.825370,151.734,1980,3201,0.0,0.0,37.0
1784618670.835308,161.710,1980,3201,0.0,0.0,37.0
1784618670.845308,161.710,1980,3201,0.0,0.0,37.0
1784618670.855342,161.710,1980,3201,48.0,34.0,37.0
1784618670.865308,161.710,1980,3201,48.0,34.0,37.0
1784618670.875300,161.710,1980,3201,48.0,34.0,37.0
1784618670.885309,161.710,1980,3201,48.0,34.0,37.0
1784618670.895297,161.710,1980,3201,48.0,34.0,37.0
1784618670.905307,161.710,1980,3201,48.0,34.0,37.0
1784618670.915304,161.710,1980,3201,48.0,34.0,37.0
1784618670.925310,161.710,1980,3201,48.0,34.0,37.0
1784618670.935308,186.442,1980,3201,48.0,34.0,37.0
1784618670.945297,186.442,1980,3201,48.0,34.0,37.0
1784618670.955313,186.442,1980,3201,48.0,34.0,37.0
1784618670.965295,186.442,1980,3201,48.0,34.0,37.0
1784618670.975307,186.442,1980,3201,48.0,34.0,38.0
1784618670.985303,186.442,1980,3201,48.0,34.0,38.0
1784618670.995308,186.442,1980,3201,48.0,34.0,38.0
1784618671.005308,186.442,1980,3201,48.0,34.0,38.0
1784618671.015299,186.442,1980,3201,48.0,34.0,38.0
1784618671.025307,186.442,1980,3201,48.0,34.0,38.0
1784618671.035293,209.423,1980,3201,48.0,34.0,38.0
1784618671.045306,209.423,1980,3201,48.0,34.0,38.0
1784618671.055292,209.423,1980,3201,89.0,63.0,38.0
1784618671.065307,209.423,1980,3201,89.0,63.0,38.0
1784618671.075309,209.423,1980,3201,89.0,63.0,39.0
1784618671.085297,209.423,1980,3201,89.0,63.0,39.0
1784618671.095307,209.423,1980,3201,89.0,63.0,39.0
1784618671.105294,209.423,1980,3201,89.0,63.0,39.0
1784618671.115308,209.423,1980,3201,89.0,63.0,39.0
1784618671.125308,209.423,1980,3201,89.0,63.0,39.0
1784618671.135308,232.488,1980,3201,89.0,63.0,39.0
1784618671.145304,232.488,1980,3201,89.0,63.0,39.0
1784618671.155603,232.488,1980,3201,89.0,63.0,39.0
1784618671.165312,232.488,1980,3201,89.0,63.0,39.0
1784618671.175302,232.488,1980,3201,89.0,63.0,39.0
1784618671.185323,232.488,1980,3201,89.0,63.0,39.0
1784618671.195313,232.488,1980,3201,89.0,63.0,39.0
1784618671.205309,232.488,1980,3201,89.0,63.0,39.0
1784618671.215309,232.488,1980,3201,89.0,63.0,39.0
1784618671.225302,232.488,1980,3201,89.0,63.0,39.0
1784618671.235361,228.239,1980,3201,89.0,63.0,39.0
1784618671.245301,228.239,1980,3201,89.0,63.0,39.0
1784618671.255301,228.239,1980,3201,88.0,62.0,39.0
1784618671.265301,228.239,1980,3201,88.0,62.0,39.0
1784618671.275296,228.239,1980,3201,88.0,62.0,39.0
1784618671.285297,228.239,1980,3201,88.0,62.0,39.0
1784618671.295298,228.239,1980,3201,88.0,62.0,39.0
1784618671.305297,228.239,1980,3201,88.0,62.0,39.0
1784618671.315298,228.239,1980,3201,88.0,62.0,39.0
1784618671.325297,228.239,1980,3201,88.0,62.0,39.0
1784618671.335298,252.788,1980,3201,88.0,62.0,39.0
1784618671.345301,252.788,1980,3201,88.0,62.0,39.0
1784618671.355302,252.788,1980,3201,88.0,62.0,39.0
1784618671.365427,252.788,1980,3201,88.0,62.0,39.0
1784618671.375327,252.788,1980,3201,88.0,62.0,40.0
1784618671.385302,252.788,1980,3201,88.0,62.0,40.0
1784618671.395311,252.788,1980,3201,88.0,62.0,40.0
1784618671.405303,252.788,1980,3201,88.0,62.0,40.0
1784618671.415309,252.788,1980,3201,88.0,62.0,40.0
1784618671.425308,252.788,1980,3201,88.0,62.0,40.0
1784618671.435353,276.489,1980,3201,88.0,62.0,40.0
1784618671.445309,276.489,1980,3201,88.0,62.0,40.0
1784618671.455310,276.489,1980,3201,79.0,56.0,40.0
1784618671.465302,276.489,1980,3201,79.0,56.0,40.0
1784618671.475309,276.489,1980,3201,79.0,56.0,40.0
1784618671.485301,276.489,1980,3201,79.0,56.0,40.0
1784618671.495308,276.489,1980,3201,79.0,56.0,40.0
1784618671.505304,276.489,1980,3201,79.0,56.0,40.0
1784618671.515308,276.489,1980,3201,79.0,56.0,40.0
1784618671.525309,276.489,1980,3201,79.0,56.0,40.0
1784618671.535402,301.333,1980,3201,79.0,56.0,40.0
1784618671.545317,301.333,1980,3201,79.0,56.0,40.0
1784618671.555301,301.333,1980,3201,79.0,56.0,40.0
1784618671.565308,301.333,1980,3201,79.0,56.0,40.0
1784618671.575308,301.333,1980,3201,79.0,56.0,40.0
1784618671.585310,301.333,1980,3201,79.0,56.0,40.0
1784618671.595309,301.333,1980,3201,79.0,56.0,40.0
1784618671.605292,301.333,1980,3201,79.0,56.0,40.0
1784618671.615307,301.333,1980,3201,79.0,56.0,40.0
1784618671.625295,301.333,1980,3201,79.0,56.0,40.0
1784618671.635307,321.814,1980,3201,79.0,56.0,40.0
1784618671.645309,321.814,1980,3201,79.0,56.0,40.0
1784618671.655308,321.814,1980,3201,88.0,62.0,40.0
1784618671.665308,321.814,1980,3201,88.0,62.0,40.0
1784618671.675310,321.814,1980,3201,88.0,62.0,40.0
1784618671.685292,321.814,1980,3201,88.0,62.0,40.0
1784618671.695307,321.814,1980,3201,88.0,62.0,40.0
1784618671.705309,321.814,1980,3201,88.0,62.0,40.0
1784618671.715317,321.814,1980,3201,88.0,62.0,40.0
1784618671.725373,321.814,1980,3201,88.0,62.0,40.0
1784618671.735336,348.325,1980,3201,88.0,62.0,40.0
1784618671.745309,348.325,1980,3201,88.0,62.0,40.0
1784618671.755303,348.325,1980,3201,88.0,62.0,40.0
1784618671.765311,348.325,1980,3201,88.0,62.0,40.0
1784618671.775309,348.325,1980,3201,88.0,62.0,40.0
1784618671.785309,348.325,1980,3201,88.0,62.0,40.0
1784618671.795310,348.325,1980,3201,88.0,62.0,40.0
1784618671.805308,348.325,1980,3201,88.0,62.0,40.0
1784618671.815370,348.325,1980,3201,88.0,62.0,40.0
1784618671.825309,348.325,1980,3201,88.0,62.0,40.0
1784618671.835311,361.546,1980,3201,88.0,62.0,40.0
1784618671.845308,361.546,1980,3201,88.0,62.0,40.0
1784618671.855309,361.546,1980,3201,85.0,61.0,40.0
1784618671.865311,361.546,1980,3201,85.0,61.0,40.0
1784618671.875309,361.546,1980,3201,85.0,61.0,40.0
1784618671.885291,361.546,1980,3201,85.0,61.0,40.0
1784618671.895308,361.546,1980,3201,85.0,61.0,40.0
1784618671.905316,361.546,1980,3201,85.0,61.0,40.0
1784618671.915292,361.546,1980,3201,85.0,61.0,40.0
1784618671.925308,361.546,1980,3201,85.0,61.0,40.0
1784618671.935309,361.491,1980,3201,85.0,61.0,40.0
1784618671.945309,361.491,1980,3201,85.0,61.0,40.0
1784618671.955308,361.491,1980,3201,85.0,61.0,40.0
1784618671.965310,361.491,1980,3201,85.0,61.0,40.0
1784618671.975301,361.491,1980,3201,85.0,61.0,40.0
1784618671.985309,361.491,1980,3201,85.0,61.0,40.0
1784618671.995293,361.491,1980,3201,85.0,61.0,40.0
1784618672.005307,361.491,1980,3201,85.0,61.0,40.0
1784618672.015306,361.491,1980,3201,85.0,61.0,40.0
1784618672.025308,361.491,1980,3201,85.0,61.0,40.0
1784618672.035310,358.949,1980,3201,85.0,61.0,40.0
1784618672.045296,358.949,1980,3201,85.0,61.0,40.0
1784618672.055308,358.949,1980,3201,77.0,55.0,40.0
1784618672.065309,358.949,1980,3201,77.0,55.0,40.0
1784618672.075308,358.949,1980,3201,77.0,55.0,40.0
1784618672.085310,358.949,1980,3201,77.0,55.0,40.0
1784618672.095309,358.949,1980,3201,77.0,55.0,40.0
1784618672.105296,358.949,1980,3201,77.0,55.0,40.0
1784618672.115308,358.949,1980,3201,77.0,55.0,40.0
1784618672.125295,358.949,1980,3201,77.0,55.0,40.0
1784618672.135307,357.497,1980,3201,77.0,55.0,40.0
1784618672.145308,357.497,1980,3201,77.0,55.0,40.0
1784618672.155302,357.497,1980,3201,77.0,55.0,40.0
1784618672.165306,357.497,1980,3201,77.0,55.0,40.0
1784618672.175404,357.497,1980,3201,77.0,55.0,40.0
1784618672.185308,357.497,1980,3201,77.0,55.0,40.0
1784618672.195295,357.497,1980,3201,77.0,55.0,40.0
1784618672.205309,357.497,1980,3201,77.0,55.0,40.0
1784618672.215306,357.497,1980,3201,77.0,55.0,40.0
1784618672.225308,357.497,1980,3201,77.0,55.0,40.0
1784618672.235309,358.696,1980,3201,77.0,55.0,40.0
1784618672.245309,358.696,1980,3201,77.0,55.0,40.0
1784618672.255309,358.696,1980,3201,87.0,63.0,40.0
1784618672.265308,358.696,1980,3201,87.0,63.0,40.0
1784618672.275309,358.696,1980,3201,87.0,63.0,40.0
1784618672.285356,358.696,1980,3201,87.0,63.0,40.0
1784618672.295299,358.696,1980,3201,87.0,63.0,40.0
1784618672.305309,358.696,1980,3201,87.0,63.0,40.0
1784618672.315309,358.696,1980,3201,87.0,63.0,40.0
1784618672.325309,358.696,1980,3201,87.0,63.0,40.0
1784618672.335555,357.065,1980,3201,87.0,63.0,40.0
1784618672.345308,357.065,1980,3201,87.0,63.0,40.0
1784618672.355362,357.065,1980,3201,87.0,63.0,40.0
1784618672.365309,357.065,1980,3201,87.0,63.0,40.0
1784618672.375309,357.065,1980,3201,87.0,63.0,40.0
1784618672.385312,357.065,1980,3201,87.0,63.0,40.0
1784618672.395309,357.065,1980,3201,87.0,63.0,40.0
1784618672.405309,357.065,1980,3201,87.0,63.0,40.0
1784618672.415311,357.065,1980,3201,87.0,63.0,40.0
1784618672.425310,357.065,1980,3201,87.0,63.0,40.0
1784618672.435308,355.952,1980,3201,87.0,63.0,40.0
1784618672.445309,355.952,1980,3201,87.0,63.0,40.0
1784618672.455309,355.952,1980,3201,83.0,59.0,40.0
1784618672.465309,355.952,1980,3201,83.0,59.0,40.0
1784618672.475309,355.952,1980,3201,83.0,59.0,40.0
1784618672.485403,355.952,1980,3201,83.0,59.0,40.0
1784618672.495304,355.952,1980,3201,83.0,59.0,40.0
1784618672.505343,355.952,1980,3201,83.0,59.0,40.0
1784618672.515335,355.952,1980,3201,83.0,59.0,40.0
1784618672.525308,355.952,1980,3201,83.0,59.0,40.0
1784618672.535305,356.457,1980,3201,83.0,59.0,40.0
1784618672.545303,356.457,1980,3201,83.0,59.0,40.0
1784618672.555307,356.457,1980,3201,83.0,59.0,40.0
1784618672.565300,356.457,1980,3201,83.0,59.0,40.0
1784618672.575300,356.457,1980,3201,83.0,59.0,41.0
1784618672.585432,356.457,1980,3201,83.0,59.0,41.0
1784618672.595306,356.457,1980,3201,83.0,59.0,41.0
1784618672.605506,356.457,1980,3201,83.0,59.0,41.0
1784618672.615310,356.457,1980,3201,83.0,59.0,41.0
1784618672.625300,356.457,1980,3201,83.0,59.0,41.0
1784618672.635300,357.344,1980,3201,83.0,59.0,41.0
