t_rel_s,measured_w,predicted_w
0.000,282.45,379.26
0.200,328.81,379.36
0.400,359.77,334.54
0.600,358.75,361.96
0.800,357.94,362.18
1.000,356.29,371.72
1.200,358.78,390.30
1.400,364.26,354.60
1.600,372.26,382.20
1.800,374.97,373.19
2.000,380.62,382.60
2.200,380.55,390.94
2.400,377.93,399.38
2.600,375.00,389.44
2.800,374.11,380.73
3.000,371.00,389.99
3.200,371.92,370.92
3.400,370.90,388.89
3.600,368.20,388.91
3.800,366.12,352.58
4.000,366.80,379.70
4.200,364.88,398.02
4.400,366.17,389.41
4.600,368.95,398.83
4.800,371.88,371.98
5.000,373.18,390.35
5.200,374.84,381.27
5.400,375.93,371.76
5.600,376.40,381.01
5.800,377.28,389.65
6.000,377.18,380.87
6.200,376.37,381.39
6.400,374.70,363.06
6.600,373.10,390.27
6.800,370.72,363.23
7.000,372.92,381.42
7.200,375.73,399.42
7.400,376.40,381.79
7.600,378.27,355.10
7.800,381.92,391.55
8.000,384.31,400.98
8.200,384.20,363.81
8.400,384.02,372.52
8.600,385.48,390.88
8.800,384.77,391.31
9.000,383.32,391.27
9.200,380.04,381.97
9.400,381.17,380.81
9.600,380.72,362.76
9.800,382.94,354.41
10.000,384.72,390.33
10.200,387.34,353.98
10.400,389.50,391.09
10.600,395.34,382.78
10.800,397.92,401.78
11.000,396.49,383.66
11.200,397.43,392.08
11.400,398.27,401.01
11.600,393.35,373.11
11.800,386.96,381.59
12.000,382.71,372.00
12.200,377.52,371.99
12.400,374.60,380.94
12.600,374.18,380.94
12.800,375.76,389.88
13.000,377.80,372.32
13.200,380.82,390.63
13.400,379.68,381.79
13.600,377.50,372.48
13.800,377.18,381.31
14.000,375.95,389.54
14.200,372.01,370.79
14.400,354.96,235.33
14.600,327.45,136.37
14.800,290.74,361.27
15.000,284.90,361.48
15.200,288.24,370.87
15.400,301.35,389.12
15.600,331.86,371.24
15.800,369.14,380.98
16.000,379.93,381.55
16.200,383.17,363.97
16.400,386.16,364.82
16.600,388.68,373.92
16.800,390.07,373.51
17.000,389.07,364.12
17.200,388.25,372.93
17.400,386.28,372.82
17.600,385.79,373.26
17.800,386.64,390.48
18.000,383.87,372.34
18.200,381.44,390.34
18.400,379.42,362.75
18.600,376.53,381.38
18.800,373.27,380.95
19.000,371.98,389.18
19.200,371.63,353.34
19.400,375.15,371.95
19.600,379.40,372.80
19.800,383.10,391.62
20.000,389.85,392.14
20.200,395.04,373.34
20.400,395.50,391.15
20.600,393.84,381.77
20.800,390.52,381.16
21.000,387.33,381.05
21.200,382.58,390.35
21.400,379.08,372.70
21.600,379.50,391.14
21.800,382.53,381.91
22.000,383.04,372.69
22.200,384.39,354.92
22.400,388.31,382.19
22.600,390.41,363.46
22.800,389.84,372.59
23.000,388.99,373.17
23.200,390.81,346.10
23.400,389.71,391.62
23.600,387.43,382.87
23.800,388.66,373.88
24.000,391.16,400.75
24.200,389.29,372.79
24.400,386.79,391.22
24.600,387.15,372.14
24.800,384.68,372.07
25.000,382.54,363.87
25.200,384.29,382.69
25.400,388.27,390.67
25.600,390.49,362.86
25.800,389.76,371.93
26.000,386.15,354.29
26.200,383.68,363.88
26.400,381.89,373.06
26.600,379.14,381.32
26.800,378.40,380.80
27.000,379.47,362.49
27.200,379.53,389.94
27.400,377.88,389.75
27.600,376.19,389.96
27.800,376.28,380.47
28.000,376.69,397.93
28.200,375.32,397.90
28.400,373.89,407.07
28.600,372.73,388.99
28.800,370.44,370.70
29.000,368.73,379.96
29.200,367.75,398.24
29.400,367.45,397.94
29.600,368.81,380.00
29.800,371.37,371.40
30.000,375.68,380.88
30.200,377.97,389.84
30.400,380.07,361.89
30.600,380.34,397.82
30.800,379.11,380.04
31.000,376.69,398.42
31.200,375.07,380.38
31.400,374.21,398.70
31.600,374.46,353.40
31.800,375.34,381.06
32.000,376.38,399.89
32.200,380.68,364.38
32.400,384.69,373.53
32.600,387.03,391.59
32.800,389.18,364.94
33.000,393.54,383.52
33.200,392.73,383.29
33.400,391.89,391.12
33.600,390.86,390.25
33.800,390.48,389.68
34.000,385.94,380.77
34.200,383.17,389.68
34.400,381.57,381.05
34.600,381.26,381.04
34.800,380.46,398.66
35.000,381.12,371.93
35.200,382.04,363.42
35.400,382.91,363.91
35.600,383.81,382.44
35.800,384.72,372.86
36.000,386.31,363.52
36.200,387.33,390.34
36.400,385.82,380.64
36.600,382.70,362.98
36.800,380.55,345.06
37.000,381.51,345.61
37.200,383.00,364.15
37.400,387.16,383.31
37.600,392.10,384.08
37.800,397.71,374.66
38.000,398.76,393.43
38.200,398.47,384.14
38.400,396.67,373.84
38.600,396.01,354.65
38.800,392.53,380.75
39.000,387.38,398.17
39.200,383.74,380.10
39.400,381.60,388.91
39.600,379.00,371.18
39.800,376.99,389.64
40.000,376.53,390.00
40.200,377.27,363.11
40.400,378.29,345.32
40.600,379.47,372.33
40.800,382.37,381.71
41.000,388.17,364.21
41.200,392.44,400.54
41.400,395.86,391.16
41.600,396.63,382.38
41.800,395.53,382.84
42.000,394.14,372.79
42.200,393.02,390.63
42.400,390.31,380.91
42.600,388.59,399.03
42.800,387.43,380.45
43.000,385.45,353.74
43.200,385.81,399.81
43.400,387.42,345.31
43.600,389.06,364.16
43.800,391.94,391.83
44.000,395.06,401.21
44.200,395.89,391.84
44.400,396.65,391.89
44.600,397.35,400.45
44.800,396.23,371.79
45.000,393.40,399.14
45.200,388.39,398.52
45.313,386.01,401.57
