t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784618330.795074,151.496,1980,3201,0.0,0.0,34.0
1784618330.805168,151.496,1980,3201,0.0,0.0,34.0
1784618330.815171,151.496,1980,3201,0.0,0.0,34.0
1784618330.825165,151.496,1980,3201,0.0,0.0,34.0
1784618330.835199,151.496,1980,3201,0.0,0.0,34.0
1784618330.845206,151.496,1980,3201,0.0,0.0,34.0
1784618330.855153,151.496,1980,3201,0.0,0.0,34.0
1784618330.865160,151.636,1980,3201,0.0,0.0,34.0
1784618330.875156,151.636,1980,3201,0.0,0.0,34.0
1784618330.885158,151.636,1980,3201,0.0,0.0,34.0
1784618330.895154,151.636,1980,3201,0.0,0.0,34.0
1784618330.905156,151.636,1980,3201,0.0,0.0,34.0
1784618330.915161,151.636,1980,3201,0.0,0.0,34.0
1784618330.925165,151.636,1980,3201,0.0,0.0,34.0
1784618330.935154,151.636,1980,3201,0.0,0.0,34.0
1784618330.945153,151.636,1980,3201,0.0,0.0,34.0
1784618330.955167,151.636,1980,3201,0.0,0.0,34.0
1784618330.965162,151.744,1980,3201,0.0,0.0,34.0
1784618330.975156,151.744,1980,3201,0.0,0.0,34.0
1784618330.985153,151.744,1980,3201,0.0,0.0,34.0
1784618330.995154,151.744,1980,3201,0.0,0.0,34.0
1784618331.005168,151.744,1980,3201,0.0,0.0,34.0
1784618331.015153,151.744,1980,3201,0.0,0.0,34.0
1784618331.025166,151.744,1980,3201,0.0,0.0,34.0
1784618331.035160,151.744,1980,3201,0.0,0.0,34.0
1784618331.045164,151.744,1980,3201,0.0,0.0,34.0
1784618331.055179,151.744,1980,3201,0.0,0.0,34.0
1784618331.065156,151.100,1980,3201,0.0,0.0,34.0
1784618331.075207,151.100,1980,3201,0.0,0.0,34.0
1784618331.085154,151.100,1980,3201,0.0,0.0,34.0
1784618331.095253,151.100,1980,3201,0.0,0.0,34.0
1784618331.105158,151.100,1980,3201,0.0,0.0,34.0
1784618331.115158,151.100,1980,3201,0.0,0.0,34.0
1784618331.125156,151.100,1980,3201,0.0,0.0,34.0
1784618331.135158,151.100,1980,3201,0.0,0.0,34.0
1784618331.145156,151.100,1980,3201,0.0,0.0,34.0
1784618331.155155,151.100,1980,3201,0.0,0.0,34.0
1784618331.165160,119.957,1980,3201,0.0,0.0,34.0
1784618331.175155,119.957,1980,3201,0.0,0.0,34.0
1784618331.185156,119.957,1980,3201,0.0,0.0,34.0
1784618331.195157,119.957,1980,3201,0.0,0.0,34.0
1784618331.205156,119.957,1980,3201,0.0,0.0,34.0
1784618331.215155,119.957,1980,3201,0.0,0.0,34.0
1784618331.225156,119.957,1980,3201,0.0,0.0,34.0
1784618331.235157,119.957,1980,3201,0.0,0.0,34.0
1784618331.245155,119.957,1980,3201,0.0,0.0,34.0
1784618331.255155,119.957,1980,3201,0.0,0.0,34.0
1784618331.265156,118.242,1980,3201,0.0,0.0,34.0
1784618331.275156,118.242,1980,3201,0.0,0.0,34.0
1784618331.285155,118.242,1980,3201,0.0,0.0,34.0
1784618331.295162,118.242,1980,3201,0.0,0.0,34.0
1784618331.305156,118.242,1980,3201,0.0,0.0,34.0
1784618331.315156,118.242,1980,3201,0.0,0.0,34.0
1784618331.325207,118.242,1980,3201,0.0,0.0,34.0
1784618331.335155,118.242,1980,3201,0.0,0.0,34.0
1784618331.345156,118.242,1980,3201,0.0,0.0,34.0
1784618331.355158,118.242,1980,3201,0.0,0.0,34.0
1784618331.365156,118.331,1980,3201,0.0,0.0,34.0
1784618331.375205,118.331,1980,3201,0.0,0.0,34.0
1784618331.385242,118.331,1980,3201,0.0,0.0,34.0
1784618331.395155,118.331,1980,3201,0.0,0.0,34.0
1784618331.405188,118.331,1980,3201,0.0,0.0,34.0
1784618331.415156,118.331,1980,3201,0.0,0.0,34.0
1784618331.425156,118.331,1980,3201,0.0,0.0,34.0
1784618331.435155,118.331,1980,3201,0.0,0.0,34.0
1784618331.445156,118.331,1980,3201,0.0,0.0,34.0
1784618331.455156,118.331,1980,3201,0.0,0.0,34.0
1784618331.465155,118.424,1980,3201,0.0,0.0,34.0
1784618331.475156,118.424,1980,3201,0.0,0.0,34.0
1784618331.485203,118.424,1980,3201,0.0,0.0,34.0
1784618331.495155,118.424,1980,3201,0.0,0.0,34.0
1784618331.505156,118.424,1980,3201,0.0,0.0,34.0
1784618331.515156,118.424,1980,3201,0.0,0.0,34.0
1784618331.525156,118.424,1980,3201,0.0,0.0,34.0
1784618331.535201,118.424,1980,3201,0.0,0.0,34.0
1784618331.545158,118.424,1980,3201,0.0,0.0,34.0
1784618331.555158,118.424,1980,3201,0.0,0.0,34.0
1784618331.565155,118.501,1980,3201,0.0,0.0,34.0
1784618331.575146,118.501,1980,3201,0.0,0.0,34.0
1784618331.585147,118.501,1980,3201,0.0,0.0,34.0
1784618331.595146,118.501,1980,3201,0.0,0.0,34.0
1784618331.605157,118.501,1980,3201,0.0,0.0,34.0
1784618331.615156,118.501,1980,3201,0.0,0.0,34.0
1784618331.625198,118.501,1980,3201,0.0,0.0,34.0
1784618331.635155,118.501,1980,3201,0.0,0.0,34.0
1784618331.645158,118.501,1980,3201,0.0,0.0,34.0
1784618331.655160,118.501,1980,3201,0.0,0.0,34.0
1784618331.665226,118.538,1980,3201,0.0,0.0,34.0
1784618331.675158,118.538,1980,3201,0.0,0.0,34.0
1784618331.685150,118.538,1980,3201,0.0,0.0,34.0
1784618331.695156,118.538,1980,3201,0.0,0.0,34.0
1784618331.705155,118.538,1980,3201,0.0,0.0,34.0
1784618331.715156,118.538,1980,3201,0.0,0.0,34.0
1784618331.725158,118.538,1980,3201,0.0,0.0,34.0
1784618331.735158,118.538,1980,3201,0.0,0.0,34.0
1784618331.745156,118.538,1980,3201,0.0,0.0,34.0
1784618331.755212,118.538,1980,3201,0.0,0.0,34.0
1784618331.765167,118.519,1980,3201,0.0,0.0,34.0
1784618331.775170,118.519,1980,3201,0.0,0.0,34.0
1784618331.785146,118.519,1980,3201,0.0,0.0,34.0
1784618331.795170,118.519,1980,3201,0.0,0.0,34.0
1784618331.805162,118.519,1980,3201,0.0,0.0,34.0
1784618331.815207,118.519,1980,3201,0.0,0.0,34.0
1784618331.825203,118.519,1980,3201,0.0,0.0,34.0
1784618331.835169,118.519,1980,3201,0.0,0.0,34.0
1784618331.845168,118.519,1980,3201,0.0,0.0,34.0
1784618331.855163,118.519,1980,3201,0.0,0.0,34.0
1784618331.865156,118.473,1980,3201,0.0,0.0,34.0
1784618331.875161,118.473,1980,3201,0.0,0.0,34.0
1784618331.885152,118.473,1980,3201,0.0,0.0,34.0
1784618331.895181,118.473,1980,3201,0.0,0.0,34.0
1784618331.905225,118.473,1980,3201,0.0,0.0,34.0
1784618331.915198,118.473,1980,3201,0.0,0.0,34.0
1784618331.925165,118.473,1980,3201,0.0,0.0,34.0
1784618331.935176,118.473,1980,3201,0.0,0.0,34.0
1784618331.945241,118.473,1980,3201,0.0,0.0,34.0
1784618331.955238,118.473,1980,3201,0.0,0.0,34.0
1784618331.965168,118.458,1980,3201,0.0,0.0,34.0
1784618331.975193,118.458,1980,3201,0.0,0.0,34.0
1784618331.985188,118.458,1980,3201,0.0,0.0,34.0
1784618331.995160,118.458,1980,3201,0.0,0.0,34.0
1784618332.005185,118.458,1980,3201,0.0,0.0,34.0
1784618332.015179,118.458,1980,3201,0.0,0.0,34.0
1784618332.025236,118.458,1980,3201,0.0,0.0,34.0
1784618332.035197,118.458,1980,3201,0.0,0.0,34.0
1784618332.045193,118.458,1980,3201,0.0,0.0,34.0
1784618332.055239,118.458,1980,3201,0.0,0.0,34.0
1784618332.065190,118.441,1980,3201,0.0,0.0,34.0
1784618332.075214,118.441,1980,3201,0.0,0.0,34.0
1784618332.085188,118.441,1980,3201,0.0,0.0,34.0
1784618332.095264,118.441,1980,3201,0.0,0.0,34.0
1784618332.105156,118.441,1980,3201,0.0,0.0,34.0
1784618332.115191,118.441,1980,3201,0.0,0.0,34.0
1784618332.125156,118.441,1980,3201,0.0,0.0,34.0
