t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784618891.916070,175.193,1980,3201,0.0,0.0,36.0
1784618891.926158,151.863,1980,3201,0.0,0.0,36.0
1784618891.936149,151.863,1980,3201,0.0,0.0,36.0
1784618891.946148,151.863,1980,3201,0.0,0.0,36.0
1784618891.956163,151.863,1980,3201,0.0,0.0,36.0
1784618891.966150,151.863,1980,3201,0.0,0.0,36.0
1784618891.976148,151.863,1980,3201,0.0,0.0,36.0
1784618891.986149,151.863,1980,3201,0.0,0.0,36.0
1784618891.996191,151.863,1980,3201,0.0,0.0,36.0
1784618892.006149,151.863,1980,3201,0.0,0.0,36.0
1784618892.016150,151.863,1980,3201,0.0,0.0,36.0
1784618892.026191,179.172,1980,3201,0.0,0.0,36.0
1784618892.036150,179.172,1980,3201,0.0,0.0,36.0
1784618892.046169,179.172,1980,3201,74.0,41.0,36.0
1784618892.056152,179.172,1980,3201,74.0,41.0,36.0
1784618892.066190,179.172,1980,3201,74.0,41.0,44.0
1784618892.076155,179.172,1980,3201,74.0,41.0,44.0
1784618892.086219,179.172,1980,3201,74.0,41.0,44.0
1784618892.096152,179.172,1980,3201,74.0,41.0,44.0
1784618892.106140,179.172,1965,3201,74.0,41.0,44.0
1784618892.116150,179.172,1965,3201,74.0,41.0,44.0
1784618892.126145,204.499,1965,3201,74.0,41.0,44.0
1784618892.136281,204.499,1965,3201,74.0,41.0,44.0
1784618892.146742,204.499,1965,3201,74.0,41.0,44.0
1784618892.156150,204.499,1965,3201,74.0,41.0,44.0
1784618892.166149,204.499,1965,3201,74.0,41.0,39.0
1784618892.176150,204.499,1965,3201,74.0,41.0,39.0
1784618892.186149,204.499,1965,3201,74.0,41.0,39.0
1784618892.196232,204.499,1965,3201,74.0,41.0,39.0
1784618892.206149,204.499,1965,3201,74.0,41.0,39.0
1784618892.216149,204.499,1965,3201,74.0,41.0,39.0
1784618892.226184,229.762,1965,3201,74.0,41.0,39.0
1784618892.236149,229.762,1965,3201,74.0,41.0,39.0
1784618892.246149,229.762,1965,3201,84.0,60.0,39.0
1784618892.256149,229.762,1965,3201,84.0,60.0,39.0
1784618892.266150,229.762,1965,3201,84.0,60.0,40.0
1784618892.276149,229.762,1965,3201,84.0,60.0,40.0
1784618892.286149,229.762,1965,3201,84.0,60.0,40.0
1784618892.296150,229.762,1965,3201,84.0,60.0,40.0
1784618892.306217,229.762,1965,3201,84.0,60.0,40.0
1784618892.316150,229.762,1965,3201,84.0,60.0,40.0
1784618892.326150,249.711,1965,3201,84.0,60.0,40.0
1784618892.336146,249.711,1965,3201,84.0,60.0,40.0
1784618892.346152,249.711,1965,3201,84.0,60.0,40.0
1784618892.356149,249.711,1965,3201,84.0,60.0,40.0
1784618892.366150,249.711,1965,3201,84.0,60.0,40.0
1784618892.376149,249.711,1965,3201,84.0,60.0,40.0
