t_rel_s,measured_w,predicted_w
0.000,469.49,342.42
0.200,488.69,139.40
0.400,513.88,504.80
0.600,517.82,379.55
0.800,532.29,477.43
1.000,534.88,639.78
1.200,520.86,714.70
1.400,502.21,675.53
1.600,506.68,610.98
1.800,498.52,711.27
2.000,507.49,718.38
2.200,510.14,725.42
2.400,516.00,484.14
2.600,536.22,190.46
2.800,563.26,346.28
3.000,567.73,597.07
3.200,560.03,545.75
3.400,551.49,663.34
3.600,531.59,599.82
3.800,500.99,651.07
4.000,493.68,626.05
4.200,499.60,606.51
4.400,497.93,540.67
4.600,497.23,639.55
4.800,502.66,515.14
5.000,513.74,162.35
5.200,538.48,249.97
5.400,569.15,436.76
5.600,581.18,438.34
5.800,589.71,543.39
6.000,581.04,573.31
6.200,554.37,576.31
6.400,533.75,628.55
6.600,528.04,485.15
6.800,525.52,561.94
7.000,524.72,640.22
7.200,531.16,694.93
7.400,531.83,367.09
7.600,542.99,212.18
7.800,533.49,573.19
8.000,534.75,369.60
8.200,536.94,541.53
8.400,531.58,587.84
8.600,524.34,477.70
8.800,530.56,547.58
9.000,527.67,527.11
9.200,521.25,529.29
9.400,524.59,646.89
9.600,522.19,465.02
9.800,526.94,282.40
10.000,544.60,211.39
10.200,561.15,515.53
10.400,559.95,350.09
10.600,571.42,469.69
10.800,567.32,448.38
11.000,556.97,666.44
11.200,544.86,478.27
11.400,566.59,446.91
11.600,566.64,613.47
11.800,566.40,377.26
12.000,575.26,660.36
12.200,575.18,519.34
12.400,550.84,209.99
12.600,552.15,452.94
12.800,543.44,385.72
13.000,523.82,543.14
13.200,525.16,409.55
13.400,537.92,589.62
13.600,525.58,572.22
13.800,523.23,581.45
14.000,528.12,469.80
14.200,548.33,449.62
14.400,547.18,568.76
14.600,547.94,380.03
14.800,557.25,280.21
15.000,575.34,439.25
15.200,554.30,509.33
15.400,544.55,536.19
15.600,560.11,328.71
15.800,577.07,260.95
16.000,584.20,602.44
16.200,582.58,526.89
16.400,581.82,620.01
16.600,571.83,564.07
16.800,547.48,517.05
17.000,524.30,612.77
17.200,528.82,187.78
17.400,548.78,443.00
17.600,548.63,419.54
17.800,552.64,554.69
18.000,550.79,531.18
18.200,545.95,553.18
18.400,525.53,509.16
18.600,522.91,579.77
18.800,516.32,396.26
19.000,531.35,449.23
19.200,544.94,624.23
19.400,547.90,553.90
19.600,547.98,428.36
19.800,549.40,546.71
20.000,541.44,449.08
20.200,535.96,614.45
20.400,535.69,513.78
20.600,542.56,420.05
20.800,551.62,513.99
21.000,559.23,520.35
21.200,557.24,494.68
21.400,556.45,509.06
21.600,547.25,579.47
21.800,541.89,415.76
22.000,533.95,460.19
22.200,534.62,347.52
22.400,542.64,549.94
22.600,544.65,392.31
22.800,552.25,575.85
23.000,547.75,599.21
23.200,545.84,479.33
23.400,540.20,478.07
23.600,542.29,319.89
23.800,542.17,525.07
24.000,549.99,481.80
24.200,552.74,480.02
24.400,551.72,437.11
24.600,553.22,576.69
24.800,538.99,345.73
25.000,530.98,548.94
25.200,525.62,414.00
25.400,528.95,368.94
25.600,540.55,439.74
25.800,547.94,461.91
26.000,552.40,599.24
