t_rel_s,measured_w,predicted_w
0.000,355.12,128.18
0.200,318.55,363.52
0.400,313.65,344.02
0.600,315.74,393.57
0.800,315.62,374.27
1.000,321.79,394.35
1.200,360.32,424.47
1.400,368.90,356.03
1.600,368.51,396.61
1.800,371.69,387.47
2.000,377.69,397.59
2.200,381.60,417.67
2.400,384.33,426.67
2.600,385.56,406.84
2.800,386.97,397.05
3.000,387.09,407.65
3.200,390.00,368.39
3.400,393.49,408.44
3.600,394.89,387.49
3.800,401.85,338.17
4.000,402.97,379.05
4.200,396.40,429.80
4.400,391.58,409.81
4.600,392.10,419.29
4.800,385.73,409.14
5.000,382.34,405.96
5.200,383.41,386.24
5.400,382.98,396.90
5.600,379.56,395.61
5.800,377.70,405.47
6.000,380.73,406.23
6.200,385.75,397.49
6.400,392.27,338.24
6.600,411.05,408.36
6.800,418.58,378.60
7.000,419.12,418.11
7.200,417.43,427.81
7.400,412.87,397.55
7.600,399.72,367.83
7.800,396.60,407.26
8.000,397.71,415.42
8.200,395.78,385.87
8.400,394.71,396.11
8.600,393.70,415.33
8.800,393.44,375.79
9.000,394.87,425.93
9.200,395.23,416.41
9.400,394.13,375.71
9.600,390.12,385.39
9.800,388.50,326.50
10.000,394.14,404.89
10.200,396.07,385.52
10.400,399.61,415.97
10.600,404.61,406.52
10.800,407.19,427.37
11.000,398.90,417.94
11.200,397.78,398.16
11.400,396.81,427.25
11.600,395.61,416.27
11.800,393.05,395.77
12.000,389.61,405.40
12.200,385.93,404.40
12.400,383.58,414.31
12.600,381.36,404.81
12.800,380.79,425.23
13.000,384.53,406.12
13.200,389.29,416.46
13.400,392.81,416.93
13.600,404.31,366.88
13.800,407.08,406.06
14.000,404.45,415.42
14.200,400.66,425.15
14.400,396.55,415.15
14.600,386.18,424.91
14.800,380.87,394.37
15.000,379.65,374.82
15.200,379.15,394.28
15.400,380.33,424.32
15.600,381.56,404.53
15.800,382.10,355.62
16.000,387.02,386.08
16.200,393.99,366.67
16.400,402.83,397.28
16.600,407.27,417.14
16.800,410.13,406.53
17.000,406.88,396.33
17.200,404.48,416.42
17.400,400.76,307.85
17.600,424.63,384.22
17.800,425.50,424.73
18.000,426.02,404.32
18.200,427.99,424.99
18.400,427.89,394.21
18.600,408.44,405.15
18.800,405.35,404.71
19.000,407.26,414.36
19.200,407.59,370.69
19.400,406.68,396.76
19.600,406.47,387.67
19.800,405.38,427.05
20.000,404.55,417.35
20.200,410.72,280.73
20.400,432.13,414.69
20.600,430.47,404.40
20.800,427.90,425.41
21.000,424.66,384.43
21.200,419.30,425.01
21.400,392.12,413.57
21.600,389.73,403.77
21.800,390.91,383.91
22.000,396.49,397.71
22.200,398.00,385.42
22.400,399.17,406.34
22.600,413.25,300.95
22.800,425.90,393.32
23.000,425.14,384.35
23.200,431.83,365.48
23.400,434.92,417.21
23.600,428.21,397.40
23.800,419.29,377.33
24.000,423.71,418.35
24.200,421.12,407.30
24.400,420.99,392.70
24.600,417.65,309.94
24.800,450.10,363.59
25.000,450.30,382.84
25.200,447.35,401.60
25.400,445.63,412.49
25.600,446.91,391.43
25.800,416.40,396.99
26.000,409.87,397.44
