t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784619362.196141,1784619362.196141,mixed,1,0,48,0.0001,35,1,
1784619362.196141,1784619362.208005,decode,1,0,48,0.0001,0,1,
1784619362.208005,1784619362.214660,decode,1,0,48,0.0001,0,1,
1784619362.214660,1784619362.221239,decode,1,0,48,0.0001,0,1,
1784619362.221239,1784619362.227215,decode,1,0,48,0.0001,0,1,
1784619362.227215,1784619362.233980,decode,1,0,48,0.0001,0,1,
1784619362.233980,1784619362.239852,decode,1,0,48,0.0001,0,1,
1784619362.239852,1784619362.246498,decode,1,0,48,0.0001,0,1,
1784619362.246498,1784619362.252736,decode,1,0,48,0.0001,0,1,
1784619362.252736,1784619362.259027,decode,1,0,48,0.0001,0,1,
1784619362.259027,1784619362.265683,decode,1,0,48,0.0001,0,1,
1784619362.265683,1784619362.271793,decode,1,0,48,0.0001,0,1,
1784619362.271793,1784619362.278610,decode,1,0,48,0.0001,0,1,
1784619362.278610,1784619362.284580,decode,1,0,48,0.0001,0,1,
1784619362.284580,1784619362.290981,decode,1,0,64,0.0001,0,1,
1784619362.290981,1784619362.297198,decode,1,0,64,0.0001,0,1,
1784619362.297198,1784619362.303395,decode,1,0,64,0.0001,0,1,
1784619362.303395,1784619362.309785,decode,1,0,64,0.0001,0,1,
1784619362.309785,1784619362.316188,decode,1,0,64,0.0001,0,1,
1784619362.316188,1784619362.322008,decode,1,0,64,0.0001,0,1,
1784619362.322008,1784619362.328223,decode,1,0,64,0.0001,0,1,
1784619362.328223,1784619362.334580,decode,1,0,64,0.0001,0,1,
1784619362.334580,1784619362.340627,decode,1,0,64,0.0001,0,1,
1784619362.340627,1784619362.347149,decode,1,0,64,0.0001,0,1,
1784619362.347149,1784619362.353702,decode,1,0,64,0.0001,0,1,
1784619362.353702,1784619362.359476,decode,1,0,64,0.0001,0,1,
1784619362.359476,1784619362.365869,decode,1,0,64,0.0001,0,1,
1784619362.365869,1784619362.372068,decode,1,0,64,0.0001,0,1,
1784619362.372068,1784619362.378124,decode,1,0,64,0.0001,0,1,
1784619362.378124,1784619362.384555,decode,1,0,64,0.0001,0,1,
1784619362.384555,1784619362.390717,decode,1,0,80,0.0001,0,1,
1784619362.390717,1784619362.397100,decode,1,0,80,0.0001,0,1,
1784619362.397100,1784619362.403023,decode,1,0,80,0.0001,0,1,
1784619362.403023,1784619362.409242,decode,1,0,80,0.0001,0,1,
1784619362.409242,1784619362.415806,decode,1,0,80,0.0001,0,1,
1784619362.415806,1784619362.421710,decode,1,0,80,0.0001,0,1,
1784619362.421710,1784619362.427981,decode,1,0,80,0.0001,0,1,
1784619362.427981,1784619362.434596,decode,1,0,80,0.0001,0,1,
1784619362.434596,1784619362.440727,decode,1,0,80,0.0001,0,1,
