t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1784619437.870709,0.2000,70.9162,4.276638e+11,4.303803e+12,4.298839e+12,4.266236e+11,1.040187e+09,4.294678e+12,4.160750e+09,185,117,30,185.0,4.294678e+12
1784619438.070709,0.2000,70.9030,4.567178e+11,1.826871e+12,1.826871e+12,4.550652e+11,1.652556e+09,1.820261e+12,6.610223e+09,0,128,32,0.0,1.820261e+12
1784619438.270709,0.2000,70.7325,4.429563e+11,1.771825e+12,1.771825e+12,4.408444e+11,2.111832e+09,1.763378e+12,8.447328e+09,0,124,31,0.0,1.763378e+12
1784619438.470709,0.2000,70.6648,4.577747e+11,1.831099e+12,1.831099e+12,4.550652e+11,2.709520e+09,1.820261e+12,1.083808e+10,0,128,32,0.0,1.820261e+12
1784619438.670709,0.2000,70.7492,4.583116e+11,1.833246e+12,1.833246e+12,4.550652e+11,3.246391e+09,1.820261e+12,1.298557e+10,0,128,32,0.0,1.820261e+12
1784619438.870709,0.2000,70.7880,4.444998e+11,1.777999e+12,1.777999e+12,4.408444e+11,3.655336e+09,1.763378e+12,1.462134e+10,0,124,31,0.0,1.763378e+12
1784619439.070709,0.2000,70.7998,4.593686e+11,1.837474e+12,1.837474e+12,4.550652e+11,4.303356e+09,1.820261e+12,1.721342e+10,0,128,32,0.0,1.820261e+12
1784619439.270709,0.2000,71.0116,4.599054e+11,1.839622e+12,1.839622e+12,4.550652e+11,4.840227e+09,1.820261e+12,1.936091e+10,0,128,32,0.0,1.820261e+12
1784619439.470709,0.2000,70.8235,3.994173e+11,3.577914e+12,3.574359e+12,3.981821e+11,1.235223e+09,3.569418e+12,4.940890e+09,143,108,28,143.0,3.569418e+12
1784619439.670709,0.2000,70.5456,4.564242e+11,1.825697e+12,1.825697e+12,4.550652e+11,1.358954e+09,1.820261e+12,5.435818e+09,0,128,32,0.0,1.820261e+12
1784619439.870709,0.2000,70.5558,4.569610e+11,1.827844e+12,1.827844e+12,4.550652e+11,1.895825e+09,1.820261e+12,7.583302e+09,0,128,32,0.0,1.820261e+12
1784619440.070709,0.2000,70.6255,4.431932e+11,1.772773e+12,1.772773e+12,4.408444e+11,2.348810e+09,1.763378e+12,9.395241e+09,0,124,31,0.0,1.763378e+12
1784619440.270710,0.2000,70.3337,4.436965e+11,1.774786e+12,1.774786e+12,4.408444e+11,2.852127e+09,1.763378e+12,1.140851e+10,0,124,31,0.0,1.763378e+12
1784619440.470709,0.2000,70.4208,4.441999e+11,1.776799e+12,1.776799e+12,4.408444e+11,3.355443e+09,1.763378e+12,1.342177e+10,0,124,31,0.0,1.763378e+12
1784619440.670710,0.2000,70.3916,4.447053e+11,1.778821e+12,1.778821e+12,4.408444e+11,3.860857e+09,1.763378e+12,1.544343e+10,0,124,31,0.0,1.763378e+12
1784619440.870709,0.2000,70.2302,4.452086e+11,1.780834e+12,1.780834e+12,4.408444e+11,4.364173e+09,1.763378e+12,1.745669e+10,0,124,31,0.0,1.763378e+12
1784619441.070710,0.2000,70.0763,4.147999e+11,3.311172e+12,3.308811e+12,4.124028e+11,2.397045e+09,3.299223e+12,9.588179e+09,120,112,29,120.0,3.299223e+12
1784619441.270710,0.2000,69.4849,4.561767e+11,1.824707e+12,1.824707e+12,4.550652e+11,1.111491e+09,1.820261e+12,4.445962e+09,0,128,32,0.0,1.820261e+12
1784619441.470710,0.2000,69.7431,4.424320e+11,1.769728e+12,1.769728e+12,4.408444e+11,1.587544e+09,1.763378e+12,6.350176e+09,0,124,31,0.0,1.763378e+12
1784619441.670710,0.2000,69.6636,4.429353e+11,1.771741e+12,1.771741e+12,4.408444e+11,2.090861e+09,1.763378e+12,8.363442e+09,0,124,31,0.0,1.763378e+12
1784619441.870710,0.2000,69.7018,4.434386e+11,1.773754e+12,1.773754e+12,4.408444e+11,2.594177e+09,1.763378e+12,1.037671e+10,0,124,31,0.0,1.763378e+12
1784619442.070710,0.2000,69.5378,4.439440e+11,1.775776e+12,1.775776e+12,4.408444e+11,3.099591e+09,1.763378e+12,1.239836e+10,0,124,31,0.0,1.763378e+12
1784619442.270710,0.2000,70.0945,4.444473e+11,1.777789e+12,1.777789e+12,4.408444e+11,3.602907e+09,1.763378e+12,1.441163e+10,0,124,31,0.0,1.763378e+12
1784619442.470710,0.2000,69.7780,4.449527e+11,1.779811e+12,1.779811e+12,4.408444e+11,4.108321e+09,1.763378e+12,1.643328e+10,0,124,31,0.0,1.763378e+12
1784619442.670710,0.2000,69.8371,4.159596e+11,3.315814e+12,3.313450e+12,4.124028e+11,3.556770e+09,3.299223e+12,1.422708e+10,120,112,29,120.0,3.299223e+12
1784619442.870710,0.2000,69.7015,4.560089e+11,1.824036e+12,1.824036e+12,4.550652e+11,9.437184e+08,1.820261e+12,3.774874e+09,0,128,32,0.0,1.820261e+12
1784619443.070710,0.2000,69.8866,4.422726e+11,1.769090e+12,1.769090e+12,4.408444e+11,1.428161e+09,1.763378e+12,5.712642e+09,0,124,31,0.0,1.763378e+12
1784619443.270710,0.2000,69.8539,4.427759e+11,1.771104e+12,1.771104e+12,4.408444e+11,1.931477e+09,1.763378e+12,7.725908e+09,0,124,31,0.0,1.763378e+12
1784619443.470710,0.2000,69.9452,4.432792e+11,1.773117e+12,1.773117e+12,4.408444e+11,2.434793e+09,1.763378e+12,9.739174e+09,0,124,31,0.0,1.763378e+12
