t_rel_s,measured_w,predicted_w
0.000,354.58,332.68
0.200,354.51,363.57
0.400,353.66,356.18
0.600,353.32,364.14
0.800,353.75,364.42
1.000,353.94,357.01
1.200,354.00,364.99
1.400,355.06,365.28
1.600,354.12,317.52
1.800,352.73,363.41
2.000,352.78,363.70
2.200,353.13,356.31
2.400,351.67,356.58
2.600,352.10,356.85
2.800,351.96,357.12
3.000,351.15,357.39
3.200,350.38,325.78
3.400,347.42,363.28
3.600,348.72,355.90
3.800,348.32,356.17
4.000,348.51,356.44
4.200,347.69,356.71
4.400,350.47,356.98
4.600,348.89,357.25
4.800,349.19,326.41
5.000,348.51,363.19
5.200,349.43,355.81
5.400,349.27,356.08
5.600,349.73,356.35
5.800,350.06,356.62
6.000,351.32,356.89
6.200,351.38,357.16
6.400,352.33,357.43
6.600,351.81,325.01
6.800,352.08,363.32
7.000,352.60,363.61
7.200,352.95,363.90
7.400,353.15,364.18
7.600,355.15,356.78
7.800,356.11,364.75
8.000,355.36,357.33
8.200,354.67,333.05
8.400,353.39,363.28
8.600,352.73,363.57
8.800,352.84,271.76
9.000,352.96,448.55
9.200,354.14,364.42
9.400,356.09,364.71
9.600,356.72,357.29
9.800,356.19,341.04
10.000,357.93,363.30
10.200,357.83,363.59
10.400,357.10,363.87
10.600,356.84,364.16
10.800,357.71,356.76
11.000,357.11,364.73
11.200,356.96,365.02
11.400,357.13,325.99
11.600,355.39,363.37
11.800,355.70,363.66
12.000,355.88,363.95
12.200,356.52,364.24
12.400,357.59,356.83
12.600,360.42,364.81
12.800,360.42,357.38
13.000,360.48,334.09
13.200,360.09,363.30
13.400,359.95,363.59
13.600,359.64,356.20
13.800,358.67,364.15
14.000,358.47,356.75
14.200,358.46,364.72
14.400,357.58,357.30
14.600,357.00,349.74
14.800,358.12,355.53
15.000,357.90,363.46
15.200,358.00,356.08
15.400,358.83,364.03
15.600,359.02,356.63
15.800,358.25,364.60
16.000,358.46,357.18
16.200,358.69,365.16
16.400,357.97,325.05
16.600,357.15,363.46
16.800,357.32,363.75
17.000,357.80,364.04
17.200,357.69,356.63
17.400,358.02,364.60
17.600,359.42,364.89
17.800,359.94,357.46
18.000,360.36,340.77
18.200,361.43,363.47
18.400,361.58,363.76
18.600,361.30,364.04
18.800,361.03,356.64
19.000,360.19,356.84
19.200,359.88,364.53
19.400,360.33,357.11
19.600,361.03,340.96
19.800,361.25,363.55
20.000,361.02,363.83
20.200,360.41,364.12
20.400,359.90,356.72
20.600,359.30,356.94
20.800,358.40,348.68
21.000,358.61,356.54
21.200,358.20,340.96
21.400,357.77,363.62
21.600,357.55,356.23
21.800,357.43,364.19
22.000,357.15,356.78
22.200,357.90,364.75
22.400,358.15,341.09
22.600,358.28,364.13
22.800,358.18,333.43
23.000,358.24,363.63
23.200,357.63,356.24
23.400,357.91,364.20
23.600,357.99,364.49
23.800,358.46,357.07
24.000,359.00,341.32
24.200,359.16,356.42
24.400,358.57,348.44
24.600,358.50,363.53
24.800,357.91,356.14
25.000,358.01,364.10
25.200,358.52,364.39
25.400,358.86,356.97
25.600,359.07,341.44
25.800,359.51,364.19
26.000,358.20,340.97
26.200,355.62,340.76
26.400,355.15,364.00
26.600,355.28,356.59
26.800,355.15,364.56
27.000,355.92,357.14
27.200,358.26,349.56
27.400,359.58,348.83
27.600,359.19,356.37
27.800,359.17,355.99
28.000,359.27,356.08
28.200,359.35,364.03
28.400,358.88,364.32
28.600,359.59,364.60
28.800,359.96,349.40
29.000,360.48,356.37
29.200,361.10,348.65
29.400,361.92,356.11
29.600,361.34,363.81
29.800,360.77,356.41
30.000,359.96,364.38
30.200,359.18,364.67
30.400,357.43,357.22
30.600,356.56,341.14
