t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784619583.776639,162.720,1965,3201,0.0,0.0,36.0
1784619583.787009,162.720,1965,3201,0.0,0.0,36.0
1784619583.989834,183.198,1935,3201,17.0,8.0,42.0
1784619583.990094,183.198,1935,3201,17.0,8.0,42.0
1784619584.000180,183.198,1935,3201,17.0,8.0,42.0
1784619584.010178,183.198,1965,3201,17.0,8.0,42.0
1784619584.020177,183.198,1965,3201,17.0,8.0,42.0
1784619584.030177,208.863,1965,3201,17.0,8.0,42.0
1784619584.040176,208.863,1965,3201,17.0,8.0,42.0
1784619584.050177,208.863,1965,3201,62.0,38.0,42.0
1784619584.060180,208.863,1965,3201,62.0,38.0,42.0
1784619584.070178,208.863,1965,3201,62.0,38.0,40.0
1784619584.080271,208.863,1965,3201,62.0,38.0,40.0
1784619584.090177,208.863,1965,3201,62.0,38.0,40.0
1784619584.100177,208.863,1965,3201,62.0,38.0,40.0
1784619584.110177,208.863,1965,3201,62.0,38.0,40.0
1784619584.120180,208.863,1965,3201,62.0,38.0,40.0
1784619584.130365,241.009,1965,3201,62.0,38.0,40.0
1784619584.140176,241.009,1965,3201,62.0,38.0,40.0
1784619584.150178,241.009,1965,3201,62.0,38.0,40.0
1784619584.160177,241.009,1965,3201,62.0,38.0,40.0
1784619584.170177,241.009,1965,3201,62.0,38.0,43.0
1784619584.180615,241.009,1965,3201,62.0,38.0,43.0
1784619584.190179,241.009,1965,3201,62.0,38.0,43.0
1784619584.200178,241.009,1965,3201,62.0,38.0,43.0
1784619584.210179,241.009,1965,3201,62.0,38.0,43.0
1784619584.220177,241.009,1965,3201,62.0,38.0,43.0
1784619584.230221,278.857,1965,3201,62.0,38.0,43.0
1784619584.240184,278.857,1965,3201,62.0,38.0,43.0
1784619584.250177,278.857,1965,3201,82.0,57.0,43.0
1784619584.260164,278.857,1965,3201,82.0,57.0,43.0
1784619584.270177,278.857,1965,3201,82.0,57.0,43.0
1784619584.280205,278.857,1965,3201,82.0,57.0,43.0
1784619584.290195,278.857,1965,3201,82.0,57.0,43.0
1784619584.300189,278.857,1965,3201,82.0,57.0,43.0
1784619584.310344,278.857,1980,3201,82.0,57.0,43.0
1784619584.320208,278.857,1980,3201,82.0,57.0,43.0
1784619584.330181,314.046,1980,3201,82.0,57.0,43.0
1784619584.340177,314.046,1980,3201,82.0,57.0,43.0
1784619584.350176,314.046,1980,3201,82.0,57.0,43.0
1784619584.360598,314.046,1980,3201,82.0,57.0,43.0
1784619584.370178,314.046,1980,3201,82.0,57.0,43.0
1784619584.380177,314.046,1980,3201,82.0,57.0,43.0
1784619584.390178,314.046,1980,3201,82.0,57.0,43.0
1784619584.400180,314.046,1980,3201,82.0,57.0,43.0
1784619584.410177,314.046,1980,3201,82.0,57.0,43.0
1784619584.420179,314.046,1980,3201,82.0,57.0,43.0
1784619584.430178,327.312,1980,3201,82.0,57.0,43.0
1784619584.440165,327.312,1980,3201,82.0,57.0,43.0
1784619584.450177,327.312,1980,3201,82.0,57.0,43.0
1784619584.460226,327.312,1980,3201,82.0,57.0,43.0
1784619584.470177,327.312,1980,3201,82.0,57.0,44.0
1784619584.480204,327.312,1980,3201,82.0,57.0,44.0
1784619584.490388,327.312,1980,3201,82.0,57.0,44.0
1784619584.500177,327.312,1980,3201,82.0,57.0,44.0
1784619584.510178,327.312,1980,3201,82.0,57.0,44.0
1784619584.520177,327.312,1980,3201,82.0,57.0,44.0
1784619584.530177,354.017,1980,3201,82.0,57.0,44.0
1784619584.540178,354.017,1980,3201,82.0,57.0,44.0
1784619584.550177,354.017,1980,3201,82.0,57.0,44.0
1784619584.560177,354.017,1980,3201,82.0,57.0,44.0
1784619584.570485,354.017,1980,3201,82.0,57.0,44.0
1784619584.580173,354.017,1980,3201,82.0,57.0,44.0
1784619584.590178,354.017,1980,3201,82.0,57.0,44.0
1784619584.600178,354.017,1980,3201,82.0,57.0,44.0
1784619584.610177,354.017,1980,3201,82.0,57.0,44.0
1784619584.620177,354.017,1980,3201,82.0,57.0,44.0
1784619584.630177,390.250,1980,3201,82.0,57.0,44.0
1784619584.640200,390.250,1980,3201,82.0,57.0,44.0
1784619584.650225,390.250,1980,3201,83.0,58.0,44.0
1784619584.660172,390.250,1980,3201,83.0,58.0,44.0
1784619584.670172,390.250,1980,3201,83.0,58.0,44.0
