t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1784619660.156202,0.2000,70.4108,4.125559e+11,6.835289e+11,6.832102e+11,4.124028e+11,1.530921e+08,6.825978e+11,6.123684e+08,19,29,29,19.0,6.825978e+11
1784619660.356202,0.2000,70.0193,4.555392e+11,1.268326e+12,1.267546e+12,4.550652e+11,4.739564e+08,1.265650e+12,1.895825e+09,31,58,32,31.0,1.265650e+12
1784619660.556202,0.2000,69.6565,3.992139e+11,3.065318e+12,3.061597e+12,3.981821e+11,1.031799e+09,3.057469e+12,4.127195e+09,105,110,28,105.0,3.057469e+12
1784619660.756202,0.2000,69.1001,4.146510e+11,4.493838e+12,4.488541e+12,4.124028e+11,2.248147e+09,4.479548e+12,8.992588e+09,125,190,29,125.0,4.479548e+12
1784619660.956203,0.2000,69.1056,4.013488e+11,4.283126e+12,4.278903e+12,3.981821e+11,3.166700e+09,4.266236e+12,1.266680e+10,77,223,28,77.0,4.266236e+12
1784619661.156202,0.2000,69.7545,4.314513e+11,5.198565e+12,5.195677e+12,4.266236e+11,4.827644e+09,5.176367e+12,1.931058e+10,50,314,30,50.0,5.176367e+12
1784619661.356203,0.2000,70.9271,4.617090e+11,5.032292e+12,5.032292e+12,4.550652e+11,6.643778e+09,5.005717e+12,2.657511e+10,0,352,32,0.0,5.005717e+12
1784619661.556202,0.2000,71.8555,4.054948e+11,6.421604e+12,6.414385e+12,3.981821e+11,7.312769e+09,6.385134e+12,2.925108e+10,91,358,28,91.0,6.385134e+12
1784619661.756203,0.2000,73.1282,4.639026e+11,6.380227e+12,6.377821e+12,4.550652e+11,8.837399e+09,6.342471e+12,3.534959e+10,26,420,32,26.0,6.342471e+12
1784619661.956203,0.2000,74.3420,4.361825e+11,7.182824e+12,7.177071e+12,4.266236e+11,9.558819e+09,7.138835e+12,3.823528e+10,68,434,30,68.0,7.138835e+12
1784619662.156203,0.2000,75.6512,4.521984e+11,6.945226e+12,6.942498e+12,4.408444e+11,1.135398e+10,6.897082e+12,4.541592e+10,26,459,31,26.0,6.897082e+12
1784619662.356203,0.2000,76.5101,4.501914e+11,5.583777e+12,5.583495e+12,4.408444e+11,9.347006e+09,5.546107e+12,3.738803e+10,0,390,31,0.0,5.546107e+12
1784619662.556203,0.2000,77.0119,4.639026e+11,4.941729e+12,4.941521e+12,4.550652e+11,8.837399e+09,4.906172e+12,3.534959e+10,0,345,32,0.0,4.906172e+12
1784619662.756203,0.2000,77.3893,4.619627e+11,4.267351e+12,4.265385e+12,4.550652e+11,6.897533e+09,4.237795e+12,2.759013e+10,19,279,32,19.0,4.237795e+12
1784619662.956203,0.2000,77.0002,4.474651e+11,4.138572e+12,4.136290e+12,4.408444e+11,6.620709e+09,4.109808e+12,2.648284e+10,24,265,31,24.0,4.109808e+12
1784619663.156203,0.2000,76.4518,4.329193e+11,3.867464e+12,3.864795e+12,4.266236e+11,6.295650e+09,3.839613e+12,2.518260e+10,27,243,30,27.0,3.839613e+12
1784619663.356203,0.2000,75.4386,4.459636e+11,4.120076e+12,4.116063e+12,4.408444e+11,5.119148e+09,4.095587e+12,2.047659e+10,49,239,31,49.0,4.095587e+12
1784619663.556203,0.2000,74.6390,4.449003e+11,3.116494e+12,3.116355e+12,4.408444e+11,4.055892e+09,3.100132e+12,1.622357e+10,0,218,31,0.0,3.100132e+12
1784619663.756203,0.2000,73.8356,4.589911e+11,3.416418e+12,3.414472e+12,4.550652e+11,3.925869e+09,3.398768e+12,1.570347e+10,28,211,32,28.0,3.398768e+12
1784619663.956203,0.2000,73.3296,4.446969e+11,4.870405e+12,4.864698e+12,4.408444e+11,3.852468e+09,4.849289e+12,1.540987e+10,94,247,31,94.0,4.849289e+12
1784619664.156203,0.2000,73.3288,4.461754e+11,4.971732e+12,4.970158e+12,4.408444e+11,5.330960e+09,4.948834e+12,2.132384e+10,24,324,31,24.0,4.948834e+12
