t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784619658.448076,161.227,1965,3201,0.0,0.0,37.0
1784619658.458207,161.227,1965,3201,0.0,0.0,37.0
1784619658.468161,161.953,1965,3201,0.0,0.0,37.0
1784619658.478159,161.953,1965,3201,0.0,0.0,37.0
1784619658.488157,161.953,1965,3201,0.0,0.0,37.0
1784619658.498148,161.953,1965,3201,0.0,0.0,37.0
1784619658.508156,161.953,1965,3201,0.0,0.0,38.0
1784619658.518166,161.953,1965,3201,0.0,0.0,38.0
1784619658.528149,161.953,1965,3201,0.0,0.0,38.0
1784619658.538163,161.953,1965,3201,0.0,0.0,38.0
1784619658.548158,161.953,1980,3201,0.0,0.0,38.0
1784619658.558156,161.953,1980,3201,0.0,0.0,38.0
1784619658.568156,178.218,1980,3201,0.0,0.0,38.0
1784619658.578149,178.218,1980,3201,0.0,0.0,38.0
1784619658.588185,178.218,1980,3201,0.0,0.0,38.0
1784619658.598158,178.218,1980,3201,0.0,0.0,38.0
1784619658.608148,178.218,1980,3201,0.0,0.0,39.0
1784619658.618154,178.218,1980,3201,0.0,0.0,39.0
1784619658.628153,178.218,1980,3201,0.0,0.0,39.0
1784619658.638157,178.218,1980,3201,0.0,0.0,39.0
1784619658.648179,178.218,1980,3201,0.0,0.0,39.0
1784619658.658163,178.218,1980,3201,0.0,0.0,39.0
1784619658.668157,184.486,1980,3201,0.0,0.0,39.0
1784619658.678161,184.486,1980,3201,0.0,0.0,39.0
1784619658.688154,184.486,1980,3201,87.0,62.0,39.0
1784619658.698154,184.486,1980,3201,87.0,62.0,39.0
1784619658.708153,184.486,1980,3201,87.0,62.0,39.0
1784619658.718149,184.486,1980,3201,87.0,62.0,39.0
1784619658.728148,184.486,1980,3201,87.0,62.0,39.0
1784619658.738148,184.486,1980,3201,87.0,62.0,39.0
1784619658.748149,184.486,1980,3201,87.0,62.0,39.0
1784619658.758149,184.486,1980,3201,87.0,62.0,39.0
