t_rel_s,measured_w,predicted_w
0.000,352.05,364.78
0.200,350.10,391.36
0.400,348.28,338.87
0.600,345.50,357.19
0.800,345.53,348.90
1.000,348.77,367.48
1.200,354.64,403.98
1.400,359.28,342.34
1.600,365.64,396.35
1.800,371.71,370.22
2.000,378.26,389.07
2.200,382.55,396.86
2.400,385.06,405.34
2.600,386.95,395.21
2.800,385.00,386.24
3.000,382.26,377.28
3.200,377.19,376.45
3.400,373.19,393.58
3.600,369.18,393.43
3.800,366.65,357.95
4.000,366.64,385.46
4.200,370.36,403.90
4.400,373.19,386.34
4.600,377.33,404.56
4.800,381.14,377.45
5.000,383.84,386.36
5.200,383.02,395.91
5.400,384.00,359.72
5.600,385.18,385.64
5.800,384.83,385.95
6.000,383.44,377.43
6.200,384.80,405.29
6.400,385.80,360.97
6.600,386.50,388.23
6.800,388.45,370.40
7.000,391.14,397.68
7.200,391.48,387.95
7.400,391.23,396.89
7.600,390.31,370.02
7.800,389.68,387.60
8.000,387.90,378.28
8.200,388.06,386.86
8.400,387.85,368.57
8.600,386.53,395.56
8.800,386.60,387.68
9.000,386.87,396.93
9.200,386.04,378.39
9.400,385.31,386.34
9.600,386.68,225.79
9.800,386.42,529.83
10.000,387.71,377.22
10.200,388.26,369.03
10.400,388.67,369.32
10.600,389.05,406.23
10.800,390.31,388.95
11.000,389.78,388.74
11.200,389.25,388.37
11.400,389.22,397.57
11.600,388.29,396.00
11.800,386.04,386.22
12.000,382.28,376.20
12.200,378.60,384.88
12.400,376.01,384.72
12.600,373.32,393.97
12.800,370.81,394.02
13.000,370.96,376.93
13.200,372.99,404.16
13.400,375.06,395.53
13.600,377.57,377.49
13.800,380.73,385.89
14.000,381.17,403.22
14.200,378.35,393.72
14.400,375.35,393.34
14.600,370.78,393.83
14.800,366.26,393.64
15.000,364.53,376.34
15.200,365.78,384.91
15.400,366.53,384.29
15.600,367.87,375.70
15.800,370.41,376.58
16.000,374.87,377.60
16.200,378.65,378.05
16.400,382.99,361.13
16.600,386.36,379.62
16.800,390.09,397.29
17.000,391.48,388.33
17.200,392.32,361.85
17.400,393.70,379.27
17.600,394.96,378.62
17.800,394.36,405.37
18.000,393.64,369.36
18.200,391.80,395.90
18.400,389.15,404.90
18.600,387.90,360.34
18.800,387.89,387.33
19.000,387.19,404.96
19.200,388.18,341.76
19.400,389.19,369.05
19.600,391.24,361.52
19.800,393.11,397.20
20.000,395.43,398.11
20.200,398.14,370.68
20.400,398.99,388.93
20.600,398.09,389.78
20.800,397.43,398.90
21.000,397.32,387.96
21.200,395.45,386.36
21.400,391.77,403.32
21.600,386.74,368.57
21.800,382.85,395.44
22.000,380.41,376.89
22.200,379.82,359.56
22.400,381.87,369.12
22.600,386.69,369.61
22.800,390.42,396.68
