t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1784619733.892104,0.2000,70.3303,4.268082e+11,7.833010e+11,7.828815e+11,4.266236e+11,1.845494e+08,7.821433e+11,7.381975e+08,25,30,30,25.0,7.821433e+11
1784619734.092104,0.2000,70.1045,4.696257e+11,4.706449e+11,4.706449e+11,4.692860e+11,3.397386e+08,4.692860e+11,1.358954e+09,0,33,33,0.0,4.692860e+11
1784619734.292104,0.2000,70.0406,4.555308e+11,4.569275e+11,4.569275e+11,4.550652e+11,4.655677e+08,4.550652e+11,1.862271e+09,0,32,32,0.0,4.550652e+11
1784619734.492105,0.2000,69.9287,4.556650e+11,4.574643e+11,4.574643e+11,4.550652e+11,5.997855e+08,4.550652e+11,2.399142e+09,0,32,32,0.0,4.550652e+11
1784619734.692104,0.2000,69.8623,4.557992e+11,4.580012e+11,4.580012e+11,4.550652e+11,7.340032e+08,4.550652e+11,2.936013e+09,0,32,32,0.0,4.550652e+11
1784619734.892105,0.2000,69.9987,4.559334e+11,4.585381e+11,4.585381e+11,4.550652e+11,8.682209e+08,4.550652e+11,3.472884e+09,0,32,32,0.0,4.550652e+11
1784619735.092104,0.2000,70.2708,4.560676e+11,4.590750e+11,4.590750e+11,4.550652e+11,1.002439e+09,4.550652e+11,4.009755e+09,0,32,32,0.0,4.550652e+11
1784619735.292105,0.2000,70.3089,4.562019e+11,4.596118e+11,4.596118e+11,4.550652e+11,1.136656e+09,4.550652e+11,4.546626e+09,0,32,32,0.0,4.550652e+11
1784619735.492105,0.2000,70.2929,4.556230e+11,2.157623e+12,2.149570e+12,4.550652e+11,5.578424e+08,2.147339e+12,2.231370e+09,120,31,32,120.0,2.147339e+12
1784619735.692105,0.2000,70.3090,4.557908e+11,4.579677e+11,4.579677e+11,4.550652e+11,7.256146e+08,4.550652e+11,2.902458e+09,0,32,32,0.0,4.550652e+11
1784619735.892105,0.2000,70.3935,4.559250e+11,4.585045e+11,4.585045e+11,4.550652e+11,8.598323e+08,4.550652e+11,3.439329e+09,0,32,32,0.0,4.550652e+11
1784619736.092105,0.2000,70.5398,4.560593e+11,4.590414e+11,4.590414e+11,4.550652e+11,9.940500e+08,4.550652e+11,3.976200e+09,0,32,32,0.0,4.550652e+11
1784619736.292105,0.2000,70.4909,4.561935e+11,4.595783e+11,4.595783e+11,4.550652e+11,1.128268e+09,4.550652e+11,4.513071e+09,0,32,32,0.0,4.550652e+11
1784619736.492105,0.2000,70.5214,4.563277e+11,4.601151e+11,4.601151e+11,4.550652e+11,1.262486e+09,4.550652e+11,5.049942e+09,0,32,32,0.0,4.550652e+11
