t_rel_s,measured_w,predicted_w
0.000,351.65,334.84
0.200,350.52,364.77
0.400,350.20,357.37
0.600,349.64,357.44
0.800,349.31,357.51
1.000,349.99,357.58
1.200,351.35,357.65
1.400,351.54,357.72
1.600,351.46,342.49
1.800,351.55,357.51
2.000,351.97,357.58
2.200,352.70,357.65
2.400,352.45,357.72
2.600,352.61,357.79
2.800,352.27,350.37
3.000,352.02,357.93
3.200,350.92,342.34
3.400,350.74,357.29
3.600,350.93,357.36
3.800,351.75,364.90
4.000,352.48,357.50
4.200,353.61,357.57
4.400,353.23,350.17
4.600,353.49,357.71
4.800,352.56,342.50
5.000,351.39,357.48
5.200,351.10,357.55
5.400,351.28,357.62
5.600,351.83,305.33
5.800,353.44,410.12
6.000,353.74,357.83
6.200,353.67,350.42
6.400,355.53,328.24
6.600,358.45,358.39
6.800,358.89,358.46
7.000,359.10,358.53
7.200,359.14,358.60
7.400,357.94,358.67
7.600,355.62,358.74
7.800,355.81,358.82
8.000,355.75,342.75
8.200,356.50,357.36
8.400,356.03,357.43
8.600,355.08,357.50
8.800,354.56,357.57
9.000,353.95,357.64
9.200,353.06,357.71
9.400,353.01,357.78
9.600,353.15,342.57
9.800,353.07,357.45
10.000,353.62,357.52
10.200,353.26,357.59
10.400,353.41,357.66
10.600,353.44,357.73
10.800,353.50,357.80
11.000,353.29,357.87
11.200,352.97,342.50
11.400,352.06,357.27
11.600,352.86,357.34
11.800,353.45,364.88
12.000,354.12,357.48
12.200,354.66,357.55
12.400,355.70,357.62
12.600,356.30,357.69
12.800,356.04,342.47
13.000,354.21,357.31
13.200,354.01,357.38
13.400,353.97,357.45
13.600,353.13,357.52
13.800,353.19,357.59
14.000,354.59,365.14
14.200,354.72,350.25
14.400,354.09,349.94
14.600,353.46,357.27
14.800,353.06,357.34
15.000,352.67,364.88
15.200,352.78,357.48
15.400,353.98,357.55
15.600,355.43,357.62
15.800,356.83,357.70
16.000,356.85,349.93
16.200,356.32,357.31
16.400,355.92,357.38
16.600,355.29,357.45
16.800,354.09,357.52
17.000,354.55,357.59
17.200,354.69,365.14
17.400,354.54,357.73
17.600,353.65,335.01
17.800,353.45,357.33
18.000,353.21,364.87
18.200,353.34,357.48
18.400,353.72,357.55
18.600,355.10,357.62
18.800,356.86,357.69
19.000,357.35,357.76
19.200,357.18,349.91
19.400,356.57,357.25
19.600,356.10,357.32
19.800,355.67,357.39
20.000,355.27,357.46
20.200,355.20,357.53
20.400,355.75,357.60
20.600,355.71,365.15
20.800,354.99,327.78
21.000,354.12,357.76
21.200,353.99,357.83
21.400,353.47,357.90
21.600,352.65,357.97
21.800,352.76,358.04
22.000,353.51,350.62
22.200,353.26,358.18
22.400,352.20,335.25
22.600,351.16,357.31
22.800,351.26,357.38
23.000,351.55,364.93
23.200,352.61,357.53
23.400,354.18,357.60
23.600,356.07,357.67
23.800,356.59,357.74
24.000,356.15,342.54
24.200,356.01,364.73
24.400,356.37,357.34
24.600,356.00,357.41
24.800,355.57,357.48
25.000,355.32,357.55
25.200,354.53,357.62
25.400,353.84,357.69
25.600,353.73,342.50
25.800,353.48,357.24
26.000,353.92,357.31
26.200,354.70,364.85
26.400,355.63,357.45
26.600,356.20,357.52
26.800,356.73,357.59
27.000,356.76,357.66
27.200,356.48,342.50
27.400,356.40,364.73
27.600,356.87,357.33
27.800,356.87,357.40
28.000,356.94,357.47
28.200,356.72,357.54
28.400,356.33,357.61
28.600,355.54,357.68
28.800,355.81,327.89
29.000,358.01,358.01
29.200,357.75,358.08
29.400,357.08,343.13
29.600,355.22,357.24
29.800,354.14,357.31
30.000,352.16,357.38
30.200,352.83,357.46
30.400,353.29,357.53
30.600,355.31,357.60
30.800,355.53,357.67
31.000,355.14,350.24
31.200,357.24,335.58
31.400,357.71,358.12
31.600,357.07,350.69
31.800,357.56,358.25
32.000,357.98,358.32
32.200,356.13,358.39
32.400,355.61,358.47
32.600,356.63,358.54
32.800,356.46,342.36
33.000,356.77,364.74
33.200,357.36,357.34
33.400,357.65,357.41
33.600,357.35,350.01
33.800,355.86,365.03
34.000,355.33,357.62
34.200,354.18,357.70
34.400,361.39,314.34
34.600,366.64,359.89
34.800,368.69,359.96
35.000,369.01,352.48
35.200,369.61,360.10
35.400,367.65,360.17
35.600,359.00,360.24
35.800,358.89,360.31
36.000,359.16,350.53
36.200,358.92,357.28
36.400,358.53,357.35
36.600,357.39,364.89
36.800,357.17,357.49
37.000,356.71,357.56
37.200,356.60,357.63
37.400,356.38,365.18
37.600,359.58,321.54
37.800,368.94,359.75
38.000,369.15,359.82
38.200,369.77,352.34
38.400,370.17,359.96
38.600,368.02,360.03
38.800,358.70,360.10
39.000,358.82,360.17
39.200,359.76,314.30
39.400,366.87,359.17
39.600,366.18,351.72
39.800,365.31,359.31
40.000,364.40,351.85
40.200,362.57,351.92
40.400,354.75,359.52
40.600,354.76,352.05
40.800,355.07,321.41
41.000,356.57,357.24
41.200,356.60,357.31
41.400,355.95,349.92
41.600,354.93,357.45
41.800,354.36,350.05
42.000,352.39,365.07
42.200,353.08,357.66
42.400,354.00,350.15
42.600,355.30,357.24
42.800,355.58,357.31
43.000,357.18,357.38
43.200,355.99,357.45
43.400,355.23,357.52
43.600,354.37,350.12
43.800,354.08,357.66
44.000,352.48,327.78
44.200,353.00,357.51
44.400,353.79,357.58
44.600,354.69,357.65
44.800,355.17,357.72
45.000,355.51,357.79
45.200,355.77,357.86
45.400,355.84,357.93
45.593,355.56,352.95
