t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784619804.934764,159.217,1965,3201,0.0,0.0,36.0
1784619804.952374,159.217,1965,3201,0.0,0.0,36.0
1784619804.962468,159.217,1965,3201,0.0,0.0,36.0
1784619804.972457,159.217,1965,3201,0.0,0.0,36.0
1784619804.982454,159.217,1965,3201,0.0,0.0,36.0
1784619804.992457,159.217,1980,3201,0.0,0.0,36.0
1784619805.002454,159.217,1980,3201,0.0,0.0,36.0
1784619805.012453,149.907,1980,3201,0.0,0.0,36.0
1784619805.022454,149.907,1980,3201,0.0,0.0,36.0
1784619805.032451,149.907,1980,3201,0.0,0.0,36.0
1784619805.042452,149.907,1980,3201,0.0,0.0,36.0
1784619805.052452,149.907,1980,3201,0.0,0.0,36.0
1784619805.062452,149.907,1980,3201,0.0,0.0,36.0
1784619805.072453,149.907,1980,3201,0.0,0.0,36.0
1784619805.082452,149.907,1980,3201,0.0,0.0,36.0
1784619805.092453,149.907,1980,3201,0.0,0.0,36.0
1784619805.102452,149.907,1980,3201,0.0,0.0,36.0
1784619805.112451,173.180,1980,3201,0.0,0.0,36.0
1784619805.122452,173.180,1980,3201,0.0,0.0,36.0
1784619805.132451,173.180,1980,3201,56.0,39.0,36.0
1784619805.142585,173.180,1980,3201,56.0,39.0,36.0
1784619805.152452,173.180,1980,3201,56.0,39.0,38.0
1784619805.162451,173.180,1980,3201,56.0,39.0,38.0
1784619805.172450,173.180,1980,3201,56.0,39.0,38.0
1784619805.182452,173.180,1980,3201,56.0,39.0,38.0
1784619805.192449,173.180,1980,3201,56.0,39.0,38.0
1784619805.202451,173.180,1980,3201,56.0,39.0,38.0
1784619805.212453,196.400,1980,3201,56.0,39.0,38.0
1784619805.222452,196.400,1980,3201,56.0,39.0,38.0
1784619805.232452,196.400,1980,3201,56.0,39.0,38.0
1784619805.242452,196.400,1980,3201,56.0,39.0,38.0
1784619805.252452,196.400,1980,3201,56.0,39.0,38.0
1784619805.262454,196.400,1980,3201,56.0,39.0,38.0
1784619805.272452,196.400,1980,3201,56.0,39.0,38.0
1784619805.282451,196.400,1980,3201,56.0,39.0,38.0
1784619805.292452,196.400,1980,3201,56.0,39.0,38.0
1784619805.302451,196.400,1980,3201,56.0,39.0,38.0
1784619805.312452,219.886,1980,3201,56.0,39.0,38.0
1784619805.322454,219.886,1980,3201,56.0,39.0,38.0
1784619805.332451,219.886,1980,3201,87.0,61.0,38.0
1784619805.342452,219.886,1980,3201,87.0,61.0,38.0
1784619805.352451,219.886,1980,3201,87.0,61.0,39.0
1784619805.362446,219.886,1980,3201,87.0,61.0,39.0
1784619805.372451,219.886,1980,3201,87.0,61.0,39.0
1784619805.382452,219.886,1980,3201,87.0,61.0,39.0
1784619805.392453,219.886,1980,3201,87.0,61.0,39.0
1784619805.402452,219.886,1980,3201,87.0,61.0,39.0
1784619805.412451,241.349,1980,3201,87.0,61.0,39.0
1784619805.422452,241.349,1980,3201,87.0,61.0,39.0
1784619805.432457,241.349,1980,3201,87.0,61.0,39.0
1784619805.442455,241.349,1980,3201,87.0,61.0,39.0
1784619805.452450,241.349,1980,3201,87.0,61.0,39.0
1784619805.462451,241.349,1980,3201,87.0,61.0,39.0
1784619805.472451,241.349,1980,3201,87.0,61.0,39.0
1784619805.482450,241.349,1980,3201,87.0,61.0,39.0
1784619805.492453,241.349,1980,3201,87.0,61.0,39.0
1784619805.502451,241.349,1980,3201,87.0,61.0,39.0
1784619805.512455,261.248,1980,3201,87.0,61.0,39.0
1784619805.522452,261.248,1980,3201,87.0,61.0,39.0
1784619805.532449,261.248,1980,3201,87.0,61.0,39.0
1784619805.542453,261.248,1980,3201,87.0,61.0,39.0
1784619805.552451,261.248,1980,3201,87.0,61.0,39.0
1784619805.562453,261.248,1980,3201,87.0,61.0,39.0
1784619805.572451,261.248,1980,3201,87.0,61.0,39.0
1784619805.582449,261.248,1980,3201,87.0,61.0,39.0
1784619805.592453,261.248,1980,3201,87.0,61.0,39.0
1784619805.602450,261.248,1980,3201,87.0,61.0,39.0
1784619805.612453,272.729,1980,3201,87.0,61.0,39.0
1784619805.622451,272.729,1980,3201,87.0,61.0,39.0
1784619805.632451,272.729,1980,3201,87.0,61.0,39.0
1784619805.642452,272.729,1980,3201,87.0,61.0,39.0
1784619805.652450,272.729,1980,3201,87.0,61.0,39.0
1784619805.662452,272.729,1980,3201,87.0,61.0,39.0
1784619805.672451,272.729,1980,3201,87.0,61.0,39.0
1784619805.682452,272.729,1980,3201,87.0,61.0,39.0
1784619805.692451,272.729,1980,3201,87.0,61.0,39.0
1784619805.702673,272.729,1980,3201,87.0,61.0,39.0
1784619805.712452,285.289,1980,3201,87.0,61.0,39.0
1784619805.722451,285.289,1980,3201,87.0,61.0,39.0
1784619805.732455,285.289,1980,3201,87.0,61.0,39.0
1784619805.742451,285.289,1980,3201,87.0,61.0,39.0
1784619805.752677,285.289,1980,3201,87.0,61.0,39.0
1784619805.762453,285.289,1980,3201,87.0,61.0,39.0
1784619805.772452,285.289,1980,3201,87.0,61.0,39.0
1784619805.782453,285.289,1980,3201,87.0,61.0,39.0
1784619805.792452,285.289,1980,3201,87.0,61.0,39.0
1784619805.802450,285.289,1980,3201,87.0,61.0,39.0
1784619805.812450,308.546,1980,3201,87.0,61.0,39.0
1784619805.822450,308.546,1980,3201,87.0,61.0,39.0
1784619805.832452,308.546,1980,3201,87.0,61.0,39.0
1784619805.842450,308.546,1980,3201,87.0,61.0,39.0
1784619805.852453,308.546,1980,3201,87.0,61.0,39.0
1784619805.862452,308.546,1980,3201,87.0,61.0,39.0
1784619805.872471,308.546,1980,3201,87.0,61.0,39.0
1784619805.882453,308.546,1980,3201,87.0,61.0,39.0
1784619805.892449,308.546,1980,3201,87.0,61.0,39.0
1784619805.902453,308.546,1980,3201,87.0,61.0,39.0
1784619805.912452,336.208,1980,3201,87.0,61.0,39.0
1784619805.922449,336.208,1980,3201,87.0,61.0,39.0
1784619805.932451,336.208,1980,3201,87.0,61.0,39.0
1784619805.942451,336.208,1980,3201,87.0,61.0,39.0
1784619805.952452,336.208,1980,3201,87.0,61.0,39.0
1784619805.962451,336.208,1980,3201,87.0,61.0,39.0
1784619805.972452,336.208,1980,3201,87.0,61.0,39.0
1784619805.982451,336.208,1980,3201,87.0,61.0,39.0
1784619805.992452,336.208,1980,3201,87.0,61.0,39.0
1784619806.002451,336.208,1980,3201,87.0,61.0,39.0
1784619806.012452,354.332,1980,3201,87.0,61.0,39.0
