t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784619952.817661,1784619952.817661,mixed,1,0,16,0.0000,11,1,
1784619952.817661,1784619952.817913,mixed,22,23,2224,0.0024,1887,21,
1784619952.817913,1784619952.818087,mixed,26,19,4288,0.0047,1639,25,
1784619952.818087,1784619952.820236,mixed,31,13,6032,0.0066,2566,31,
1784619952.820236,1784619952.871209,mixed,45,18,8144,0.0089,761,44,
1784619952.871209,1784619952.920281,mixed,63,0,10176,0.0111,3073,63,
1784619952.920281,1784619952.939635,decode,63,0,10256,0.0112,0,63,
1784619952.939635,1784619952.947067,decode,63,0,10288,0.0112,0,63,
1784619952.947067,1784619952.954647,decode,63,0,10352,0.0113,0,63,
1784619952.954647,1784619952.962413,decode,63,0,10432,0.0114,0,63,
1784619952.962413,1784619952.970057,decode,63,0,10480,0.0114,0,63,
1784619952.970057,1784619952.977989,decode,63,0,10528,0.0115,0,63,
1784619952.977989,1784619952.985213,decode,63,0,10640,0.0116,0,63,
1784619952.985213,1784619952.992943,decode,63,0,10784,0.0118,0,63,
1784619952.992943,1784619953.000615,decode,63,0,10832,0.0118,0,63,
1784619953.000615,1784619953.008274,decode,63,0,10880,0.0119,0,63,
1784619953.008274,1784619953.015625,decode,63,0,10928,0.0119,0,63,
1784619953.015625,1784619953.023300,decode,63,0,10976,0.0120,0,63,
1784619953.023300,1784619953.030937,decode,63,0,11008,0.0120,0,63,
1784619953.030937,1784619953.038399,decode,63,0,11072,0.0121,0,63,
1784619953.038399,1784619953.045963,decode,63,0,11088,0.0121,0,63,
1784619953.045963,1784619953.053690,decode,63,0,11184,0.0122,0,63,
1784619953.053690,1784619953.061302,decode,63,0,11264,0.0123,0,63,
1784619953.061302,1784619953.068830,decode,63,0,11296,0.0123,0,63,
1784619953.068830,1784619953.076248,decode,63,0,11360,0.0124,0,63,
1784619953.076248,1784619953.083953,decode,63,0,11440,0.0125,0,63,
1784619953.083953,1784619953.091625,decode,63,0,11488,0.0125,0,63,
1784619953.091625,1784619953.099261,decode,63,0,11536,0.0126,0,63,
1784619953.099261,1784619953.106696,decode,63,0,11648,0.0127,0,63,
1784619953.106696,1784619953.114258,decode,63,0,11792,0.0128,0,63,
1784619953.114258,1784619953.122030,decode,63,0,11840,0.0129,0,63,
1784619953.122030,1784619953.129521,decode,63,0,11888,0.0130,0,63,
1784619953.129521,1784619953.136945,decode,63,0,11936,0.0130,0,63,
1784619953.136945,1784619953.144687,decode,63,0,11984,0.0131,0,63,
1784619953.144687,1784619953.152198,decode,63,0,12016,0.0131,0,63,
1784619953.152198,1784619953.159852,decode,63,0,12080,0.0132,0,63,
1784619953.159852,1784619953.167295,decode,63,0,12096,0.0132,0,63,
1784619953.167295,1784619953.175055,decode,63,0,12192,0.0133,0,63,
1784619953.175055,1784619953.182607,decode,63,0,12272,0.0134,0,63,
1784619953.182607,1784619953.190254,decode,63,0,12304,0.0134,0,63,
1784619953.190254,1784619953.197701,decode,63,0,12368,0.0135,0,63,
1784619953.197701,1784619953.205390,decode,63,0,12448,0.0136,0,63,
1784619953.205390,1784619953.213058,decode,63,0,12496,0.0136,0,63,
1784619953.213058,1784619953.220591,decode,63,0,12544,0.0137,0,63,
1784619953.220591,1784619953.228140,decode,63,0,12656,0.0138,0,63,
1784619953.228140,1784619953.235864,decode,63,0,12800,0.0139,0,63,
1784619953.235864,1784619953.243510,decode,63,0,12848,0.0140,0,63,
1784619953.243510,1784619953.250609,decode,63,0,12896,0.0141,0,63,
1784619953.250609,1784619953.258461,decode,63,0,12944,0.0141,0,63,
1784619953.258461,1784619953.266213,decode,63,0,12992,0.0142,0,63,
1784619953.266213,1784619953.273945,decode,63,0,13024,0.0142,0,63,
1784619953.273945,1784619953.281403,decode,63,0,13088,0.0143,0,63,
1784619953.281403,1784619953.289249,decode,62,0,12928,0.0141,0,63,
1784619953.289249,1784619953.298398,decode,62,0,13024,0.0142,0,62,
1784619953.298398,1784619953.305875,decode,62,0,13104,0.0143,0,62,
1784619953.305875,1784619953.313522,decode,62,0,13136,0.0143,0,62,
1784619953.313522,1784619953.321279,decode,62,0,13200,0.0144,0,62,
1784619953.321279,1784619953.328527,decode,62,0,13280,0.0145,0,62,
1784619953.328527,1784619953.336360,decode,62,0,13328,0.0145,0,62,
1784619953.336360,1784619953.343986,decode,62,0,13376,0.0146,0,62,
1784619953.343986,1784619953.351577,decode,62,0,13472,0.0147,0,62,
1784619953.351577,1784619953.359115,decode,62,0,13616,0.0148,0,62,
1784619953.359115,1784619953.366650,decode,62,0,13664,0.0149,0,62,
1784619953.366650,1784619953.374254,decode,62,0,13712,0.0149,0,62,
1784619953.374254,1784619953.381809,decode,62,0,13760,0.0150,0,62,
1784619953.381809,1784619953.389445,decode,62,0,13808,0.0150,0,62,
1784619953.389445,1784619953.397128,decode,62,0,13840,0.0151,0,62,
1784619953.397128,1784619953.404617,decode,62,0,13904,0.0152,0,62,
1784619953.404617,1784619953.412281,decode,62,0,13920,0.0152,0,62,
1784619953.412281,1784619953.419688,decode,62,0,14016,0.0153,0,62,
1784619953.419688,1784619953.427405,decode,62,0,14096,0.0154,0,62,
1784619953.427405,1784619953.434980,decode,62,0,14128,0.0154,0,62,
1784619953.434980,1784619953.442642,decode,62,0,14192,0.0155,0,62,
1784619953.442642,1784619953.449972,decode,62,0,14272,0.0156,0,62,
1784619953.449972,1784619953.457762,decode,62,0,14320,0.0156,0,62,
1784619953.457762,1784619953.465440,decode,62,0,14368,0.0157,0,62,
1784619953.465440,1784619953.473177,decode,62,0,14464,0.0158,0,62,
1784619953.473177,1784619953.480560,decode,62,0,14608,0.0159,0,62,
1784619953.480560,1784619953.488267,decode,62,0,14656,0.0160,0,62,
1784619953.488267,1784619953.495827,decode,62,0,14704,0.0160,0,62,
1784619953.495827,1784619953.503262,decode,62,0,14752,0.0161,0,62,
1784619953.503262,1784619953.510933,decode,62,0,14800,0.0161,0,62,
1784619953.510933,1784619953.518567,decode,62,0,14832,0.0162,0,62,
1784619953.518567,1784619953.526373,decode,62,0,14896,0.0162,0,62,
1784619953.526373,1784619953.533705,decode,62,0,14912,0.0162,0,62,
1784619953.533705,1784619953.541277,decode,62,0,15008,0.0164,0,62,
1784619953.541277,1784619953.548902,decode,62,0,15088,0.0164,0,62,
1784619953.548902,1784619953.556555,decode,62,0,15120,0.0165,0,62,
1784619953.556555,1784619953.564225,decode,62,0,15184,0.0165,0,62,
1784619953.564225,1784619953.571774,decode,62,0,15264,0.0166,0,62,
1784619953.571774,1784619953.579600,decode,62,0,15312,0.0167,0,62,
1784619953.579600,1784619953.587069,decode,62,0,15360,0.0167,0,62,
1784619953.587069,1784619953.594665,decode,62,0,15456,0.0168,0,62,
1784619953.594665,1784619953.602262,decode,62,0,15600,0.0170,0,62,
1784619953.602262,1784619953.610054,decode,62,0,15648,0.0171,0,62,
1784619953.610054,1784619953.617378,decode,62,0,15696,0.0171,0,62,
1784619953.617378,1784619953.625340,decode,62,0,15744,0.0172,0,62,
1784619953.625340,1784619953.632610,decode,62,0,15792,0.0172,0,62,
1784619953.632610,1784619953.640244,decode,62,0,15824,0.0172,0,62,
1784619953.640244,1784619953.647737,decode,62,0,15888,0.0173,0,62,
1784619953.647737,1784619953.655418,decode,62,0,15904,0.0173,0,62,
1784619953.655418,1784619953.663183,decode,62,0,16000,0.0174,0,62,
1784619953.663183,1784619953.670720,decode,62,0,16080,0.0175,0,62,
1784619953.670720,1784619953.678241,decode,62,0,16112,0.0176,0,62,
1784619953.678241,1784619953.685881,decode,62,0,16176,0.0176,0,62,
1784619953.685881,1784619953.693702,decode,62,0,16256,0.0177,0,62,
1784619953.693702,1784619953.701211,decode,62,0,16304,0.0178,0,62,
1784619953.701211,1784619953.708989,decode,62,0,16352,0.0178,0,62,
1784619953.708989,1784619953.716545,decode,61,0,15968,0.0174,0,62,
1784619953.716545,1784619953.725705,decode,61,0,16112,0.0176,0,61,
1784619953.725705,1784619953.733403,decode,61,0,16160,0.0176,0,61,
1784619953.733403,1784619953.741022,decode,61,0,16208,0.0177,0,61,
1784619953.741022,1784619953.748641,decode,61,0,16256,0.0177,0,61,
1784619953.748641,1784619953.756285,decode,61,0,16304,0.0178,0,61,
1784619953.756285,1784619953.763870,decode,61,0,16336,0.0178,0,61,
1784619953.763870,1784619953.771505,decode,61,0,16400,0.0179,0,61,
1784619953.771505,1784619953.779193,decode,61,0,16416,0.0179,0,61,
1784619953.779193,1784619953.786767,decode,61,0,16512,0.0180,0,61,
1784619953.786767,1784619953.794366,decode,61,0,16576,0.0181,0,61,
1784619953.794366,1784619953.802175,decode,61,0,16608,0.0181,0,61,
1784619953.802175,1784619953.809756,decode,61,0,16672,0.0182,0,61,
1784619953.809756,1784619953.817351,decode,61,0,16752,0.0183,0,61,
1784619953.817351,1784619953.825130,decode,61,0,16800,0.0183,0,61,
1784619953.825130,1784619953.832641,decode,61,0,16848,0.0184,0,61,
1784619953.832641,1784619953.840230,decode,61,0,16944,0.0185,0,61,
1784619953.840230,1784619953.848187,decode,61,0,17088,0.0186,0,61,
1784619953.848187,1784619953.855694,decode,61,0,17136,0.0187,0,61,
1784619953.855694,1784619953.863362,decode,61,0,17184,0.0187,0,61,
1784619953.863362,1784619953.871118,decode,61,0,17232,0.0188,0,61,
1784619953.871118,1784619953.878684,decode,61,0,17280,0.0188,0,61,
1784619953.878684,1784619953.886191,decode,61,0,17312,0.0189,0,61,
1784619953.886191,1784619953.894108,decode,61,0,17376,0.0189,0,61,
1784619953.894108,1784619953.901763,decode,61,0,17392,0.0190,0,61,
1784619953.901763,1784619953.909308,decode,61,0,17488,0.0191,0,61,
1784619953.909308,1784619953.917259,decode,61,0,17552,0.0191,0,61,
1784619953.917259,1784619953.925118,decode,61,0,17584,0.0192,0,61,
1784619953.925118,1784619953.932681,decode,61,0,17648,0.0192,0,61,
1784619953.932681,1784619953.940276,decode,61,0,17728,0.0193,0,61,
1784619953.940276,1784619953.948086,decode,61,0,17776,0.0194,0,61,
1784619953.948086,1784619953.955758,decode,61,0,17824,0.0194,0,61,
1784619953.955758,1784619953.963363,decode,61,0,17920,0.0195,0,61,
1784619953.963363,1784619953.971306,decode,61,0,18064,0.0197,0,61,
1784619953.971306,1784619953.978872,decode,61,0,18112,0.0197,0,61,
1784619953.978872,1784619953.986426,decode,61,0,18160,0.0198,0,61,
1784619953.986426,1784619953.994334,decode,61,0,18208,0.0198,0,61,
1784619953.994334,1784619954.001991,decode,61,0,18256,0.0199,0,61,
1784619954.001991,1784619954.009736,decode,61,0,18288,0.0199,0,61,
1784619954.009736,1784619954.017542,decode,61,0,18352,0.0200,0,61,
1784619954.017542,1784619954.025171,decode,61,0,18368,0.0200,0,61,
1784619954.025171,1784619954.032642,decode,61,0,18464,0.0201,0,61,
1784619954.032642,1784619954.040725,decode,61,0,18528,0.0202,0,61,
1784619954.040725,1784619954.048469,decode,61,0,18560,0.0202,0,61,
1784619954.048469,1784619954.056145,decode,61,0,18624,0.0203,0,61,
1784619954.056145,1784619954.063558,decode,61,0,18704,0.0204,0,61,
1784619954.063558,1784619954.071351,decode,61,0,18752,0.0204,0,61,
1784619954.071351,1784619954.079232,decode,61,0,18800,0.0205,0,61,
1784619954.079232,1784619954.086969,decode,61,0,18896,0.0206,0,61,
1784619954.086969,1784619954.094327,decode,61,0,19040,0.0207,0,61,
1784619954.094327,1784619954.102212,decode,61,0,19088,0.0208,0,61,
1784619954.102212,1784619954.110139,decode,61,0,19136,0.0209,0,61,
1784619954.110139,1784619954.117729,decode,61,0,19184,0.0209,0,61,
1784619954.117729,1784619954.125417,decode,61,0,19232,0.0210,0,61,
1784619954.125417,1784619954.133114,decode,61,0,19264,0.0210,0,61,
1784619954.133114,1784619954.140827,decode,61,0,19328,0.0211,0,61,
1784619954.140827,1784619954.148488,decode,61,0,19344,0.0211,0,61,
1784619954.148488,1784619954.156194,decode,61,0,19440,0.0212,0,61,
