t_rel_s,measured_w,predicted_w
0.000,353.55,393.37
0.200,350.22,393.53
0.400,347.62,328.04
0.600,348.75,367.47
0.800,348.10,358.44
1.000,347.66,388.17
1.200,354.48,418.05
1.400,361.36,351.41
1.600,362.07,381.80
1.800,365.01,401.65
2.000,370.51,392.49
2.200,376.16,420.90
2.400,377.71,419.22
2.600,380.38,408.61
2.800,381.88,378.80
3.000,384.74,408.07
3.200,384.86,360.59
3.400,386.19,409.00
3.600,385.25,380.56
3.800,399.64,334.92
4.000,404.33,395.11
4.200,403.14,425.82
4.400,400.16,406.25
4.600,401.47,425.47
4.800,393.52,395.58
5.000,390.30,402.38
5.200,389.33,413.07
5.400,389.99,380.48
5.600,387.12,397.46
5.800,385.77,416.18
6.000,383.16,378.37
6.200,382.49,418.14
6.400,387.09,186.40
6.600,405.87,543.61
6.800,408.74,405.21
7.000,409.18,385.01
7.200,409.07,423.89
7.400,401.27,394.04
7.600,386.03,374.81
7.800,383.98,393.97
8.000,382.88,413.44
8.200,383.05,388.18
8.400,383.85,398.81
8.600,385.07,408.33
8.800,384.71,369.69
9.000,389.33,410.67
9.200,390.24,410.56
9.400,390.64,380.80
9.600,390.72,399.74
9.800,391.78,332.69
10.000,402.21,374.05
10.200,405.44,381.90
10.400,404.82,401.47
10.600,404.62,420.34
10.800,405.31,410.68
11.000,394.24,391.88
11.200,387.79,402.29
11.400,389.13,421.60
11.600,387.77,408.87
11.800,385.99,407.15
12.000,383.52,396.69
12.200,381.58,396.26
12.400,378.54,415.67
12.600,376.70,416.11
12.800,376.10,415.92
13.000,375.95,396.18
13.200,375.68,425.14
13.400,374.56,406.34
13.600,376.24,359.94
13.800,382.77,399.73
14.000,383.68,428.29
14.200,383.03,408.84
14.400,382.73,408.85
14.600,378.78,418.71
14.800,371.27,408.82
15.000,370.92,399.73
15.200,375.49,371.00
15.400,379.19,396.98
15.600,379.01,396.68
15.800,380.82,359.99
16.000,387.87,390.88
16.200,386.15,372.29
16.400,397.86,375.41
16.600,406.37,396.48
16.800,409.74,406.19
17.000,404.88,404.79
17.200,406.33,385.34
17.400,397.25,355.87
17.600,421.17,291.47
17.800,433.74,412.93
18.000,434.20,392.15
18.200,436.79,411.50
18.400,437.74,408.24
18.600,410.85,379.17
18.800,398.16,409.22
19.000,397.43,408.71
19.200,394.83,348.70
19.400,396.84,380.21
19.600,396.52,370.87
19.800,398.08,420.04
20.000,401.48,420.09
20.200,410.88,246.10
20.400,439.16,410.43
20.600,442.33,400.65
20.800,440.44,421.73
21.000,438.45,390.81
21.200,432.78,409.36
21.400,400.26,416.99
21.600,391.89,386.94
21.800,391.38,427.60
22.000,394.27,354.57
22.200,395.63,379.10
22.400,394.03,398.80
22.600,403.43,305.71
22.800,429.65,402.83
23.000,426.01,371.97
23.200,428.82,364.16
23.400,432.74,403.79
23.600,429.46,414.46
23.800,405.48,363.83
24.000,407.09,402.70
24.200,402.28,411.71
24.400,399.54,391.85
24.600,397.36,324.02
24.800,426.14,301.81
25.000,438.97,372.38
25.200,444.05,391.54
25.400,446.66,412.78
25.600,449.71,392.43
25.800,425.97,401.81
26.000,411.31,382.91
26.200,411.45,363.64
26.400,414.99,396.90
26.600,415.76,404.81
26.800,414.76,412.01
27.000,419.50,345.38
27.200,419.40,396.27
27.400,414.62,396.02
27.600,411.42,405.58
27.800,409.20,404.90
28.000,400.93,421.76
28.200,395.34,419.57
28.400,390.15,419.29
28.600,384.00,418.26
28.800,378.65,405.47
29.000,374.25,376.45
29.200,373.30,415.84
29.400,372.77,415.60
29.600,372.07,385.99
29.800,372.98,396.06
30.000,381.04,360.74
30.200,384.25,419.71
30.400,386.83,372.10
30.600,393.85,411.15
30.800,396.71,400.42
31.000,393.72,420.26
31.200,390.37,421.26
31.400,391.23,392.51
31.600,389.60,371.90
31.800,393.03,409.63
32.000,393.75,380.86
32.200,395.38,388.42
32.400,395.37,389.24
32.600,391.19,408.66
32.800,387.48,380.43
33.000,387.26,400.21
33.200,386.41,419.75
33.400,386.41,398.09
33.600,388.26,417.29
33.800,387.90,408.45
34.000,385.36,397.55
34.200,387.27,398.74
34.400,388.71,407.31
34.600,387.72,395.94
34.800,385.25,405.12
35.000,382.18,405.55
35.200,375.85,377.07
35.400,373.25,359.34
35.600,376.28,408.89
35.800,380.39,390.12
36.000,385.35,400.21
36.200,391.22,410.63
36.400,391.17,421.19
36.600,389.42,373.61
36.800,392.94,374.14
37.000,395.15,363.68
37.200,397.35,361.79
37.400,399.86,420.87
37.600,402.43,353.42
37.800,410.57,403.28
38.000,411.41,413.97
38.200,410.55,405.34
38.400,409.59,384.73
38.600,412.77,295.96
38.800,425.56,398.20
39.000,422.31,416.78
39.200,418.86,416.60
39.400,416.82,405.46
39.600,411.89,394.72
39.800,388.77,415.57
40.000,388.15,426.29
40.200,390.08,366.21
40.400,390.67,353.05
40.600,419.83,200.08
40.800,458.85,386.94
41.000,467.15,408.83
41.200,470.54,399.25
41.400,475.12,419.83
41.600,448.70,428.24
41.800,415.74,368.83
42.000,414.98,338.40
42.200,421.98,414.31
42.400,428.33,389.82
42.600,430.21,414.96
42.800,423.27,404.42
43.000,418.06,352.49
43.200,413.94,405.90
43.400,405.34,396.49
43.600,404.12,365.28
43.800,411.02,376.19
44.000,413.50,413.54
44.200,405.98,412.79
44.400,403.81,413.36
44.600,400.96,422.48
44.800,393.39,381.06
45.000,388.73,427.83
45.200,388.75,417.32
45.400,384.59,414.06
45.600,377.68,423.29
45.800,371.79,423.55
46.000,366.88,423.82
46.200,362.30,414.53
46.400,361.03,423.69
46.505,360.36,321.42
