t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784617551.301954,1784617551.301954,mixed,1,0,32,0.0000,25,1,
1784617551.301954,1784617551.325980,mixed,16,0,560,0.0003,407,16,
1784617551.325980,1784617551.337836,decode,16,0,576,0.0003,0,16,
1784617551.337836,1784617551.344008,decode,16,0,576,0.0003,0,16,
1784617551.344008,1784617551.350145,decode,16,0,608,0.0003,0,16,
1784617551.350145,1784617551.356243,decode,16,0,624,0.0003,0,16,
1784617551.356243,1784617551.362414,decode,16,0,624,0.0003,0,16,
1784617551.362414,1784617551.368632,decode,15,0,592,0.0003,0,16,
1784617551.368632,1784617551.380123,decode,15,0,640,0.0003,0,15,
1784617551.380123,1784617551.386279,decode,15,0,640,0.0003,0,15,
1784617551.386279,1784617551.392409,decode,15,0,656,0.0003,0,15,
1784617551.392409,1784617551.398759,decode,15,0,656,0.0003,0,15,
1784617551.398759,1784617551.404929,decode,14,0,624,0.0003,0,15,
1784617551.404929,1784617551.414841,decode,14,0,656,0.0003,0,14,
1784617551.414841,1784617551.421035,decode,14,0,656,0.0003,0,14,
1784617551.421035,1784617551.426945,decode,14,0,672,0.0003,0,14,
1784617551.426945,1784617551.433223,decode,14,0,688,0.0003,0,14,
1784617551.433223,1784617551.439198,decode,14,0,704,0.0003,0,14,
1784617551.439198,1784617551.445404,decode,14,0,720,0.0003,0,14,
1784617551.445404,1784617551.451460,decode,14,0,720,0.0003,0,14,
1784617551.451460,1784617551.457541,decode,14,0,752,0.0004,0,14,
1784617551.457541,1784617551.463612,decode,14,0,768,0.0004,0,14,
1784617551.463612,1784617551.469867,decode,14,0,768,0.0004,0,14,
1784617551.469867,1784617551.475893,decode,14,0,768,0.0004,0,14,
1784617551.475893,1784617551.482030,decode,14,0,816,0.0004,0,14,
1784617551.482030,1784617551.488158,decode,14,0,816,0.0004,0,14,
1784617551.488158,1784617551.494324,decode,14,0,832,0.0004,0,14,
