t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784617551.268864,150.614,1980,3201,0.0,0.0,37.0
1784617551.278905,150.614,1980,3201,0.0,0.0,37.0
1784617551.288909,150.614,1980,3201,0.0,0.0,37.0
1784617551.298914,150.614,1980,3201,0.0,0.0,37.0
1784617551.308903,150.614,1980,3201,0.0,0.0,37.0
1784617551.318902,150.614,1980,3201,0.0,0.0,37.0
1784617551.328903,150.614,1980,3201,0.0,0.0,37.0
1784617551.338903,150.614,1980,3201,0.0,0.0,37.0
1784617551.348904,158.843,1980,3201,0.0,0.0,37.0
1784617551.358902,158.843,1980,3201,0.0,0.0,37.0
1784617551.368901,158.843,1980,3201,0.0,0.0,37.0
1784617551.378904,158.843,1980,3201,0.0,0.0,37.0
1784617551.388905,158.843,1980,3201,0.0,0.0,39.0
1784617551.398904,158.843,1980,3201,0.0,0.0,39.0
1784617551.408902,158.843,1980,3201,0.0,0.0,39.0
1784617551.418900,158.843,1980,3201,0.0,0.0,39.0
1784617551.428900,158.843,1980,3201,0.0,0.0,39.0
1784617551.438898,158.843,1980,3201,0.0,0.0,39.0
1784617551.448906,184.401,1980,3201,0.0,0.0,39.0
1784617551.458904,184.401,1980,3201,0.0,0.0,39.0
1784617551.468903,184.401,1980,3201,78.0,56.0,39.0
1784617551.478904,184.401,1980,3201,78.0,56.0,39.0
1784617551.488905,184.401,1980,3201,78.0,56.0,40.0
1784617551.498914,184.401,1980,3201,78.0,56.0,40.0
1784617551.508905,184.401,1980,3201,78.0,56.0,40.0
1784617551.519052,184.401,1980,3201,78.0,56.0,40.0
1784617551.528905,184.401,1980,3201,78.0,56.0,40.0
1784617551.538906,184.401,1980,3201,78.0,56.0,40.0
1784617551.548906,208.034,1980,3201,78.0,56.0,40.0
1784617551.558904,208.034,1980,3201,78.0,56.0,40.0
1784617551.568905,208.034,1980,3201,78.0,56.0,40.0
1784617551.578903,208.034,1980,3201,78.0,56.0,40.0
1784617551.588904,208.034,1980,3201,78.0,56.0,40.0
1784617551.598940,208.034,1980,3201,78.0,56.0,40.0
1784617551.608973,208.034,1980,3201,78.0,56.0,40.0
1784617551.618944,208.034,1980,3201,78.0,56.0,40.0
1784617551.628972,208.034,1980,3201,78.0,56.0,40.0
1784617551.638976,208.034,1980,3201,78.0,56.0,40.0
1784617551.648970,228.672,1980,3201,78.0,56.0,40.0
1784617551.658897,228.672,1980,3201,78.0,56.0,40.0
1784617551.668978,228.672,1980,3201,82.0,60.0,40.0
1784617551.678945,228.672,1980,3201,82.0,60.0,40.0
1784617551.688906,228.672,1980,3201,82.0,60.0,41.0
1784617551.698943,228.672,1980,3201,82.0,60.0,41.0
1784617551.709026,228.672,1980,3201,82.0,60.0,41.0
1784617551.718950,228.672,1980,3201,82.0,60.0,41.0
1784617551.728945,228.672,1980,3201,82.0,60.0,41.0
1784617551.738942,228.672,1980,3201,82.0,60.0,41.0
1784617551.748943,234.536,1980,3201,82.0,60.0,41.0
1784617551.758942,234.536,1980,3201,82.0,60.0,41.0
1784617551.768942,234.536,1980,3201,82.0,60.0,41.0
1784617551.778945,234.536,1980,3201,82.0,60.0,41.0
1784617551.788942,234.536,1980,3201,82.0,60.0,41.0
1784617551.798941,234.536,1980,3201,82.0,60.0,41.0
1784617551.808945,234.536,1980,3201,82.0,60.0,41.0
1784617551.818947,234.536,1980,3201,82.0,60.0,41.0
1784617551.828946,234.536,1980,3201,82.0,60.0,41.0
1784617551.838943,234.536,1980,3201,82.0,60.0,41.0
1784617551.849180,259.221,1980,3201,82.0,60.0,41.0
1784617551.858947,259.221,1980,3201,82.0,60.0,41.0
1784617551.868942,259.221,1980,3201,83.0,60.0,41.0
1784617551.878945,259.221,1980,3201,83.0,60.0,41.0
1784617551.888942,259.221,1980,3201,83.0,60.0,40.0
1784617551.898946,259.221,1980,3201,83.0,60.0,40.0
1784617551.908942,259.221,1980,3201,83.0,60.0,40.0
1784617551.918942,259.221,1980,3201,83.0,60.0,40.0
1784617551.928941,259.221,1980,3201,83.0,60.0,40.0
1784617551.938942,259.221,1980,3201,83.0,60.0,40.0
1784617551.948941,285.306,1980,3201,83.0,60.0,40.0
1784617551.958941,285.306,1980,3201,83.0,60.0,40.0
1784617551.968940,285.306,1980,3201,83.0,60.0,40.0
1784617551.978940,285.306,1980,3201,83.0,60.0,40.0
1784617551.988941,285.306,1980,3201,83.0,60.0,41.0
1784617551.998942,285.306,1980,3201,83.0,60.0,41.0
1784617552.008941,285.306,1980,3201,83.0,60.0,41.0
1784617552.018944,285.306,1980,3201,83.0,60.0,41.0
1784617552.028942,285.306,1980,3201,83.0,60.0,41.0
1784617552.038936,285.306,1980,3201,83.0,60.0,41.0
1784617552.048942,308.047,1980,3201,83.0,60.0,41.0
1784617552.058942,308.047,1980,3201,83.0,60.0,41.0
1784617552.068941,308.047,1980,3201,87.0,63.0,41.0
1784617552.078942,308.047,1980,3201,87.0,63.0,41.0
1784617552.088942,308.047,1980,3201,87.0,63.0,41.0
1784617552.098942,308.047,1980,3201,87.0,63.0,41.0
1784617552.108942,308.047,1980,3201,87.0,63.0,41.0
1784617552.118942,308.047,1980,3201,87.0,63.0,41.0
1784617552.128942,308.047,1980,3201,87.0,63.0,41.0
1784617552.138942,308.047,1980,3201,87.0,63.0,41.0
1784617552.148937,338.389,1980,3201,87.0,63.0,41.0
1784617552.158941,338.389,1980,3201,87.0,63.0,41.0
