t_rel_s,measured_w,predicted_w
0.000,368.66,348.56
0.200,368.48,388.59
0.400,368.46,316.78
0.600,365.31,388.68
0.800,365.02,380.84
1.000,367.30,372.83
1.200,366.92,380.88
1.400,367.23,364.90
1.600,370.60,380.72
1.800,370.88,380.86
2.000,371.05,364.88
2.200,371.32,388.83
2.400,371.00,380.98
2.600,371.05,364.91
2.800,370.32,364.99
3.000,369.30,348.82
3.200,365.76,372.66
3.400,364.16,380.78
3.600,363.71,356.77
3.800,363.63,380.64
4.000,365.15,388.77
4.200,369.35,372.88
4.400,371.66,380.85
4.600,373.14,372.89
4.800,375.52,380.80
5.000,376.18,372.82
5.200,376.23,372.67
5.400,376.39,372.60
5.600,376.08,388.66
5.800,374.58,380.82
6.000,373.68,380.96
6.200,372.93,373.07
6.400,371.79,348.75
6.600,371.46,388.69
6.800,371.65,364.67
7.000,370.68,372.72
7.200,370.00,380.83
7.400,370.39,380.98
7.600,371.35,364.93
7.800,371.41,380.94
8.000,371.99,340.77
8.200,372.26,372.68
8.400,373.42,380.73
8.600,372.65,348.88
8.800,372.12,380.97
9.000,372.78,381.09
9.200,373.17,356.82
9.400,371.89,372.84
9.600,373.02,364.68
9.800,373.21,380.65
10.000,373.63,380.79
10.200,374.79,380.87
10.400,375.22,356.94
10.600,374.57,372.85
10.800,375.38,380.76
11.000,374.85,372.87
11.200,373.40,364.77
11.400,373.53,380.68
11.600,374.00,380.82
11.800,373.87,364.90
12.000,372.88,372.74
12.200,373.45,229.02
12.400,373.73,540.77
12.600,373.64,372.99
12.800,374.08,364.80
13.000,375.49,380.68
13.200,376.90,380.82
13.400,376.81,372.94
13.600,376.61,380.76
13.800,376.24,380.81
14.000,375.53,372.84
14.200,374.83,372.67
14.400,374.58,356.66
14.600,375.00,372.59
14.800,375.52,380.70
15.000,375.66,372.77
15.200,375.89,372.76
15.400,376.25,372.77
15.600,375.74,380.83
15.800,375.42,380.97
16.000,375.82,364.89
16.200,375.81,372.95
16.400,375.77,364.90
16.600,375.62,372.71
16.800,375.67,380.57
17.000,375.90,380.66
17.200,375.75,364.81
17.400,374.40,372.77
17.600,374.82,380.88
17.800,375.90,372.98
18.000,374.86,340.77
18.200,372.65,372.63
18.400,373.47,372.58
18.600,373.47,388.59
18.800,372.88,372.74
19.000,373.25,388.74
19.200,375.23,372.89
19.400,375.91,364.89
19.600,375.66,380.69
19.800,375.82,380.73
20.000,376.49,380.70
20.200,376.67,380.84
20.400,376.75,388.98
20.600,376.51,381.13
20.800,375.84,373.11
21.000,375.30,364.85
21.200,375.52,372.75
21.400,376.39,340.61
21.600,377.94,372.54
21.800,378.56,388.64
22.000,379.51,364.77
22.200,379.86,380.81
22.400,379.28,388.95
22.600,378.19,372.92
22.800,378.63,372.95
23.000,378.64,372.77
23.200,377.12,372.65
23.400,376.99,388.73
23.600,377.04,372.76
23.800,376.53,372.69
24.000,376.86,380.78
24.200,377.55,380.88
24.400,377.05,356.89
24.600,376.67,364.78
24.800,376.86,380.64
25.000,376.65,388.76
25.200,376.49,364.70
25.400,377.04,372.70
25.600,377.34,380.82
25.800,377.79,380.96
26.000,377.29,364.86
26.200,376.86,380.74
26.400,377.14,380.89
26.600,377.12,381.03
26.800,376.65,364.94
27.000,377.11,372.77
27.200,377.66,372.72
27.400,378.05,380.82
27.600,378.03,372.76
27.800,377.45,372.77
28.000,377.19,380.85
28.200,376.62,388.99
28.400,375.75,348.92
28.600,375.01,380.72
28.800,375.77,364.83
29.000,376.13,372.90
29.200,376.83,372.76
29.400,377.35,372.69
29.600,377.61,380.75
29.800,377.83,372.84
30.000,377.33,364.91
30.200,376.69,380.78
30.400,376.06,372.92
30.600,376.71,356.72
30.800,376.76,388.55
31.000,376.88,380.71
31.200,376.82,380.85
31.400,377.58,372.91
31.600,377.67,372.83
31.800,376.88,388.82
32.000,377.23,380.97
32.200,377.69,364.81
32.400,377.98,380.70
32.600,378.27,380.74
32.800,378.80,380.80
33.000,378.33,380.94
33.200,378.19,372.87
33.400,378.03,380.94
33.600,377.19,389.08
33.800,377.65,364.79
34.000,378.61,380.84
34.200,379.18,364.77
34.400,379.47,380.81
34.600,379.96,372.90
34.800,379.98,372.66
35.000,379.15,372.71
35.200,378.36,380.83
35.400,377.46,364.75
35.600,377.36,380.87
35.800,377.34,389.01
36.000,377.68,373.11
36.200,378.34,372.94
36.400,379.11,364.84
36.600,379.17,380.76
36.800,379.05,364.89
37.000,378.41,372.73
37.200,377.49,380.80
37.400,376.93,372.88
37.600,376.56,364.78
37.800,376.55,388.70
38.000,376.49,372.79
38.200,377.91,364.66
38.400,378.65,372.72
38.600,379.56,372.82
38.800,380.34,380.89
39.000,381.59,356.81
39.200,381.77,372.65
39.400,381.56,372.62
39.600,381.22,380.73
39.800,380.46,388.86
40.000,379.46,381.01
40.200,377.60,356.98
40.400,377.15,380.88
40.600,376.21,364.91
40.800,376.08,364.78
41.000,375.91,380.61
41.200,376.59,380.75
41.400,376.44,380.89
41.600,376.34,381.03
41.800,376.33,364.91
42.000,376.78,372.91
42.200,376.44,372.87
42.400,376.34,356.69
42.600,377.01,380.58
42.800,376.68,372.70
43.000,376.29,380.79
43.200,376.63,372.82
43.400,376.77,372.70
43.600,376.09,380.81
43.800,376.62,372.93
44.000,376.44,388.80
44.200,376.78,380.95
44.400,376.89,356.91
44.600,377.54,372.84
44.800,378.02,372.68
45.000,378.11,380.58
45.200,378.15,380.72
45.400,377.83,388.71
45.600,377.40,380.82
45.800,376.65,380.53
45.906,376.38,393.59
