t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784617700.991300,165.044,1980,3201,0.0,0.0,37.0
1784617701.001383,165.044,1980,3201,0.0,0.0,37.0
1784617701.011380,165.044,1980,3201,0.0,0.0,37.0
1784617701.021633,151.072,1980,3201,0.0,0.0,37.0
1784617701.031370,151.072,1980,3201,0.0,0.0,37.0
1784617701.041375,151.072,1980,3201,0.0,0.0,37.0
1784617701.051448,151.072,1980,3201,0.0,0.0,37.0
1784617701.061381,151.072,1980,3201,0.0,0.0,37.0
1784617701.071383,151.072,1980,3201,0.0,0.0,37.0
1784617701.081380,151.072,1980,3201,0.0,0.0,37.0
1784617701.091381,151.072,1980,3201,0.0,0.0,37.0
1784617701.101372,151.072,1980,3201,0.0,0.0,37.0
1784617701.111369,151.072,1980,3201,0.0,0.0,37.0
1784617701.121372,169.639,1980,3201,0.0,0.0,37.0
1784617701.131372,169.639,1980,3201,0.0,0.0,37.0
1784617701.141372,169.639,1980,3201,84.0,62.0,37.0
1784617701.151372,169.639,1980,3201,84.0,62.0,37.0
1784617701.161372,169.639,1980,3201,84.0,62.0,39.0
1784617701.171372,169.639,1980,3201,84.0,62.0,39.0
1784617701.181373,169.639,1980,3201,84.0,62.0,39.0
1784617701.191372,169.639,1980,3201,84.0,62.0,39.0
1784617701.201369,169.639,1980,3201,84.0,62.0,39.0
1784617701.211371,169.639,1980,3201,84.0,62.0,39.0
1784617701.221372,194.196,1980,3201,84.0,62.0,39.0
1784617701.231372,194.196,1980,3201,84.0,62.0,39.0
1784617701.241372,194.196,1980,3201,84.0,62.0,39.0
1784617701.251372,194.196,1980,3201,84.0,62.0,39.0
1784617701.261475,194.196,1980,3201,84.0,62.0,40.0
1784617701.271405,194.196,1980,3201,84.0,62.0,40.0
1784617701.281430,194.196,1980,3201,84.0,62.0,40.0
1784617701.291382,194.196,1980,3201,84.0,62.0,40.0
1784617701.301380,194.196,1980,3201,84.0,62.0,40.0
