t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1784617329.319053,0.2000,82.6028,2.159795e+11,6.718987e+13,6.658677e+13,2.121086e+11,3.870949e+09,6.655967e+13,2.709665e+10,4488,219,15,4488.0,6.655967e+13
1784617329.519053,0.2000,84.9785,4.618110e+11,7.305161e+12,7.305161e+12,4.524983e+11,9.312666e+09,7.239973e+12,6.518866e+10,0,512,32,0.0,7.239973e+12
1784617329.719053,0.2000,85.1611,4.627505e+11,7.311738e+12,7.311738e+12,4.524983e+11,1.025219e+10,7.239973e+12,7.176533e+10,0,512,32,0.0,7.239973e+12
1784617329.919053,0.2000,85.1627,4.636900e+11,7.318315e+12,7.318315e+12,4.524983e+11,1.119171e+10,7.239973e+12,7.834200e+10,0,512,32,0.0,7.239973e+12
1784617330.119053,0.2000,85.0017,4.646295e+11,7.324891e+12,7.324891e+12,4.524983e+11,1.213124e+10,7.239973e+12,8.491867e+10,0,512,32,0.0,7.239973e+12
1784617330.319053,0.2000,83.2145,4.655691e+11,7.331468e+12,7.331468e+12,4.524983e+11,1.307076e+10,7.239973e+12,9.149533e+10,0,512,32,0.0,7.239973e+12
1784617330.519053,0.2000,80.2550,4.518634e+11,7.309293e+12,7.306231e+12,4.383577e+11,1.350566e+10,7.211692e+12,9.453961e+10,15,495,31,15.0,7.211692e+12
1784617330.719053,0.2000,80.5066,4.523065e+11,7.111365e+12,7.111365e+12,4.383577e+11,1.394881e+10,7.013724e+12,9.764169e+10,0,496,31,0.0,7.013724e+12
1784617330.919053,0.2000,80.5550,3.344596e+11,3.337780e+13,3.325251e+13,3.252331e+11,9.226420e+09,3.318792e+13,6.458494e+10,1994,353,23,1994.0,3.318792e+13
1784617331.119053,0.2000,82.2529,4.570234e+11,7.271649e+12,7.271649e+12,4.524983e+11,4.525130e+09,7.239973e+12,3.167591e+10,0,512,32,0.0,7.239973e+12
1784617331.319053,0.2000,82.2423,4.579629e+11,7.278225e+12,7.278225e+12,4.524983e+11,5.464654e+09,7.239973e+12,3.825258e+10,0,512,32,0.0,7.239973e+12
1784617331.519053,0.2000,81.9650,4.444655e+11,7.142011e+12,7.141322e+12,4.383577e+11,6.107824e+09,7.098567e+12,4.275477e+10,7,495,31,7.0,7.098567e+12
1784617331.719053,0.2000,81.3027,4.596622e+11,7.290120e+12,7.290120e+12,4.524983e+11,7.163871e+09,7.239973e+12,5.014710e+10,0,512,32,0.0,7.239973e+12
1784617331.919053,0.2000,81.1553,4.606017e+11,7.296696e+12,7.296696e+12,4.524983e+11,8.103395e+09,7.239973e+12,5.672377e+10,0,512,32,0.0,7.239973e+12
1784617332.119053,0.2000,79.8232,4.615412e+11,7.303273e+12,7.303273e+12,4.524983e+11,9.042919e+09,7.239973e+12,6.330044e+10,0,512,32,0.0,7.239973e+12
1784617332.319053,0.2000,79.0939,4.040807e+11,7.804899e+12,7.791905e+12,3.959360e+11,8.144683e+09,7.734893e+12,5.701278e+10,101,446,28,101.0,7.734893e+12
1784617332.519053,0.2000,78.5985,4.481236e+11,7.082085e+12,7.082085e+12,4.383577e+11,9.765913e+09,7.013724e+12,6.836139e+10,0,496,31,0.0,7.013724e+12
1784617332.719053,0.2000,78.8627,3.705138e+11,1.962131e+13,1.959056e+13,3.676549e+11,2.858942e+09,1.957055e+13,2.001260e+10,982,402,26,982.0,1.957055e+13
1784617332.919054,0.2000,78.6047,4.416910e+11,7.292593e+12,7.291587e+12,4.383577e+11,3.333292e+09,7.268254e+12,2.333304e+10,19,495,31,19.0,7.268254e+12
1784617333.119053,0.2000,77.7987,4.425131e+11,7.042811e+12,7.042811e+12,4.383577e+11,4.155376e+09,7.013724e+12,2.908763e+10,0,496,31,0.0,7.013724e+12
1784617333.319054,0.2000,77.8959,4.577116e+11,7.276465e+12,7.276465e+12,4.524983e+11,5.213258e+09,7.239973e+12,3.649280e+10,0,512,32,0.0,7.239973e+12
1784617333.519053,0.2000,78.2626,4.012447e+11,6.343946e+12,6.343856e+12,3.959360e+11,5.308678e+09,6.306695e+12,3.716075e+10,0,446,28,0.0,6.306695e+12
1784617333.719054,0.2000,80.9969,3.763849e+11,3.830903e+13,3.798612e+13,3.676549e+11,8.730051e+09,3.792501e+13,6.111035e+10,2267,415,26,2267.0,3.792501e+13
1784617333.919054,0.2000,82.1361,3.915182e+11,3.071121e+13,3.038545e+13,3.817954e+11,9.722790e+09,3.031739e+13,6.805953e+10,1714,430,27,1714.0,3.031739e+13
1784617334.119054,0.2000,85.0689,3.939514e+11,1.270351e+13,1.261364e+13,3.817954e+11,1.215601e+10,1.252855e+13,8.509207e+10,455,431,27,455.0,1.252855e+13
1784617334.319054,0.2000,85.5021,3.361817e+11,5.280370e+12,5.280370e+12,3.252331e+11,1.094858e+10,5.203730e+12,7.664003e+10,0,368,23,0.0,5.203730e+12
1784617334.519054,0.2000,84.1402,4.349382e+11,1.806254e+13,1.790631e+13,4.242171e+11,1.072103e+10,1.783126e+13,7.504724e+10,965,296,30,965.0,1.783126e+13
1784617334.719054,0.2000,82.5008,4.351749e+11,8.866950e+12,8.843859e+12,4.242171e+11,1.095775e+10,8.767154e+12,7.670425e+10,141,479,30,141.0,8.767154e+12
1784617334.919054,0.2000,81.5389,4.649085e+11,7.326844e+12,7.326844e+12,4.524983e+11,1.241016e+10,7.239973e+12,8.687111e+10,0,512,32,0.0,7.239973e+12
1784617335.119054,0.2000,79.6121,4.658480e+11,7.333420e+12,7.333420e+12,4.524983e+11,1.334968e+10,7.239973e+12,9.344778e+10,0,512,32,0.0,7.239973e+12
1784617335.319054,0.2000,79.5497,4.663544e+11,7.665669e+12,7.662199e+12,4.524983e+11,1.385615e+10,7.565206e+12,9.699302e+10,24,511,32,24.0,7.565206e+12
1784617335.519054,0.2000,81.1096,4.631395e+11,7.314461e+12,7.314461e+12,4.524983e+11,1.064121e+10,7.239973e+12,7.448848e+10,0,512,32,0.0,7.239973e+12
1784617335.719054,0.2000,81.2977,4.048697e+11,1.972198e+13,1.960481e+13,3.959360e+11,8.933736e+09,1.954227e+13,6.253616e+10,937,445,28,937.0,1.954227e+13
1784617335.919054,0.2000,82.5301,4.612256e+11,7.301064e+12,7.301064e+12,4.524983e+11,8.727298e+09,7.239973e+12,6.109109e+10,0,512,32,0.0,7.239973e+12
1784617336.119054,0.2000,82.4270,4.621651e+11,7.307640e+12,7.307640e+12,4.524983e+11,9.666822e+09,7.239973e+12,6.766776e+10,0,512,32,0.0,7.239973e+12
1784617336.319054,0.2000,82.7359,3.727947e+11,2.627991e+13,2.615361e+13,3.676549e+11,5.139857e+09,2.611764e+13,3.597900e+10,1442,405,26,1442.0,2.611764e+13
