t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784617921.117951,152.484,1980,3201,0.0,0.0,36.0
1784617921.128160,152.484,1980,3201,0.0,0.0,36.0
1784617921.138030,152.484,1980,3201,0.0,0.0,36.0
1784617921.148025,152.484,1980,3201,0.0,0.0,36.0
1784617921.158036,152.484,1980,3201,0.0,0.0,36.0
1784617921.168032,152.484,1980,3201,0.0,0.0,36.0
1784617921.178082,152.484,1980,3201,0.0,0.0,36.0
1784617921.188089,152.484,1980,3201,0.0,0.0,36.0
1784617921.198034,152.484,1980,3201,0.0,0.0,36.0
1784617921.208044,176.770,1980,3201,0.0,0.0,36.0
1784617921.218037,176.770,1980,3201,0.0,0.0,36.0
1784617921.228034,176.770,1980,3201,1.0,0.0,36.0
1784617921.238034,176.770,1980,3201,1.0,0.0,36.0
1784617921.248034,176.770,1980,3201,1.0,0.0,43.0
1784617921.258034,176.770,1980,3201,1.0,0.0,43.0
1784617921.268058,176.770,1980,3201,1.0,0.0,43.0
1784617921.278033,176.770,1980,3201,1.0,0.0,43.0
1784617921.288034,176.770,1620,3201,1.0,0.0,43.0
1784617921.298035,176.770,1620,3201,1.0,0.0,43.0
1784617921.308036,240.427,1620,3201,1.0,0.0,43.0
1784617921.318035,240.427,1620,3201,1.0,0.0,43.0
1784617921.328035,240.427,1620,3201,1.0,0.0,43.0
1784617921.338036,240.427,1620,3201,1.0,0.0,43.0
1784617921.348037,240.427,1620,3201,1.0,0.0,48.0
1784617921.358077,240.427,1620,3201,1.0,0.0,48.0
1784617921.368113,240.427,1620,3201,1.0,0.0,48.0
1784617921.378058,240.427,1620,3201,1.0,0.0,48.0
1784617921.388035,240.427,1785,3201,1.0,0.0,48.0
1784617921.398044,240.427,1785,3201,1.0,0.0,48.0
1784617921.408111,286.676,1785,3201,1.0,0.0,48.0
1784617921.418037,286.676,1785,3201,1.0,0.0,48.0
1784617921.428555,286.676,1785,3201,96.0,29.0,48.0
1784617921.438060,286.676,1785,3201,96.0,29.0,48.0
1784617921.448034,286.676,1785,3201,96.0,29.0,47.0
1784617921.458035,286.676,1785,3201,96.0,29.0,47.0
1784617921.468035,286.676,1785,3201,96.0,29.0,47.0
1784617921.478036,286.676,1785,3201,96.0,29.0,47.0
1784617921.488034,286.676,1965,3201,96.0,29.0,47.0
1784617921.498085,286.676,1965,3201,96.0,29.0,47.0
1784617921.508038,320.119,1965,3201,96.0,29.0,47.0
1784617921.518035,320.119,1965,3201,96.0,29.0,47.0
1784617921.528454,320.119,1965,3201,96.0,29.0,47.0
1784617921.538034,320.119,1965,3201,96.0,29.0,47.0
1784617921.548088,320.119,1965,3201,96.0,29.0,44.0
1784617921.558035,320.119,1965,3201,96.0,29.0,44.0
1784617921.568053,320.119,1965,3201,96.0,29.0,44.0
1784617921.578040,320.119,1965,3201,96.0,29.0,44.0
1784617921.588123,320.119,1965,3201,96.0,29.0,44.0
1784617921.598036,320.119,1965,3201,96.0,29.0,44.0
1784617921.608034,324.656,1965,3201,96.0,29.0,44.0
1784617921.618034,324.656,1965,3201,96.0,29.0,44.0
1784617921.628035,324.656,1965,3201,79.0,56.0,44.0
1784617921.638707,324.656,1965,3201,79.0,56.0,44.0
1784617921.648036,324.656,1965,3201,79.0,56.0,43.0
1784617921.658081,324.656,1965,3201,79.0,56.0,43.0
1784617921.668116,324.656,1965,3201,79.0,56.0,43.0
1784617921.678039,324.656,1965,3201,79.0,56.0,43.0
1784617921.688073,324.656,1965,3201,79.0,56.0,43.0
1784617921.698088,324.656,1965,3201,79.0,56.0,43.0
1784617921.708035,365.099,1965,3201,79.0,56.0,43.0
