t_rel_s,measured_w,predicted_w
0.000,480.63,402.21
0.200,489.92,135.60
0.400,514.58,561.80
0.600,513.48,601.83
0.800,512.75,623.77
1.000,516.21,589.15
1.200,505.83,649.03
1.400,474.34,556.30
1.600,475.10,596.61
1.800,474.36,502.73
2.000,472.96,640.08
2.200,485.95,310.13
2.400,509.92,212.09
2.600,546.06,472.98
2.800,554.36,587.56
3.000,555.58,571.13
3.200,544.50,573.70
3.400,520.17,594.58
3.600,487.19,616.45
3.800,479.51,599.98
4.000,480.02,544.17
4.200,479.36,507.49
4.400,489.94,388.60
4.600,496.23,303.99
4.800,502.57,520.69
5.000,502.34,540.31
5.200,504.72,505.45
5.400,494.28,488.65
5.600,488.53,639.46
5.800,482.48,547.99
6.000,484.75,568.77
6.200,482.37,550.71
6.400,484.51,436.84
6.600,489.17,322.91
6.800,519.77,135.64
7.000,557.46,480.66
7.200,563.39,466.62
7.400,562.13,447.86
7.600,564.76,507.10
7.800,534.18,547.45
8.000,496.82,549.29
8.200,495.64,630.25
8.400,497.99,552.77
8.600,497.64,514.29
8.800,497.52,475.64
9.000,503.19,254.69
9.200,518.21,490.69
9.400,517.15,562.63
9.600,513.84,414.21
9.800,519.27,564.78
10.000,513.81,603.34
10.200,501.28,548.81
10.400,501.23,512.55
10.600,501.04,550.51
10.800,503.01,457.29
11.000,504.71,361.44
11.200,504.87,246.95
11.400,523.92,530.33
11.600,530.11,568.94
11.800,529.27,457.71
12.000,531.29,478.29
12.200,531.09,557.39
12.400,517.77,598.15
12.600,515.11,522.49
12.800,513.66,523.33
13.000,511.59,424.65
13.200,513.22,349.70
13.400,525.02,425.41
13.600,529.95,423.78
13.800,542.80,406.89
14.000,545.61,423.59
14.200,560.18,426.55
14.400,545.23,562.62
14.600,533.81,563.26
14.800,514.88,564.80
15.000,508.49,564.16
15.200,493.77,427.69
15.400,497.58,366.30
15.600,513.23,420.50
15.800,516.86,551.36
16.000,516.52,474.38
16.200,518.76,528.00
16.400,515.08,509.70
16.600,512.33,513.18
16.800,511.88,590.44
17.000,511.95,496.86
17.200,510.74,481.45
17.400,527.90,194.69
17.600,540.53,424.89
17.800,542.18,498.96
18.000,545.94,460.55
18.200,553.46,575.42
18.400,546.19,444.49
18.600,534.62,542.37
18.800,531.21,580.23
19.000,527.10,563.07
19.200,521.03,524.34
19.400,516.85,310.53
19.600,529.19,136.59
19.800,563.00,446.41
20.000,566.14,465.05
20.200,571.94,484.95
20.400,573.00,465.45
20.600,558.48,462.23
20.800,525.25,576.53
21.000,519.00,539.39
21.200,513.96,522.15
21.400,515.71,463.90
21.600,514.02,464.03
21.800,515.68,341.47
22.000,520.40,509.93
22.200,518.94,513.02
22.400,515.85,532.44
22.600,511.04,456.88
22.800,512.24,590.20
23.000,516.04,384.61
23.200,528.99,423.53
23.400,539.98,541.41
23.600,543.60,462.78
23.800,541.03,326.94
24.000,533.92,440.05
24.200,520.23,569.51
24.400,505.99,438.48
24.600,498.46,476.46
24.800,497.44,458.20
25.000,494.78,496.73
25.200,501.22,513.41
25.400,504.14,531.29
25.600,509.06,494.39
25.800,514.60,401.47
26.000,515.13,531.82
26.200,515.68,550.84
26.400,517.68,494.94
26.600,524.67,458.60
26.800,521.44,515.14
27.000,521.60,421.17
27.200,531.77,516.49
27.400,531.71,552.97
27.600,525.92,420.35
27.800,536.37,405.88
28.000,539.17,402.49
28.200,526.83,536.44
28.400,521.24,460.39
28.600,517.86,552.89
28.800,501.55,496.29
29.000,497.27,459.64
29.200,505.18,401.37
29.400,508.05,458.37
29.600,506.61,512.59
29.800,508.01,548.52
30.000,512.51,360.45
30.200,512.23,566.81
30.400,509.40,473.92
30.600,515.44,567.13
30.800,521.10,530.68
31.000,518.56,494.60
31.200,519.60,531.73
31.400,521.90,400.54
31.600,529.38,571.07
31.800,527.61,458.28
32.000,528.03,493.47
32.200,533.69,345.40
32.400,551.94,499.84
32.600,545.41,480.89
32.800,542.13,538.71
