t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784617996.240531,153.808,1980,3201,0.0,0.0,37.0
1784617996.250620,153.808,1980,3201,0.0,0.0,37.0
1784617996.260612,153.217,1980,3201,0.0,0.0,37.0
1784617996.270610,153.217,1980,3201,0.0,0.0,37.0
1784617996.280610,153.217,1980,3201,0.0,0.0,37.0
1784617996.290612,153.217,1980,3201,0.0,0.0,37.0
1784617996.300610,153.217,1980,3201,0.0,0.0,37.0
1784617996.310612,153.217,1980,3201,0.0,0.0,37.0
1784617996.320610,153.217,1980,3201,0.0,0.0,37.0
1784617996.330611,153.217,1980,3201,0.0,0.0,37.0
1784617996.340612,153.217,1980,3201,0.0,0.0,37.0
1784617996.350612,153.217,1980,3201,0.0,0.0,37.0
1784617996.360612,169.642,1980,3201,0.0,0.0,37.0
1784617996.370613,169.642,1980,3201,0.0,0.0,37.0
1784617996.380612,169.642,1980,3201,0.0,0.0,37.0
1784617996.390647,169.642,1980,3201,0.0,0.0,37.0
1784617996.400612,169.642,1980,3201,0.0,0.0,39.0
1784617996.410614,169.642,1980,3201,0.0,0.0,39.0
1784617996.420660,169.642,1980,3201,0.0,0.0,39.0
1784617996.430614,169.642,1980,3201,0.0,0.0,39.0
1784617996.440612,169.642,1980,3201,0.0,0.0,39.0
1784617996.450612,169.642,1980,3201,0.0,0.0,39.0
1784617996.460848,195.905,1980,3201,0.0,0.0,39.0
1784617996.470607,195.905,1980,3201,0.0,0.0,39.0
1784617996.480613,195.905,1980,3201,86.0,63.0,39.0
1784617996.490612,195.905,1980,3201,86.0,63.0,39.0
1784617996.500612,195.905,1980,3201,86.0,63.0,39.0
1784617996.510612,195.905,1980,3201,86.0,63.0,39.0
1784617996.520612,195.905,1980,3201,86.0,63.0,39.0
1784617996.530665,195.905,1980,3201,86.0,63.0,39.0
1784617996.540614,195.905,1980,3201,86.0,63.0,39.0
1784617996.550614,195.905,1980,3201,86.0,63.0,39.0
1784617996.560612,219.081,1980,3201,86.0,63.0,39.0
1784617996.570653,219.081,1980,3201,86.0,63.0,39.0
1784617996.580614,219.081,1980,3201,86.0,63.0,39.0
1784617996.590650,219.081,1980,3201,86.0,63.0,39.0
1784617996.600616,219.081,1980,3201,86.0,63.0,40.0
1784617996.610612,219.081,1980,3201,86.0,63.0,40.0
1784617996.620613,219.081,1980,3201,86.0,63.0,40.0
1784617996.630615,219.081,1980,3201,86.0,63.0,40.0
1784617996.640612,219.081,1980,3201,86.0,63.0,40.0
1784617996.650614,219.081,1980,3201,86.0,63.0,40.0
1784617996.660612,223.205,1980,3201,86.0,63.0,40.0
1784617996.670612,223.205,1980,3201,86.0,63.0,40.0
1784617996.680612,223.205,1980,3201,87.0,63.0,40.0
1784617996.690612,223.205,1980,3201,87.0,63.0,40.0
1784617996.700613,223.205,1980,3201,87.0,63.0,40.0
1784617996.710612,223.205,1980,3201,87.0,63.0,40.0
1784617996.720612,223.205,1980,3201,87.0,63.0,40.0
1784617996.730613,223.205,1980,3201,87.0,63.0,40.0
1784617996.740613,223.205,1980,3201,87.0,63.0,40.0
1784617996.750612,223.205,1980,3201,87.0,63.0,40.0
1784617996.760612,237.938,1980,3201,87.0,63.0,40.0
1784617996.770612,237.938,1980,3201,87.0,63.0,40.0
1784617996.780611,237.938,1980,3201,87.0,63.0,40.0
1784617996.790612,237.938,1980,3201,87.0,63.0,40.0
1784617996.800615,237.938,1980,3201,87.0,63.0,40.0
1784617996.810613,237.938,1980,3201,87.0,63.0,40.0
1784617996.820613,237.938,1980,3201,87.0,63.0,40.0
1784617996.830611,237.938,1980,3201,87.0,63.0,40.0
1784617996.840621,237.938,1980,3201,87.0,63.0,40.0
1784617996.850612,237.938,1980,3201,87.0,63.0,40.0
1784617996.860612,260.676,1980,3201,87.0,63.0,40.0
1784617996.870614,260.676,1980,3201,87.0,63.0,40.0
1784617996.880611,260.676,1980,3201,87.0,63.0,40.0
1784617996.890603,260.676,1980,3201,87.0,63.0,40.0
1784617996.900604,260.676,1980,3201,87.0,63.0,40.0
1784617996.910599,260.676,1980,3201,87.0,63.0,40.0
1784617996.920600,260.676,1980,3201,87.0,63.0,40.0
1784617996.930600,260.676,1980,3201,87.0,63.0,40.0
1784617996.940600,260.676,1980,3201,87.0,63.0,40.0
1784617996.950600,260.676,1980,3201,87.0,63.0,40.0
1784617996.960600,285.512,1980,3201,87.0,63.0,40.0
1784617996.970600,285.512,1980,3201,87.0,63.0,40.0
1784617996.980599,285.512,1980,3201,87.0,63.0,40.0
1784617996.990600,285.512,1980,3201,87.0,63.0,40.0
1784617997.000600,285.512,1980,3201,87.0,63.0,40.0
