t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784620490.452206,156.650,1980,3201,0.0,0.0,34.0
1784620490.462281,156.650,1980,3201,0.0,0.0,34.0
1784620490.472338,156.643,1980,3201,0.0,0.0,34.0
1784620490.482332,156.643,1980,3201,0.0,0.0,34.0
1784620490.492285,156.643,1980,3201,0.0,0.0,34.0
1784620490.502285,156.643,1980,3201,0.0,0.0,34.0
1784620490.512285,156.643,1980,3201,0.0,0.0,34.0
1784620490.522277,156.643,1980,3201,0.0,0.0,34.0
1784620490.532278,156.643,1980,3201,0.0,0.0,34.0
1784620490.542278,156.643,1980,3201,0.0,0.0,34.0
1784620490.552278,156.643,1980,3201,0.0,0.0,34.0
1784620490.562279,156.643,1980,3201,0.0,0.0,34.0
1784620490.572278,135.439,1980,3201,0.0,0.0,34.0
1784620490.582278,135.439,1980,3201,0.0,0.0,34.0
1784620490.592282,135.439,1980,3201,0.0,0.0,34.0
1784620490.602279,135.439,1980,3201,0.0,0.0,34.0
1784620490.612276,135.439,1980,3201,0.0,0.0,34.0
1784620490.622276,135.439,1980,3201,0.0,0.0,34.0
1784620490.632276,135.439,1980,3201,0.0,0.0,34.0
1784620490.642279,135.439,1980,3201,0.0,0.0,34.0
1784620490.652412,135.439,1980,3201,0.0,0.0,34.0
1784620490.662289,135.439,1980,3201,0.0,0.0,34.0
1784620490.672292,118.118,1980,3201,0.0,0.0,34.0
1784620490.682290,118.118,1980,3201,0.0,0.0,34.0
1784620490.692290,118.118,1980,3201,0.0,0.0,34.0
1784620490.702365,118.118,1980,3201,0.0,0.0,34.0
1784620490.712288,118.118,1980,3201,0.0,0.0,34.0
1784620490.722289,118.118,1980,3201,0.0,0.0,34.0
1784620490.732290,118.118,1980,3201,0.0,0.0,34.0
1784620490.742290,118.118,1980,3201,0.0,0.0,34.0
1784620490.752302,118.118,1980,3201,0.0,0.0,34.0
1784620490.762347,118.118,1980,3201,0.0,0.0,34.0
1784620490.772287,118.213,1980,3201,0.0,0.0,34.0
1784620490.782290,118.213,1980,3201,0.0,0.0,34.0
1784620490.792287,118.213,1980,3201,0.0,0.0,34.0
1784620490.802287,118.213,1980,3201,0.0,0.0,34.0
1784620490.812285,118.213,1980,3201,0.0,0.0,34.0
1784620490.822286,118.213,1980,3201,0.0,0.0,34.0
1784620490.832286,118.213,1980,3201,0.0,0.0,34.0
1784620490.842280,118.213,1980,3201,0.0,0.0,34.0
1784620490.852272,118.213,1980,3201,0.0,0.0,34.0
1784620490.862283,118.213,1980,3201,0.0,0.0,34.0
1784620490.872284,127.937,1980,3201,0.0,0.0,34.0
1784620490.882285,127.937,1980,3201,0.0,0.0,34.0
1784620490.892284,127.937,1980,3201,46.0,28.0,34.0
1784620490.902286,127.937,1980,3201,46.0,28.0,34.0
1784620490.912285,127.937,1980,3201,46.0,28.0,35.0
1784620490.922413,127.937,1980,3201,46.0,28.0,35.0
1784620490.932380,127.937,1980,3201,46.0,28.0,35.0
1784620490.942322,127.937,1980,3201,46.0,28.0,35.0
1784620490.952287,127.937,1980,3201,46.0,28.0,35.0
1784620490.962287,127.937,1980,3201,46.0,28.0,35.0
1784620490.972286,147.077,1980,3201,46.0,28.0,35.0
1784620490.982288,147.077,1980,3201,46.0,28.0,35.0
1784620490.992465,147.077,1980,3201,46.0,28.0,35.0
1784620491.002279,147.077,1980,3201,46.0,28.0,35.0
1784620491.012287,147.077,1980,3201,46.0,28.0,36.0
1784620491.022326,147.077,1980,3201,46.0,28.0,36.0
1784620491.032287,147.077,1980,3201,46.0,28.0,36.0
1784620491.042287,147.077,1980,3201,46.0,28.0,36.0
1784620491.052290,147.077,1980,3201,46.0,28.0,36.0
1784620491.062280,147.077,1980,3201,46.0,28.0,36.0
1784620491.072287,166.259,1980,3201,46.0,28.0,36.0
1784620491.082287,166.259,1980,3201,46.0,28.0,36.0
1784620491.092291,166.259,1980,3201,86.0,53.0,36.0
1784620491.102290,166.259,1980,3201,86.0,53.0,36.0
1784620491.112289,166.259,1980,3201,86.0,53.0,36.0
1784620491.122287,166.259,1980,3201,86.0,53.0,36.0
1784620491.132281,166.259,1980,3201,86.0,53.0,36.0
1784620491.142287,166.259,1980,3201,86.0,53.0,36.0
1784620491.152288,166.259,1980,3201,86.0,53.0,36.0
1784620491.162287,166.259,1980,3201,86.0,53.0,36.0
1784620491.172340,187.032,1980,3201,86.0,53.0,36.0
1784620491.182286,187.032,1980,3201,86.0,53.0,36.0
1784620491.192279,187.032,1980,3201,86.0,53.0,36.0
1784620491.202285,187.032,1980,3201,86.0,53.0,36.0
1784620491.212287,187.032,1980,3201,86.0,53.0,36.0
1784620491.222337,187.032,1980,3201,86.0,53.0,36.0
1784620491.232287,187.032,1980,3201,86.0,53.0,36.0
1784620491.242287,187.032,1980,3201,86.0,53.0,36.0
1784620491.252290,187.032,1980,3201,86.0,53.0,36.0
1784620491.262281,187.032,1980,3201,86.0,53.0,36.0
1784620491.272329,206.734,1980,3201,86.0,53.0,36.0
1784620491.282287,206.734,1980,3201,86.0,53.0,36.0
1784620491.292287,206.734,1980,3201,86.0,53.0,36.0
1784620491.302288,206.734,1980,3201,86.0,53.0,36.0
1784620491.312336,206.734,1980,3201,86.0,53.0,36.0
1784620491.322287,206.734,1980,3201,86.0,53.0,36.0
1784620491.332285,206.734,1980,3201,86.0,53.0,36.0
1784620491.342286,206.734,1980,3201,86.0,53.0,36.0
1784620491.352284,206.734,1980,3201,86.0,53.0,36.0
1784620491.362283,206.734,1980,3201,86.0,53.0,36.0
1784620491.372282,228.704,1980,3201,86.0,53.0,36.0
1784620491.382284,228.704,1980,3201,86.0,53.0,36.0
1784620491.392285,228.704,1980,3201,86.0,53.0,36.0
1784620491.402286,228.704,1980,3201,86.0,53.0,36.0
1784620491.412283,228.704,1980,3201,86.0,53.0,37.0
1784620491.422284,228.704,1980,3201,86.0,53.0,37.0
1784620491.432282,228.704,1980,3201,86.0,53.0,37.0
1784620491.442285,228.704,1980,3201,86.0,53.0,37.0
1784620491.452285,228.704,1980,3201,86.0,53.0,37.0
1784620491.462285,228.704,1980,3201,86.0,53.0,37.0
1784620491.472284,246.891,1980,3201,86.0,53.0,37.0
1784620491.482282,246.891,1980,3201,86.0,53.0,37.0
1784620491.492282,246.891,1980,3201,87.0,53.0,37.0
1784620491.502281,246.891,1980,3201,87.0,53.0,37.0
1784620491.512279,246.891,1980,3201,87.0,53.0,37.0
1784620491.522285,246.891,1980,3201,87.0,53.0,37.0
1784620491.532286,246.891,1980,3201,87.0,53.0,37.0
1784620491.542282,246.891,1980,3201,87.0,53.0,37.0
1784620491.552281,246.891,1980,3201,87.0,53.0,37.0
1784620491.562281,246.891,1980,3201,87.0,53.0,37.0
1784620491.572279,266.679,1980,3201,87.0,53.0,37.0
1784620491.582285,266.679,1980,3201,87.0,53.0,37.0
1784620491.592283,266.679,1980,3201,87.0,53.0,37.0
1784620491.602282,266.679,1980,3201,87.0,53.0,37.0
1784620491.612281,266.679,1980,3201,87.0,53.0,37.0
1784620491.622280,266.679,1980,3201,87.0,53.0,37.0
1784620491.632280,266.679,1980,3201,87.0,53.0,37.0
1784620491.642284,266.679,1980,3201,87.0,53.0,37.0
1784620491.652281,266.679,1980,3201,87.0,53.0,37.0
1784620491.662279,266.679,1980,3201,87.0,53.0,37.0
1784620491.672279,289.834,1980,3201,87.0,53.0,37.0
1784620491.682278,289.834,1980,3201,87.0,53.0,37.0
1784620491.692280,289.834,1980,3201,86.0,53.0,37.0
1784620491.702280,289.834,1980,3201,86.0,53.0,37.0
1784620491.712280,289.834,1980,3201,86.0,53.0,37.0
1784620491.722278,289.834,1980,3201,86.0,53.0,37.0
1784620491.732277,289.834,1980,3201,86.0,53.0,37.0
1784620491.742278,289.834,1980,3201,86.0,53.0,37.0
1784620491.752278,289.834,1980,3201,86.0,53.0,37.0
1784620491.762280,289.834,1980,3201,86.0,53.0,37.0
1784620491.772278,309.787,1980,3201,86.0,53.0,37.0
1784620491.782279,309.787,1980,3201,86.0,53.0,37.0
1784620491.792276,309.787,1980,3201,86.0,53.0,37.0
1784620491.802277,309.787,1980,3201,86.0,53.0,37.0
1784620491.812276,309.787,1980,3201,86.0,53.0,37.0
1784620491.822275,309.787,1980,3201,86.0,53.0,37.0
1784620491.832276,309.787,1980,3201,86.0,53.0,37.0
1784620491.842275,309.787,1980,3201,86.0,53.0,37.0
1784620491.852387,309.787,1980,3201,86.0,53.0,37.0
1784620491.862291,309.787,1980,3201,86.0,53.0,37.0
1784620491.872286,319.472,1980,3201,86.0,53.0,37.0
1784620491.882280,319.472,1980,3201,86.0,53.0,37.0
1784620491.892274,319.472,1980,3201,86.0,53.0,37.0
1784620491.902285,319.472,1980,3201,86.0,53.0,37.0
1784620491.912287,319.472,1980,3201,86.0,53.0,37.0
1784620491.922287,319.472,1980,3201,86.0,53.0,37.0
1784620491.932279,319.472,1980,3201,86.0,53.0,37.0
1784620491.942332,319.472,1980,3201,86.0,53.0,37.0
1784620491.952273,319.472,1980,3201,86.0,53.0,37.0
1784620491.962292,319.472,1980,3201,86.0,53.0,37.0
1784620491.972296,319.490,1980,3201,86.0,53.0,37.0
1784620491.982287,319.490,1980,3201,86.0,53.0,37.0
1784620491.992286,319.490,1980,3201,86.0,53.0,37.0
1784620492.002349,319.490,1980,3201,86.0,53.0,37.0
1784620492.012273,319.490,1980,3201,86.0,53.0,37.0
1784620492.022286,319.490,1980,3201,86.0,53.0,37.0
1784620492.032278,319.490,1980,3201,86.0,53.0,37.0
1784620492.042296,319.490,1980,3201,86.0,53.0,37.0
1784620492.052281,319.490,1980,3201,86.0,53.0,37.0
1784620492.062341,319.490,1980,3201,86.0,53.0,37.0
1784620492.072270,319.599,1980,3201,86.0,53.0,37.0
1784620492.082283,319.599,1980,3201,86.0,53.0,37.0
1784620492.092289,319.599,1980,3201,88.0,53.0,37.0
1784620492.102289,319.599,1980,3201,88.0,53.0,37.0
1784620492.112288,319.599,1980,3201,88.0,53.0,37.0
1784620492.122317,319.599,1980,3201,88.0,53.0,37.0
1784620492.132271,319.599,1980,3201,88.0,53.0,37.0
1784620492.142287,319.599,1980,3201,88.0,53.0,37.0
1784620492.152286,319.599,1980,3201,88.0,53.0,37.0
1784620492.162286,319.599,1980,3201,88.0,53.0,37.0
1784620492.172287,318.496,1980,3201,88.0,53.0,37.0
1784620492.182275,318.496,1980,3201,88.0,53.0,37.0
1784620492.192286,318.496,1980,3201,88.0,53.0,37.0
1784620492.202286,318.496,1980,3201,88.0,53.0,37.0
1784620492.212289,318.496,1980,3201,88.0,53.0,37.0
1784620492.222289,318.496,1980,3201,88.0,53.0,37.0
1784620492.232275,318.496,1980,3201,88.0,53.0,37.0
1784620492.242274,318.496,1980,3201,88.0,53.0,37.0
1784620492.252322,318.496,1980,3201,88.0,53.0,37.0
1784620492.262287,318.496,1980,3201,88.0,53.0,37.0
1784620492.272289,319.367,1980,3201,88.0,53.0,37.0
1784620492.282314,319.367,1980,3201,88.0,53.0,37.0
1784620492.292288,319.367,1980,3201,88.0,53.0,37.0
1784620492.302271,319.367,1980,3201,88.0,53.0,37.0
1784620492.312285,319.367,1980,3201,88.0,53.0,37.0
1784620492.322287,319.367,1980,3201,88.0,53.0,37.0
1784620492.332286,319.367,1980,3201,88.0,53.0,37.0
1784620492.342288,319.367,1980,3201,88.0,53.0,37.0
1784620492.352286,319.367,1980,3201,88.0,53.0,37.0
1784620492.362321,319.367,1980,3201,88.0,53.0,37.0
1784620492.372273,319.001,1980,3201,88.0,53.0,37.0
1784620492.382335,319.001,1980,3201,88.0,53.0,37.0
1784620492.392288,319.001,1980,3201,88.0,53.0,37.0
