t_rel_s,measured_w,predicted_w
0.000,354.49,295.93
0.200,346.96,381.92
0.400,348.39,359.98
0.600,347.16,386.50
0.800,348.24,364.01
1.000,357.11,365.69
1.200,364.12,379.94
1.400,366.37,381.35
1.600,368.46,383.58
1.800,369.99,398.65
2.000,369.27,388.12
2.200,370.57,377.19
2.400,372.98,331.64
2.600,372.68,337.26
2.800,367.18,375.48
3.000,365.78,376.65
3.200,362.09,378.68
3.400,359.50,366.42
3.600,357.37,380.37
3.800,360.70,368.15
4.000,360.68,382.60
4.200,362.59,371.28
4.400,364.14,386.11
4.600,368.28,401.10
4.800,370.42,320.77
5.000,367.53,352.30
5.200,365.91,364.77
5.400,362.14,390.16
5.600,359.00,392.60
5.800,357.22,328.89
6.000,360.61,379.48
6.200,361.15,380.85
6.400,365.10,343.80
6.600,364.99,354.86
6.800,366.78,393.65
7.000,365.54,383.42
7.200,365.93,332.17
7.400,367.24,354.46
7.600,367.14,379.78
7.800,366.00,367.91
8.000,366.95,369.31
8.200,368.11,331.05
8.400,364.28,342.44
8.600,363.00,380.20
8.800,363.73,330.21
9.000,364.29,328.58
9.200,360.95,378.77
9.400,360.43,367.95
9.600,360.66,356.72
9.800,357.74,377.78
10.000,357.24,379.94
10.200,359.48,368.49
10.400,360.10,343.87
10.600,361.19,356.32
10.800,363.50,368.00
11.000,364.06,395.15
11.200,364.84,345.38
11.400,365.12,354.45
11.600,365.03,366.64
11.800,364.81,354.76
12.000,367.02,393.43
12.200,368.30,341.07
12.400,368.41,392.66
12.600,367.71,381.56
12.800,369.16,344.15
13.000,369.00,367.83
13.200,369.13,367.40
13.400,370.17,394.39
13.600,373.30,344.83
13.800,372.68,354.20
14.000,370.80,340.45
14.200,368.53,391.40
14.400,367.03,342.63
14.600,364.05,339.75
14.800,363.64,365.71
15.000,363.54,366.83
15.200,363.19,379.65
15.400,364.66,342.77
15.600,363.77,379.43
15.800,363.57,393.96
16.000,364.94,357.49
16.200,366.46,342.15
16.400,366.23,353.84
16.600,368.49,379.55
16.800,370.54,341.20
17.000,369.83,353.78
17.200,369.53,366.29
17.400,369.66,379.42
17.600,369.74,381.69
17.800,370.24,356.93
18.000,372.50,382.16
18.200,371.66,397.11
18.400,370.35,359.99
18.600,372.00,343.62
18.800,371.60,368.38
19.000,370.67,380.46
19.200,371.00,368.04
19.400,372.50,355.66
19.600,370.62,380.44
19.800,369.74,380.16
20.000,369.15,369.19
20.200,370.20,343.23
20.400,370.12,379.81
20.600,368.05,381.82
20.800,367.61,344.40
21.000,366.28,366.17
21.200,364.64,341.23
21.400,365.91,378.18
21.600,367.91,367.10
21.800,367.95,367.19
22.000,368.78,367.28
22.200,372.43,366.98
22.400,371.49,381.33
22.600,374.69,343.57
22.800,377.63,368.86
23.000,379.19,395.38
23.200,377.18,371.46
23.400,376.52,355.46
23.600,373.48,367.53
23.800,370.08,367.66
24.000,367.95,380.90
24.200,369.35,354.89
24.400,370.10,354.58
24.600,369.41,366.95
24.800,368.65,380.80
25.000,370.78,342.94
25.200,369.88,355.09
25.400,367.61,381.05
25.600,367.23,370.03
25.800,365.72,355.02
26.000,364.70,354.43
26.200,365.38,367.06
26.400,366.20,380.30
26.600,367.55,380.33
26.800,371.52,369.08
27.000,372.97,382.48
27.200,371.06,370.66
27.400,373.09,356.08
27.600,375.45,368.45
27.800,375.49,394.98
28.000,374.92,371.22
28.200,378.24,379.61
28.400,377.78,367.54
28.600,375.99,367.92
28.800,376.76,355.85
29.000,376.49,380.58
29.200,374.79,355.80
29.400,373.93,394.17
29.600,373.37,356.46
29.800,373.05,328.74
30.000,370.37,390.61
30.200,368.73,367.55
30.400,368.02,368.59
30.600,367.95,355.25
30.800,366.16,368.70
31.000,368.06,381.03
31.200,369.25,369.25
31.400,368.80,369.22
31.600,368.78,356.91
31.800,369.06,382.44
32.000,369.59,343.81
32.200,370.52,355.34
32.400,371.71,367.11
32.600,369.39,380.86
32.800,367.71,369.61
33.000,367.71,342.72
33.200,366.46,316.33
33.400,364.68,365.34
33.600,366.89,365.71
33.800,369.53,341.64
34.000,369.85,353.34
34.200,369.39,379.51
34.400,371.26,341.80
34.600,370.47,367.24
34.800,368.52,368.47
35.000,367.49,369.07
35.200,368.55,358.00
35.400,369.26,354.55
35.600,370.88,352.82
35.800,371.49,352.09
